site,site_number,subject_id,probe,n_units_total,n_units_pilot_qc,n_units_default_qc,n_units_used,rf_center_x_deg,rf_center_x_ci_low_deg,rf_center_x_ci_high_deg,rf_center_y_deg,rf_center_y_ci_low_deg,rf_center_y_ci_high_deg,rf_peak_value_median,rf_grid_edge_fraction,rf_center_x_all_units_deg,rf_center_y_all_units_deg,rf_center_x_default_qc_deg,rf_center_y_default_qc_deg,qc_rule,rf_method,gaze_correction,bootstrap_iterations
site6,6,815152,E,514,87,280,87,-10.0,-30.0,-10.0,-10.0,-10.0,0.0,1.4166666666666667,0.41379310344827586,-20.0,-10.0,-20.0,-10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site7,7,816308,A,553,134,321,134,-30.0,-30.0,-15.0,-20.0,-25.0,-10.0,0.9333333333333332,0.582089552238806,-20.0,-20.0,-20.0,-20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site7,7,816308,B,608,136,321,136,40.0,30.0,40.0,10.0,0.0,20.0,1.3666666666666667,0.6691176470588235,30.0,10.0,40.0,10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site7,7,816308,C,818,205,538,205,-20.0,-20.0,-20.0,30.0,20.0,30.0,1.2,0.5707317073170731,-20.0,20.0,-10.0,20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site7,7,816308,E,533,143,359,143,-10.0,-20.0,-10.0,-10.0,-10.0,0.0,0.7,0.5384615384615384,-20.0,-10.0,-10.0,-10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site8,8,817334,A,721,191,359,191,-20.0,-30.0,-10.0,-20.0,-30.0,-10.0,0.7166666666666667,0.4973821989528796,-20.0,-20.0,-20.0,-20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site8,8,817334,B,718,121,286,121,20.0,10.0,30.0,-10.0,-10.0,0.0,0.55,0.4132231404958678,20.0,-10.0,30.0,-10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site8,8,817334,C,837,154,380,154,-15.0,-20.0,-10.0,5.0,0.0,10.0,0.9749999999999999,0.37662337662337664,-10.0,0.0,-20.0,10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site8,8,817334,E,649,119,307,119,-10.0,-20.0,0.0,-10.0,-10.0,-10.0,0.55,0.5126050420168067,-10.0,-10.0,-10.0,-10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site9,9,817335,A,554,131,323,131,-20.0,-20.0,-10.0,-10.0,-20.0,-10.0,1.6,0.33587786259541985,-20.0,-10.0,-20.0,-10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site9,9,817335,B,611,158,378,158,20.0,10.0,30.0,10.0,0.0,10.0,1.6166666666666667,0.5189873417721519,20.0,10.0,20.0,10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site9,9,817335,C,609,190,411,190,10.0,10.0,20.0,20.0,20.0,30.0,1.7916666666666667,0.5421052631578948,10.0,20.0,10.0,20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site9,9,817335,E,629,190,425,190,-30.0,-40.0,-30.0,10.0,10.0,10.0,1.5666666666666669,0.6421052631578947,-30.0,10.0,-30.0,10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
