site,session_num,subject_id,probe,time_to_first_spike_fl,time_to_first_spike_fl_n,mod_idx_dg,mod_idx_dg_n,timescale_ac,timescale_ac_n,n_units_total,n_units_pilot_qc,n_units_default_qc,n_units_used,rf_center_x_deg,rf_center_x_ci_low_deg,rf_center_x_ci_high_deg,rf_center_y_deg,rf_center_y_ci_low_deg,rf_center_y_ci_high_deg,rf_peak_value_median,rf_grid_edge_fraction,rf_center_x_all_units_deg,rf_center_y_all_units_deg,rf_center_x_default_qc_deg,rf_center_y_default_qc_deg,qc_rule,rf_method,gaze_correction,bootstrap_iterations
site4,4,810532,C,74.89735099337749,151,-0.17656644071410504,230,47.668828938254045,48,512,79,230,79,0.0,-10.0,0.0,10.0,10.0,20.0,1.15,0.2658227848101265,0.0,20.0,-10.0,15.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site4,4,810532,E,72.41379310344827,174,-0.1570342231703853,252,50.38830032105025,36,463,80,252,80,-15.0,-20.0,10.0,0.0,-10.0,10.0,2.783333333333333,0.425,-10.0,-10.0,-10.0,-10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site5,5,813810,A,63.95983935742972,249,-0.07894377628646347,358,46.22745501776959,98,757,176,358,176,-20.0,-20.0,-10.0,-10.0,-20.0,-10.0,1.3166666666666669,0.3409090909090909,-20.0,-20.0,-20.0,-10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site5,5,813810,B,63.640625,288,-0.0239793824438996,441,41.41849836314983,123,695,233,441,233,30.0,30.0,40.0,0.0,0.0,0.0,1.0333333333333334,0.6008583690987125,30.0,0.0,30.0,0.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site5,5,813810,C,67.75295857988165,338,-0.05942159282108683,516,35.83746559732211,117,866,240,516,240,0.0,0.0,0.0,20.0,20.0,30.0,1.0750000000000002,0.4041666666666667,0.0,20.0,0.0,20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site5,5,813810,E,69.3078431372549,255,-0.10703069013796386,396,47.488437639253654,81,678,185,396,185,-20.0,-20.0,-20.0,10.0,0.0,10.0,1.2,0.3567567567567568,-20.0,10.0,-20.0,10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site6,6,815152,A,65.8616504854369,206,-0.09393875320948894,320,38.96700619908319,64,609,111,320,111,-20.0,-30.0,-10.0,-20.0,-30.0,-20.0,1.8,0.5675675675675675,-20.0,-20.0,-20.0,-20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site6,6,815152,B,71.19949494949495,198,-0.1439325340642023,334,43.47888485182107,62,618,145,334,145,20.0,10.0,20.0,0.0,0.0,10.0,1.3166666666666669,0.5310344827586206,10.0,0.0,10.0,0.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site6,6,815152,C,70.63142857142857,175,-0.08630609427458828,275,35.08885656192718,63,612,77,275,77,-10.0,-10.0,0.0,20.0,10.0,20.0,1.4833333333333334,0.2467532467532467,-10.0,10.0,-10.0,20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site6,6,815152,E,71.47402597402598,154,-0.19648198757535523,280,49.13090144259098,35,514,87,280,87,-10.0,-30.0,-10.0,-10.0,-10.0,0.0,1.4166666666666667,0.4137931034482758,-20.0,-10.0,-20.0,-10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site7,7,816308,A,64.07918552036199,221,-0.16569089759035321,321,35.305873998527794,88,553,134,321,134,-30.0,-30.0,-15.0,-20.0,-25.0,-10.0,0.9333333333333332,0.582089552238806,-20.0,-20.0,-20.0,-20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site7,7,816308,B,68.76574803149606,254,-0.1399578719886335,321,37.58983501305457,126,608,136,321,136,40.0,30.0,40.0,10.0,0.0,20.0,1.3666666666666667,0.6691176470588235,30.0,10.0,40.0,10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site7,7,816308,C,62.81472081218274,394,-0.0944375029350894,538,30.70351783776055,128,818,205,538,205,-20.0,-20.0,-20.0,30.0,20.0,30.0,1.2,0.5707317073170731,-20.0,20.0,-10.0,20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site7,7,816308,E,65.5421686746988,249,-0.139227250450431,359,41.40953868182058,71,533,143,359,143,-10.0,-20.0,-10.0,-10.0,-10.0,0.0,0.7,0.5384615384615384,-20.0,-10.0,-10.0,-10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site8,8,817334,A,65.38362068965517,232,-0.03907420328776186,359,44.388876698982685,65,721,191,359,191,-20.0,-30.0,-10.0,-20.0,-30.0,-10.0,0.7166666666666667,0.4973821989528796,-20.0,-20.0,-20.0,-20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site8,8,817334,B,66.6360544217687,147,-0.10226817293787287,286,43.698720681689196,32,718,121,286,121,20.0,10.0,30.0,-10.0,-10.0,0.0,0.55,0.4132231404958678,20.0,-10.0,30.0,-10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site8,8,817334,C,74.16666666666667,237,-0.10166920769193762,380,40.5302391432018,43,837,154,380,154,-15.0,-20.0,-10.0,5.0,0.0,10.0,0.975,0.3766233766233766,-10.0,0.0,-20.0,10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site8,8,817334,E,73.50534759358288,187,-0.14444950638713686,307,35.45365601773941,41,649,119,307,119,-10.0,-20.0,0.0,-10.0,-10.0,-10.0,0.55,0.5126050420168067,-10.0,-10.0,-10.0,-10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site9,9,817335,A,67.13679245283019,212,-0.15110638929350986,323,43.010223913275574,63,554,131,323,131,-20.0,-20.0,-10.0,-10.0,-20.0,-10.0,1.6,0.3358778625954198,-20.0,-10.0,-20.0,-10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site9,9,817335,B,68.58260869565217,230,-0.10374597096106151,378,37.54300133394923,83,611,158,378,158,20.0,10.0,30.0,10.0,0.0,10.0,1.6166666666666667,0.5189873417721519,20.0,10.0,20.0,10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site9,9,817335,C,67.35907335907336,259,-0.0657007167211332,411,33.899533804953,129,609,190,411,190,10.0,10.0,20.0,20.0,20.0,30.0,1.7916666666666667,0.5421052631578948,10.0,20.0,10.0,20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site9,9,817335,E,68.53370786516854,267,-0.12614244913317005,425,44.07037346666068,73,629,190,425,190,-30.0,-40.0,-30.0,10.0,10.0,10.0,1.5666666666666669,0.6421052631578947,-30.0,10.0,-30.0,10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
