site,subject_id,probe,metric,reason,eligible_n,excluded_n
site3,810531,B,all,missing_from_four_way_metric_join,554,0
site3,810531,B,all,failed_or_missing_default_qc,554,213
site3,810531,B,ttfs,nonfinite_metric_or_required_auxiliary,554,23
site3,810531,B,ttfs,failed_current_metric_threshold,531,239
site3,810531,B,f1_f0,nonfinite_metric_or_required_auxiliary,554,0
site3,810531,B,f1_f0,failed_current_metric_threshold,554,0
site3,810531,B,timescale,nonfinite_metric_or_required_auxiliary,554,0
site3,810531,B,timescale,failed_current_metric_threshold,554,481
site3,810531,C,all,missing_from_four_way_metric_join,567,0
site3,810531,C,all,failed_or_missing_default_qc,567,202
site3,810531,C,ttfs,nonfinite_metric_or_required_auxiliary,567,11
site3,810531,C,ttfs,failed_current_metric_threshold,556,211
site3,810531,C,f1_f0,nonfinite_metric_or_required_auxiliary,567,0
site3,810531,C,f1_f0,failed_current_metric_threshold,567,0
site3,810531,C,timescale,nonfinite_metric_or_required_auxiliary,567,0
site3,810531,C,timescale,failed_current_metric_threshold,567,411
site3,810531,E,all,missing_from_four_way_metric_join,565,0
site3,810531,E,all,failed_or_missing_default_qc,565,203
site3,810531,E,ttfs,nonfinite_metric_or_required_auxiliary,565,25
site3,810531,E,ttfs,failed_current_metric_threshold,540,205
site3,810531,E,f1_f0,nonfinite_metric_or_required_auxiliary,565,1
site3,810531,E,f1_f0,failed_current_metric_threshold,564,0
site3,810531,E,timescale,nonfinite_metric_or_required_auxiliary,565,0
site3,810531,E,timescale,failed_current_metric_threshold,565,476
site4,810532,A,all,missing_from_four_way_metric_join,617,0
site4,810532,A,all,failed_or_missing_default_qc,617,272
site4,810532,A,ttfs,nonfinite_metric_or_required_auxiliary,617,12
site4,810532,A,ttfs,failed_current_metric_threshold,605,207
site4,810532,A,f1_f0,nonfinite_metric_or_required_auxiliary,617,0
site4,810532,A,f1_f0,failed_current_metric_threshold,617,0
site4,810532,A,timescale,nonfinite_metric_or_required_auxiliary,617,0
site4,810532,A,timescale,failed_current_metric_threshold,617,493
site4,810532,B,all,missing_from_four_way_metric_join,610,0
site4,810532,B,all,failed_or_missing_default_qc,610,261
site4,810532,B,ttfs,nonfinite_metric_or_required_auxiliary,610,13
site4,810532,B,ttfs,failed_current_metric_threshold,597,213
site4,810532,B,f1_f0,nonfinite_metric_or_required_auxiliary,610,0
site4,810532,B,f1_f0,failed_current_metric_threshold,610,0
site4,810532,B,timescale,nonfinite_metric_or_required_auxiliary,610,0
site4,810532,B,timescale,failed_current_metric_threshold,610,488
site4,810532,C,all,missing_from_four_way_metric_join,512,0
site4,810532,C,all,failed_or_missing_default_qc,512,282
site4,810532,C,ttfs,nonfinite_metric_or_required_auxiliary,512,57
site4,810532,C,ttfs,failed_current_metric_threshold,455,191
site4,810532,C,f1_f0,nonfinite_metric_or_required_auxiliary,512,12
site4,810532,C,f1_f0,failed_current_metric_threshold,500,0
site4,810532,C,timescale,nonfinite_metric_or_required_auxiliary,512,0
site4,810532,C,timescale,failed_current_metric_threshold,512,386
site4,810532,E,all,missing_from_four_way_metric_join,463,0
site4,810532,E,all,failed_or_missing_default_qc,463,211
site4,810532,E,ttfs,nonfinite_metric_or_required_auxiliary,463,13
site4,810532,E,ttfs,failed_current_metric_threshold,450,139
site4,810532,E,f1_f0,nonfinite_metric_or_required_auxiliary,463,0
site4,810532,E,f1_f0,failed_current_metric_threshold,463,0
site4,810532,E,timescale,nonfinite_metric_or_required_auxiliary,463,0
site4,810532,E,timescale,failed_current_metric_threshold,463,363
site5,813810,A,all,missing_from_four_way_metric_join,757,0
site5,813810,A,all,failed_or_missing_default_qc,757,399
site5,813810,A,ttfs,nonfinite_metric_or_required_auxiliary,757,21
site5,813810,A,ttfs,failed_current_metric_threshold,736,245
site5,813810,A,f1_f0,nonfinite_metric_or_required_auxiliary,757,1
site5,813810,A,f1_f0,failed_current_metric_threshold,756,0
site5,813810,A,timescale,nonfinite_metric_or_required_auxiliary,757,0
site5,813810,A,timescale,failed_current_metric_threshold,757,590
site5,813810,B,all,missing_from_four_way_metric_join,695,0
site5,813810,B,all,failed_or_missing_default_qc,695,254
site5,813810,B,ttfs,nonfinite_metric_or_required_auxiliary,695,10
site5,813810,B,ttfs,failed_current_metric_threshold,685,256
site5,813810,B,f1_f0,nonfinite_metric_or_required_auxiliary,695,0
site5,813810,B,f1_f0,failed_current_metric_threshold,695,0
site5,813810,B,timescale,nonfinite_metric_or_required_auxiliary,695,0
site5,813810,B,timescale,failed_current_metric_threshold,695,487
site5,813810,C,all,missing_from_four_way_metric_join,866,0
site5,813810,C,all,failed_or_missing_default_qc,866,350
site5,813810,C,ttfs,nonfinite_metric_or_required_auxiliary,866,36
site5,813810,C,ttfs,failed_current_metric_threshold,830,268
site5,813810,C,f1_f0,nonfinite_metric_or_required_auxiliary,866,4
site5,813810,C,f1_f0,failed_current_metric_threshold,862,0
site5,813810,C,timescale,nonfinite_metric_or_required_auxiliary,866,0
site5,813810,C,timescale,failed_current_metric_threshold,866,613
site5,813810,E,all,missing_from_four_way_metric_join,678,0
site5,813810,E,all,failed_or_missing_default_qc,678,282
site5,813810,E,ttfs,nonfinite_metric_or_required_auxiliary,678,14
site5,813810,E,ttfs,failed_current_metric_threshold,664,231
site5,813810,E,f1_f0,nonfinite_metric_or_required_auxiliary,678,0
site5,813810,E,f1_f0,failed_current_metric_threshold,678,0
site5,813810,E,timescale,nonfinite_metric_or_required_auxiliary,678,0
site5,813810,E,timescale,failed_current_metric_threshold,678,471
site6,815152,A,all,missing_from_four_way_metric_join,609,0
site6,815152,A,all,failed_or_missing_default_qc,609,289
site6,815152,A,ttfs,nonfinite_metric_or_required_auxiliary,609,42
site6,815152,A,ttfs,failed_current_metric_threshold,567,209
site6,815152,A,f1_f0,nonfinite_metric_or_required_auxiliary,609,5
site6,815152,A,f1_f0,failed_current_metric_threshold,604,0
site6,815152,A,timescale,nonfinite_metric_or_required_auxiliary,609,0
site6,815152,A,timescale,failed_current_metric_threshold,609,465
site6,815152,B,all,missing_from_four_way_metric_join,618,0
site6,815152,B,all,failed_or_missing_default_qc,618,284
site6,815152,B,ttfs,nonfinite_metric_or_required_auxiliary,618,68
site6,815152,B,ttfs,failed_current_metric_threshold,550,212
site6,815152,B,f1_f0,nonfinite_metric_or_required_auxiliary,618,2
site6,815152,B,f1_f0,failed_current_metric_threshold,616,0
site6,815152,B,timescale,nonfinite_metric_or_required_auxiliary,618,0
site6,815152,B,timescale,failed_current_metric_threshold,618,474
site6,815152,C,all,missing_from_four_way_metric_join,612,0
site6,815152,C,all,failed_or_missing_default_qc,612,337
site6,815152,C,ttfs,nonfinite_metric_or_required_auxiliary,612,68
site6,815152,C,ttfs,failed_current_metric_threshold,544,196
site6,815152,C,f1_f0,nonfinite_metric_or_required_auxiliary,612,0
site6,815152,C,f1_f0,failed_current_metric_threshold,612,0
site6,815152,C,timescale,nonfinite_metric_or_required_auxiliary,612,0
site6,815152,C,timescale,failed_current_metric_threshold,612,467
site6,815152,E,all,missing_from_four_way_metric_join,514,0
site6,815152,E,all,failed_or_missing_default_qc,514,234
site6,815152,E,ttfs,nonfinite_metric_or_required_auxiliary,514,39
site6,815152,E,ttfs,failed_current_metric_threshold,475,200
site6,815152,E,f1_f0,nonfinite_metric_or_required_auxiliary,514,1
site6,815152,E,f1_f0,failed_current_metric_threshold,513,0
site6,815152,E,timescale,nonfinite_metric_or_required_auxiliary,514,0
site6,815152,E,timescale,failed_current_metric_threshold,514,441
site7,816308,A,all,missing_from_four_way_metric_join,553,0
site7,816308,A,all,failed_or_missing_default_qc,553,232
site7,816308,A,ttfs,nonfinite_metric_or_required_auxiliary,553,23
site7,816308,A,ttfs,failed_current_metric_threshold,530,159
site7,816308,A,f1_f0,nonfinite_metric_or_required_auxiliary,553,1
site7,816308,A,f1_f0,failed_current_metric_threshold,552,0
site7,816308,A,timescale,nonfinite_metric_or_required_auxiliary,553,0
site7,816308,A,timescale,failed_current_metric_threshold,553,371
site7,816308,B,all,missing_from_four_way_metric_join,608,0
site7,816308,B,all,failed_or_missing_default_qc,608,287
site7,816308,B,ttfs,nonfinite_metric_or_required_auxiliary,608,19
site7,816308,B,ttfs,failed_current_metric_threshold,589,184
site7,816308,B,f1_f0,nonfinite_metric_or_required_auxiliary,608,1
site7,816308,B,f1_f0,failed_current_metric_threshold,607,0
site7,816308,B,timescale,nonfinite_metric_or_required_auxiliary,608,0
site7,816308,B,timescale,failed_current_metric_threshold,608,401
site7,816308,C,all,missing_from_four_way_metric_join,818,0
site7,816308,C,all,failed_or_missing_default_qc,818,280
site7,816308,C,ttfs,nonfinite_metric_or_required_auxiliary,818,49
site7,816308,C,ttfs,failed_current_metric_threshold,769,209
site7,816308,C,f1_f0,nonfinite_metric_or_required_auxiliary,818,2
site7,816308,C,f1_f0,failed_current_metric_threshold,816,0
site7,816308,C,timescale,nonfinite_metric_or_required_auxiliary,818,0
site7,816308,C,timescale,failed_current_metric_threshold,818,527
site7,816308,E,all,missing_from_four_way_metric_join,533,0
site7,816308,E,all,failed_or_missing_default_qc,533,174
site7,816308,E,ttfs,nonfinite_metric_or_required_auxiliary,533,20
site7,816308,E,ttfs,failed_current_metric_threshold,513,146
site7,816308,E,f1_f0,nonfinite_metric_or_required_auxiliary,533,0
site7,816308,E,f1_f0,failed_current_metric_threshold,533,0
site7,816308,E,timescale,nonfinite_metric_or_required_auxiliary,533,0
site7,816308,E,timescale,failed_current_metric_threshold,533,392
site8,817334,A,all,missing_from_four_way_metric_join,721,0
site8,817334,A,all,failed_or_missing_default_qc,721,362
site8,817334,A,ttfs,nonfinite_metric_or_required_auxiliary,721,38
site8,817334,A,ttfs,failed_current_metric_threshold,683,263
site8,817334,A,f1_f0,nonfinite_metric_or_required_auxiliary,721,1
site8,817334,A,f1_f0,failed_current_metric_threshold,720,0
site8,817334,A,timescale,nonfinite_metric_or_required_auxiliary,721,0
site8,817334,A,timescale,failed_current_metric_threshold,721,579
site8,817334,B,all,missing_from_four_way_metric_join,718,0
site8,817334,B,all,failed_or_missing_default_qc,718,432
site8,817334,B,ttfs,nonfinite_metric_or_required_auxiliary,718,99
site8,817334,B,ttfs,failed_current_metric_threshold,619,253
site8,817334,B,f1_f0,nonfinite_metric_or_required_auxiliary,718,4
site8,817334,B,f1_f0,failed_current_metric_threshold,714,0
site8,817334,B,timescale,nonfinite_metric_or_required_auxiliary,718,0
site8,817334,B,timescale,failed_current_metric_threshold,718,623
site8,817334,C,all,missing_from_four_way_metric_join,837,0
site8,817334,C,all,failed_or_missing_default_qc,837,457
site8,817334,C,ttfs,nonfinite_metric_or_required_auxiliary,837,90
site8,817334,C,ttfs,failed_current_metric_threshold,747,333
site8,817334,C,f1_f0,nonfinite_metric_or_required_auxiliary,837,8
site8,817334,C,f1_f0,failed_current_metric_threshold,829,0
site8,817334,C,timescale,nonfinite_metric_or_required_auxiliary,837,0
site8,817334,C,timescale,failed_current_metric_threshold,837,773
site8,817334,E,all,missing_from_four_way_metric_join,649,0
site8,817334,E,all,failed_or_missing_default_qc,649,342
site8,817334,E,ttfs,nonfinite_metric_or_required_auxiliary,649,39
site8,817334,E,ttfs,failed_current_metric_threshold,610,208
site8,817334,E,f1_f0,nonfinite_metric_or_required_auxiliary,649,2
site8,817334,E,f1_f0,failed_current_metric_threshold,647,0
site8,817334,E,timescale,nonfinite_metric_or_required_auxiliary,649,0
site8,817334,E,timescale,failed_current_metric_threshold,649,539
site9,817335,A,all,missing_from_four_way_metric_join,554,0
site9,817335,A,all,failed_or_missing_default_qc,554,231
site9,817335,A,ttfs,nonfinite_metric_or_required_auxiliary,554,8
site9,817335,A,ttfs,failed_current_metric_threshold,546,200
site9,817335,A,f1_f0,nonfinite_metric_or_required_auxiliary,554,0
site9,817335,A,f1_f0,failed_current_metric_threshold,554,0
site9,817335,A,timescale,nonfinite_metric_or_required_auxiliary,554,0
site9,817335,A,timescale,failed_current_metric_threshold,554,417
site9,817335,B,all,missing_from_four_way_metric_join,611,0
site9,817335,B,all,failed_or_missing_default_qc,611,233
site9,817335,B,ttfs,nonfinite_metric_or_required_auxiliary,611,17
site9,817335,B,ttfs,failed_current_metric_threshold,594,231
site9,817335,B,f1_f0,nonfinite_metric_or_required_auxiliary,611,0
site9,817335,B,f1_f0,failed_current_metric_threshold,611,0
site9,817335,B,timescale,nonfinite_metric_or_required_auxiliary,611,0
site9,817335,B,timescale,failed_current_metric_threshold,611,473
site9,817335,C,all,missing_from_four_way_metric_join,609,0
site9,817335,C,all,failed_or_missing_default_qc,609,198
site9,817335,C,ttfs,nonfinite_metric_or_required_auxiliary,609,30
site9,817335,C,ttfs,failed_current_metric_threshold,579,254
site9,817335,C,f1_f0,nonfinite_metric_or_required_auxiliary,609,3
site9,817335,C,f1_f0,failed_current_metric_threshold,606,0
site9,817335,C,timescale,nonfinite_metric_or_required_auxiliary,609,0
site9,817335,C,timescale,failed_current_metric_threshold,609,434
site9,817335,E,all,missing_from_four_way_metric_join,629,0
site9,817335,E,all,failed_or_missing_default_qc,629,204
site9,817335,E,ttfs,nonfinite_metric_or_required_auxiliary,629,12
site9,817335,E,ttfs,failed_current_metric_threshold,617,225
site9,817335,E,f1_f0,nonfinite_metric_or_required_auxiliary,629,0
site9,817335,E,f1_f0,failed_current_metric_threshold,629,0
site9,817335,E,timescale,nonfinite_metric_or_required_auxiliary,629,0
site9,817335,E,timescale,failed_current_metric_threshold,629,464
