bound_deg,ecephys_session_id,training_half,test_half,translation_azimuth_deg,translation_elevation_deg,identity_heldout_correlation,aligned_heldout_correlation,heldout_correlation_gain,identity_heldout_rmse,aligned_heldout_rmse
15,732592105,1,0,14.6668,-1.33929,-0.324626,0.267714,0.59234,0.109802,0.0890592
15,737581020,1,0,-14.6665,15,-0.509031,-0.3218,0.187231,0.0704424,0.0625247
15,739448407,1,0,3.40524,12,-0.0444437,0.28972,0.334164,0.244712,0.262656
15,742951821,1,0,-5.33345,1.31202,0.135496,0.336833,0.201336,0.367237,0.365754
15,744228101,1,0,14.6664,12.0081,-0.112143,-0.154121,-0.0419772,0.374976,0.43265
15,746083955,1,0,14.6671,0.00271508,0.0424819,0.00865739,-0.0338245,0.407225,0.393406
15,750332458,1,0,-5.3343,-5.33487,0.180451,-0.0546063,-0.235058,0.240306,0.250229
15,750749662,1,0,0.863218,15,-0.115186,0.263604,0.37879,0.159007,0.195162
15,751348571,1,0,-4.00728,2.66689,-0.339586,0.0415089,0.381095,0.177712,0.172287
15,754312389,1,0,14.9967,4.75241e-05,0.16894,0.0491047,-0.119836,0.27645,0.271345
15,754829445,1,0,3.99584,1.33359,-0.0528574,-0.00192781,0.0509296,0.169422,0.173256
15,755434585,1,0,14.4832,4.09414,-0.544536,-0.146761,0.397775,0.326946,0.422757
15,756029989,1,0,14.9997,-14.6711,-0.179631,0.323719,0.503349,0.177853,0.0678006
15,757216464,1,0,-4.0172,-5.33394,-0.469626,-0.713228,-0.243602,0.283131,0.250197
15,757970808,1,0,-15,3.83397,-0.0685906,0.254089,0.322679,0.197208,0.241716
15,758798717,1,0,14.6571,-1.33352,0.263493,-0.429419,-0.692911,0.0778687,0.0833102
15,759883607,1,0,14.6462,-1.33358,-0.375737,-0.223463,0.152273,0.102838,0.103826
15,760345702,1,0,3.99998,3.93185,-0.0731625,0.0351771,0.10834,0.136488,0.122159
15,760693773,1,0,-4.04033,-14.4094,-0.488647,-0.625206,-0.13656,0.325609,0.306602
15,761418226,1,0,-11.9971,-11.9673,0.309629,,,0.208988,
15,762120172,1,0,-1.33233,2.6677,-0.132611,-0.092782,0.0398287,0.183018,0.181879
15,762602078,1,0,9.32378,-6.66656,0.29709,0.649559,0.35247,0.481626,0.440837
15,763673393,1,0,2.6629,-14.9992,0.0386968,0.212904,0.174207,0.137432,0.160933
15,773418906,1,0,6.56354,-2.66668,-0.10389,-0.348999,-0.245109,0.174122,0.185844
15,791319847,1,0,-2.66716,14.7065,0.30457,0.329389,0.0248191,0.229306,0.235937
