stimulus_presentation_id,stimulus_block,start_time,stop_time,color,size,Speed,stimulus_name,x_position,y_position,frame,temporal_frequency,Dir,phase,contrast,spatial_frequency,orientation,coherence,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
2365,0.0,659.97408,660.22429,null,"[20.0, 20.0]",null,gabors,-10.0,10.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25020992,242,,,0,,False,8,test,2
2366,0.0,660.22429,660.4745,null,"[20.0, 20.0]",null,gabors,-10.0,-20.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,0.0,null,0.25020992,221,,,0,,False,11,test,0
2367,0.0,660.4745,660.72471,null,"[20.0, 20.0]",null,gabors,-20.0,40.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25020992,216,,,0,,False,9,train,2
2368,0.0,660.72471,660.97492,null,"[20.0, 20.0]",null,gabors,-30.0,-30.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,0.0,null,0.25020992,66,,,0,,False,7,train,0
2369,0.0,660.97492,661.22513,null,"[20.0, 20.0]",null,gabors,-10.0,-10.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,0.0,null,0.25021258,72,,,0,,False,10,train,0
2370,0.0,661.22513,661.47534,null,"[20.0, 20.0]",null,gabors,30.0,10.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25021258,112,,,0,,False,11,test,2
2371,0.0,661.47534,661.72555,null,"[20.0, 20.0]",null,gabors,-20.0,10.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,45.0,null,0.25021258,178,,,0,,False,10,train,1
2372,0.0,661.72555,661.97577,null,"[20.0, 20.0]",null,gabors,30.0,40.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,0.0,null,0.25021258,220,,,0,,False,11,test,0
2373,0.0,661.97577,662.22598,null,"[20.0, 20.0]",null,gabors,20.0,40.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,0.0,null,0.25021242,208,,,0,,False,10,train,0
2374,0.0,662.22598,662.47619,null,"[20.0, 20.0]",null,gabors,10.0,20.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25021242,197,,,0,,False,6,train,2
2375,0.0,662.47619,662.7264,null,"[20.0, 20.0]",null,gabors,20.0,40.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,45.0,null,0.25021242,222,,,0,,False,8,test,1
2376,0.0,662.7264,662.97662,null,"[20.0, 20.0]",null,gabors,20.0,40.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,45.0,null,0.25021242,222,,,0,,False,9,train,1
2377,0.0,662.97662,663.22682,null,"[20.0, 20.0]",null,gabors,30.0,0.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25020258,121,,,0,,False,10,train,2
2378,0.0,663.22682,663.47702,null,"[20.0, 20.0]",null,gabors,-30.0,0.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25020258,151,,,0,,False,8,test,2
2379,0.0,663.47702,663.72722,null,"[20.0, 20.0]",null,gabors,-20.0,-10.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25020258,22,,,0,,False,11,test,2
2380,0.0,663.72722,663.97743,null,"[20.0, 20.0]",null,gabors,-30.0,-10.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,45.0,null,0.25020258,46,,,0,,False,9,train,1
2381,0.0,663.97743,664.22763,null,"[20.0, 20.0]",null,gabors,20.0,-30.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,45.0,null,0.25020742,124,,,0,,False,9,train,1
2382,0.0,664.22763,664.47784,null,"[20.0, 20.0]",null,gabors,20.0,-10.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25020742,229,,,0,,False,7,train,2
2383,0.0,664.47784,664.72805,null,"[20.0, 20.0]",null,gabors,40.0,40.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25020742,64,,,0,,False,9,train,2
2384,0.0,664.72805,664.97826,null,"[20.0, 20.0]",null,gabors,30.0,20.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,45.0,null,0.25020742,115,,,0,,False,6,train,1
2385,0.0,664.97826,665.22847,null,"[20.0, 20.0]",null,gabors,-20.0,20.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,0.0,null,0.25021258,161,,,0,,False,5,test,0
2386,0.0,665.22847,665.47868,null,"[20.0, 20.0]",null,gabors,-10.0,20.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,0.0,null,0.25021258,131,,,0,,False,11,test,0
2387,0.0,665.47868,665.72889,null,"[20.0, 20.0]",null,gabors,30.0,10.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,45.0,null,0.25021258,6,,,0,,False,10,train,1
2388,0.0,665.72889,665.97911,null,"[20.0, 20.0]",null,gabors,-10.0,20.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25021258,9,,,0,,False,9,train,2
2389,0.0,665.97911,666.22932,null,"[20.0, 20.0]",null,gabors,-30.0,-40.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,0.0,null,0.25021242,139,,,0,,False,7,train,0
2390,0.0,666.22932,666.47953,null,"[20.0, 20.0]",null,gabors,0.0,30.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25021242,152,,,0,,False,9,train,2
2391,0.0,666.47953,666.72974,null,"[20.0, 20.0]",null,gabors,-30.0,40.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,0.0,null,0.25021242,169,,,0,,False,11,test,0
2392,0.0,666.72974,666.97996,null,"[20.0, 20.0]",null,gabors,10.0,-10.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,45.0,null,0.25021242,190,,,0,,False,9,train,1
2393,0.0,666.97996,667.23016,null,"[20.0, 20.0]",null,gabors,-20.0,10.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,45.0,null,0.25020508,178,,,0,,False,11,test,1
2394,0.0,667.23016,667.48037,null,"[20.0, 20.0]",null,gabors,-40.0,40.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,45.0,null,0.25020508,210,,,0,,False,10,train,1
2395,0.0,667.48037,667.73057,null,"[20.0, 20.0]",null,gabors,-10.0,0.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25020508,172,,,0,,False,8,test,2
2396,0.0,667.73057,667.98078,null,"[20.0, 20.0]",null,gabors,-30.0,-30.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,45.0,null,0.25020508,103,,,0,,False,9,train,1
2397,0.0,667.98078,668.23099,null,"[20.0, 20.0]",null,gabors,30.0,10.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,45.0,null,0.25021492,6,,,0,,False,11,test,1
2398,0.0,668.23099,668.48121,null,"[20.0, 20.0]",null,gabors,-10.0,-40.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,0.0,null,0.25021492,223,,,0,,False,10,train,0
2399,0.0,668.48121,668.73142,null,"[20.0, 20.0]",null,gabors,30.0,-10.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25021492,171,,,0,,False,12,train,2
2400,0.0,668.73142,668.98164,null,"[20.0, 20.0]",null,gabors,20.0,-20.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,0.0,null,0.25021492,47,,,0,,False,9,train,0
2401,0.0,668.98164,669.23184,null,"[20.0, 20.0]",null,gabors,-30.0,20.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25020258,18,,,0,,False,12,train,2
2402,0.0,669.23184,669.48204,null,"[20.0, 20.0]",null,gabors,20.0,40.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25020258,21,,,0,,False,9,train,2
2403,0.0,669.48204,669.73224,null,"[20.0, 20.0]",null,gabors,0.0,-10.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25020258,16,,,0,,False,11,test,2
