ccf_ap_mm,ccf_ml_mm,normalized_rf_x,normalized_rf_y,cells,sessions,dominant_area
8.105,8.063,3.091823699999999,-0.9398402000000026,54,2,VISp
8.105,9.113,-12.726852605,15.905281088,13,1,VISrl
8.105,9.263,-6.9896773525,18.954076745000002,80,8,VISal
8.105,9.413,2.6317724,4.4390613625,156,14,VISal
8.105,9.563,12.615183385,7.473203580000002,203,12,VISal
8.105,9.713,16.229614305000002,9.78481286,146,8,VISal
8.105,9.863,15.128274205,9.43490760775,54,3,VISal
8.255,7.463,-27.63436255,31.90226496,44,1,VISpm
8.255,7.613,1.10718915,1.2848838300000003,8,1,VISp
8.255,7.763,3.126090549999999,-3.91312356,12,1,VISp
8.255,7.913,-1.2489083499999998,1.1537466515,24,2,VISp
8.255,8.063,-1.6566232275,0.21482309900000005,186,5,VISp
8.255,8.213,-0.70723935,0.30854432749999994,66,4,VISp
8.255,9.113,-1.4322893600000002,-18.40531799,10,1,VISal
8.255,9.263,9.489152765,-7.3748522825,68,6,VISal
8.255,9.413,14.0522237325,3.6548373324999996,254,12,VISal
8.255,9.563,16.713652963999998,0.5249763750000004,310,16,VISal
8.255,9.713,20.99037344,-2.1446206549999998,204,12,VISal
8.255,9.863,22.15985388,-0.9772276799999997,120,7,VISal
8.255,10.013,21.90591658,-2.4401002600000004,9,2,VISal
8.405,7.613,3.121869050000001,3.21281848,8,1,VISp
8.405,7.763,0.45543329999999926,-0.2529626649999996,120,2,VISp
8.405,7.913,-5.412467399999999,1.7832909550000002,18,2,VISp
8.405,8.063,0.0,-0.0075572299999997,123,5,VISp
8.405,8.213,2.347870649999999,-0.6049136399999995,67,5,VISp
8.405,8.363,-4.434008949999999,1.4425246925000001,36,2,VISp
8.405,9.263,-5.2383154350000005,5.515804650000001,73,4,VISl
8.405,9.413,14.49102748,1.237618591,107,6,VISal
8.405,9.563,10.94485295,-9.861909999999998,123,7,VISl
8.405,9.713,-6.384686460999999,-16.34431104,124,6,VISl
8.405,9.863,4.667177968000001,-14.980825601,28,3,VISal
8.405,10.013,30.460210080000003,-5.772279255000001,33,1,VISl
8.555,7.763,-3.25756979,0.18511858500000034,46,1,VISp
8.555,7.913,0.3354914750000004,0.0218992499999999,180,7,VISp
8.555,8.063,-0.3595842999999998,0.1695820799999996,357,5,VISp
8.555,8.213,0.14618007000000025,-1.9034870250000004,34,2,VISp
8.555,8.363,-0.07127824500000024,-0.4137485599999997,60,2,VISp
8.555,9.263,-31.04268617,8.0238719195,42,2,VISl
8.555,9.413,-3.902622805,7.822800923499999,114,8,VISl
8.555,9.563,1.685024915,2.4613425835,76,11,VISl
8.555,9.713,-0.537730585,-7.340745494999999,142,8,VISl
8.555,9.863,-4.07512655,-2.9445689999999987,28,3,VISl
8.555,10.013,29.082284839,-5.933785385,14,1,VISl
8.705,7.763,-0.27760015,0.6020074149999997,108,3,VISp
8.705,7.913,-0.4303203099999999,0.0055022500000001,241,7,VISp
8.705,8.063,0.8250725455500001,0.2570756158900005,154,7,VISp
8.705,8.213,-1.188805852,0.1417056449999991,197,5,VISp
8.705,8.363,1.2490530199999998,0.3028665505000001,29,2,VISp
8.705,8.513,-0.6179732500000004,0.1229546249999993,127,3,VISp
8.705,9.263,-45.89851230000001,17.494689549999997,24,2,VISl
8.705,9.413,-1.0309883849999997,-6.408967025,48,5,VISl
8.705,9.563,5.942395630725,0.15756551999999965,318,10,VISl
8.705,9.713,-6.55725148,-22.2351908,239,12,VISl
8.705,9.863,-24.2343029,-18.46222889,63,4,VISl
8.705,10.013,-7.509297725,-9.22180696,14,2,VISl
8.855,7.463,2.0521499999999993,3.386448509,14,1,VISp
8.855,7.763,0.4011408049999998,-0.4078476750000004,210,5,VISp
8.855,7.913,0.27317056,-0.34811202000000074,232,6,VISp
8.855,8.063,-0.3147477432750001,-0.00189879375,454,7,VISp
8.855,8.213,1.168729988,-0.06067852500000055,290,7,VISp
8.855,8.363,-0.8536039649999996,-0.067683315,87,3,VISp
8.855,8.513,-0.637384524999999,-0.8934398717499998,86,3,VISp
8.855,8.663,4.349803900000003,1.2888965115000002,51,1,VISp
8.855,9.263,-3.956109996,26.10273937,29,3,VISl
8.855,9.413,-7.437365185000001,15.19132277,66,5,VISl
8.855,9.563,-12.73976467,5.7130947375000005,54,6,VISl
8.855,9.713,3.95750886,-2.0550136400000003,96,7,VISl
8.855,9.863,-2.8218999950000008,-24.029877442500002,36,3,VISl
8.855,10.013,12.421355665,-12.1828656,34,2,VISl
9.005,7.613,-1.323609600000001,-0.35973733799999996,36,1,VISp
9.005,7.763,-0.3110396000000044,-0.4799957300000006,53,2,VISp
9.005,7.913,0.6948657900000001,0.4886539500000002,125,4,VISp
9.005,8.063,0.5061258249999998,-0.1889784099999998,160,5,VISp
9.005,8.213,0.6884507600000003,-0.2488275250000002,259,7,VISp
9.005,8.663,7.302675950000002,-3.1753124785,18,1,VISp
9.005,8.963,-9.423837849999996,-4.8837338500000005,37,1,VISl
9.005,9.413,-13.64517449,25.420075305,99,3,VISl
9.005,9.563,15.320381045,3.219267994999999,85,3,VISl
9.155,7.163,7.490537550000006,6.329815849999999,11,1,VISp
9.155,7.313,-0.4857660499999952,-0.1702499500000005,45,1,VISp
9.155,8.063,2.3215628500000003,-0.7359781799999996,26,1,VISp
9.155,8.963,-19.118998899999998,6.058275649999999,54,1,VISl
9.455,7.913,-2.68329828,-1.0890758699999994,29,1,VISp
9.455,8.063,-2.37199806,0.2885697600000005,25,1,VISp
9.605,7.913,2.47173869,-0.1511118499999995,45,1,VISp
