ecephys_session_id,ecephys_probe_id,map_area,ccf_ap_mm,ccf_ml_mm,cells,pixel_row,pixel_col,dist_VISp_px,dist_VISl_px,dist_VISal_px,dist_VISrl_px,dist_VISam_px,nearest_zhuang_area,own_area_distance_px,agrees,has_zhuang_reference
750749662,769322802,VISam,6.869,7.660500000000001,50,32.865282764762156,250.45053057344887,90.40359245484879,203.39226389014078,192.7466152248772,4.075171742334634,15.355898361958456,VISrl,15.355898361958456,False,True
750749662,769322804,VISpm,7.4605,7.316,36,94.71292801697982,286.4716865994659,56.5887901791476,184.22510529826735,192.8589754926891,60.949915696376536,0.0,VISam,,False,False
750749662,769322806,VISp,8.697,8.179,91,224.00221517567314,196.23581533545257,0.0,63.791609557615196,101.12385172637552,65.57533549677014,85.50966994072,VISp,0.0,True,True
750749662,769322808,VISl,8.635,9.594,17,217.51945269784144,48.28244588171131,86.93350141717728,18.649900235620173,0.0,58.511177847174224,140.70281328511376,VISal,18.649900235620173,False,True
750749662,769322810,VISal,7.803,9.353,52,130.5249626727441,73.48157099715415,88.33283237934072,62.541888666221894,30.35975632380469,0.0,94.22113572846202,VISrl,30.35975632380469,False,True
750749662,769322812,VISrl,7.114000000000001,8.620000000000001,52,58.482650620710416,150.12455319474583,87.18471241203919,130.18405193171748,109.20863804710143,0.0,73.81858543373626,VISrl,0.0,True,True
751348571,757984813,VISam,7.5295000000000005,7.71,64,101.92761529069591,245.2747766596962,25.625000343100687,147.50064621907833,151.8206214812447,31.091420275480356,0.0,VISam,0.0,True,True
751348571,757984818,VISpm,7.632,7.532,53,112.64508551614351,263.886578612181,27.87161357450544,155.44052025812715,165.72267843011787,52.513283735708306,4.64508551614351,VISam,,False,False
751348571,757984820,VISp,8.877,7.99,73,242.8231384984107,215.99778482432686,0.0,87.8220694743454,126.54997169544257,92.25916077291087,110.00516171693428,VISp,0.0,True,True
751348571,757984822,VISl,8.857,9.483,28,240.7319247958842,59.888681930732616,72.30428682943969,0.0,11.797991190926274,79.12968057057375,145.67422217450957,VISl,0.0,True,True
751348571,757984826,VISrl,7.962,9.501,60,147.15011160782876,58.00658959845899,95.21425638418184,61.76513787903031,17.849888392171238,0.0,109.11560121906868,VISrl,0.0,True,True
751348571,757984830,VISrl,7.579,8.936,53,107.10336920444863,117.08337669482914,62.8052765551852,75.33208357787808,51.84681938780428,0.0,60.90592926484775,VISrl,0.0,True,True
754312389,756781553,VISam,7.557,8.056,81,104.80303413166968,209.09677960598992,16.69029503798484,120.81849316517508,117.82608707308519,3.9694308206652593,0.1969658683303237,VISam,0.1969658683303237,True,True
754312389,756781555,VISpm,7.589,7.857,27,108.14897605571187,229.90435594612728,12.86533390623272,132.05850221235573,135.2395946626906,20.819876418522362,0.0,VISam,,False,False
754312389,756781557,VISp,8.649,8.461,143,218.98330228960984,166.7497021298306,0.0,33.95985005758954,71.8547123762701,38.707172594151096,75.9948225367203,VISp,0.0,True,True
