stimulus_presentation_id,stimulus_block,start_time,stop_time,phase,contrast,temporal_frequency,x_position,size,coherence,stimulus_name,color,Dir,orientation,frame,Speed,spatial_frequency,y_position,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
2811,0.0,778.61618,778.86639,"[3644.93333333, 3644.93333333]",0.8,4.0,10.0,"[20.0, 20.0]",null,gabors,null,null,90.0,null,null,0.08,-20.0,0.25020791,111,,,0,,False,11,test,2
2812,0.0,778.86639,779.1166,"[3644.93333333, 3644.93333333]",0.8,4.0,0.0,"[20.0, 20.0]",null,gabors,null,null,90.0,null,null,0.08,0.0,0.25020791,106,,,0,,False,13,train,2
2813,0.0,779.1166,779.3668,"[3644.93333333, 3644.93333333]",0.8,4.0,-10.0,"[20.0, 20.0]",null,gabors,null,null,90.0,null,null,0.08,0.0,0.25020709,30,,,0,,False,8,test,2
2814,0.0,779.3668,779.61701,"[3644.93333333, 3644.93333333]",0.8,4.0,-20.0,"[20.0, 20.0]",null,gabors,null,null,90.0,null,null,0.08,40.0,0.25020709,92,,,0,,False,12,train,2
2815,0.0,779.61701,779.86722,"[3644.93333333, 3644.93333333]",0.8,4.0,10.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,-40.0,0.25020709,224,,,0,,False,11,test,0
2816,0.0,779.86722,780.11742,"[3644.93333333, 3644.93333333]",0.8,4.0,0.0,"[20.0, 20.0]",null,gabors,null,null,45.0,null,null,0.08,10.0,0.25020709,144,,,0,,False,9,train,1
2817,0.0,780.11742,780.36764,"[3644.93333333, 3644.93333333]",0.8,4.0,-30.0,"[20.0, 20.0]",null,gabors,null,null,45.0,null,null,0.08,-30.0,0.25021291,187,,,0,,False,9,train,1
2818,0.0,780.36764,780.61785,"[3644.93333333, 3644.93333333]",0.8,4.0,-20.0,"[20.0, 20.0]",null,gabors,null,null,90.0,null,null,0.08,30.0,0.25021291,140,,,0,,False,10,train,2
2819,0.0,780.61785,780.86806,"[3644.93333333, 3644.93333333]",0.8,4.0,-40.0,"[20.0, 20.0]",null,gabors,null,null,90.0,null,null,0.08,20.0,0.25021291,15,,,0,,False,14,test,2
2820,0.0,780.86806,781.11828,"[3644.93333333, 3644.93333333]",0.8,4.0,10.0,"[20.0, 20.0]",null,gabors,null,null,45.0,null,null,0.08,30.0,0.25021291,129,,,0,,False,12,train,1
2821,0.0,781.11828,781.36849,"[3644.93333333, 3644.93333333]",0.8,4.0,10.0,"[20.0, 20.0]",null,gabors,null,null,90.0,null,null,0.08,0.0,0.25021209,243,,,0,,False,10,train,2
2822,0.0,781.36849,781.6187,"[3644.93333333, 3644.93333333]",0.8,4.0,-40.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,20.0,0.25021209,216,,,0,,False,10,train,0
2823,0.0,781.6187,781.86891,"[3644.93333333, 3644.93333333]",0.8,4.0,0.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,40.0,0.25021209,70,,,0,,False,11,test,0
2824,0.0,781.86891,782.11912,"[3644.93333333, 3644.93333333]",0.8,4.0,40.0,"[20.0, 20.0]",null,gabors,null,null,45.0,null,null,0.08,-30.0,0.25021209,54,,,0,,False,7,train,1
2825,0.0,782.11912,782.36933,"[3644.93333333, 3644.93333333]",0.8,4.0,-40.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,20.0,0.25020291,216,,,0,,False,11,test,0
