stimulus_presentation_id,stimulus_block,start_time,stop_time,color,Dir,Speed,phase,frame,coherence,x_position,stimulus_name,orientation,y_position,temporal_frequency,size,spatial_frequency,contrast,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
54,0.0,88.600764,88.850981,null,null,null,"[3644.93333333, 3644.93333333]",null,null,0.0,gabors,0.0,20.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021681,50,,,0,,False,0,train,0
55,0.0,88.850981,89.101197,null,null,null,"[3644.93333333, 3644.93333333]",null,null,40.0,gabors,90.0,10.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021681,51,,,0,,False,0,train,2
56,0.0,89.101197,89.351414,null,null,null,"[3644.93333333, 3644.93333333]",null,null,40.0,gabors,0.0,30.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021681,52,,,0,,False,0,train,0
57,0.0,89.351414,89.601617,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-10.0,gabors,0.0,-40.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020319,53,,,0,,False,0,train,0
58,0.0,89.601617,89.851821,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-30.0,gabors,0.0,0.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020319,54,,,0,,False,0,train,0
59,0.0,89.851821,90.102024,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-30.0,gabors,90.0,0.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020319,55,,,0,,False,0,train,2
60,0.0,90.102024,90.352227,null,null,null,"[3644.93333333, 3644.93333333]",null,null,0.0,gabors,0.0,20.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020319,50,,,0,,False,1,train,0
61,0.0,90.352227,90.602441,null,null,null,"[3644.93333333, 3644.93333333]",null,null,20.0,gabors,45.0,30.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021431,56,,,0,,False,0,train,1
62,0.0,90.602441,90.852656,null,null,null,"[3644.93333333, 3644.93333333]",null,null,10.0,gabors,45.0,40.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021431,57,,,0,,False,0,train,1
63,0.0,90.852656,91.10287,null,null,null,"[3644.93333333, 3644.93333333]",null,null,0.0,gabors,45.0,20.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021431,58,,,0,,False,0,train,1
64,0.0,91.10287,91.353084,null,null,null,"[3644.93333333, 3644.93333333]",null,null,40.0,gabors,0.0,10.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021431,59,,,0,,False,0,train,0
65,0.0,91.353084,91.603285,null,null,null,"[3644.93333333, 3644.93333333]",null,null,10.0,gabors,0.0,0.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020069,60,,,0,,False,0,train,0
66,0.0,91.603285,91.853486,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-20.0,gabors,0.0,20.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020069,3,,,0,,False,1,train,0
67,0.0,91.853486,92.103686,null,null,null,"[3644.93333333, 3644.93333333]",null,null,40.0,gabors,0.0,-30.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020069,61,,,0,,False,0,train,0
68,0.0,92.103686,92.353887,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-10.0,gabors,45.0,30.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020069,62,,,0,,False,0,train,1
69,0.0,92.353887,92.604106,null,null,null,"[3644.93333333, 3644.93333333]",null,null,0.0,gabors,45.0,10.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021931,63,,,0,,False,0,train,1
70,0.0,92.604106,92.854326,null,null,null,"[3644.93333333, 3644.93333333]",null,null,20.0,gabors,0.0,10.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021931,64,,,0,,False,0,train,0
71,0.0,92.854326,93.104545,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-20.0,gabors,0.0,40.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021931,31,,,0,,False,1,train,0
72,0.0,93.104545,93.354764,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-20.0,gabors,45.0,-30.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021931,65,,,0,,False,0,train,1
73,0.0,93.354764,93.604962,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-40.0,gabors,90.0,-40.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25019819,66,,,0,,False,0,train,2
74,0.0,93.604962,93.855161,null,null,null,"[3644.93333333, 3644.93333333]",null,null,40.0,gabors,45.0,-40.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25019819,67,,,0,,False,0,train,1
75,0.0,93.855161,94.105359,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-10.0,gabors,90.0,-40.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25019819,68,,,0,,False,0,train,2
76,0.0,94.105359,94.355557,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-20.0,gabors,0.0,-20.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25019819,69,,,0,,False,0,train,0
77,0.0,94.355557,94.605776,null,null,null,"[3644.93333333, 3644.93333333]",null,null,10.0,gabors,90.0,40.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021931,70,,,0,,False,0,train,2
78,0.0,94.605776,94.855996,null,null,null,"[3644.93333333, 3644.93333333]",null,null,0.0,gabors,0.0,-30.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021931,71,,,0,,False,0,train,0
79,0.0,94.855996,95.106215,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-10.0,gabors,45.0,-30.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021931,72,,,0,,False,0,train,1
80,0.0,95.106215,95.356434,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-20.0,gabors,90.0,-20.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021931,73,,,0,,False,0,train,2
81,0.0,95.356434,95.606637,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-20.0,gabors,90.0,-20.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020319,73,,,0,,False,1,train,2
82,0.0,95.606637,95.856841,null,null,null,"[3644.93333333, 3644.93333333]",null,null,40.0,gabors,90.0,-40.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020319,25,,,0,,False,2,test,2
83,0.0,95.856841,96.107044,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-40.0,gabors,45.0,20.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020319,74,,,0,,False,0,train,1
84,0.0,96.107044,96.357247,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-40.0,gabors,45.0,40.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020319,7,,,0,,False,1,train,1
85,0.0,96.357247,96.607459,null,null,null,"[3644.93333333, 3644.93333333]",null,null,10.0,gabors,45.0,10.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021181,18,,,0,,False,1,train,1
86,0.0,96.607459,96.857671,null,null,null,"[3644.93333333, 3644.93333333]",null,null,20.0,gabors,0.0,-20.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021181,75,,,0,,False,0,train,0
87,0.0,96.857671,97.107882,null,null,null,"[3644.93333333, 3644.93333333]",null,null,40.0,gabors,45.0,-20.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021181,76,,,0,,False,0,train,1
88,0.0,97.107882,97.358094,null,null,null,"[3644.93333333, 3644.93333333]",null,null,0.0,gabors,45.0,0.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021181,77,,,0,,False,0,train,1
89,0.0,97.358094,97.608295,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-20.0,gabors,0.0,-40.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020069,78,,,0,,False,0,train,0
90,0.0,97.608295,97.858496,null,null,null,"[3644.93333333, 3644.93333333]",null,null,40.0,gabors,0.0,-30.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020069,61,,,0,,False,1,train,0
91,0.0,97.858496,98.108696,null,null,null,"[3644.93333333, 3644.93333333]",null,null,40.0,gabors,0.0,-10.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020069,79,,,0,,False,0,train,0
92,0.0,98.108696,98.358897,null,null,null,"[3644.93333333, 3644.93333333]",null,null,40.0,gabors,0.0,20.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020069,80,,,0,,False,0,train,0
93,0.0,98.358897,98.609116,null,null,null,"[3644.93333333, 3644.93333333]",null,null,30.0,gabors,0.0,10.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021931,81,,,0,,False,0,train,0
94,0.0,98.609116,98.859336,null,null,null,"[3644.93333333, 3644.93333333]",null,null,40.0,gabors,0.0,-20.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021931,82,,,0,,False,0,train,0
95,0.0,98.859336,99.109555,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-10.0,gabors,45.0,10.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021931,83,,,0,,False,0,train,1
96,0.0,99.109555,99.359774,null,null,null,"[3644.93333333, 3644.93333333]",null,null,10.0,gabors,90.0,-20.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021931,84,,,0,,False,0,train,2
97,0.0,99.359774,99.609972,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-10.0,gabors,90.0,20.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25019819,11,,,0,,False,1,train,2
98,0.0,99.609972,99.860171,null,null,null,"[3644.93333333, 3644.93333333]",null,null,40.0,gabors,90.0,40.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25019819,85,,,0,,False,0,train,2
99,0.0,99.860171,100.11037,null,null,null,"[3644.93333333, 3644.93333333]",null,null,10.0,gabors,45.0,10.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25019819,18,,,0,,False,2,test,1
100,0.0,100.11037,100.36057,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-10.0,gabors,45.0,0.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25019819,86,,,0,,False,0,train,1
101,0.0,100.36057,100.61079,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-30.0,gabors,0.0,-30.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25022181,87,,,0,,False,0,train,0
102,0.0,100.61079,100.86101,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-30.0,gabors,90.0,40.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25022181,88,,,0,,False,0,train,2
103,0.0,100.86101,101.11123,null,null,null,"[3644.93333333, 3644.93333333]",null,null,0.0,gabors,45.0,-20.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25022181,2,,,0,,False,1,train,1
104,0.0,101.11123,101.36145,null,null,null,"[3644.93333333, 3644.93333333]",null,null,30.0,gabors,0.0,-30.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25022181,21,,,0,,False,1,train,0
105,0.0,101.36145,101.61165,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-20.0,gabors,90.0,-20.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25019319,73,,,0,,False,2,test,2
106,0.0,101.61165,101.86184,null,null,null,"[3644.93333333, 3644.93333333]",null,null,40.0,gabors,0.0,40.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25019319,35,,,0,,False,1,train,0
107,0.0,101.86184,102.11203,null,null,null,"[3644.93333333, 3644.93333333]",null,null,20.0,gabors,90.0,40.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25019319,89,,,0,,False,0,train,2
108,0.0,102.11203,102.36223,null,null,null,"[3644.93333333, 3644.93333333]",null,null,0.0,gabors,90.0,0.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25019319,90,,,0,,False,0,train,2
109,0.0,102.36223,102.61245,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-30.0,gabors,90.0,10.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021931,91,,,0,,False,0,train,2
110,0.0,102.61245,102.86267,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-30.0,gabors,90.0,0.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021931,55,,,0,,False,1,train,2
111,0.0,102.86267,103.11288,null,null,null,"[3644.93333333, 3644.93333333]",null,null,30.0,gabors,45.0,-40.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021931,92,,,0,,False,0,train,1
112,0.0,103.11288,103.3631,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-30.0,gabors,90.0,-20.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021931,93,,,0,,False,0,train,2
113,0.0,103.3631,103.6133,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-30.0,gabors,90.0,40.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020069,88,,,0,,False,1,train,2
114,0.0,103.6133,103.86351,null,null,null,"[3644.93333333, 3644.93333333]",null,null,30.0,gabors,45.0,-40.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020069,92,,,0,,False,1,train,1
115,0.0,103.86351,104.11371,null,null,null,"[3644.93333333, 3644.93333333]",null,null,40.0,gabors,90.0,10.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020069,51,,,0,,False,1,train,2
116,0.0,104.11371,104.36391,null,null,null,"[3644.93333333, 3644.93333333]",null,null,0.0,gabors,45.0,30.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020069,94,,,0,,False,0,train,1
117,0.0,104.36391,104.61413,null,null,null,"[3644.93333333, 3644.93333333]",null,null,10.0,gabors,0.0,0.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25022181,60,,,0,,False,1,train,0
118,0.0,104.61413,104.86435,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-40.0,gabors,0.0,0.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25022181,95,,,0,,False,0,train,0
119,0.0,104.86435,105.11457,null,null,null,"[3644.93333333, 3644.93333333]",null,null,0.0,gabors,90.0,0.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25022181,90,,,0,,False,1,train,2
120,0.0,105.11457,105.36479,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-20.0,gabors,45.0,20.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25022181,96,,,0,,False,0,train,1
121,0.0,105.36479,105.61499,null,null,null,"[3644.93333333, 3644.93333333]",null,null,0.0,gabors,0.0,-40.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020069,97,,,0,,False,0,train,0
122,0.0,105.61499,105.8652,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-30.0,gabors,90.0,20.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020069,98,,,0,,False,0,train,2
123,0.0,105.8652,106.1154,null,null,null,"[3644.93333333, 3644.93333333]",null,null,10.0,gabors,90.0,-40.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020069,34,,,0,,False,1,train,2
124,0.0,106.1154,106.3656,null,null,null,"[3644.93333333, 3644.93333333]",null,null,30.0,gabors,45.0,30.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020069,99,,,0,,False,0,train,1
125,0.0,106.3656,106.61581,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-30.0,gabors,90.0,30.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020931,100,,,0,,False,0,train,2
126,0.0,106.61581,106.86602,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-40.0,gabors,90.0,-40.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020931,66,,,0,,False,1,train,2
127,0.0,106.86602,107.11622,null,null,null,"[3644.93333333, 3644.93333333]",null,null,0.0,gabors,45.0,-20.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020931,2,,,0,,False,2,test,1
128,0.0,107.11622,107.36643,null,null,null,"[3644.93333333, 3644.93333333]",null,null,0.0,gabors,45.0,40.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020931,101,,,0,,False,0,train,1
129,0.0,107.36643,107.61664,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-30.0,gabors,0.0,20.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020569,102,,,0,,False,0,train,0
