stimulus_presentation_id,stimulus_block,start_time,stop_time,orientation,spatial_frequency,temporal_frequency,Speed,x_position,contrast,phase,coherence,y_position,size,Dir,color,frame,stimulus_name,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
61,0.0,86.333996,86.584206,45.0,0.08,4.0,null,-30.0,0.8,"[3644.93333333, 3644.93333333]",null,-10.0,"[20.0, 20.0]",null,null,null,gabors,0.25020949,53,,,0,,False,0,train,1
62,0.0,86.584206,86.834415,45.0,0.08,4.0,null,-10.0,0.8,"[3644.93333333, 3644.93333333]",null,40.0,"[20.0, 20.0]",null,null,null,gabors,0.25020949,54,,,0,,False,0,train,1
63,0.0,86.834415,87.084625,0.0,0.08,4.0,null,-10.0,0.8,"[3644.93333333, 3644.93333333]",null,20.0,"[20.0, 20.0]",null,null,null,gabors,0.25020949,55,,,0,,False,0,train,0
64,0.0,87.084625,87.334834,0.0,0.08,4.0,null,40.0,0.8,"[3644.93333333, 3644.93333333]",null,10.0,"[20.0, 20.0]",null,null,null,gabors,0.25020949,56,,,0,,False,0,train,0
65,0.0,87.334834,87.58504,45.0,0.08,4.0,null,20.0,0.8,"[3644.93333333, 3644.93333333]",null,20.0,"[20.0, 20.0]",null,null,null,gabors,0.25020551,28,,,0,,False,1,train,1
66,0.0,87.58504,87.835245,90.0,0.08,4.0,null,-20.0,0.8,"[3644.93333333, 3644.93333333]",null,-40.0,"[20.0, 20.0]",null,null,null,gabors,0.25020551,57,,,0,,False,0,train,2
67,0.0,87.835245,88.085451,90.0,0.08,4.0,null,-40.0,0.8,"[3644.93333333, 3644.93333333]",null,-10.0,"[20.0, 20.0]",null,null,null,gabors,0.25020551,58,,,0,,False,0,train,2
68,0.0,88.085451,88.335656,90.0,0.08,4.0,null,20.0,0.8,"[3644.93333333, 3644.93333333]",null,-30.0,"[20.0, 20.0]",null,null,null,gabors,0.25020551,59,,,0,,False,0,train,2
69,0.0,88.335656,88.585876,90.0,0.08,4.0,null,-30.0,0.8,"[3644.93333333, 3644.93333333]",null,-10.0,"[20.0, 20.0]",null,null,null,gabors,0.25021949,60,,,0,,False,0,train,2
70,0.0,88.585876,88.836095,45.0,0.08,4.0,null,40.0,0.8,"[3644.93333333, 3644.93333333]",null,-40.0,"[20.0, 20.0]",null,null,null,gabors,0.25021949,61,,,0,,False,0,train,1
71,0.0,88.836095,89.086315,0.0,0.08,4.0,null,-40.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,"[20.0, 20.0]",null,null,null,gabors,0.25021949,62,,,0,,False,0,train,0
72,0.0,89.086315,89.336534,45.0,0.08,4.0,null,10.0,0.8,"[3644.93333333, 3644.93333333]",null,-20.0,"[20.0, 20.0]",null,null,null,gabors,0.25021949,63,,,0,,False,0,train,1
73,0.0,89.336534,89.586735,90.0,0.08,4.0,null,-40.0,0.8,"[3644.93333333, 3644.93333333]",null,-40.0,"[20.0, 20.0]",null,null,null,gabors,0.25020051,64,,,0,,False,0,train,2
74,0.0,89.586735,89.836935,45.0,0.08,4.0,null,0.0,0.8,"[3644.93333333, 3644.93333333]",null,-20.0,"[20.0, 20.0]",null,null,null,gabors,0.25020051,65,,,0,,False,0,train,1
75,0.0,89.836935,90.087136,90.0,0.08,4.0,null,-40.0,0.8,"[3644.93333333, 3644.93333333]",null,40.0,"[20.0, 20.0]",null,null,null,gabors,0.25020051,34,,,0,,False,1,train,2
76,0.0,90.087136,90.337336,90.0,0.08,4.0,null,30.0,0.8,"[3644.93333333, 3644.93333333]",null,-30.0,"[20.0, 20.0]",null,null,null,gabors,0.25020051,66,,,0,,False,0,train,2
77,0.0,90.337336,90.587541,45.0,0.08,4.0,null,20.0,0.8,"[3644.93333333, 3644.93333333]",null,40.0,"[20.0, 20.0]",null,null,null,gabors,0.25020449,67,,,0,,False,0,train,1
78,0.0,90.587541,90.837745,45.0,0.08,4.0,null,0.0,0.8,"[3644.93333333, 3644.93333333]",null,30.0,"[20.0, 20.0]",null,null,null,gabors,0.25020449,68,,,0,,False,0,train,1
79,0.0,90.837745,91.08795,0.0,0.08,4.0,null,0.0,0.8,"[3644.93333333, 3644.93333333]",null,-10.0,"[20.0, 20.0]",null,null,null,gabors,0.25020449,27,,,0,,False,1,train,0
80,0.0,91.08795,91.338154,0.0,0.08,4.0,null,10.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,"[20.0, 20.0]",null,null,null,gabors,0.25020449,69,,,0,,False,0,train,0
81,0.0,91.338154,91.58837,45.0,0.08,4.0,null,30.0,0.8,"[3644.93333333, 3644.93333333]",null,20.0,"[20.0, 20.0]",null,null,null,gabors,0.25021551,70,,,0,,False,0,train,1
82,0.0,91.58837,91.838585,45.0,0.08,4.0,null,40.0,0.8,"[3644.93333333, 3644.93333333]",null,40.0,"[20.0, 20.0]",null,null,null,gabors,0.25021551,71,,,0,,False,0,train,1
83,0.0,91.838585,92.088801,45.0,0.08,4.0,null,20.0,0.8,"[3644.93333333, 3644.93333333]",null,-30.0,"[20.0, 20.0]",null,null,null,gabors,0.25021551,72,,,0,,False,0,train,1
84,0.0,92.088801,92.339016,45.0,0.08,4.0,null,20.0,0.8,"[3644.93333333, 3644.93333333]",null,40.0,"[20.0, 20.0]",null,null,null,gabors,0.25021551,67,,,0,,False,1,train,1
85,0.0,92.339016,92.589223,0.0,0.08,4.0,null,40.0,0.8,"[3644.93333333, 3644.93333333]",null,-20.0,"[20.0, 20.0]",null,null,null,gabors,0.25020699,73,,,0,,False,0,train,0
86,0.0,92.589223,92.83943,90.0,0.08,4.0,null,30.0,0.8,"[3644.93333333, 3644.93333333]",null,-40.0,"[20.0, 20.0]",null,null,null,gabors,0.25020699,74,,,0,,False,0,train,2
87,0.0,92.83943,93.089637,90.0,0.08,4.0,null,30.0,0.8,"[3644.93333333, 3644.93333333]",null,-30.0,"[20.0, 20.0]",null,null,null,gabors,0.25020699,66,,,0,,False,1,train,2
88,0.0,93.089637,93.339844,0.0,0.08,4.0,null,10.0,0.8,"[3644.93333333, 3644.93333333]",null,-20.0,"[20.0, 20.0]",null,null,null,gabors,0.25020699,75,,,0,,False,0,train,0
89,0.0,93.339844,93.590052,90.0,0.08,4.0,null,-40.0,0.8,"[3644.93333333, 3644.93333333]",null,-30.0,"[20.0, 20.0]",null,null,null,gabors,0.25020801,76,,,0,,False,0,train,2
90,0.0,93.590052,93.84026,90.0,0.08,4.0,null,10.0,0.8,"[3644.93333333, 3644.93333333]",null,20.0,"[20.0, 20.0]",null,null,null,gabors,0.25020801,77,,,0,,False,0,train,2
91,0.0,93.84026,94.090468,90.0,0.08,4.0,null,-30.0,0.8,"[3644.93333333, 3644.93333333]",null,-30.0,"[20.0, 20.0]",null,null,null,gabors,0.25020801,78,,,0,,False,0,train,2
92,0.0,94.090468,94.340676,45.0,0.08,4.0,null,40.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,"[20.0, 20.0]",null,null,null,gabors,0.25020801,43,,,0,,False,1,train,1
93,0.0,94.340676,94.590888,0.0,0.08,4.0,null,-20.0,0.8,"[3644.93333333, 3644.93333333]",null,30.0,"[20.0, 20.0]",null,null,null,gabors,0.25021199,79,,,0,,False,0,train,0
94,0.0,94.590888,94.8411,90.0,0.08,4.0,null,20.0,0.8,"[3644.93333333, 3644.93333333]",null,30.0,"[20.0, 20.0]",null,null,null,gabors,0.25021199,4,,,0,,False,1,train,2
95,0.0,94.8411,95.091312,0.0,0.08,4.0,null,-40.0,0.8,"[3644.93333333, 3644.93333333]",null,-40.0,"[20.0, 20.0]",null,null,null,gabors,0.25021199,80,,,0,,False,0,train,0
96,0.0,95.091312,95.341524,45.0,0.08,4.0,null,-10.0,0.8,"[3644.93333333, 3644.93333333]",null,-20.0,"[20.0, 20.0]",null,null,null,gabors,0.25021199,5,,,0,,False,1,train,1
97,0.0,95.341524,95.59173,45.0,0.08,4.0,null,-30.0,0.8,"[3644.93333333, 3644.93333333]",null,10.0,"[20.0, 20.0]",null,null,null,gabors,0.25020551,48,,,0,,False,1,train,1
98,0.0,95.59173,95.841935,45.0,0.08,4.0,null,10.0,0.8,"[3644.93333333, 3644.93333333]",null,-40.0,"[20.0, 20.0]",null,null,null,gabors,0.25020551,81,,,0,,False,0,train,1
99,0.0,95.841935,96.092141,0.0,0.08,4.0,null,-10.0,0.8,"[3644.93333333, 3644.93333333]",null,20.0,"[20.0, 20.0]",null,null,null,gabors,0.25020551,55,,,0,,False,1,train,0
100,0.0,96.092141,96.342346,0.0,0.08,4.0,null,10.0,0.8,"[3644.93333333, 3644.93333333]",null,-10.0,"[20.0, 20.0]",null,null,null,gabors,0.25020551,82,,,0,,False,0,train,0
101,0.0,96.342346,96.592563,45.0,0.08,4.0,null,40.0,0.8,"[3644.93333333, 3644.93333333]",null,-40.0,"[20.0, 20.0]",null,null,null,gabors,0.25021699,61,,,0,,False,1,train,1
102,0.0,96.592563,96.84278,45.0,0.08,4.0,null,0.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,"[20.0, 20.0]",null,null,null,gabors,0.25021699,1,,,0,,False,1,train,1
103,0.0,96.84278,97.092997,0.0,0.08,4.0,null,-20.0,0.8,"[3644.93333333, 3644.93333333]",null,30.0,"[20.0, 20.0]",null,null,null,gabors,0.25021699,79,,,0,,False,1,train,0
104,0.0,97.092997,97.343214,0.0,0.08,4.0,null,30.0,0.8,"[3644.93333333, 3644.93333333]",null,-40.0,"[20.0, 20.0]",null,null,null,gabors,0.25021699,83,,,0,,False,0,train,0
105,0.0,97.343214,97.593415,45.0,0.08,4.0,null,-40.0,0.8,"[3644.93333333, 3644.93333333]",null,-20.0,"[20.0, 20.0]",null,null,null,gabors,0.25020051,29,,,0,,False,1,train,1
106,0.0,97.593415,97.843615,45.0,0.08,4.0,null,-10.0,0.8,"[3644.93333333, 3644.93333333]",null,10.0,"[20.0, 20.0]",null,null,null,gabors,0.25020051,12,,,0,,False,2,test,1
107,0.0,97.843615,98.093816,90.0,0.08,4.0,null,-10.0,0.8,"[3644.93333333, 3644.93333333]",null,-30.0,"[20.0, 20.0]",null,null,null,gabors,0.25020051,3,,,0,,False,1,train,2
108,0.0,98.093816,98.344016,45.0,0.08,4.0,null,10.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,"[20.0, 20.0]",null,null,null,gabors,0.25020051,18,,,0,,False,1,train,1
109,0.0,98.344016,98.594233,90.0,0.08,4.0,null,-30.0,0.8,"[3644.93333333, 3644.93333333]",null,-20.0,"[20.0, 20.0]",null,null,null,gabors,0.25021699,84,,,0,,False,0,train,2
110,0.0,98.594233,98.84445,45.0,0.08,4.0,null,-10.0,0.8,"[3644.93333333, 3644.93333333]",null,-20.0,"[20.0, 20.0]",null,null,null,gabors,0.25021699,5,,,0,,False,2,test,1
111,0.0,98.84445,99.094667,45.0,0.08,4.0,null,10.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,"[20.0, 20.0]",null,null,null,gabors,0.25021699,18,,,0,,False,2,test,1
112,0.0,99.094667,99.344884,45.0,0.08,4.0,null,40.0,0.8,"[3644.93333333, 3644.93333333]",null,-40.0,"[20.0, 20.0]",null,null,null,gabors,0.25021699,61,,,0,,False,2,test,1
113,0.0,99.344884,99.595085,0.0,0.08,4.0,null,-10.0,0.8,"[3644.93333333, 3644.93333333]",null,40.0,"[20.0, 20.0]",null,null,null,gabors,0.25020051,85,,,0,,False,0,train,0
114,0.0,99.595085,99.845285,90.0,0.08,4.0,null,-20.0,0.8,"[3644.93333333, 3644.93333333]",null,10.0,"[20.0, 20.0]",null,null,null,gabors,0.25020051,86,,,0,,False,0,train,2
115,0.0,99.845285,100.09549,90.0,0.08,4.0,null,-20.0,0.8,"[3644.93333333, 3644.93333333]",null,-40.0,"[20.0, 20.0]",null,null,null,gabors,0.25020051,57,,,0,,False,1,train,2
116,0.0,100.09549,100.34569,90.0,0.08,4.0,null,0.0,0.8,"[3644.93333333, 3644.93333333]",null,-40.0,"[20.0, 20.0]",null,null,null,gabors,0.25020051,45,,,0,,False,2,test,2
117,0.0,100.34569,100.59591,45.0,0.08,4.0,null,-10.0,0.8,"[3644.93333333, 3644.93333333]",null,-10.0,"[20.0, 20.0]",null,null,null,gabors,0.25021949,46,,,0,,False,1,train,1
118,0.0,100.59591,100.84613,90.0,0.08,4.0,null,40.0,0.8,"[3644.93333333, 3644.93333333]",null,-30.0,"[20.0, 20.0]",null,null,null,gabors,0.25021949,6,,,0,,False,1,train,2
119,0.0,100.84613,101.09634,0.0,0.08,4.0,null,-20.0,0.8,"[3644.93333333, 3644.93333333]",null,-40.0,"[20.0, 20.0]",null,null,null,gabors,0.25021949,87,,,0,,False,0,train,0
120,0.0,101.09634,101.34656,45.0,0.08,4.0,null,40.0,0.8,"[3644.93333333, 3644.93333333]",null,-10.0,"[20.0, 20.0]",null,null,null,gabors,0.25021949,88,,,0,,False,0,train,1
121,0.0,101.34656,101.59676,45.0,0.08,4.0,null,0.0,0.8,"[3644.93333333, 3644.93333333]",null,-30.0,"[20.0, 20.0]",null,null,null,gabors,0.25020051,19,,,0,,False,1,train,1
122,0.0,101.59676,101.84697,45.0,0.08,4.0,null,20.0,0.8,"[3644.93333333, 3644.93333333]",null,10.0,"[20.0, 20.0]",null,null,null,gabors,0.25020051,89,,,0,,False,0,train,1
123,0.0,101.84697,102.09717,90.0,0.08,4.0,null,0.0,0.8,"[3644.93333333, 3644.93333333]",null,-20.0,"[20.0, 20.0]",null,null,null,gabors,0.25020051,90,,,0,,False,0,train,2
124,0.0,102.09717,102.34737,0.0,0.08,4.0,null,30.0,0.8,"[3644.93333333, 3644.93333333]",null,10.0,"[20.0, 20.0]",null,null,null,gabors,0.25020051,91,,,0,,False,0,train,0
125,0.0,102.34737,102.59758,45.0,0.08,4.0,null,20.0,0.8,"[3644.93333333, 3644.93333333]",null,-20.0,"[20.0, 20.0]",null,null,null,gabors,0.25021199,92,,,0,,False,0,train,1
126,0.0,102.59758,102.84779,45.0,0.08,4.0,null,20.0,0.8,"[3644.93333333, 3644.93333333]",null,-40.0,"[20.0, 20.0]",null,null,null,gabors,0.25021199,93,,,0,,False,0,train,1
127,0.0,102.84779,103.098,90.0,0.08,4.0,null,-20.0,0.8,"[3644.93333333, 3644.93333333]",null,10.0,"[20.0, 20.0]",null,null,null,gabors,0.25021199,86,,,0,,False,1,train,2
128,0.0,103.098,103.34821,45.0,0.08,4.0,null,-30.0,0.8,"[3644.93333333, 3644.93333333]",null,-10.0,"[20.0, 20.0]",null,null,null,gabors,0.25021199,53,,,0,,False,1,train,1
