ecephys_unit_id,group,ecephys_structure_acronym,unit_split,candidate,gain_x,gain_y,control,shuffle,success,optimizer_status,center_bound,sigma_upper_bound,censored,baseline_spikes,mean_amplitude_spikes,peak_spikes,center_x_deg,center_y_deg,sigma_x_deg,sigma_y_deg,major_sigma_deg,halfmax_area_deg2,train_poisson_deviance,test_poisson_deviance,train_anscombe_rmse,test_anscombe_rmse,nominal_test_poisson_deviance,nominal_test_anscombe_rmse,nominal_halfmax_area_deg2,nominal_mean_amplitude_spikes,test_deviance_improvement,test_anscombe_rmse_improvement,log2_area_ratio,log2_amplitude_ratio,fit_scope
951868799,HVA,VISal,calibration,gain_x_0_gain_y_0,0,0,False,False,True,2,False,False,False,3.076991,5.1659239,8.7824458,14.779027,42.838153,10.826364,2.000296,10.826364,94.315312,1.9014924,1.9365995,1.2729733,1.2929085,1.9365995,1.2929085,94.315312,5.1659239,0,0,0,0,gain_sweep_qc
951868799,HVA,VISal,calibration,gain_x_0_gain_y_0.5,0,0.5,False,False,True,2,False,False,False,3.0700463,7.2730709,11.132262,14.871972,36.435776,12.126908,2,12.126908,105.62955,1.8952427,1.935533,1.2707855,1.2918547,1.9365995,1.2929085,94.315312,5.1659239,0.0010665015,0.0010538211,0.16344952,0.49353816,gain_sweep_qc
951868817,HVA,VISal,calibration,gain_x_0_gain_y_0,0,0,False,False,True,2,False,False,False,2.7663598,2.220371,5.2919632,10.718916,35.177579,39.14106,20.994016,39.14106,3578.7671,0.67669519,0.69106328,0.78368204,0.79223039,0.69106328,0.79223039,3578.7671,2.220371,0,0,0,0,gain_sweep_qc
951868817,HVA,VISal,calibration,gain_x_0_gain_y_0.5,0,0.5,False,False,True,2,False,False,False,2.7712408,2.223272,5.3006977,10.764868,34.909335,38.931212,20.76958,38.931212,3521.5266,0.67666057,0.69095148,0.78369356,0.79220577,0.69106328,0.79223039,3578.7671,2.220371,0.00011180242,2.4617485e-05,-0.023261681,0.0018836954,gain_sweep_qc
951868829,HVA,VISal,calibration,gain_x_0_gain_y_0,0,0,False,False,True,2,False,False,False,1.0445987,1.4246443,2.7256786,18.209937,41.069575,21.74488,13.34674,21.74488,1263.9723,1.1581572,1.1873276,0.89588764,0.90656157,1.1873276,0.90656157,1263.9723,1.4246443,0,0,0,0,gain_sweep_qc
951868829,HVA,VISal,calibration,gain_x_0_gain_y_0.5,0,0.5,False,False,True,2,False,False,False,1.0425515,1.3972768,2.6907168,18.402673,40.510631,22.338673,13.2722,22.338673,1291.2359,1.1579585,1.1872803,0.89582115,0.90653897,1.1873276,0.90656157,1263.9723,1.4246443,4.7376404e-05,2.2596128e-05,0.030787794,-0.027983902,gain_sweep_qc
951868840,HVA,VISal,calibration,gain_x_0_gain_y_0,0,0,False,False,True,2,True,False,True,0.20893374,1.555902,2.694154,19.908286,59.999999,6.8671508,13.40105,13.40105,400.79358,1.0311162,1.0225675,0.62319781,0.62101914,1.0225675,0.62101914,400.79358,1.555902,0,0,0,0,gain_sweep_qc
951868840,HVA,VISal,calibration,gain_x_0_gain_y_0.5,0,0.5,False,False,True,2,True,False,True,0.20970226,2.1875321,3.6096595,19.946788,60,6.8244366,11.946113,11.946113,355.05755,1.0312242,1.02155,0.62317833,0.62072179,1.0225675,0.62101914,400.79358,1.555902,0.0010175043,0.00029735414,-0.1748065,0.49155276,gain_sweep_qc
951868880,HVA,VISal,evaluation,gain_x_0_gain_y_0,0,0,False,False,True,2,False,False,False,0.50582987,1.0821366,1.9126492,-4.4092762,33.637523,7.9570673,14.80508,14.80508,513.06115,1.7006446,1.7626851,0.94903368,0.97014856,1.7626851,0.97014856,513.06115,1.0821366,0,0,0,0,gain_sweep_qc
951868880,HVA,VISal,evaluation,gain_x_0_gain_y_0.5,0,0.5,False,False,True,2,False,False,False,0.50555631,1.0959935,1.9261601,-4.2539602,34.285972,7.9485303,15.117123,15.117123,523.31275,1.6999259,1.7621882,0.94871603,0.96999933,1.7626851,0.97014856,513.06115,1.0821366,0.00049681358,0.00014923297,0.028542628,0.018356539,gain_sweep_qc
