stimulus_presentation_id,stimulus_block,start_time,stop_time,temporal_frequency,orientation,coherence,stimulus_name,contrast,frame,x_position,size,Speed,spatial_frequency,color,Dir,phase,y_position,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
28,0.0,75.286382,75.536589,4.0,90.0,null,gabors,0.8,null,10.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-20.0,0.25020723,4,,,0,,False,1,train,2
29,0.0,75.536589,75.786807,4.0,0.0,null,gabors,0.8,null,-10.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",30.0,0.25021777,28,,,0,,False,0,train,0
30,0.0,75.786807,76.037025,4.0,90.0,null,gabors,0.8,null,40.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-10.0,0.25021777,29,,,0,,False,0,train,2
31,0.0,76.037025,76.287243,4.0,90.0,null,gabors,0.8,null,30.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",40.0,0.25021777,30,,,0,,False,0,train,2
32,0.0,76.287243,76.537461,4.0,45.0,null,gabors,0.8,null,0.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",10.0,0.25021777,31,,,0,,False,0,train,1
33,0.0,76.537461,76.78766,4.0,45.0,null,gabors,0.8,null,-30.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",30.0,0.25019973,32,,,0,,False,0,train,1
34,0.0,76.78766,77.03786,4.0,90.0,null,gabors,0.8,null,-10.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-20.0,0.25019973,33,,,0,,False,0,train,2
35,0.0,77.03786,77.28806,4.0,90.0,null,gabors,0.8,null,-30.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",10.0,0.25019973,34,,,0,,False,0,train,2
36,0.0,77.28806,77.538259,4.0,90.0,null,gabors,0.8,null,30.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",30.0,0.25019973,35,,,0,,False,0,train,2
37,0.0,77.538259,77.788475,4.0,45.0,null,gabors,0.8,null,10.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",30.0,0.25021527,36,,,0,,False,0,train,1
38,0.0,77.788475,78.03869,4.0,0.0,null,gabors,0.8,null,-40.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-10.0,0.25021527,37,,,0,,False,0,train,0
39,0.0,78.03869,78.288905,4.0,0.0,null,gabors,0.8,null,40.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-10.0,0.25021527,38,,,0,,False,0,train,0
40,0.0,78.288905,78.539121,4.0,0.0,null,gabors,0.8,null,-10.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",40.0,0.25021527,39,,,0,,False,0,train,0
41,0.0,78.539121,78.78932,4.0,0.0,null,gabors,0.8,null,20.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-20.0,0.25019973,40,,,0,,False,0,train,0
42,0.0,78.78932,79.03952,4.0,0.0,null,gabors,0.8,null,30.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",40.0,0.25019973,41,,,0,,False,0,train,0
43,0.0,79.03952,79.28972,4.0,90.0,null,gabors,0.8,null,-10.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-30.0,0.25019973,42,,,0,,False,0,train,2
44,0.0,79.28972,79.539919,4.0,0.0,null,gabors,0.8,null,-20.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",0.0,0.25019973,43,,,0,,False,0,train,0
45,0.0,79.539919,79.790132,4.0,90.0,null,gabors,0.8,null,40.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-10.0,0.25021277,29,,,0,,False,1,train,2
46,0.0,79.790132,80.040345,4.0,90.0,null,gabors,0.8,null,-10.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-20.0,0.25021277,33,,,0,,False,1,train,2
47,0.0,80.040345,80.290558,4.0,0.0,null,gabors,0.8,null,-30.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",20.0,0.25021277,24,,,0,,False,1,train,0
48,0.0,80.290558,80.540771,4.0,90.0,null,gabors,0.8,null,-20.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-30.0,0.25021277,1,,,0,,False,1,train,2
49,0.0,80.540771,80.790978,4.0,90.0,null,gabors,0.8,null,-20.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-20.0,0.25020723,17,,,0,,False,1,train,2
50,0.0,80.790978,81.041185,4.0,0.0,null,gabors,0.8,null,-40.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-20.0,0.25020723,44,,,0,,False,0,train,0
51,0.0,81.041185,81.291392,4.0,90.0,null,gabors,0.8,null,20.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",40.0,0.25020723,45,,,0,,False,0,train,2
52,0.0,81.291392,81.541599,4.0,90.0,null,gabors,0.8,null,-10.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-10.0,0.25020723,46,,,0,,False,0,train,2
53,0.0,81.541599,81.79181,4.0,45.0,null,gabors,0.8,null,-20.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-10.0,0.25021027,47,,,0,,False,0,train,1
54,0.0,81.79181,82.04202,4.0,45.0,null,gabors,0.8,null,20.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",40.0,0.25021027,48,,,0,,False,0,train,1
55,0.0,82.04202,82.29223,4.0,90.0,null,gabors,0.8,null,-20.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",40.0,0.25021027,49,,,0,,False,0,train,2
56,0.0,82.29223,82.542441,4.0,0.0,null,gabors,0.8,null,-10.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-30.0,0.25021027,50,,,0,,False,0,train,0
57,0.0,82.542441,82.79265,4.0,0.0,null,gabors,0.8,null,-20.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-20.0,0.25020973,25,,,0,,False,1,train,0
58,0.0,82.79265,83.04286,4.0,0.0,null,gabors,0.8,null,-10.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-40.0,0.25020973,51,,,0,,False,0,train,0
59,0.0,83.04286,83.29307,4.0,90.0,null,gabors,0.8,null,40.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",10.0,0.25020973,52,,,0,,False,0,train,2
60,0.0,83.29307,83.543279,4.0,90.0,null,gabors,0.8,null,20.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",20.0,0.25020973,11,,,0,,False,1,train,2
61,0.0,83.543279,83.793487,4.0,90.0,null,gabors,0.8,null,20.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",40.0,0.25020777,45,,,0,,False,1,train,2
62,0.0,83.793487,84.043695,4.0,45.0,null,gabors,0.8,null,30.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-40.0,0.25020777,53,,,0,,False,0,train,1
63,0.0,84.043695,84.293903,4.0,0.0,null,gabors,0.8,null,0.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",30.0,0.25020777,54,,,0,,False,0,train,0
64,0.0,84.293903,84.544111,4.0,45.0,null,gabors,0.8,null,10.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-40.0,0.25020777,55,,,0,,False,0,train,1
65,0.0,84.544111,84.794318,4.0,45.0,null,gabors,0.8,null,-30.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-20.0,0.25020723,22,,,0,,False,1,train,1
66,0.0,84.794318,85.044525,4.0,45.0,null,gabors,0.8,null,-40.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",20.0,0.25020723,56,,,0,,False,0,train,1
67,0.0,85.044525,85.294732,4.0,45.0,null,gabors,0.8,null,-10.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-20.0,0.25020723,57,,,0,,False,0,train,1
68,0.0,85.294732,85.544939,4.0,0.0,null,gabors,0.8,null,-40.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-20.0,0.25020723,44,,,0,,False,1,train,0
69,0.0,85.544939,85.795152,4.0,45.0,null,gabors,0.8,null,-30.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-40.0,0.25021277,58,,,0,,False,0,train,1
70,0.0,85.795152,86.045365,4.0,45.0,null,gabors,0.8,null,40.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-40.0,0.25021277,59,,,0,,False,0,train,1
71,0.0,86.045365,86.295578,4.0,0.0,null,gabors,0.8,null,10.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",0.0,0.25021277,60,,,0,,False,0,train,0
72,0.0,86.295578,86.545791,4.0,0.0,null,gabors,0.8,null,-40.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-40.0,0.25021277,61,,,0,,False,0,train,0
73,0.0,86.545791,86.795993,4.0,90.0,null,gabors,0.8,null,-40.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-30.0,0.25020223,2,,,0,,False,1,train,2
74,0.0,86.795993,87.046195,4.0,90.0,null,gabors,0.8,null,0.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",0.0,0.25020223,62,,,0,,False,0,train,2
75,0.0,87.046195,87.296397,4.0,45.0,null,gabors,0.8,null,30.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",10.0,0.25020223,63,,,0,,False,0,train,1
76,0.0,87.296397,87.546599,4.0,45.0,null,gabors,0.8,null,-40.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",0.0,0.25020223,64,,,0,,False,0,train,1
77,0.0,87.546599,87.796812,4.0,0.0,null,gabors,0.8,null,10.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",0.0,0.25021277,60,,,0,,False,1,train,0
78,0.0,87.796812,88.047025,4.0,90.0,null,gabors,0.8,null,-30.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",30.0,0.25021277,65,,,0,,False,0,train,2
79,0.0,88.047025,88.297238,4.0,0.0,null,gabors,0.8,null,20.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",0.0,0.25021277,66,,,0,,False,0,train,0
80,0.0,88.297238,88.547451,4.0,90.0,null,gabors,0.8,null,20.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",10.0,0.25021277,26,,,0,,False,1,train,2
81,0.0,88.547451,88.79766,4.0,90.0,null,gabors,0.8,null,-40.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-30.0,0.25020973,2,,,0,,False,2,test,2
82,0.0,88.79766,89.04787,4.0,90.0,null,gabors,0.8,null,-30.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-20.0,0.25020973,67,,,0,,False,0,train,2
83,0.0,89.04787,89.29808,4.0,90.0,null,gabors,0.8,null,40.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",10.0,0.25020973,52,,,0,,False,1,train,2
84,0.0,89.29808,89.548289,4.0,0.0,null,gabors,0.8,null,40.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",30.0,0.25020973,68,,,0,,False,0,train,0
85,0.0,89.548289,89.798497,4.0,45.0,null,gabors,0.8,null,30.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-30.0,0.25020777,69,,,0,,False,0,train,1
86,0.0,89.798497,90.048705,4.0,0.0,null,gabors,0.8,null,-40.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-40.0,0.25020777,61,,,0,,False,1,train,0
87,0.0,90.048705,90.298913,4.0,0.0,null,gabors,0.8,null,20.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",20.0,0.25020777,70,,,0,,False,0,train,0
88,0.0,90.298913,90.549121,4.0,45.0,null,gabors,0.8,null,-20.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-20.0,0.25020777,71,,,0,,False,0,train,1
89,0.0,90.549121,90.79933,4.0,45.0,null,gabors,0.8,null,-10.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",20.0,0.25020973,72,,,0,,False,0,train,1
90,0.0,90.79933,91.04954,4.0,45.0,null,gabors,0.8,null,-10.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",40.0,0.25020973,73,,,0,,False,0,train,1
91,0.0,91.04954,91.29975,4.0,45.0,null,gabors,0.8,null,10.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",20.0,0.25020973,74,,,0,,False,0,train,1
92,0.0,91.29975,91.549959,4.0,0.0,null,gabors,0.8,null,-20.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-30.0,0.25020973,75,,,0,,False,0,train,0
93,0.0,91.549959,91.80017,4.0,90.0,null,gabors,0.8,null,-10.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",30.0,0.25021027,76,,,0,,False,0,train,2
94,0.0,91.80017,92.05038,4.0,45.0,null,gabors,0.8,null,-40.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",40.0,0.25021027,77,,,0,,False,0,train,1
95,0.0,92.05038,92.30059,4.0,0.0,null,gabors,0.8,null,20.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-30.0,0.25021027,78,,,0,,False,0,train,0
96,0.0,92.30059,92.550801,4.0,0.0,null,gabors,0.8,null,-30.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-30.0,0.25021027,79,,,0,,False,0,train,0
97,0.0,92.550801,92.801008,4.0,90.0,null,gabors,0.8,null,40.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",20.0,0.25020723,80,,,0,,False,0,train,2
98,0.0,92.801008,93.051215,4.0,45.0,null,gabors,0.8,null,40.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-10.0,0.25020723,81,,,0,,False,0,train,1
99,0.0,93.051215,93.301422,4.0,45.0,null,gabors,0.8,null,40.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-20.0,0.25020723,82,,,0,,False,0,train,1
100,0.0,93.301422,93.551629,4.0,0.0,null,gabors,0.8,null,-20.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",20.0,0.25020723,83,,,0,,False,0,train,0
101,0.0,93.551629,93.801847,4.0,45.0,null,gabors,0.8,null,20.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",30.0,0.25021777,3,,,0,,False,1,train,1
102,0.0,93.801847,94.052065,4.0,0.0,null,gabors,0.8,null,-10.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",0.0,0.25021777,84,,,0,,False,0,train,0
103,0.0,94.052065,94.302283,4.0,45.0,null,gabors,0.8,null,0.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",0.0,0.25021777,85,,,0,,False,0,train,1
104,0.0,94.302283,94.552501,4.0,0.0,null,gabors,0.8,null,40.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",10.0,0.25021777,86,,,0,,False,0,train,0
105,0.0,94.552501,94.802703,4.0,0.0,null,gabors,0.8,null,20.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",40.0,0.25020223,87,,,0,,False,0,train,0
106,0.0,94.802703,95.052905,4.0,45.0,null,gabors,0.8,null,30.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-30.0,0.25020223,69,,,0,,False,1,train,1
107,0.0,95.052905,95.303107,4.0,45.0,null,gabors,0.8,null,-40.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",0.0,0.25020223,64,,,0,,False,1,train,1
108,0.0,95.303107,95.553309,4.0,45.0,null,gabors,0.8,null,20.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",10.0,0.25020223,88,,,0,,False,0,train,1
109,0.0,95.553309,95.803515,4.0,45.0,null,gabors,0.8,null,10.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-20.0,0.25020527,89,,,0,,False,0,train,1
110,0.0,95.803515,96.05372,4.0,90.0,null,gabors,0.8,null,-40.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-30.0,0.25020527,2,,,0,,False,3,train,2
111,0.0,96.05372,96.303925,4.0,0.0,null,gabors,0.8,null,40.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",30.0,0.25020527,68,,,0,,False,1,train,0
112,0.0,96.303925,96.554131,4.0,90.0,null,gabors,0.8,null,-40.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-10.0,0.25020527,90,,,0,,False,0,train,2
113,0.0,96.554131,96.80434,4.0,90.0,null,gabors,0.8,null,-10.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-30.0,0.25020973,42,,,0,,False,1,train,2
114,0.0,96.80434,97.05455,4.0,45.0,null,gabors,0.8,null,-20.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-20.0,0.25020973,71,,,0,,False,1,train,1
115,0.0,97.05455,97.30476,4.0,0.0,null,gabors,0.8,null,10.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",0.0,0.25020973,60,,,0,,False,2,test,0
116,0.0,97.30476,97.554969,4.0,90.0,null,gabors,0.8,null,-10.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-30.0,0.25020973,42,,,0,,False,2,test,2
117,0.0,97.554969,97.805187,4.0,45.0,null,gabors,0.8,null,-20.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",10.0,0.25021777,12,,,0,,False,1,train,1
118,0.0,97.805187,98.055405,4.0,45.0,null,gabors,0.8,null,-40.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",0.0,0.25021777,64,,,0,,False,2,test,1
119,0.0,98.055405,98.305623,4.0,90.0,null,gabors,0.8,null,-20.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-40.0,0.25021777,23,,,0,,False,1,train,2
120,0.0,98.305623,98.555841,4.0,45.0,null,gabors,0.8,null,10.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-20.0,0.25021777,89,,,0,,False,1,train,1
121,0.0,98.555841,98.80604,4.0,0.0,null,gabors,0.8,null,0.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",30.0,0.25019973,54,,,0,,False,1,train,0
122,0.0,98.80604,99.05624,4.0,0.0,null,gabors,0.8,null,10.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",0.0,0.25019973,60,,,0,,False,3,train,0
123,0.0,99.05624,99.30644,4.0,90.0,null,gabors,0.8,null,0.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",0.0,0.25019973,62,,,0,,False,1,train,2
124,0.0,99.30644,99.556639,4.0,45.0,null,gabors,0.8,null,-40.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-40.0,0.25019973,18,,,0,,False,1,train,1
125,0.0,99.556639,99.806857,4.0,45.0,null,gabors,0.8,null,-20.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",20.0,0.25021777,91,,,0,,False,0,train,1
126,0.0,99.806857,100.05707,4.0,0.0,null,gabors,0.8,null,20.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-20.0,0.25021777,40,,,0,,False,1,train,0
127,0.0,100.05707,100.30729,4.0,90.0,null,gabors,0.8,null,10.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",0.0,0.25021777,92,,,0,,False,0,train,2
128,0.0,100.30729,100.55751,4.0,0.0,null,gabors,0.8,null,40.0,"[20.0, 20.0]",null,0.08,null,null,"[3644.93333333, 3644.93333333]",-40.0,0.25021777,93,,,0,,False,0,train,0
