ecephys_session_id,target_subset,mode,shift_azimuth_deg,shift_elevation_deg,minimum_loss,basin_grid_points_delta_005,at_bound,split_half_vector_difference_deg
757970808,half_0,combined,8.0,16.0,0.29935454762579394,609,False,18.867962264113206
757970808,half_1,size,-8.0,12.0,0.39992441041485677,959,False,41.7612260356422
757970808,half_1,dispersion,-2.0,0.0,0.45379635189861806,161,False,18.867962264113206
757970808,half_1,combined,-2.0,0.0,0.43200352477225745,315,False,18.867962264113206
758798717,full,size,-20.0,24.0,0.29828253204954486,961,False,40.0
758798717,full,dispersion,-10.0,-10.0,0.2447662557528798,196,False,26.0
758798717,full,combined,-10.0,-8.0,0.2783036826269463,396,False,28.635642126552707
758798717,half_0,size,-16.0,30.0,0.3000946375455596,949,True,40.0
758798717,half_0,dispersion,-18.0,-10.0,0.29456000137453103,145,False,26.0
758798717,half_0,combined,-18.0,2.0,0.30328011393455484,304,False,28.635642126552707
758798717,half_1,size,24.0,30.0,0.2892393620921219,961,True,40.0
758798717,half_1,dispersion,8.0,-10.0,0.40260453801674484,238,False,26.0
758798717,half_1,combined,8.0,-10.0,0.35208790701799675,436,False,28.635642126552707
759883607,full,size,-26.0,-16.0,0.3972310127954298,957,False,30.59411708155671
759883607,full,dispersion,20.0,-30.0,0.9107373994812066,130,True,58.54912467321779
759883607,full,combined,18.0,-30.0,0.6746695700302219,417,True,38.8329756778952
759883607,half_0,size,-30.0,18.0,0.4410167322051837,880,True,30.59411708155671
759883607,half_0,dispersion,22.0,-30.0,0.8070497054399741,87,True,58.54912467321779
759883607,half_0,combined,22.0,-10.0,0.648772406114829,419,False,38.8329756778952
759883607,half_1,size,-24.0,-12.0,0.34628265892862176,957,False,30.59411708155671
759883607,half_1,dispersion,30.0,28.0,1.1117952002986853,215,True,58.54912467321779
759883607,half_1,combined,30.0,28.0,0.7441841018495075,411,True,38.8329756778952
760345702,full,size,-26.0,-26.0,0.38406497260840883,961,False,61.773780845922005
760345702,full,dispersion,8.0,2.0,0.38444454508023984,216,False,10.0
760345702,full,combined,10.0,6.0,0.38719095852049723,381,False,10.0
760345702,half_0,size,-26.0,-26.0,0.34309512390393837,961,False,61.773780845922005
760345702,half_0,dispersion,0.0,0.0,0.8323850886956865,205,False,10.0
760345702,half_0,combined,0.0,0.0,0.592898659073751,354,False,10.0
760345702,half_1,size,28.0,4.0,0.41973544085883363,961,False,61.773780845922005
760345702,half_1,dispersion,6.0,8.0,0.20478833108600555,324,False,10.0
760345702,half_1,combined,6.0,8.0,0.3161261590591904,531,False,10.0
760693773,full,size,24.0,26.0,0.32036272186182996,961,False,50.11985634456667
760693773,full,dispersion,-14.0,30.0,0.15482413082441704,68,True,20.0
760693773,full,combined,-14.0,30.0,0.2446175806732797,205,True,20.0
760693773,half_0,size,-8.0,20.0,0.32944891962590866,961,False,50.11985634456667
760693773,half_0,dispersion,-20.0,30.0,0.2134859837530986,46,True,20.0
760693773,half_0,combined,-20.0,30.0,0.28267221247203045,162,True,20.0
760693773,half_1,size,16.0,-24.0,0.30423153517233265,961,False,50.11985634456667
760693773,half_1,dispersion,0.0,30.0,0.17068271071198537,53,True,20.0
760693773,half_1,combined,0.0,30.0,0.25050017813538566,332,True,20.0
761418226,full,size,-14.0,24.0,0.398452285434995,838,False,24.331050121192877
761418226,full,dispersion,14.0,26.0,0.6793691520765487,322,False,41.036569057366385
761418226,full,combined,10.0,26.0,0.5477504480160698,463,False,26.832815729997478
761418226,half_0,size,-30.0,16.0,0.3286421987980348,759,True,24.331050121192877
761418226,half_0,dispersion,30.0,0.0,0.8588475130831272,211,True,41.036569057366385
761418226,half_0,combined,26.0,14.0,0.6137451914761647,314,False,26.832815729997478
761418226,half_1,size,-6.0,20.0,0.45069650194111216,746,False,24.331050121192877
761418226,half_1,dispersion,0.0,28.0,0.6427256459325112,203,False,41.036569057366385
761418226,half_1,combined,2.0,26.0,0.548953224604984,265,False,26.832815729997478
762120172,full,size,-18.0,-30.0,0.3622445545692215,871,True,30.0
762120172,full,dispersion,-30.0,-30.0,0.36631440272137533,147,True,40.24922359499622
762120172,full,combined,-30.0,-30.0,0.37131201465535574,302,True,37.20215047547655
762120172,half_0,size,0.0,-28.0,0.3204046847075452,701,False,30.0
762120172,half_0,dispersion,-12.0,6.0,0.47741210475379275,327,False,40.24922359499622
762120172,half_0,combined,-8.0,0.0,0.41397375622430954,553,False,37.20215047547655
762120172,half_1,size,-30.0,-28.0,0.39880935105266563,961,True,30.0
762120172,half_1,dispersion,-30.0,-30.0,0.2746033993280285,145,True,40.24922359499622
762120172,half_1,combined,-30.0,-30.0,0.3368260604054052,210,True,37.20215047547655
762602078,full,size,6.0,-30.0,0.5467768784146847,446,True,24.0
762602078,full,dispersion,18.0,26.0,0.2595477427356656,65,False,18.973665961010276
762602078,full,combined,18.0,22.0,0.4471073083087713,160,False,18.110770276274835
762602078,half_0,size,30.0,-30.0,0.5161038716668366,448,True,24.0
762602078,half_0,dispersion,10.0,26.0,0.36872397498382264,41,False,18.973665961010276
762602078,half_0,combined,10.0,18.0,0.5098198433602787,193,False,18.110770276274835
762602078,half_1,size,6.0,-30.0,0.5754339930319571,444,True,24.0
762602078,half_1,dispersion,28.0,20.0,0.2674563309146939,56,False,18.973665961010276
762602078,half_1,combined,28.0,20.0,0.4451964218950454,104,False,18.110770276274835
763673393,full,size,-28.0,-16.0,0.3538596352753244,961,False,40.049968789001575
763673393,full,dispersion,-10.0,16.0,0.3750468347714189,144,False,41.182520563948
763673393,full,combined,-10.0,16.0,0.3697231518641065,305,False,44.721359549995796
763673393,half_0,size,-28.0,-16.0,0.3322308863915414,961,False,40.049968789001575
763673393,half_0,dispersion,-28.0,-30.0,0.4357622128280677,114,True,41.182520563948
763673393,half_0,combined,-28.0,-30.0,0.38973664243212475,300,True,44.721359549995796
763673393,half_1,size,-30.0,24.0,0.36323052123461663,921,True,40.049968789001575
763673393,half_1,dispersion,-8.0,6.0,0.21433293625608732,155,False,41.182520563948
763673393,half_1,combined,-8.0,10.0,0.29991395252348946,289,False,44.721359549995796
766640955,full,size,-16.0,-26.0,0.4335953938415869,961,False,20.591260281974
766640955,full,dispersion,-14.0,16.0,0.6660840978876813,143,False,18.867962264113206
766640955,full,combined,-14.0,16.0,0.5584754407890106,298,False,21.633307652783937
766640955,half_0,size,-26.0,-20.0,0.43638664142062555,961,False,20.591260281974
766640955,half_0,dispersion,-6.0,8.0,0.7461891211463508,203,False,18.867962264113206
766640955,half_0,combined,-4.0,6.0,0.6091627255357134,447,False,21.633307652783937
766640955,half_1,size,-8.0,-30.0,0.4109111840851162,941,True,20.591260281974
766640955,half_1,dispersion,-16.0,24.0,0.5831096019812242,98,False,18.867962264113206
766640955,half_1,combined,-16.0,24.0,0.5076940503358076,210,False,21.633307652783937
767871931,full,size,-28.0,-30.0,0.3559210852166389,961,True,20.0
767871931,full,dispersion,-12.0,-6.0,0.20743569512210297,202,False,4.47213595499958
767871931,full,combined,-12.0,-6.0,0.285531018111233,395,False,4.0
767871931,half_0,size,-30.0,-28.0,0.39690325179693886,961,True,20.0
767871931,half_0,dispersion,-8.0,-8.0,0.3557264144103288,246,False,4.47213595499958
767871931,half_0,combined,-8.0,-8.0,0.38000743765694894,431,False,4.0
767871931,half_1,size,-30.0,-8.0,0.31062825586827175,961,True,20.0
767871931,half_1,dispersion,-12.0,-10.0,0.2842788997428535,226,False,4.47213595499958
767871931,half_1,combined,-12.0,-8.0,0.30393916681239175,479,False,4.0
768515987,full,size,-16.0,16.0,0.483365245259395,908,False,60.166435825965294
768515987,full,dispersion,-22.0,24.0,0.10967924881186401,275,False,7.211102550927978
768515987,full,combined,-16.0,30.0,0.30220537319484064,614,True,10.0
768515987,half_0,size,28.0,8.0,0.4458347532458242,843,False,60.166435825965294
