ecephys_session_id,group,preference,model,weighted_correlation,weighted_rmse_octaves,shared_grid_points,coverage_fraction
760345702,HVA pooled,tf,v1_rf_center_translation,0.355642,0.50513,1099,1
760693773,V1,sf,v1_rf_center_translation,0.103954,0.182678,663,0.967883
760693773,V1,tf,v1_rf_center_translation,0.895332,0.142915,654,0.976119
760693773,HVA pooled,sf,v1_rf_center_translation,0.260212,0.161816,1160,1
760693773,HVA pooled,tf,v1_rf_center_translation,-0.0159288,0.322721,1319,1
761418226,V1,sf,v1_rf_center_translation,0.257012,0.183087,344,1
761418226,V1,tf,v1_rf_center_translation,-0.708901,0.169866,361,1
761418226,HVA pooled,sf,v1_rf_center_translation,0.196882,0.168684,801,1
761418226,HVA pooled,tf,v1_rf_center_translation,0.731782,0.437208,806,1
762120172,V1,sf,v1_rf_center_translation,0.248594,0.103506,574,0.991364
762120172,V1,tf,v1_rf_center_translation,0.29322,0.150868,564,0.996466
762120172,HVA pooled,sf,v1_rf_center_translation,0.0225006,0.394789,753,1
762120172,HVA pooled,tf,v1_rf_center_translation,0.658902,0.410439,844,1
762602078,V1,sf,v1_rf_center_translation,0.122889,0.456004,564,0.99823
762602078,V1,tf,v1_rf_center_translation,0.360868,0.120293,575,0.989673
762602078,HVA pooled,sf,v1_rf_center_translation,0.0724475,0.280762,401,1
762602078,HVA pooled,tf,v1_rf_center_translation,0.583286,0.0909102,357,1
763673393,V1,sf,v1_rf_center_translation,-0.587415,0.187937,476,1
763673393,V1,tf,v1_rf_center_translation,-0.969148,0.216849,494,1
763673393,HVA pooled,sf,v1_rf_center_translation,-0.0345538,0.215594,647,1
763673393,HVA pooled,tf,v1_rf_center_translation,0.763231,0.261537,705,1
773418906,V1,sf,v1_rf_center_translation,0.127508,0.608994,420,1
773418906,V1,tf,v1_rf_center_translation,-0.969843,0.159373,409,1
773418906,HVA pooled,sf,v1_rf_center_translation,0.282698,0.220292,893,1
773418906,HVA pooled,tf,v1_rf_center_translation,-0.163735,0.386861,1047,1
791319847,V1,sf,v1_rf_center_translation,0.463077,0.355647,536,0.990758
791319847,V1,tf,v1_rf_center_translation,0.54479,0.117168,552,0.989247
791319847,HVA pooled,sf,v1_rf_center_translation,-0.0424912,0.299408,1171,1
791319847,HVA pooled,tf,v1_rf_center_translation,0.758266,0.466104,1163,1
797828357,V1,sf,v1_rf_center_translation,0.328681,0.0755622,458,1
797828357,V1,tf,v1_rf_center_translation,-0.860886,0.300331,515,0.998062
797828357,HVA pooled,sf,v1_rf_center_translation,-0.194771,0.31572,425,1
797828357,HVA pooled,tf,v1_rf_center_translation,-0.620986,0.417882,726,1
798911424,V1,sf,v1_rf_center_translation,0.258242,0.125783,519,1
798911424,V1,tf,v1_rf_center_translation,0.879632,0.185438,544,1
798911424,HVA pooled,sf,v1_rf_center_translation,0.536473,0.281283,1360,1
798911424,HVA pooled,tf,v1_rf_center_translation,0.310794,0.273781,1402,1
799864342,V1,sf,v1_rf_center_translation,-0.0553439,0.355849,491,1
799864342,V1,tf,v1_rf_center_translation,0.586202,0.1388,502,0.998012
799864342,HVA pooled,sf,v1_rf_center_translation,0.0462017,0.255698,972,1
799864342,HVA pooled,tf,v1_rf_center_translation,0.646109,0.51306,1083,1
715093703,V1,sf,tuning_fitted_affine,-0.471053,0.292452,409,0.955607
715093703,V1,tf,tuning_fitted_affine,0.607219,0.16336,419,0.95881
715093703,HVA pooled,sf,tuning_fitted_affine,0.233124,0.19665,1018,1
715093703,HVA pooled,tf,tuning_fitted_affine,0.596436,0.358583,1055,1
719161530,V1,sf,tuning_fitted_affine,0.789507,0.242316,245,1
719161530,V1,tf,tuning_fitted_affine,0.537244,0.20517,265,1
719161530,HVA pooled,sf,tuning_fitted_affine,0.21714,0.295079,510,1
719161530,HVA pooled,tf,tuning_fitted_affine,0.661513,0.449285,601,1
721123822,V1,sf,tuning_fitted_affine,-0.819548,0.184652,228,1
721123822,V1,tf,tuning_fitted_affine,0.220609,0.104704,292,1
721123822,HVA pooled,sf,tuning_fitted_affine,0.735895,0.158653,946,1
721123822,HVA pooled,tf,tuning_fitted_affine,0.740087,0.387865,961,1
732592105,V1,sf,tuning_fitted_affine,0.383172,0.092551,462,1
732592105,V1,tf,tuning_fitted_affine,0.302986,0.0904319,490,1
732592105,HVA pooled,sf,tuning_fitted_affine,0.359992,0.271919,1002,1
732592105,HVA pooled,tf,tuning_fitted_affine,0.0532195,0.425823,1121,1
737581020,V1,sf,tuning_fitted_affine,-0.673139,0.331473,300,1
737581020,V1,tf,tuning_fitted_affine,0.901507,0.170819,310,1
737581020,HVA pooled,sf,tuning_fitted_affine,-0.451902,0.272948,281,1
737581020,HVA pooled,tf,tuning_fitted_affine,0.349507,0.244859,303,1
739448407,V1,sf,tuning_fitted_affine,-0.736564,0.475603,245,0.98
739448407,V1,tf,tuning_fitted_affine,0.226634,0.350807,249,0.98419
739448407,HVA pooled,sf,tuning_fitted_affine,0.290046,0.326558,733,1
739448407,HVA pooled,tf,tuning_fitted_affine,0.815215,0.209628,693,1
742951821,V1,sf,tuning_fitted_affine,0.849788,0.121037,319,1
742951821,V1,tf,tuning_fitted_affine,0.787792,0.101747,346,1
742951821,HVA pooled,sf,tuning_fitted_affine,0.509026,0.399677,900,1
742951821,HVA pooled,tf,tuning_fitted_affine,0.387325,0.350717,993,1
744228101,V1,sf,tuning_fitted_affine,-0.803551,0.263855,305,1
744228101,V1,tf,tuning_fitted_affine,0.382709,0.569332,377,1
744228101,HVA pooled,sf,tuning_fitted_affine,0.659691,0.23772,466,1
744228101,HVA pooled,tf,tuning_fitted_affine,0.589661,0.387055,668,1
746083955,V1,sf,tuning_fitted_affine,0.0546333,0.296517,239,1
746083955,V1,tf,tuning_fitted_affine,0.211465,0.154907,257,1
746083955,HVA pooled,sf,tuning_fitted_affine,0.526619,0.130075,675,1
746083955,HVA pooled,tf,tuning_fitted_affine,0.0892286,0.260891,761,1
750332458,V1,sf,tuning_fitted_affine,0.564239,0.116343,351,1
750332458,V1,tf,tuning_fitted_affine,0.544242,0.120271,363,1
750332458,HVA pooled,sf,tuning_fitted_affine,0.28916,0.208179,543,1
750332458,HVA pooled,tf,tuning_fitted_affine,0.256713,0.595443,568,1
750749662,V1,sf,tuning_fitted_affine,-0.484292,0.773675,338,1
750749662,V1,tf,tuning_fitted_affine,0.949753,0.220757,378,1
750749662,HVA pooled,sf,tuning_fitted_affine,0.48261,0.125542,815,1
750749662,HVA pooled,tf,tuning_fitted_affine,0.428325,0.606091,896,1
751348571,V1,sf,tuning_fitted_affine,-0.427897,0.727117,368,1
751348571,V1,tf,tuning_fitted_affine,0.713259,0.338601,422,1
751348571,HVA pooled,sf,tuning_fitted_affine,0.261774,0.262243,844,1
751348571,HVA pooled,tf,tuning_fitted_affine,0.247965,0.484796,944,1
754312389,V1,sf,tuning_fitted_affine,0.741161,0.420251,444,0.995516
754312389,V1,tf,tuning_fitted_affine,0.7831,0.160444,468,0.993631
754312389,HVA pooled,sf,tuning_fitted_affine,0.669768,0.14997,540,1
754312389,HVA pooled,tf,tuning_fitted_affine,0.867675,0.244341,769,1
754829445,V1,sf,tuning_fitted_affine,-0.736437,0.412295,651,0.942113
754829445,V1,tf,tuning_fitted_affine,0.346976,0.314848,680,0.947075
754829445,HVA pooled,sf,tuning_fitted_affine,0.747735,1.02155,71,1
754829445,HVA pooled,tf,tuning_fitted_affine,0.775795,0.20635,182,1
