stimulus_presentation_id,stimulus_block,start_time,stop_time,frame,temporal_frequency,phase,color,y_position,orientation,stimulus_name,x_position,size,spatial_frequency,contrast,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
435,0.0,193.39296,193.64316,null,4.0,"[3644.93333333, 3644.93333333]",null,0.0,45.0,gabors,-40.0,"[20.0, 20.0]",0.08,0.8,0.25019698,191,,,0,,False,1,train,1
436,0.0,193.64316,193.89335,null,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,45.0,gabors,-20.0,"[20.0, 20.0]",0.08,0.8,0.25019698,60,,,0,,False,1,train,1
437,0.0,193.89335,194.14358,null,4.0,"[3644.93333333, 3644.93333333]",null,40.0,0.0,gabors,40.0,"[20.0, 20.0]",0.08,0.8,0.25022302,202,,,0,,False,2,test,0
438,0.0,194.14358,194.3938,null,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.0,gabors,40.0,"[20.0, 20.0]",0.08,0.8,0.25022302,126,,,0,,False,2,test,0
439,0.0,194.3938,194.64402,null,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.0,gabors,10.0,"[20.0, 20.0]",0.08,0.8,0.25022302,211,,,0,,False,0,train,0
440,0.0,194.64402,194.89425,null,4.0,"[3644.93333333, 3644.93333333]",null,0.0,90.0,gabors,40.0,"[20.0, 20.0]",0.08,0.8,0.25022302,49,,,0,,False,3,train,2
441,0.0,194.89425,195.14444,null,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.0,gabors,30.0,"[20.0, 20.0]",0.08,0.8,0.25019198,212,,,0,,False,0,train,0
442,0.0,195.14444,195.39463,null,4.0,"[3644.93333333, 3644.93333333]",null,20.0,0.0,gabors,-40.0,"[20.0, 20.0]",0.08,0.8,0.25019198,121,,,0,,False,1,train,0
443,0.0,195.39463,195.64482,null,4.0,"[3644.93333333, 3644.93333333]",null,0.0,45.0,gabors,20.0,"[20.0, 20.0]",0.08,0.8,0.25019198,44,,,0,,False,3,train,1
444,0.0,195.64482,195.89501,null,4.0,"[3644.93333333, 3644.93333333]",null,-40.0,90.0,gabors,20.0,"[20.0, 20.0]",0.08,0.8,0.25019198,98,,,0,,False,2,test,2
445,0.0,195.89501,196.14524,null,4.0,"[3644.93333333, 3644.93333333]",null,30.0,0.0,gabors,-10.0,"[20.0, 20.0]",0.08,0.8,0.25022802,145,,,0,,False,3,train,0
446,0.0,196.14524,196.39547,null,4.0,"[3644.93333333, 3644.93333333]",null,40.0,90.0,gabors,-10.0,"[20.0, 20.0]",0.08,0.8,0.25022802,107,,,0,,False,3,train,2
447,0.0,196.39547,196.6457,null,4.0,"[3644.93333333, 3644.93333333]",null,10.0,90.0,gabors,0.0,"[20.0, 20.0]",0.08,0.8,0.25022802,213,,,0,,False,0,train,2
448,0.0,196.6457,196.89593,null,4.0,"[3644.93333333, 3644.93333333]",null,-40.0,0.0,gabors,40.0,"[20.0, 20.0]",0.08,0.8,0.25022802,173,,,0,,False,2,test,0
449,0.0,196.89593,197.14612,null,4.0,"[3644.93333333, 3644.93333333]",null,0.0,0.0,gabors,40.0,"[20.0, 20.0]",0.08,0.8,0.25019448,95,,,0,,False,2,test,0
450,0.0,197.14612,197.39631,null,4.0,"[3644.93333333, 3644.93333333]",null,30.0,0.0,gabors,-20.0,"[20.0, 20.0]",0.08,0.8,0.25019448,214,,,0,,False,0,train,0
451,0.0,197.39631,197.64651,null,4.0,"[3644.93333333, 3644.93333333]",null,30.0,0.0,gabors,-40.0,"[20.0, 20.0]",0.08,0.8,0.25019448,194,,,0,,False,3,train,0
452,0.0,197.64651,197.8967,null,4.0,"[3644.93333333, 3644.93333333]",null,-40.0,0.0,gabors,40.0,"[20.0, 20.0]",0.08,0.8,0.25019448,173,,,0,,False,3,train,0
453,0.0,197.8967,198.14691,null,4.0,"[3644.93333333, 3644.93333333]",null,20.0,0.0,gabors,-10.0,"[20.0, 20.0]",0.08,0.8,0.25021052,215,,,0,,False,0,train,0
454,0.0,198.14691,198.39712,null,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,90.0,gabors,-40.0,"[20.0, 20.0]",0.08,0.8,0.25021052,190,,,0,,False,2,test,2
455,0.0,198.39712,198.64733,null,4.0,"[3644.93333333, 3644.93333333]",null,0.0,45.0,gabors,-20.0,"[20.0, 20.0]",0.08,0.8,0.25021052,156,,,0,,False,2,test,1
456,0.0,198.64733,198.89755,null,4.0,"[3644.93333333, 3644.93333333]",null,0.0,90.0,gabors,-30.0,"[20.0, 20.0]",0.08,0.8,0.25021052,216,,,0,,False,0,train,2
457,0.0,198.89755,199.14775,null,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,0.0,gabors,40.0,"[20.0, 20.0]",0.08,0.8,0.25020198,154,,,0,,False,2,test,0
458,0.0,199.14775,199.39795,null,4.0,"[3644.93333333, 3644.93333333]",null,0.0,90.0,gabors,-40.0,"[20.0, 20.0]",0.08,0.8,0.25020198,129,,,0,,False,3,train,2
459,0.0,199.39795,199.64815,null,4.0,"[3644.93333333, 3644.93333333]",null,40.0,45.0,gabors,30.0,"[20.0, 20.0]",0.08,0.8,0.25020198,144,,,0,,False,4,train,1
460,0.0,199.64815,199.89835,null,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.0,gabors,-20.0,"[20.0, 20.0]",0.08,0.8,0.25020198,109,,,0,,False,2,test,0
461,0.0,199.89835,200.14857,null,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,0.0,gabors,40.0,"[20.0, 20.0]",0.08,0.8,0.25022052,154,,,0,,False,3,train,0
462,0.0,200.14857,200.39879,null,4.0,"[3644.93333333, 3644.93333333]",null,40.0,90.0,gabors,-40.0,"[20.0, 20.0]",0.08,0.8,0.25022052,199,,,0,,False,1,train,2
463,0.0,200.39879,200.64901,null,4.0,"[3644.93333333, 3644.93333333]",null,40.0,45.0,gabors,-20.0,"[20.0, 20.0]",0.08,0.8,0.25022052,108,,,0,,False,1,train,1
464,0.0,200.64901,200.89924,null,4.0,"[3644.93333333, 3644.93333333]",null,40.0,0.0,gabors,40.0,"[20.0, 20.0]",0.08,0.8,0.25022052,202,,,0,,False,3,train,0
