iteration,ecephys_session_id,objective,translation_azimuth_deg,translation_elevation_deg,rotation_deg,log_scale_azimuth,log_scale_elevation,shear,determinant,minimum_singular_value,maximum_singular_value
1,758798717,0.576413,-3.19476,1.83278,-0.102459,0.126822,-0.115465,-0.0784071,1.0051,0.915527,1.09783
1,759883607,0.663486,14.6167,-15,6.19955,0.0693181,0.139762,0.1135,0.797777,0.854912,0.933169
1,760345702,0.521633,10.0193,-14.9399,11.0446,-0.0749708,0.0218391,0.0800908,0.789557,0.836569,0.943803
1,760693773,0.427182,10.2438,7.28784,10.8366,-0.10809,0.065687,-0.0582596,1.11158,1.01578,1.09431
1,761418226,0.659249,-14.0738,-4.16622,9.59518,0.0755364,0.0489102,-0.0677229,0.999712,0.861092,1.16098
1,762120172,0.360245,7.70554,-14.8264,8.56532,-0.0573024,0.126318,-0.0148684,1.02693,0.890303,1.15347
1,762602078,0.360333,14.8992,-11.0721,1.77214,0.0418842,0.122235,-0.0794245,0.95714,0.85417,1.12055
1,763673393,0.786976,-14.6827,14.6357,-2.78481,0.0326919,-0.0463483,0.0597711,1.00438,0.87524,1.14755
1,773418906,0.78563,15,-15,-12,-0.162519,0.00750734,0.0120971,0.960206,0.913211,1.05146
1,791319847,0.32238,-10.8364,-0.254438,-3.70799,-0.160908,-0.154387,0.042159,0.892496,0.913691,0.976803
1,797828357,0.764204,2.36239,0.155066,11.9155,0.0439617,0.063733,-0.103377,0.855944,0.831637,1.02923
1,798911424,0.305772,-4.23971,-9.14595,-11.6961,0.0576207,-0.00654865,0.0433459,1.00376,0.957646,1.04815
1,799864342,0.374972,14.5865,-0.0724875,-10.6973,-0.00269956,-0.101215,-0.0334954,0.954448,0.850173,1.12265
2,715093703,0.560202,-14.8167,14.52,-2.81557,-0.156984,-0.0305466,0.111464,0.829004,0.833869,0.994165
2,719161530,0.626959,-4.31449,-14.7327,-3.61255,-0.0451023,0.103444,-0.0596916,1.06008,0.950718,1.11503
2,721123822,0.725057,8.55485,-13.7517,-11.8758,-0.161174,-0.158154,0.0476172,0.726637,0.82892,0.876607
2,732592105,0.590403,-8.22796,-2.83793,9.62495,-0.144375,-0.135459,-0.0767148,0.755909,0.831732,0.908837
2,737581020,0.816703,-3.12244,-14.9507,-1.36835,-0.0740325,-0.155161,0.0418092,0.795175,0.850918,0.934491
2,739448407,0.516432,2.29562,5.99364,-1.20369,-0.0143793,-0.158383,-0.109022,0.841338,0.83556,1.00692
2,742951821,0.377639,-12.8214,5.85084,2.30126,-0.159186,0.137187,-0.0248472,0.978241,0.852391,1.14764
2,744228101,0.661757,-12.4776,-14.9672,-11.7659,-0.111515,-0.129782,0.0884758,0.785609,0.842513,0.932458
2,746083955,0.757156,-12.1616,-14.8512,10.536,-0.161954,-0.0324152,-0.0820009,0.823354,0.838523,0.981909
2,750332458,0.519774,-14.5508,-10.1467,10.885,-0.149057,-0.121512,-0.0757154,0.762945,0.834647,0.914093
2,750749662,0.750637,-11.5169,-14.8918,-11.9455,0.108536,-0.0547099,0.0949884,1.0553,0.935349,1.12824
2,751348571,0.863028,-14.988,-9.55392,11.4687,0.139083,0.0199303,-0.0457663,1.17235,1.01644,1.1534
2,754312389,0.285481,1.64839,5.9457,6.82821,-0.157223,0.00215552,0.031014,0.856357,0.853032,1.0039
2,754829445,0.717832,10.2872,9.34541,-11.83,0.1148,0.0570845,-0.0385422,1.18754,1.05348,1.12725
2,755434585,0.522171,10.2537,14.8707,0.0359547,-0.0635643,-0.146009,-0.0940208,0.81093,0.842601,0.962413
2,756029989,0.434572,-6.92128,11.0788,-11.3931,-0.0831786,-0.148851,-0.0215251,0.792923,0.859845,0.922169
2,757216464,0.585918,-14.6486,-11.9641,7.4928,-0.161556,-0.161949,0.0566385,0.723608,0.822803,0.879442
2,757970808,0.613697,5.13589,-1.45448,10.9616,-0.149993,-0.153656,-0.098039,0.73812,0.811493,0.909582
2,758798717,0.436004,-2.69142,-12.6709,5.74165,0.0882489,-0.0831657,-0.0602535,1.0051,0.915527,1.09783
2,759883607,0.650917,14.8377,-1.89058,11.1234,-0.0746256,-0.1513,-0.0378396,0.797777,0.854912,0.933169
2,760345702,0.498233,-11.133,-0.293057,-11.3619,-0.108783,-0.1275,0.105936,0.789557,0.836569,0.943803
2,760693773,0.496558,2.60198,-0.362405,11.2343,0.0161349,0.0896465,0.0125617,1.11158,1.01578,1.09431
2,761418226,0.407012,-14.9731,6.75855,-1.67002,0.139608,-0.139896,-0.106413,0.999712,0.861092,1.16098
2,762120172,0.472338,5.03075,-14.2388,4.7257,-0.106766,0.133344,-0.0988123,1.02693,0.890303,1.15347
2,762602078,0.319662,11.3947,-13.7319,10.0174,-0.154616,0.110811,-0.0559482,0.95714,0.85417,1.12055
2,763673393,0.815324,-14.2849,-5.9765,9.98588,0.125608,-0.121239,0.112423,1.00438,0.87524,1.14755
2,773418906,0.799993,14.9837,-11.1187,11.8125,-0.0863014,0.0456935,-0.0485728,0.960206,0.913211,1.05146
2,791319847,0.36775,-9.13963,-10.5893,-5.34204,-0.0900406,-0.0236927,-0.00727148,0.892496,0.913691,0.976803
2,797828357,0.682134,0.453003,-1.85532,11.5791,-0.162519,0.00696911,-0.11998,0.855944,0.831637,1.02923
2,798911424,0.339259,-8.39047,-5.49192,-11.98,0.021509,-0.0177594,0.0815042,1.00376,0.957646,1.04815
2,799864342,0.414882,7.2729,-1.25129,-11.6038,-0.155008,0.108387,-0.0874294,0.954448,0.850173,1.12265
