site,session_num,subject_id,probe,time_to_first_spike_fl,time_to_first_spike_fl_n,mod_idx_dg,mod_idx_dg_n,timescale_ac,timescale_ac_n,n_units_total,n_units_pilot_qc,n_units_default_qc,n_units_used,rf_center_x_deg,rf_center_x_ci_low_deg,rf_center_x_ci_high_deg,rf_center_y_deg,rf_center_y_ci_low_deg,rf_center_y_ci_high_deg,rf_peak_value_median,rf_grid_edge_fraction,rf_center_x_all_units_deg,rf_center_y_all_units_deg,rf_center_x_default_qc_deg,rf_center_y_default_qc_deg,qc_rule,rf_method,gaze_correction,bootstrap_iterations
site5,5,813810,E,72.77407407407408,270,-0.10703069013796386,396,44.3271805136747,73,678,185,396,185,-20.0,-20.0,-20.0,10.0,0.0,10.0,1.2,0.3567567567567568,-20.0,10.0,-20.0,10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site6,6,815152,A,71.84669811320755,212,-0.09393875320948894,320,40.461376476062746,53,609,111,320,111,-20.0,-30.0,-10.0,-20.0,-30.0,-20.0,1.8,0.5675675675675675,-20.0,-20.0,-20.0,-20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site6,6,815152,B,72.04787234042553,188,-0.1439325340642023,334,36.959540654284325,53,618,145,334,145,20.0,10.0,20.0,0.0,0.0,10.0,1.3166666666666669,0.5310344827586206,10.0,0.0,10.0,0.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site6,6,815152,C,73.81638418079096,177,-0.08630609427458828,275,37.46906556034313,47,612,77,275,77,-10.0,-10.0,0.0,20.0,10.0,20.0,1.4833333333333334,0.2467532467532467,-10.0,10.0,-10.0,20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site6,6,815152,E,76.0989010989011,182,-0.19648198757535523,280,43.64684059443794,27,514,87,280,87,-10.0,-30.0,-10.0,-10.0,-10.0,0.0,1.4166666666666667,0.4137931034482758,-20.0,-10.0,-20.0,-10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site7,7,816308,A,72.72474747474747,198,-0.16569089759035321,321,44.87304328950827,53,553,134,321,134,-30.0,-30.0,-15.0,-20.0,-25.0,-10.0,0.9333333333333332,0.582089552238806,-20.0,-20.0,-20.0,-20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site7,7,816308,B,71.46428571428571,224,-0.1399578719886335,321,45.872377569174844,76,608,136,321,136,40.0,30.0,40.0,10.0,0.0,20.0,1.3666666666666667,0.6691176470588235,30.0,10.0,40.0,10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site7,7,816308,C,64.97592067988668,353,-0.0944375029350894,538,38.76974318082168,122,818,205,538,205,-20.0,-20.0,-20.0,30.0,20.0,30.0,1.2,0.5707317073170731,-20.0,20.0,-10.0,20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site7,7,816308,E,74.45208333333333,240,-0.139227250450431,359,45.81119145304159,56,533,143,359,143,-10.0,-20.0,-10.0,-10.0,-10.0,0.0,0.7,0.5384615384615384,-20.0,-10.0,-10.0,-10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site8,8,817334,A,71.17555555555556,225,-0.03907420328776186,359,36.20543157270919,45,721,191,359,191,-20.0,-30.0,-10.0,-20.0,-30.0,-10.0,0.7166666666666667,0.4973821989528796,-20.0,-20.0,-20.0,-20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site8,8,817334,B,72.66480446927375,179,-0.10226817293787287,286,37.624666676279155,31,718,121,286,121,20.0,10.0,30.0,-10.0,-10.0,0.0,0.55,0.4132231404958678,20.0,-10.0,30.0,-10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site8,8,817334,C,74.2390350877193,228,-0.10166920769193762,380,42.91503466454089,35,837,154,380,154,-15.0,-20.0,-10.0,5.0,0.0,10.0,0.975,0.3766233766233766,-10.0,0.0,-20.0,10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site8,8,817334,E,74.82275132275132,189,-0.14444950638713686,307,45.08987773472054,27,649,119,307,119,-10.0,-20.0,0.0,-10.0,-10.0,-10.0,0.55,0.5126050420168067,-10.0,-10.0,-10.0,-10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site9,9,817335,A,73.64678899082568,218,-0.15110638929350986,323,42.0632854431569,65,554,131,323,131,-20.0,-20.0,-10.0,-10.0,-20.0,-10.0,1.6,0.3358778625954198,-20.0,-10.0,-20.0,-10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site9,9,817335,B,71.58,250,-0.10374597096106151,378,41.104436443766176,66,611,158,378,158,20.0,10.0,30.0,10.0,0.0,10.0,1.6166666666666667,0.5189873417721519,20.0,10.0,20.0,10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site9,9,817335,C,71.63291139240506,237,-0.0657007167211332,411,42.10812043551177,76,609,190,411,190,10.0,10.0,20.0,20.0,20.0,30.0,1.7916666666666667,0.5421052631578948,10.0,20.0,10.0,20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site9,9,817335,E,73.43382352941177,272,-0.12614244913317005,425,32.81161737830953,58,629,190,425,190,-30.0,-40.0,-30.0,10.0,10.0,10.0,1.5666666666666669,0.6421052631578947,-30.0,10.0,-30.0,10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
