stimulus_presentation_id,stimulus_block,start_time,stop_time,stimulus_name,contrast,coherence,x_position,size,temporal_frequency,orientation,phase,Dir,spatial_frequency,y_position,frame,color,Speed,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
2878,0.0,788.42246,788.67267,gabors,0.8,null,40.0,"[20.0, 20.0]",4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.08,-30.0,null,null,null,0.25020548,158,,,0,,False,13,train,2
2879,0.0,788.67267,788.92287,gabors,0.8,null,20.0,"[20.0, 20.0]",4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.08,20.0,null,null,null,0.25020548,43,,,0,,False,12,train,1
2880,0.0,788.92287,789.17308,gabors,0.8,null,-40.0,"[20.0, 20.0]",4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.08,30.0,null,null,null,0.25020548,52,,,0,,False,8,test,2
2881,0.0,789.17308,789.42329,gabors,0.8,null,-20.0,"[20.0, 20.0]",4.0,0.0,"[3644.93333333, 3644.93333333]",null,0.08,-20.0,null,null,null,0.25021452,87,,,0,,False,10,train,0
2882,0.0,789.42329,789.67351,gabors,0.8,null,40.0,"[20.0, 20.0]",4.0,0.0,"[3644.93333333, 3644.93333333]",null,0.08,40.0,null,null,null,0.25021452,148,,,0,,False,11,test,0
2883,0.0,789.67351,789.92372,gabors,0.8,null,-30.0,"[20.0, 20.0]",4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.08,-10.0,null,null,null,0.25021452,237,,,0,,False,9,train,2
2884,0.0,789.92372,790.17393,gabors,0.8,null,-20.0,"[20.0, 20.0]",4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.08,20.0,null,null,null,0.25021452,73,,,0,,False,10,train,1
2885,0.0,790.17393,790.42414,gabors,0.8,null,30.0,"[20.0, 20.0]",4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.08,-40.0,null,null,null,0.25020548,155,,,0,,False,9,train,2
2886,0.0,790.42414,790.67435,gabors,0.8,null,-40.0,"[20.0, 20.0]",4.0,0.0,"[3644.93333333, 3644.93333333]",null,0.08,-40.0,null,null,null,0.25020548,60,,,0,,False,12,train,0
2887,0.0,790.67435,790.92455,gabors,0.8,null,-10.0,"[20.0, 20.0]",4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.08,-20.0,null,null,null,0.25020548,123,,,0,,False,10,train,1
