stimulus_presentation_id,stimulus_block,start_time,stop_time,temporal_frequency,contrast,color,size,y_position,x_position,phase,spatial_frequency,stimulus_name,orientation,frame,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
24,0.0,94.969409,95.219632,4.0,0.8,null,"[20.0, 20.0]",0.0,-20.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25022378,22,,,0,,False,0,train,0
25,0.0,95.219632,95.469829,4.0,0.8,null,"[20.0, 20.0]",-40.0,-30.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25019622,16,,,0,,False,1,train,0
26,0.0,95.469829,95.720025,4.0,0.8,null,"[20.0, 20.0]",10.0,-10.0,"[3644.93333333, 3644.93333333]",0.08,gabors,45.0,null,0.25019622,23,,,0,,False,0,train,1
27,0.0,95.720025,95.970221,4.0,0.8,null,"[20.0, 20.0]",0.0,-10.0,"[3644.93333333, 3644.93333333]",0.08,gabors,90.0,null,0.25019622,24,,,0,,False,0,train,2
28,0.0,95.970221,96.220417,4.0,0.8,null,"[20.0, 20.0]",10.0,40.0,"[3644.93333333, 3644.93333333]",0.08,gabors,90.0,null,0.25019622,25,,,0,,False,0,train,2
29,0.0,96.220417,96.470626,4.0,0.8,null,"[20.0, 20.0]",30.0,-10.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25020878,26,,,0,,False,0,train,0
30,0.0,96.470626,96.720835,4.0,0.8,null,"[20.0, 20.0]",20.0,0.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25020878,27,,,0,,False,0,train,0
31,0.0,96.720835,96.971044,4.0,0.8,null,"[20.0, 20.0]",20.0,-30.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25020878,28,,,0,,False,0,train,0
32,0.0,96.971044,97.221252,4.0,0.8,null,"[20.0, 20.0]",0.0,-20.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25020878,22,,,0,,False,1,train,0
33,0.0,97.221252,97.471459,4.0,0.8,null,"[20.0, 20.0]",20.0,10.0,"[3644.93333333, 3644.93333333]",0.08,gabors,45.0,null,0.25020622,29,,,0,,False,0,train,1
34,0.0,97.471459,97.721665,4.0,0.8,null,"[20.0, 20.0]",-10.0,-20.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25020622,30,,,0,,False,0,train,0
35,0.0,97.721665,97.971871,4.0,0.8,null,"[20.0, 20.0]",20.0,10.0,"[3644.93333333, 3644.93333333]",0.08,gabors,90.0,null,0.25020622,31,,,0,,False,0,train,2
36,0.0,97.971871,98.222077,4.0,0.8,null,"[20.0, 20.0]",30.0,30.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25020622,32,,,0,,False,0,train,0
37,0.0,98.222077,98.472294,4.0,0.8,null,"[20.0, 20.0]",-20.0,0.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25021628,33,,,0,,False,0,train,0
38,0.0,98.472294,98.72251,4.0,0.8,null,"[20.0, 20.0]",40.0,0.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25021628,34,,,0,,False,0,train,0
39,0.0,98.72251,98.972726,4.0,0.8,null,"[20.0, 20.0]",-30.0,30.0,"[3644.93333333, 3644.93333333]",0.08,gabors,45.0,null,0.25021628,35,,,0,,False,0,train,1
40,0.0,98.972726,99.222942,4.0,0.8,null,"[20.0, 20.0]",10.0,-40.0,"[3644.93333333, 3644.93333333]",0.08,gabors,90.0,null,0.25021628,36,,,0,,False,0,train,2
41,0.0,99.222942,99.473144,4.0,0.8,null,"[20.0, 20.0]",-30.0,-10.0,"[3644.93333333, 3644.93333333]",0.08,gabors,90.0,null,0.25020122,37,,,0,,False,0,train,2
42,0.0,99.473144,99.723345,4.0,0.8,null,"[20.0, 20.0]",30.0,-30.0,"[3644.93333333, 3644.93333333]",0.08,gabors,90.0,null,0.25020122,38,,,0,,False,0,train,2
43,0.0,99.723345,99.973546,4.0,0.8,null,"[20.0, 20.0]",30.0,-40.0,"[3644.93333333, 3644.93333333]",0.08,gabors,90.0,null,0.25020122,39,,,0,,False,0,train,2
44,0.0,99.973546,100.22375,4.0,0.8,null,"[20.0, 20.0]",0.0,30.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25020122,40,,,0,,False,0,train,0
45,0.0,100.22375,100.47396,4.0,0.8,null,"[20.0, 20.0]",0.0,-40.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25021628,41,,,0,,False,0,train,0
46,0.0,100.47396,100.72418,4.0,0.8,null,"[20.0, 20.0]",-40.0,0.0,"[3644.93333333, 3644.93333333]",0.08,gabors,90.0,null,0.25021628,42,,,0,,False,0,train,2
47,0.0,100.72418,100.9744,4.0,0.8,null,"[20.0, 20.0]",30.0,30.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25021628,32,,,0,,False,1,train,0
48,0.0,100.9744,101.22461,4.0,0.8,null,"[20.0, 20.0]",20.0,30.0,"[3644.93333333, 3644.93333333]",0.08,gabors,45.0,null,0.25021628,43,,,0,,False,0,train,1
49,0.0,101.22461,101.47481,4.0,0.8,null,"[20.0, 20.0]",-40.0,30.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25020122,44,,,0,,False,0,train,0
50,0.0,101.47481,101.72501,4.0,0.8,null,"[20.0, 20.0]",-10.0,20.0,"[3644.93333333, 3644.93333333]",0.08,gabors,45.0,null,0.25020122,45,,,0,,False,0,train,1
51,0.0,101.72501,101.97522,4.0,0.8,null,"[20.0, 20.0]",20.0,-40.0,"[3644.93333333, 3644.93333333]",0.08,gabors,45.0,null,0.25020122,3,,,0,,False,1,train,1
52,0.0,101.97522,102.22542,4.0,0.8,null,"[20.0, 20.0]",40.0,-40.0,"[3644.93333333, 3644.93333333]",0.08,gabors,90.0,null,0.25020122,46,,,0,,False,0,train,2
53,0.0,102.22542,102.47563,4.0,0.8,null,"[20.0, 20.0]",40.0,-30.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25021628,47,,,0,,False,0,train,0
54,0.0,102.47563,102.72585,4.0,0.8,null,"[20.0, 20.0]",10.0,30.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25021628,48,,,0,,False,0,train,0
55,0.0,102.72585,102.97607,4.0,0.8,null,"[20.0, 20.0]",-30.0,20.0,"[3644.93333333, 3644.93333333]",0.08,gabors,45.0,null,0.25021628,49,,,0,,False,0,train,1
56,0.0,102.97607,103.22628,4.0,0.8,null,"[20.0, 20.0]",-20.0,20.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25021628,50,,,0,,False,0,train,0
57,0.0,103.22628,103.47649,4.0,0.8,null,"[20.0, 20.0]",-30.0,0.0,"[3644.93333333, 3644.93333333]",0.08,gabors,45.0,null,0.25020372,51,,,0,,False,0,train,1
58,0.0,103.47649,103.72669,4.0,0.8,null,"[20.0, 20.0]",-20.0,30.0,"[3644.93333333, 3644.93333333]",0.08,gabors,45.0,null,0.25020372,52,,,0,,False,0,train,1
59,0.0,103.72669,103.97689,4.0,0.8,null,"[20.0, 20.0]",10.0,-10.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25020372,53,,,0,,False,0,train,0
60,0.0,103.97689,104.2271,4.0,0.8,null,"[20.0, 20.0]",10.0,10.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25020372,17,,,0,,False,1,train,0
61,0.0,104.2271,104.47732,4.0,0.8,null,"[20.0, 20.0]",20.0,0.0,"[3644.93333333, 3644.93333333]",0.08,gabors,90.0,null,0.25022128,54,,,0,,False,0,train,2
62,0.0,104.47732,104.72754,4.0,0.8,null,"[20.0, 20.0]",0.0,10.0,"[3644.93333333, 3644.93333333]",0.08,gabors,45.0,null,0.25022128,55,,,0,,False,0,train,1
63,0.0,104.72754,104.97776,4.0,0.8,null,"[20.0, 20.0]",-20.0,-30.0,"[3644.93333333, 3644.93333333]",0.08,gabors,45.0,null,0.25022128,56,,,0,,False,0,train,1
64,0.0,104.97776,105.22798,4.0,0.8,null,"[20.0, 20.0]",0.0,0.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25022128,57,,,0,,False,0,train,0
65,0.0,105.22798,105.47818,4.0,0.8,null,"[20.0, 20.0]",0.0,10.0,"[3644.93333333, 3644.93333333]",0.08,gabors,45.0,null,0.25019622,55,,,0,,False,1,train,1
66,0.0,105.47818,105.72837,4.0,0.8,null,"[20.0, 20.0]",-10.0,-10.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25019622,58,,,0,,False,0,train,0
67,0.0,105.72837,105.97857,4.0,0.8,null,"[20.0, 20.0]",0.0,-20.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25019622,22,,,0,,False,2,test,0
68,0.0,105.97857,106.22877,4.0,0.8,null,"[20.0, 20.0]",40.0,40.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25019622,59,,,0,,False,0,train,0
69,0.0,106.22877,106.47898,4.0,0.8,null,"[20.0, 20.0]",10.0,10.0,"[3644.93333333, 3644.93333333]",0.08,gabors,90.0,null,0.25021378,60,,,0,,False,0,train,2
70,0.0,106.47898,106.72919,4.0,0.8,null,"[20.0, 20.0]",10.0,40.0,"[3644.93333333, 3644.93333333]",0.08,gabors,45.0,null,0.25021378,61,,,0,,False,0,train,1
71,0.0,106.72919,106.97941,4.0,0.8,null,"[20.0, 20.0]",-40.0,10.0,"[3644.93333333, 3644.93333333]",0.08,gabors,90.0,null,0.25021378,62,,,0,,False,0,train,2
72,0.0,106.97941,107.22962,4.0,0.8,null,"[20.0, 20.0]",-20.0,10.0,"[3644.93333333, 3644.93333333]",0.08,gabors,45.0,null,0.25021378,63,,,0,,False,0,train,1
73,0.0,107.22962,107.47982,4.0,0.8,null,"[20.0, 20.0]",10.0,30.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25020122,48,,,0,,False,1,train,0
74,0.0,107.47982,107.73002,4.0,0.8,null,"[20.0, 20.0]",-30.0,10.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25020122,64,,,0,,False,0,train,0
75,0.0,107.73002,107.98023,4.0,0.8,null,"[20.0, 20.0]",0.0,40.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25020122,65,,,0,,False,0,train,0
76,0.0,107.98023,108.23043,4.0,0.8,null,"[20.0, 20.0]",-20.0,30.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25020122,18,,,0,,False,1,train,0
77,0.0,108.23043,108.48064,4.0,0.8,null,"[20.0, 20.0]",20.0,30.0,"[3644.93333333, 3644.93333333]",0.08,gabors,90.0,null,0.25021628,66,,,0,,False,0,train,2
78,0.0,108.48064,108.73086,4.0,0.8,null,"[20.0, 20.0]",10.0,-20.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25021628,67,,,0,,False,0,train,0
79,0.0,108.73086,108.98108,4.0,0.8,null,"[20.0, 20.0]",-10.0,10.0,"[3644.93333333, 3644.93333333]",0.08,gabors,90.0,null,0.25021628,68,,,0,,False,0,train,2
80,0.0,108.98108,109.23129,4.0,0.8,null,"[20.0, 20.0]",30.0,0.0,"[3644.93333333, 3644.93333333]",0.08,gabors,45.0,null,0.25021628,69,,,0,,False,0,train,1
81,0.0,109.23129,109.4815,4.0,0.8,null,"[20.0, 20.0]",30.0,20.0,"[3644.93333333, 3644.93333333]",0.08,gabors,90.0,null,0.25020372,70,,,0,,False,0,train,2
82,0.0,109.4815,109.7317,4.0,0.8,null,"[20.0, 20.0]",30.0,20.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25020372,71,,,0,,False,0,train,0
83,0.0,109.7317,109.9819,4.0,0.8,null,"[20.0, 20.0]",40.0,40.0,"[3644.93333333, 3644.93333333]",0.08,gabors,45.0,null,0.25020372,72,,,0,,False,0,train,1
84,0.0,109.9819,110.23211,4.0,0.8,null,"[20.0, 20.0]",20.0,-40.0,"[3644.93333333, 3644.93333333]",0.08,gabors,90.0,null,0.25020372,73,,,0,,False,0,train,2
85,0.0,110.23211,110.48233,4.0,0.8,null,"[20.0, 20.0]",-10.0,-40.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25021878,74,,,0,,False,0,train,0
86,0.0,110.48233,110.73254,4.0,0.8,null,"[20.0, 20.0]",-10.0,20.0,"[3644.93333333, 3644.93333333]",0.08,gabors,90.0,null,0.25021878,75,,,0,,False,0,train,2
87,0.0,110.73254,110.98276,4.0,0.8,null,"[20.0, 20.0]",0.0,20.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25021878,76,,,0,,False,0,train,0
88,0.0,110.98276,111.23298,4.0,0.8,null,"[20.0, 20.0]",-10.0,-40.0,"[3644.93333333, 3644.93333333]",0.08,gabors,90.0,null,0.25021878,4,,,0,,False,1,train,2
89,0.0,111.23298,111.48318,4.0,0.8,null,"[20.0, 20.0]",0.0,30.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25019622,40,,,0,,False,1,train,0
90,0.0,111.48318,111.73337,4.0,0.8,null,"[20.0, 20.0]",-20.0,-30.0,"[3644.93333333, 3644.93333333]",0.08,gabors,45.0,null,0.25019622,56,,,0,,False,1,train,1
91,0.0,111.73337,111.98357,4.0,0.8,null,"[20.0, 20.0]",-40.0,-20.0,"[3644.93333333, 3644.93333333]",0.08,gabors,90.0,null,0.25019622,77,,,0,,False,0,train,2
92,0.0,111.98357,112.23377,4.0,0.8,null,"[20.0, 20.0]",20.0,-30.0,"[3644.93333333, 3644.93333333]",0.08,gabors,90.0,null,0.25019622,19,,,0,,False,1,train,2
93,0.0,112.23377,112.484,4.0,0.8,null,"[20.0, 20.0]",-40.0,0.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25022878,78,,,0,,False,0,train,0
94,0.0,112.484,112.73422,4.0,0.8,null,"[20.0, 20.0]",10.0,20.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25022878,79,,,0,,False,0,train,0
95,0.0,112.73422,112.98445,4.0,0.8,null,"[20.0, 20.0]",20.0,30.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25022878,80,,,0,,False,0,train,0
96,0.0,112.98445,113.23468,4.0,0.8,null,"[20.0, 20.0]",30.0,-20.0,"[3644.93333333, 3644.93333333]",0.08,gabors,45.0,null,0.25022878,81,,,0,,False,0,train,1
97,0.0,113.23468,113.48488,4.0,0.8,null,"[20.0, 20.0]",10.0,10.0,"[3644.93333333, 3644.93333333]",0.08,gabors,90.0,null,0.25019622,60,,,0,,False,1,train,2
98,0.0,113.48488,113.73507,4.0,0.8,null,"[20.0, 20.0]",-10.0,-40.0,"[3644.93333333, 3644.93333333]",0.08,gabors,90.0,null,0.25019622,4,,,0,,False,2,test,2
99,0.0,113.73507,113.98527,4.0,0.8,null,"[20.0, 20.0]",10.0,-30.0,"[3644.93333333, 3644.93333333]",0.08,gabors,90.0,null,0.25019622,82,,,0,,False,0,train,2
100,0.0,113.98527,114.23547,4.0,0.8,null,"[20.0, 20.0]",10.0,20.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25019622,79,,,0,,False,1,train,0
101,0.0,114.23547,114.48568,4.0,0.8,null,"[20.0, 20.0]",30.0,-10.0,"[3644.93333333, 3644.93333333]",0.08,gabors,45.0,null,0.25020878,83,,,0,,False,0,train,1
102,0.0,114.48568,114.73588,4.0,0.8,null,"[20.0, 20.0]",-40.0,-20.0,"[3644.93333333, 3644.93333333]",0.08,gabors,90.0,null,0.25020878,77,,,0,,False,1,train,2
103,0.0,114.73588,114.98609,4.0,0.8,null,"[20.0, 20.0]",-30.0,30.0,"[3644.93333333, 3644.93333333]",0.08,gabors,45.0,null,0.25020878,35,,,0,,False,1,train,1
104,0.0,114.98609,115.2363,4.0,0.8,null,"[20.0, 20.0]",10.0,-20.0,"[3644.93333333, 3644.93333333]",0.08,gabors,45.0,null,0.25020878,84,,,0,,False,0,train,1
105,0.0,115.2363,115.48651,4.0,0.8,null,"[20.0, 20.0]",-10.0,-40.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25020372,74,,,0,,False,1,train,0
106,0.0,115.48651,115.73671,4.0,0.8,null,"[20.0, 20.0]",20.0,-30.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25020372,28,,,0,,False,1,train,0
107,0.0,115.73671,115.98691,4.0,0.8,null,"[20.0, 20.0]",30.0,20.0,"[3644.93333333, 3644.93333333]",0.08,gabors,45.0,null,0.25020372,85,,,0,,False,0,train,1
108,0.0,115.98691,116.23712,4.0,0.8,null,"[20.0, 20.0]",20.0,20.0,"[3644.93333333, 3644.93333333]",0.08,gabors,45.0,null,0.25020372,86,,,0,,False,0,train,1
109,0.0,116.23712,116.48734,4.0,0.8,null,"[20.0, 20.0]",30.0,-20.0,"[3644.93333333, 3644.93333333]",0.08,gabors,90.0,null,0.25022128,87,,,0,,False,0,train,2
110,0.0,116.48734,116.73756,4.0,0.8,null,"[20.0, 20.0]",-30.0,-40.0,"[3644.93333333, 3644.93333333]",0.08,gabors,45.0,null,0.25022128,88,,,0,,False,0,train,1
111,0.0,116.73756,116.98778,4.0,0.8,null,"[20.0, 20.0]",40.0,10.0,"[3644.93333333, 3644.93333333]",0.08,gabors,90.0,null,0.25022128,89,,,0,,False,0,train,2
112,0.0,116.98778,117.238,4.0,0.8,null,"[20.0, 20.0]",30.0,-20.0,"[3644.93333333, 3644.93333333]",0.08,gabors,45.0,null,0.25022128,81,,,0,,False,1,train,1
113,0.0,117.238,117.4882,4.0,0.8,null,"[20.0, 20.0]",-10.0,30.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25019622,90,,,0,,False,0,train,0
114,0.0,117.4882,117.73839,4.0,0.8,null,"[20.0, 20.0]",-30.0,-40.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25019622,91,,,0,,False,0,train,0
115,0.0,117.73839,117.98859,4.0,0.8,null,"[20.0, 20.0]",-30.0,-10.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25019622,92,,,0,,False,0,train,0
116,0.0,117.98859,118.23879,4.0,0.8,null,"[20.0, 20.0]",30.0,30.0,"[3644.93333333, 3644.93333333]",0.08,gabors,90.0,null,0.25019622,93,,,0,,False,0,train,2
117,0.0,118.23879,118.489,4.0,0.8,null,"[20.0, 20.0]",40.0,30.0,"[3644.93333333, 3644.93333333]",0.08,gabors,45.0,null,0.25021628,94,,,0,,False,0,train,1
118,0.0,118.489,118.73922,4.0,0.8,null,"[20.0, 20.0]",40.0,0.0,"[3644.93333333, 3644.93333333]",0.08,gabors,45.0,null,0.25021628,95,,,0,,False,0,train,1
119,0.0,118.73922,118.98944,4.0,0.8,null,"[20.0, 20.0]",40.0,-30.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25021628,47,,,0,,False,1,train,0
120,0.0,118.98944,119.23965,4.0,0.8,null,"[20.0, 20.0]",-40.0,-10.0,"[3644.93333333, 3644.93333333]",0.08,gabors,45.0,null,0.25021628,21,,,0,,False,1,train,1
121,0.0,119.23965,119.48985,4.0,0.8,null,"[20.0, 20.0]",30.0,10.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25020122,96,,,0,,False,0,train,0
122,0.0,119.48985,119.74005,4.0,0.8,null,"[20.0, 20.0]",20.0,-10.0,"[3644.93333333, 3644.93333333]",0.08,gabors,45.0,null,0.25020122,97,,,0,,False,0,train,1
123,0.0,119.74005,119.99026,4.0,0.8,null,"[20.0, 20.0]",10.0,0.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25020122,98,,,0,,False,0,train,0
124,0.0,119.99026,120.24046,4.0,0.8,null,"[20.0, 20.0]",-10.0,40.0,"[3644.93333333, 3644.93333333]",0.08,gabors,90.0,null,0.25020122,99,,,0,,False,0,train,2
125,0.0,120.24046,120.49067,4.0,0.8,null,"[20.0, 20.0]",-20.0,-30.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25021378,100,,,0,,False,0,train,0
126,0.0,120.49067,120.74088,4.0,0.8,null,"[20.0, 20.0]",30.0,10.0,"[3644.93333333, 3644.93333333]",0.08,gabors,45.0,null,0.25021378,101,,,0,,False,0,train,1
127,0.0,120.74088,120.9911,4.0,0.8,null,"[20.0, 20.0]",-40.0,30.0,"[3644.93333333, 3644.93333333]",0.08,gabors,90.0,null,0.25021378,102,,,0,,False,0,train,2
128,0.0,120.9911,121.24131,4.0,0.8,null,"[20.0, 20.0]",10.0,0.0,"[3644.93333333, 3644.93333333]",0.08,gabors,90.0,null,0.25021378,103,,,0,,False,0,train,2
129,0.0,121.24131,121.49152,4.0,0.8,null,"[20.0, 20.0]",20.0,-10.0,"[3644.93333333, 3644.93333333]",0.08,gabors,45.0,null,0.25020622,97,,,0,,False,1,train,1
130,0.0,121.49152,121.74172,4.0,0.8,null,"[20.0, 20.0]",40.0,-20.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25020622,104,,,0,,False,0,train,0
131,0.0,121.74172,121.99193,4.0,0.8,null,"[20.0, 20.0]",30.0,40.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25020622,105,,,0,,False,0,train,0
132,0.0,121.99193,122.24214,4.0,0.8,null,"[20.0, 20.0]",-30.0,0.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25020622,106,,,0,,False,0,train,0
133,0.0,122.24214,122.49235,4.0,0.8,null,"[20.0, 20.0]",20.0,-10.0,"[3644.93333333, 3644.93333333]",0.08,gabors,90.0,null,0.25021628,107,,,0,,False,0,train,2
134,0.0,122.49235,122.74257,4.0,0.8,null,"[20.0, 20.0]",-20.0,0.0,"[3644.93333333, 3644.93333333]",0.08,gabors,90.0,null,0.25021628,5,,,0,,False,2,test,2
135,0.0,122.74257,122.99279,4.0,0.8,null,"[20.0, 20.0]",0.0,20.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25021628,76,,,0,,False,1,train,0
136,0.0,122.99279,123.243,4.0,0.8,null,"[20.0, 20.0]",30.0,20.0,"[3644.93333333, 3644.93333333]",0.08,gabors,90.0,null,0.25021628,70,,,0,,False,1,train,2
137,0.0,123.243,123.4932,4.0,0.8,null,"[20.0, 20.0]",20.0,-10.0,"[3644.93333333, 3644.93333333]",0.08,gabors,90.0,null,0.25020122,107,,,0,,False,1,train,2
