stimulus_presentation_id,stimulus_block,start_time,stop_time,y_position,stimulus_name,contrast,phase,size,temporal_frequency,Dir,frame,coherence,spatial_frequency,color,x_position,Speed,orientation,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1225,0.0,381.6128,381.86301,-20.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,-10.0,null,90.0,0.25020775,50,,,0,,False,3,train,2
1226,0.0,381.86301,382.11321,0.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,-10.0,null,45.0,0.25020775,180,,,0,,False,6,train,1
1227,0.0,382.11321,382.36342,-40.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,0.0,null,45.0,0.25020775,217,,,0,,False,3,train,1
1228,0.0,382.36342,382.61363,-10.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,40.0,null,0.0,0.25020775,42,,,0,,False,7,train,0
1229,0.0,382.61363,382.86385,10.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,10.0,null,45.0,0.25021725,32,,,0,,False,8,test,1
1230,0.0,382.86385,383.11406,0.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,40.0,null,45.0,0.25021725,197,,,0,,False,4,train,1
1231,0.0,383.11406,383.36428,-10.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,-10.0,null,45.0,0.25021725,161,,,0,,False,4,train,1
1232,0.0,383.36428,383.6145,-10.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,-30.0,null,45.0,0.25021725,152,,,0,,False,3,train,1
1233,0.0,383.6145,383.8647,-40.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,-40.0,null,45.0,0.25020025,62,,,0,,False,5,test,1
1234,0.0,383.8647,384.1149,30.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,-10.0,null,0.0,0.25020025,123,,,0,,False,5,test,0
1235,0.0,384.1149,384.3651,-20.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,40.0,null,90.0,0.25020025,176,,,0,,False,3,train,2
1236,0.0,384.3651,384.6153,-10.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,0.0,null,0.0,0.25020025,189,,,0,,False,4,train,0
1237,0.0,384.6153,384.86551,-10.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,0.0,null,90.0,0.25020975,59,,,0,,False,7,train,2
1238,0.0,384.86551,385.11572,30.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,0.0,null,90.0,0.25020975,57,,,0,,False,8,test,2
1239,0.0,385.11572,385.36593,40.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,40.0,null,0.0,0.25020975,220,,,0,,False,5,test,0
1240,0.0,385.36593,385.61614,-30.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,30.0,null,45.0,0.25020975,115,,,0,,False,2,test,1
1241,0.0,385.61614,385.86635,40.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,-20.0,null,0.0,0.25020775,12,,,0,,False,7,train,0
1242,0.0,385.86635,386.11655,-40.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,-20.0,null,90.0,0.25020775,156,,,0,,False,4,train,2
1243,0.0,386.11655,386.36676,20.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,30.0,null,0.0,0.25020775,191,,,0,,False,5,test,0
1244,0.0,386.36676,386.61697,10.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,30.0,null,90.0,0.25020775,91,,,0,,False,1,train,2
1245,0.0,386.61697,386.86718,-10.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,30.0,null,90.0,0.25021225,101,,,0,,False,6,train,2
1246,0.0,386.86718,387.11739,40.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,0.0,null,0.0,0.25021225,66,,,0,,False,3,train,0
1247,0.0,387.11739,387.36761,40.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,40.0,null,45.0,0.25021225,30,,,0,,False,7,train,1
1248,0.0,387.36761,387.61782,20.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,30.0,null,90.0,0.25021225,134,,,0,,False,5,test,2
1249,0.0,387.61782,387.86803,30.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,-40.0,null,45.0,0.25021025,229,,,0,,False,4,train,1
1250,0.0,387.86803,388.11824,30.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,0.0,null,45.0,0.25021025,204,,,0,,False,5,test,1
1251,0.0,388.11824,388.36845,30.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,-20.0,null,90.0,0.25021025,200,,,0,,False,2,test,2
1252,0.0,388.36845,388.61866,-30.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,0.0,null,0.0,0.25021025,165,,,0,,False,5,test,0
1253,0.0,388.61866,388.86887,0.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,20.0,null,90.0,0.25020975,202,,,0,,False,5,test,2
1254,0.0,388.86887,389.11908,30.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,10.0,null,0.0,0.25020975,73,,,0,,False,5,test,0
1255,0.0,389.11908,389.36929,-10.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,-20.0,null,90.0,0.25020975,137,,,0,,False,3,train,2
1256,0.0,389.36929,389.6195,-30.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,-30.0,null,0.0,0.25020975,218,,,0,,False,7,train,0
1257,0.0,389.6195,389.8697,10.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,-30.0,null,90.0,0.25020525,146,,,0,,False,4,train,2
1258,0.0,389.8697,390.11991,0.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,40.0,null,45.0,0.25020525,197,,,0,,False,5,test,1
1259,0.0,390.11991,390.37012,-20.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,-30.0,null,45.0,0.25020525,88,,,0,,False,3,train,1
1260,0.0,390.37012,390.62032,-40.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,-20.0,null,90.0,0.25020525,156,,,0,,False,5,test,2
1261,0.0,390.62032,390.87054,-20.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,-40.0,null,45.0,0.25021475,22,,,0,,False,6,train,1
1262,0.0,390.87054,391.12075,0.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,40.0,null,0.0,0.25021475,34,,,0,,False,5,test,0
1263,0.0,391.12075,391.37096,-30.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,-20.0,null,45.0,0.25021475,215,,,0,,False,4,train,1
1264,0.0,391.37096,391.62118,-20.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,10.0,null,45.0,0.25021475,113,,,0,,False,7,train,1
