stimulus_presentation_id,stimulus_block,start_time,stop_time,phase,color,orientation,frame,temporal_frequency,size,coherence,y_position,spatial_frequency,x_position,stimulus_name,Dir,Speed,contrast,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
724,0.0,256.34719,256.59739,"[3644.93333333, 3644.93333333]",null,0.0,null,4.0,"[20.0, 20.0]",null,30.0,0.08,20.0,gabors,null,null,0.8,0.25020669,128,,,0,,False,4,train,0
725,0.0,256.59739,256.84761,"[3644.93333333, 3644.93333333]",null,0.0,null,4.0,"[20.0, 20.0]",null,20.0,0.08,-20.0,gabors,null,null,0.8,0.25021331,149,,,0,,False,4,train,0
726,0.0,256.84761,257.09782,"[3644.93333333, 3644.93333333]",null,45.0,null,4.0,"[20.0, 20.0]",null,20.0,0.08,-40.0,gabors,null,null,0.8,0.25021331,122,,,0,,False,3,train,1
727,0.0,257.09782,257.34803,"[3644.93333333, 3644.93333333]",null,90.0,null,4.0,"[20.0, 20.0]",null,10.0,0.08,30.0,gabors,null,null,0.8,0.25021331,200,,,0,,False,2,test,2
728,0.0,257.34803,257.59825,"[3644.93333333, 3644.93333333]",null,0.0,null,4.0,"[20.0, 20.0]",null,-20.0,0.08,-10.0,gabors,null,null,0.8,0.25021331,185,,,0,,False,2,test,0
729,0.0,257.59825,257.84845,"[3644.93333333, 3644.93333333]",null,90.0,null,4.0,"[20.0, 20.0]",null,40.0,0.08,30.0,gabors,null,null,0.8,0.25020169,217,,,0,,False,3,train,2
730,0.0,257.84845,258.09865,"[3644.93333333, 3644.93333333]",null,90.0,null,4.0,"[20.0, 20.0]",null,10.0,0.08,-10.0,gabors,null,null,0.8,0.25020169,133,,,0,,False,2,test,2
731,0.0,258.09865,258.34885,"[3644.93333333, 3644.93333333]",null,90.0,null,4.0,"[20.0, 20.0]",null,40.0,0.08,40.0,gabors,null,null,0.8,0.25020169,178,,,0,,False,1,train,2
732,0.0,258.34885,258.59905,"[3644.93333333, 3644.93333333]",null,90.0,null,4.0,"[20.0, 20.0]",null,20.0,0.08,30.0,gabors,null,null,0.8,0.25020169,96,,,0,,False,2,test,2
733,0.0,258.59905,258.84927,"[3644.93333333, 3644.93333333]",null,90.0,null,4.0,"[20.0, 20.0]",null,30.0,0.08,-20.0,gabors,null,null,0.8,0.25021331,60,,,0,,False,5,test,2
734,0.0,258.84927,259.09948,"[3644.93333333, 3644.93333333]",null,0.0,null,4.0,"[20.0, 20.0]",null,20.0,0.08,30.0,gabors,null,null,0.8,0.25021331,202,,,0,,False,1,train,0
735,0.0,259.09948,259.34969,"[3644.93333333, 3644.93333333]",null,45.0,null,4.0,"[20.0, 20.0]",null,20.0,0.08,-40.0,gabors,null,null,0.8,0.25021331,122,,,0,,False,4,train,1
736,0.0,259.34969,259.59991,"[3644.93333333, 3644.93333333]",null,0.0,null,4.0,"[20.0, 20.0]",null,40.0,0.08,30.0,gabors,null,null,0.8,0.25021331,204,,,0,,False,1,train,0
737,0.0,259.59991,259.85011,"[3644.93333333, 3644.93333333]",null,90.0,null,4.0,"[20.0, 20.0]",null,-40.0,0.08,-30.0,gabors,null,null,0.8,0.25020669,162,,,0,,False,4,train,2
738,0.0,259.85011,260.10032,"[3644.93333333, 3644.93333333]",null,0.0,null,4.0,"[20.0, 20.0]",null,-30.0,0.08,-20.0,gabors,null,null,0.8,0.25020669,196,,,0,,False,3,train,0
739,0.0,260.10032,260.35053,"[3644.93333333, 3644.93333333]",null,0.0,null,4.0,"[20.0, 20.0]",null,10.0,0.08,-30.0,gabors,null,null,0.8,0.25020669,30,,,0,,False,3,train,0
740,0.0,260.35053,260.60073,"[3644.93333333, 3644.93333333]",null,0.0,null,4.0,"[20.0, 20.0]",null,40.0,0.08,40.0,gabors,null,null,0.8,0.25020669,157,,,0,,False,3,train,0
741,0.0,260.60073,260.85095,"[3644.93333333, 3644.93333333]",null,90.0,null,4.0,"[20.0, 20.0]",null,-10.0,0.08,30.0,gabors,null,null,0.8,0.25021331,76,,,0,,False,3,train,2
742,0.0,260.85095,261.10116,"[3644.93333333, 3644.93333333]",null,90.0,null,4.0,"[20.0, 20.0]",null,20.0,0.08,-30.0,gabors,null,null,0.8,0.25021331,54,,,0,,False,4,train,2
743,0.0,261.10116,261.35137,"[3644.93333333, 3644.93333333]",null,45.0,null,4.0,"[20.0, 20.0]",null,20.0,0.08,20.0,gabors,null,null,0.8,0.25021331,35,,,0,,False,4,train,1
744,0.0,261.35137,261.60159,"[3644.93333333, 3644.93333333]",null,45.0,null,4.0,"[20.0, 20.0]",null,20.0,0.08,30.0,gabors,null,null,0.8,0.25021331,161,,,0,,False,3,train,1
745,0.0,261.60159,261.85179,"[3644.93333333, 3644.93333333]",null,90.0,null,4.0,"[20.0, 20.0]",null,40.0,0.08,30.0,gabors,null,null,0.8,0.25020169,217,,,0,,False,4,train,2
746,0.0,261.85179,262.10199,"[3644.93333333, 3644.93333333]",null,90.0,null,4.0,"[20.0, 20.0]",null,40.0,0.08,-30.0,gabors,null,null,0.8,0.25020169,234,,,0,,False,0,train,2
747,0.0,262.10199,262.35219,"[3644.93333333, 3644.93333333]",null,90.0,null,4.0,"[20.0, 20.0]",null,30.0,0.08,10.0,gabors,null,null,0.8,0.25020169,198,,,0,,False,2,test,2
748,0.0,262.35219,262.60239,"[3644.93333333, 3644.93333333]",null,0.0,null,4.0,"[20.0, 20.0]",null,40.0,0.08,20.0,gabors,null,null,0.8,0.25020169,1,,,0,,False,4,train,0
749,0.0,262.60239,262.85261,"[3644.93333333, 3644.93333333]",null,45.0,null,4.0,"[20.0, 20.0]",null,20.0,0.08,-30.0,gabors,null,null,0.8,0.25021331,62,,,0,,False,6,train,1
750,0.0,262.85261,263.10282,"[3644.93333333, 3644.93333333]",null,0.0,null,4.0,"[20.0, 20.0]",null,-20.0,0.08,10.0,gabors,null,null,0.8,0.25021331,232,,,0,,False,1,train,0
751,0.0,263.10282,263.35303,"[3644.93333333, 3644.93333333]",null,45.0,null,4.0,"[20.0, 20.0]",null,20.0,0.08,-20.0,gabors,null,null,0.8,0.25021331,129,,,0,,False,5,test,1
752,0.0,263.35303,263.60325,"[3644.93333333, 3644.93333333]",null,90.0,null,4.0,"[20.0, 20.0]",null,-30.0,0.08,-10.0,gabors,null,null,0.8,0.25021331,99,,,0,,False,4,train,2
753,0.0,263.60325,263.85346,"[3644.93333333, 3644.93333333]",null,45.0,null,4.0,"[20.0, 20.0]",null,-30.0,0.08,-10.0,gabors,null,null,0.8,0.25020919,86,,,0,,False,2,test,1
754,0.0,263.85346,264.10366,"[3644.93333333, 3644.93333333]",null,90.0,null,4.0,"[20.0, 20.0]",null,-40.0,0.08,-20.0,gabors,null,null,0.8,0.25020919,169,,,0,,False,3,train,2
755,0.0,264.10366,264.35387,"[3644.93333333, 3644.93333333]",null,0.0,null,4.0,"[20.0, 20.0]",null,-40.0,0.08,30.0,gabors,null,null,0.8,0.25020919,31,,,0,,False,2,test,0
756,0.0,264.35387,264.60408,"[3644.93333333, 3644.93333333]",null,90.0,null,4.0,"[20.0, 20.0]",null,10.0,0.08,20.0,gabors,null,null,0.8,0.25020919,73,,,0,,False,5,test,2
757,0.0,264.60408,264.8543,"[3644.93333333, 3644.93333333]",null,0.0,null,4.0,"[20.0, 20.0]",null,10.0,0.08,10.0,gabors,null,null,0.8,0.25021581,189,,,0,,False,2,test,0
758,0.0,264.8543,265.10451,"[3644.93333333, 3644.93333333]",null,45.0,null,4.0,"[20.0, 20.0]",null,10.0,0.08,-30.0,gabors,null,null,0.8,0.25021581,6,,,0,,False,5,test,1
759,0.0,265.10451,265.35473,"[3644.93333333, 3644.93333333]",null,90.0,null,4.0,"[20.0, 20.0]",null,10.0,0.08,20.0,gabors,null,null,0.8,0.25021581,73,,,0,,False,6,train,2
760,0.0,265.35473,265.60495,"[3644.93333333, 3644.93333333]",null,90.0,null,4.0,"[20.0, 20.0]",null,10.0,0.08,-40.0,gabors,null,null,0.8,0.25021581,120,,,0,,False,3,train,2
761,0.0,265.60495,265.85515,"[3644.93333333, 3644.93333333]",null,90.0,null,4.0,"[20.0, 20.0]",null,-20.0,0.08,-10.0,gabors,null,null,0.8,0.25020169,159,,,0,,False,5,test,2
762,0.0,265.85515,266.10535,"[3644.93333333, 3644.93333333]",null,90.0,null,4.0,"[20.0, 20.0]",null,0.0,0.08,30.0,gabors,null,null,0.8,0.25020169,235,,,0,,False,0,train,2
763,0.0,266.10535,266.35555,"[3644.93333333, 3644.93333333]",null,0.0,null,4.0,"[20.0, 20.0]",null,40.0,0.08,30.0,gabors,null,null,0.8,0.25020169,204,,,0,,False,2,test,0
764,0.0,266.35555,266.60575,"[3644.93333333, 3644.93333333]",null,0.0,null,4.0,"[20.0, 20.0]",null,10.0,0.08,30.0,gabors,null,null,0.8,0.25020169,132,,,0,,False,2,test,0
765,0.0,266.60575,266.85597,"[3644.93333333, 3644.93333333]",null,0.0,null,4.0,"[20.0, 20.0]",null,30.0,0.08,20.0,gabors,null,null,0.8,0.25021331,128,,,0,,False,5,test,0
766,0.0,266.85597,267.10618,"[3644.93333333, 3644.93333333]",null,0.0,null,4.0,"[20.0, 20.0]",null,10.0,0.08,30.0,gabors,null,null,0.8,0.25021331,132,,,0,,False,3,train,0
767,0.0,267.10618,267.35639,"[3644.93333333, 3644.93333333]",null,90.0,null,4.0,"[20.0, 20.0]",null,-10.0,0.08,-30.0,gabors,null,null,0.8,0.25021331,222,,,0,,False,3,train,2
768,0.0,267.35639,267.60661,"[3644.93333333, 3644.93333333]",null,0.0,null,4.0,"[20.0, 20.0]",null,-30.0,0.08,10.0,gabors,null,null,0.8,0.25021331,130,,,0,,False,3,train,0
769,0.0,267.60661,267.85681,"[3644.93333333, 3644.93333333]",null,45.0,null,4.0,"[20.0, 20.0]",null,-10.0,0.08,-30.0,gabors,null,null,0.8,0.25020669,71,,,0,,False,5,test,1
770,0.0,267.85681,268.10702,"[3644.93333333, 3644.93333333]",null,0.0,null,4.0,"[20.0, 20.0]",null,40.0,0.08,-40.0,gabors,null,null,0.8,0.25020669,225,,,0,,False,1,train,0
771,0.0,268.10702,268.35723,"[3644.93333333, 3644.93333333]",null,0.0,null,4.0,"[20.0, 20.0]",null,20.0,0.08,-30.0,gabors,null,null,0.8,0.25020669,123,,,0,,False,3,train,0
772,0.0,268.35723,268.60743,"[3644.93333333, 3644.93333333]",null,45.0,null,4.0,"[20.0, 20.0]",null,-20.0,0.08,-30.0,gabors,null,null,0.8,0.25020669,57,,,0,,False,2,test,1
773,0.0,268.60743,268.85765,"[3644.93333333, 3644.93333333]",null,45.0,null,4.0,"[20.0, 20.0]",null,-30.0,0.08,-40.0,gabors,null,null,0.8,0.25021581,59,,,0,,False,6,train,1
