stimulus_presentation_id,stimulus_block,start_time,stop_time,x_position,frame,y_position,stimulus_name,Speed,spatial_frequency,size,contrast,orientation,coherence,color,Dir,phase,temporal_frequency,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
3460,0.0,934.41336,934.66357,-10.0,null,-40.0,gabors,null,0.08,"[20.0, 20.0]",0.8,90.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25021063,159,,,0,,False,13,train,2
3461,0.0,934.66357,934.91378,-20.0,null,30.0,gabors,null,0.08,"[20.0, 20.0]",0.8,45.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25020437,240,,,0,,False,14,test,1
3462,0.0,934.91378,935.16398,-30.0,null,20.0,gabors,null,0.08,"[20.0, 20.0]",0.8,45.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25020437,95,,,0,,False,13,train,1
3463,0.0,935.16398,935.41418,10.0,null,0.0,gabors,null,0.08,"[20.0, 20.0]",0.8,45.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25020437,223,,,0,,False,14,test,1
3464,0.0,935.41418,935.66439,0.0,null,-10.0,gabors,null,0.08,"[20.0, 20.0]",0.8,90.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25020437,94,,,0,,False,14,test,2
3465,0.0,935.66439,935.9146,40.0,null,40.0,gabors,null,0.08,"[20.0, 20.0]",0.8,0.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25021063,62,,,0,,False,13,train,0
3466,0.0,935.9146,936.16481,40.0,null,-40.0,gabors,null,0.08,"[20.0, 20.0]",0.8,0.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25021063,214,,,0,,False,14,test,0
3467,0.0,936.16481,936.41502,30.0,null,30.0,gabors,null,0.08,"[20.0, 20.0]",0.8,0.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25021063,221,,,0,,False,13,train,0
3468,0.0,936.41502,936.66523,-20.0,null,20.0,gabors,null,0.08,"[20.0, 20.0]",0.8,0.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25021063,218,,,0,,False,14,test,0
3469,0.0,936.66523,936.91544,40.0,null,-20.0,gabors,null,0.08,"[20.0, 20.0]",0.8,0.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25020687,2,,,0,,False,14,test,0
3470,0.0,936.91544,937.16565,-40.0,null,-20.0,gabors,null,0.08,"[20.0, 20.0]",0.8,45.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25020687,93,,,0,,False,14,test,1
3471,0.0,937.16565,937.41585,-30.0,null,30.0,gabors,null,0.08,"[20.0, 20.0]",0.8,45.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25020687,31,,,0,,False,14,test,1
3472,0.0,937.41585,937.66606,30.0,null,0.0,gabors,null,0.08,"[20.0, 20.0]",0.8,0.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25020687,28,,,0,,False,11,test,0
3473,0.0,937.66606,937.91627,20.0,null,-10.0,gabors,null,0.08,"[20.0, 20.0]",0.8,0.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25021063,115,,,0,,False,13,train,0
3474,0.0,937.91627,938.16648,10.0,null,-40.0,gabors,null,0.08,"[20.0, 20.0]",0.8,90.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25021063,101,,,0,,False,13,train,2
3475,0.0,938.16648,938.41669,40.0,null,40.0,gabors,null,0.08,"[20.0, 20.0]",0.8,0.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25021063,62,,,0,,False,14,test,0
3476,0.0,938.41669,938.6669,-10.0,null,40.0,gabors,null,0.08,"[20.0, 20.0]",0.8,90.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25021063,45,,,0,,False,12,train,2
3477,0.0,938.6669,938.9171,-40.0,null,10.0,gabors,null,0.08,"[20.0, 20.0]",0.8,45.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25019687,134,,,0,,False,13,train,1
3478,0.0,938.9171,939.1673,-30.0,null,10.0,gabors,null,0.08,"[20.0, 20.0]",0.8,45.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25019687,163,,,0,,False,14,test,1
3479,0.0,939.1673,939.41749,30.0,null,-20.0,gabors,null,0.08,"[20.0, 20.0]",0.8,45.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25019687,1,,,0,,False,14,test,1
3480,0.0,939.41749,939.66769,20.0,null,40.0,gabors,null,0.08,"[20.0, 20.0]",0.8,45.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25019687,138,,,0,,False,14,test,1
3481,0.0,939.66769,939.9179,0.0,null,0.0,gabors,null,0.08,"[20.0, 20.0]",0.8,0.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25021563,91,,,0,,False,13,train,0
