ecephys_session_id,specimen_id,session_type,improved_units,offset_az_raw_deg,offset_el_raw_deg,half_a_az_raw_deg,half_a_el_raw_deg,half_b_az_raw_deg,half_b_el_raw_deg,split_distance_deg,split_az_difference_deg,split_el_difference_deg,offset_az_relative_deg_v1,half_a_az_relative_deg,half_b_az_relative_deg,offset_el_relative_deg_v1,half_a_el_relative_deg,half_b_el_relative_deg,units,nuclei,offset_az_relative_deg_thal,offset_el_relative_deg_thal,heldout_centered_r2
757216464,733457989,brain_observatory_1.1,150,-3.624846433707762,5.901137971653048,-4.19431552039029,5.401852435003228,-3.203172921937475,7.074905294270354,1.9446000926590803,-0.9911425984528152,-1.673052859267126,-3.476933613213259,-3.7627805963394287,-3.3958451177387725,7.813186320344172,7.778902027248195,8.89988967757976,31,1,11.588298065390106,3.627924488959464,0.13930498837669125
757970808,730756780,brain_observatory_1.1,150,-23.162249504882528,0.3911913948515086,-25.17129782903649,1.1274044357184438,-21.99523524039209,-0.4329863432307275,3.5386710711814064,-3.176062588644399,1.560390778949171,-23.014336684388024,-24.73976290498563,-22.187907436193388,2.3032397435426324,3.5044540279634107,1.3919980400786771,24,2,-5.98525076903488,-5.382423335665809,-0.3734074333835346
759883607,740268986,brain_observatory_1.1,92,-5.250446893449876,-1.9120483486911235,-5.097371694771429,-2.440179463104662,-5.430865290679365,-1.2630684189112324,1.2234412077716492,0.3334935959079361,-1.1771110441934294,-5.102534072955374,-4.665836770720567,-5.623537486480663,0.0,-0.063129870859695,0.5619159643981724,1,1,10.411488011769386,25.27202404537921,
760345702,739783171,brain_observatory_1.1,92,4.1610041266932924,-12.371867139157334,3.78411511123288,-12.732767391581994,4.751063660256799,-11.971351226693503,1.2307493947237835,-0.9669485490239188,-0.761416164888491,4.308916947187795,4.215650035283742,4.558391464455502,-10.459818790466212,-10.355717799337029,-10.1463668433841,13,2,-17.742342665681083,15.22960104537238,0.10473426359273257
761418226,742714475,brain_observatory_1.1,58,-10.791936801224685,-11.041257810746233,-10.877521485818413,-11.10095568211372,-10.711362385818417,-10.870518352100513,0.2840954233640955,-0.166159099999998,-0.2304373300132063,-10.64402398073018,-10.445986561767551,-10.904034581619712,-9.129209462055108,-8.723906089868752,-9.045533968791108,5,2,-13.113753204616504,-12.351046681369706,0.011000627064424512
763673393,742602892,brain_observatory_1.1,104,-4.2607125419263285,-7.497937962573998,-4.438052501595773,-7.238961146729538,-4.170517326719352,-8.077007902126342,0.8797144048083254,-0.2675351748764205,0.8380467553968032,-4.112799721431825,-4.006517577544911,-4.363189522520649,-5.585889613882874,-4.861911554484571,-6.252023518816937,9,1,-14.539576080864258,-3.014951083437305,0.5489145076287019
766640955,744912849,functional_connectivity,76,0.732150992838045,-15.061107919458076,-0.3512625617322067,-14.886264054923462,1.6960042502520605,-15.437435242454658,2.120162983691766,-2.047266811984267,0.551171187531196,0.8800638133325478,0.0802723623186549,1.503332054450763,-13.149059570766951,-12.509214462678496,-13.612450859145254,75,2,3.5423074800058183,-10.898095242907367,0.25553466227144933
767871931,753795610,functional_connectivity,143,-1.0449411158096926,-0.0028186099430917,-0.986004519183663,-0.623468285363574,-1.1335522970173368,0.4776168987331763,1.1109270585331108,0.1475477778336738,-1.1010851840967504,-0.8970282953151898,-0.5544695951328014,-1.3262244928186342,1.909229738748032,1.7535813068813928,2.3026012820425814,8,1,18.819693038517705,3.79089950545617,-0.6300641808251242
768515987,754477358,functional_connectivity,104,10.661360242947378,-10.54333787455206,11.19526574653322,-10.80941916192916,9.69765940141964,-10.400117858428594,1.5525309407453745,1.4976063451135797,-0.4093013035005661,10.80927306344188,11.626800670584082,9.504987205618344,-8.631289525860936,-8.432369569684193,-8.57513347511919,4,1,-26.37686711927565,-14.24159621841132,0.12789690150847588
771160300,754488979,functional_connectivity,141,-4.258532328089784,-20.5496142289162,-3.8058167150637994,-21.343060351850205,-4.528065410796147,-20.26282887356451,1.2994395811912074,0.7222486957323486,-1.0802314782856968,-4.110619507595281,-3.374281791012937,-4.720737606597444,-18.637565880225075,-18.96601075960524,-18.437844490255102,10,1,-24.65558233021593,-6.495209750188718,-0.0554363439685901
771990200,756578435,functional_connectivity,97,-13.617409514598014,5.09634683151722,-13.067211459680916,5.187409610026192,-14.778516034421289,4.881823789583629,1.7383745399605006,1.7113045747403728,0.3055858204425625,-13.469496694103512,-12.635676535630054,-14.971188230222586,7.008395180208344,7.564459202271159,6.706808172893034,27,2,2.594860665071252,-7.675163205884716,-0.07861473599039488
778240327,760938797,functional_connectivity,130,-9.383940102588609,-10.980515741158824,-10.145887151175476,-10.734543042813328,-8.938977046707898,-11.381091020351366,1.369180881959893,-1.2069101044675783,0.6465479775380398,-9.236027282094105,-9.714352227124614,-9.131649242509194,-9.068467392467705,-8.35749345056836,-9.556106637041962,11,2,-3.2430311371512577,-10.374111684042365,
778998620,759674770,functional_connectivity,123,-3.924689904458393,-5.832170055149613,-3.513550123389557,-5.784329221336992,-4.269666465484788,-5.832170055149613,0.7576283179523838,0.7561163420952304,0.0478408338126215,-3.77677708396389,-3.0820151993386955,-4.4623386612860845,-3.92012170645849,-3.407279629092025,-4.007185671840208,18,1,2.9191737413803542,0.38854284231970926,-0.03323275480794097
779839471,760960653,functional_connectivity,147,1.92129339945718,-8.789034599252616,2.1120441714561062,-8.67021785034935,1.0042747203448137,-8.962341057355882,1.145639177440784,1.1077694511112923,0.2921232070065329,2.0692062199516825,2.543579095506968,0.8116025245435163,-6.876986250561493,-6.293168258104382,-7.137356674046478,4,1,20.305576337335218,-16.741167692729935,0.1261653614335949
781842082,760946813,functional_connectivity,105,-20.73868877615833,-2.6368579786323947,-19.848619465833224,-2.377049592244967,-21.914227760166305,-2.7495801640683544,2.09893226488152,2.065608294333078,0.3725305718233875,-20.59077595566383,-19.41708454178236,-22.1068999559676,-0.7248096299412712,0.0,-0.9245957807589495,3,1,9.082627748137817,17.48632442297749,0.09760072967359146
787025148,763236014,functional_connectivity,106,-2.240933013823585,-6.958267192322067,-2.218041735944157,-6.685127758721826,-2.263824291703012,-7.658147042993233,0.9740957704332014,0.045782555758854,0.9730192842714064,-2.0930201933290817,-1.786506811893296,-2.456496487504309,-5.046218843630943,-4.308078166476859,-5.833162659683827,6,1,-16.46406263645821,24.107740236691196,-0.18627738666591642
