stimulus_presentation_id,stimulus_block,start_time,stop_time,contrast,color,phase,x_position,spatial_frequency,orientation,size,frame,stimulus_name,temporal_frequency,y_position,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
42,0.0,99.307432,99.557635,0.8,null,"[3644.93333333, 3644.93333333]",20.0,0.08,0.0,"[20.0, 20.0]",null,gabors,4.0,10.0,0.25020259,20,,,0,,False,1,train,0
43,0.0,99.557635,99.807838,0.8,null,"[3644.93333333, 3644.93333333]",40.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,-40.0,0.25020259,38,,,0,,False,0,train,1
44,0.0,99.807838,100.05804,0.8,null,"[3644.93333333, 3644.93333333]",40.0,0.08,90.0,"[20.0, 20.0]",null,gabors,4.0,-20.0,0.25020259,39,,,0,,False,0,train,2
45,0.0,100.05804,100.30826,0.8,null,"[3644.93333333, 3644.93333333]",20.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,-40.0,0.25021741,40,,,0,,False,0,train,1
46,0.0,100.30826,100.55847,0.8,null,"[3644.93333333, 3644.93333333]",20.0,0.08,0.0,"[20.0, 20.0]",null,gabors,4.0,10.0,0.25021741,20,,,0,,False,2,test,0
47,0.0,100.55847,100.80869,0.8,null,"[3644.93333333, 3644.93333333]",-40.0,0.08,90.0,"[20.0, 20.0]",null,gabors,4.0,20.0,0.25021741,41,,,0,,False,0,train,2
48,0.0,100.80869,101.05891,0.8,null,"[3644.93333333, 3644.93333333]",-30.0,0.08,0.0,"[20.0, 20.0]",null,gabors,4.0,20.0,0.25021741,42,,,0,,False,0,train,0
49,0.0,101.05891,101.30911,0.8,null,"[3644.93333333, 3644.93333333]",-30.0,0.08,90.0,"[20.0, 20.0]",null,gabors,4.0,-20.0,0.25020259,34,,,0,,False,1,train,2
50,0.0,101.30911,101.55931,0.8,null,"[3644.93333333, 3644.93333333]",-30.0,0.08,0.0,"[20.0, 20.0]",null,gabors,4.0,-40.0,0.25020259,43,,,0,,False,0,train,0
51,0.0,101.55931,101.80952,0.8,null,"[3644.93333333, 3644.93333333]",20.0,0.08,90.0,"[20.0, 20.0]",null,gabors,4.0,20.0,0.25020259,44,,,0,,False,0,train,2
52,0.0,101.80952,102.05972,0.8,null,"[3644.93333333, 3644.93333333]",-20.0,0.08,90.0,"[20.0, 20.0]",null,gabors,4.0,20.0,0.25020259,10,,,0,,False,1,train,2
53,0.0,102.05972,102.30993,0.8,null,"[3644.93333333, 3644.93333333]",40.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,-10.0,0.25020991,45,,,0,,False,0,train,1
54,0.0,102.30993,102.56014,0.8,null,"[3644.93333333, 3644.93333333]",30.0,0.08,90.0,"[20.0, 20.0]",null,gabors,4.0,-30.0,0.25020991,46,,,0,,False,0,train,2
55,0.0,102.56014,102.81035,0.8,null,"[3644.93333333, 3644.93333333]",30.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,-20.0,0.25020991,17,,,0,,False,2,test,1
56,0.0,102.81035,103.06056,0.8,null,"[3644.93333333, 3644.93333333]",40.0,0.08,0.0,"[20.0, 20.0]",null,gabors,4.0,40.0,0.25020991,47,,,0,,False,0,train,0
57,0.0,103.06056,103.31077,0.8,null,"[3644.93333333, 3644.93333333]",20.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,40.0,0.25020759,48,,,0,,False,0,train,1
58,0.0,103.31077,103.56097,0.8,null,"[3644.93333333, 3644.93333333]",-30.0,0.08,90.0,"[20.0, 20.0]",null,gabors,4.0,10.0,0.25020759,49,,,0,,False,0,train,2
59,0.0,103.56097,103.81118,0.8,null,"[3644.93333333, 3644.93333333]",-40.0,0.08,90.0,"[20.0, 20.0]",null,gabors,4.0,30.0,0.25020759,50,,,0,,False,0,train,2
60,0.0,103.81118,104.06139,0.8,null,"[3644.93333333, 3644.93333333]",-40.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,-20.0,0.25020759,51,,,0,,False,0,train,1
61,0.0,104.06139,104.31161,0.8,null,"[3644.93333333, 3644.93333333]",-40.0,0.08,0.0,"[20.0, 20.0]",null,gabors,4.0,-10.0,0.25021491,52,,,0,,False,0,train,0
62,0.0,104.31161,104.56182,0.8,null,"[3644.93333333, 3644.93333333]",-40.0,0.08,0.0,"[20.0, 20.0]",null,gabors,4.0,20.0,0.25021491,53,,,0,,False,0,train,0
63,0.0,104.56182,104.81203,0.8,null,"[3644.93333333, 3644.93333333]",10.0,0.08,90.0,"[20.0, 20.0]",null,gabors,4.0,0.0,0.25021491,54,,,0,,False,0,train,2
64,0.0,104.81203,105.06225,0.8,null,"[3644.93333333, 3644.93333333]",20.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,10.0,0.25021491,55,,,0,,False,0,train,1
65,0.0,105.06225,105.31245,0.8,null,"[3644.93333333, 3644.93333333]",40.0,0.08,0.0,"[20.0, 20.0]",null,gabors,4.0,-30.0,0.25020009,36,,,0,,False,1,train,0
66,0.0,105.31245,105.56265,0.8,null,"[3644.93333333, 3644.93333333]",-20.0,0.08,0.0,"[20.0, 20.0]",null,gabors,4.0,-40.0,0.25020009,56,,,0,,False,0,train,0
67,0.0,105.56265,105.81285,0.8,null,"[3644.93333333, 3644.93333333]",-20.0,0.08,90.0,"[20.0, 20.0]",null,gabors,4.0,-20.0,0.25020009,57,,,0,,False,0,train,2
68,0.0,105.81285,106.06305,0.8,null,"[3644.93333333, 3644.93333333]",-40.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,30.0,0.25020009,58,,,0,,False,0,train,1
69,0.0,106.06305,106.31327,0.8,null,"[3644.93333333, 3644.93333333]",-10.0,0.08,0.0,"[20.0, 20.0]",null,gabors,4.0,-10.0,0.25021991,59,,,0,,False,0,train,0
70,0.0,106.31327,106.56349,0.8,null,"[3644.93333333, 3644.93333333]",-40.0,0.08,0.0,"[20.0, 20.0]",null,gabors,4.0,40.0,0.25021991,60,,,0,,False,0,train,0
71,0.0,106.56349,106.81371,0.8,null,"[3644.93333333, 3644.93333333]",-30.0,0.08,0.0,"[20.0, 20.0]",null,gabors,4.0,-10.0,0.25021991,61,,,0,,False,0,train,0
72,0.0,106.81371,107.06393,0.8,null,"[3644.93333333, 3644.93333333]",10.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,10.0,0.25021991,62,,,0,,False,0,train,1
73,0.0,107.06393,107.31413,0.8,null,"[3644.93333333, 3644.93333333]",-40.0,0.08,90.0,"[20.0, 20.0]",null,gabors,4.0,-30.0,0.25019759,63,,,0,,False,0,train,2
74,0.0,107.31413,107.56432,0.8,null,"[3644.93333333, 3644.93333333]",30.0,0.08,0.0,"[20.0, 20.0]",null,gabors,4.0,-40.0,0.25019759,64,,,0,,False,0,train,0
75,0.0,107.56432,107.81452,0.8,null,"[3644.93333333, 3644.93333333]",30.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,20.0,0.25019759,65,,,0,,False,0,train,1
76,0.0,107.81452,108.06472,0.8,null,"[3644.93333333, 3644.93333333]",-40.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,30.0,0.25019759,58,,,0,,False,1,train,1
77,0.0,108.06472,108.31495,0.8,null,"[3644.93333333, 3644.93333333]",30.0,0.08,90.0,"[20.0, 20.0]",null,gabors,4.0,-40.0,0.25022991,66,,,0,,False,0,train,2
78,0.0,108.31495,108.56518,0.8,null,"[3644.93333333, 3644.93333333]",20.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,40.0,0.25022991,48,,,0,,False,1,train,1
79,0.0,108.56518,108.81541,0.8,null,"[3644.93333333, 3644.93333333]",0.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,40.0,0.25022991,67,,,0,,False,0,train,1
80,0.0,108.81541,109.06564,0.8,null,"[3644.93333333, 3644.93333333]",10.0,0.08,0.0,"[20.0, 20.0]",null,gabors,4.0,40.0,0.25022991,35,,,0,,False,1,train,0
81,0.0,109.06564,109.31583,0.8,null,"[3644.93333333, 3644.93333333]",40.0,0.08,90.0,"[20.0, 20.0]",null,gabors,4.0,-30.0,0.25019009,68,,,0,,False,0,train,2
82,0.0,109.31583,109.56602,0.8,null,"[3644.93333333, 3644.93333333]",-40.0,0.08,0.0,"[20.0, 20.0]",null,gabors,4.0,0.0,0.25019009,69,,,0,,False,0,train,0
83,0.0,109.56602,109.81621,0.8,null,"[3644.93333333, 3644.93333333]",20.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,30.0,0.25019009,70,,,0,,False,0,train,1
84,0.0,109.81621,110.0664,0.8,null,"[3644.93333333, 3644.93333333]",-20.0,0.08,0.0,"[20.0, 20.0]",null,gabors,4.0,-10.0,0.25019009,71,,,0,,False,0,train,0
85,0.0,110.0664,110.31662,0.8,null,"[3644.93333333, 3644.93333333]",-20.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,-30.0,0.25022241,72,,,0,,False,0,train,1
86,0.0,110.31662,110.56684,0.8,null,"[3644.93333333, 3644.93333333]",40.0,0.08,90.0,"[20.0, 20.0]",null,gabors,4.0,10.0,0.25022241,73,,,0,,False,0,train,2
87,0.0,110.56684,110.81707,0.8,null,"[3644.93333333, 3644.93333333]",-40.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,30.0,0.25022241,58,,,0,,False,2,test,1
88,0.0,110.81707,111.06729,0.8,null,"[3644.93333333, 3644.93333333]",-40.0,0.08,90.0,"[20.0, 20.0]",null,gabors,4.0,20.0,0.25022241,41,,,0,,False,1,train,2
89,0.0,111.06729,111.31748,0.8,null,"[3644.93333333, 3644.93333333]",40.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,-30.0,0.25019259,74,,,0,,False,0,train,1
90,0.0,111.31748,111.56767,0.8,null,"[3644.93333333, 3644.93333333]",-10.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,-10.0,0.25019259,4,,,0,,False,1,train,1
91,0.0,111.56767,111.81787,0.8,null,"[3644.93333333, 3644.93333333]",0.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,10.0,0.25019259,30,,,0,,False,1,train,1
92,0.0,111.81787,112.06806,0.8,null,"[3644.93333333, 3644.93333333]",40.0,0.08,0.0,"[20.0, 20.0]",null,gabors,4.0,-20.0,0.25019259,75,,,0,,False,0,train,0
93,0.0,112.06806,112.31828,0.8,null,"[3644.93333333, 3644.93333333]",-10.0,0.08,0.0,"[20.0, 20.0]",null,gabors,4.0,10.0,0.25022241,11,,,0,,False,1,train,0
94,0.0,112.31828,112.5685,0.8,null,"[3644.93333333, 3644.93333333]",0.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,10.0,0.25022241,30,,,0,,False,2,test,1
95,0.0,112.5685,112.81873,0.8,null,"[3644.93333333, 3644.93333333]",30.0,0.08,0.0,"[20.0, 20.0]",null,gabors,4.0,10.0,0.25022241,76,,,0,,False,0,train,0
96,0.0,112.81873,113.06895,0.8,null,"[3644.93333333, 3644.93333333]",30.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,-30.0,0.25022241,77,,,0,,False,0,train,1
97,0.0,113.06895,113.31915,0.8,null,"[3644.93333333, 3644.93333333]",-10.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,20.0,0.25019759,13,,,0,,False,1,train,1
98,0.0,113.31915,113.56934,0.8,null,"[3644.93333333, 3644.93333333]",-10.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,10.0,0.25019759,78,,,0,,False,0,train,1
99,0.0,113.56934,113.81954,0.8,null,"[3644.93333333, 3644.93333333]",-40.0,0.08,90.0,"[20.0, 20.0]",null,gabors,4.0,30.0,0.25019759,50,,,0,,False,1,train,2
100,0.0,113.81954,114.06974,0.8,null,"[3644.93333333, 3644.93333333]",30.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,-10.0,0.25019759,79,,,0,,False,0,train,1
101,0.0,114.06974,114.31996,0.8,null,"[3644.93333333, 3644.93333333]",-40.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,-30.0,0.25021491,80,,,0,,False,0,train,1
102,0.0,114.31996,114.57017,0.8,null,"[3644.93333333, 3644.93333333]",-10.0,0.08,0.0,"[20.0, 20.0]",null,gabors,4.0,0.0,0.25021491,81,,,0,,False,0,train,0
103,0.0,114.57017,114.82038,0.8,null,"[3644.93333333, 3644.93333333]",30.0,0.08,90.0,"[20.0, 20.0]",null,gabors,4.0,0.0,0.25021491,82,,,0,,False,0,train,2
104,0.0,114.82038,115.0706,0.8,null,"[3644.93333333, 3644.93333333]",-10.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,-40.0,0.25021491,83,,,0,,False,0,train,1
105,0.0,115.0706,115.3208,0.8,null,"[3644.93333333, 3644.93333333]",0.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,-20.0,0.25020259,84,,,0,,False,0,train,1
106,0.0,115.3208,115.571,0.8,null,"[3644.93333333, 3644.93333333]",10.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,-20.0,0.25020259,85,,,0,,False,0,train,1
107,0.0,115.571,115.82121,0.8,null,"[3644.93333333, 3644.93333333]",-20.0,0.08,90.0,"[20.0, 20.0]",null,gabors,4.0,30.0,0.25020259,1,,,0,,False,1,train,2
108,0.0,115.82121,116.07141,0.8,null,"[3644.93333333, 3644.93333333]",-10.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,-10.0,0.25020259,4,,,0,,False,2,test,1
109,0.0,116.07141,116.32163,0.8,null,"[3644.93333333, 3644.93333333]",-20.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,-40.0,0.25021491,86,,,0,,False,0,train,1
110,0.0,116.32163,116.57184,0.8,null,"[3644.93333333, 3644.93333333]",-10.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,-10.0,0.25021491,4,,,0,,False,3,train,1
111,0.0,116.57184,116.82205,0.8,null,"[3644.93333333, 3644.93333333]",20.0,0.08,90.0,"[20.0, 20.0]",null,gabors,4.0,10.0,0.25021491,87,,,0,,False,0,train,2
112,0.0,116.82205,117.07227,0.8,null,"[3644.93333333, 3644.93333333]",0.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,-10.0,0.25021491,88,,,0,,False,0,train,1
113,0.0,117.07227,117.32247,0.8,null,"[3644.93333333, 3644.93333333]",-30.0,0.08,90.0,"[20.0, 20.0]",null,gabors,4.0,-30.0,0.25020009,89,,,0,,False,0,train,2
114,0.0,117.32247,117.57267,0.8,null,"[3644.93333333, 3644.93333333]",20.0,0.08,0.0,"[20.0, 20.0]",null,gabors,4.0,20.0,0.25020009,90,,,0,,False,0,train,0
115,0.0,117.57267,117.82287,0.8,null,"[3644.93333333, 3644.93333333]",10.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,0.0,0.25020009,19,,,0,,False,1,train,1
116,0.0,117.82287,118.07307,0.8,null,"[3644.93333333, 3644.93333333]",40.0,0.08,90.0,"[20.0, 20.0]",null,gabors,4.0,-30.0,0.25020009,68,,,0,,False,1,train,2
117,0.0,118.07307,118.32329,0.8,null,"[3644.93333333, 3644.93333333]",0.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,-30.0,0.25022241,91,,,0,,False,0,train,1
118,0.0,118.32329,118.57351,0.8,null,"[3644.93333333, 3644.93333333]",-20.0,0.08,90.0,"[20.0, 20.0]",null,gabors,4.0,-40.0,0.25022241,16,,,0,,False,1,train,2
119,0.0,118.57351,118.82374,0.8,null,"[3644.93333333, 3644.93333333]",20.0,0.08,90.0,"[20.0, 20.0]",null,gabors,4.0,-30.0,0.25022241,92,,,0,,False,0,train,2
120,0.0,118.82374,119.07396,0.8,null,"[3644.93333333, 3644.93333333]",-10.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,0.0,0.25022241,93,,,0,,False,0,train,1
121,0.0,119.07396,119.32416,0.8,null,"[3644.93333333, 3644.93333333]",20.0,0.08,90.0,"[20.0, 20.0]",null,gabors,4.0,0.0,0.25019759,94,,,0,,False,0,train,2
122,0.0,119.32416,119.57435,0.8,null,"[3644.93333333, 3644.93333333]",-20.0,0.08,90.0,"[20.0, 20.0]",null,gabors,4.0,-10.0,0.25019759,95,,,0,,False,0,train,2
123,0.0,119.57435,119.82455,0.8,null,"[3644.93333333, 3644.93333333]",-30.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,-30.0,0.25019759,96,,,0,,False,0,train,1
124,0.0,119.82455,120.07475,0.8,null,"[3644.93333333, 3644.93333333]",40.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,40.0,0.25019759,97,,,0,,False,0,train,1
125,0.0,120.07475,120.32497,0.8,null,"[3644.93333333, 3644.93333333]",-20.0,0.08,0.0,"[20.0, 20.0]",null,gabors,4.0,-30.0,0.25022241,98,,,0,,False,0,train,0
126,0.0,120.32497,120.57519,0.8,null,"[3644.93333333, 3644.93333333]",-30.0,0.08,0.0,"[20.0, 20.0]",null,gabors,4.0,40.0,0.25022241,99,,,0,,False,0,train,0
127,0.0,120.57519,120.82542,0.8,null,"[3644.93333333, 3644.93333333]",30.0,0.08,0.0,"[20.0, 20.0]",null,gabors,4.0,-10.0,0.25022241,100,,,0,,False,0,train,0
128,0.0,120.82542,121.07564,0.8,null,"[3644.93333333, 3644.93333333]",20.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,20.0,0.25022241,12,,,0,,False,1,train,1
129,0.0,121.07564,121.32583,0.8,null,"[3644.93333333, 3644.93333333]",0.0,0.08,90.0,"[20.0, 20.0]",null,gabors,4.0,-40.0,0.25019509,101,,,0,,False,0,train,2
130,0.0,121.32583,121.57603,0.8,null,"[3644.93333333, 3644.93333333]",-30.0,0.08,0.0,"[20.0, 20.0]",null,gabors,4.0,10.0,0.25019509,8,,,0,,False,2,test,0
131,0.0,121.57603,121.82623,0.8,null,"[3644.93333333, 3644.93333333]",10.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,30.0,0.25019509,102,,,0,,False,0,train,1
132,0.0,121.82623,122.07642,0.8,null,"[3644.93333333, 3644.93333333]",-20.0,0.08,0.0,"[20.0, 20.0]",null,gabors,4.0,10.0,0.25019509,103,,,0,,False,0,train,0
133,0.0,122.07642,122.32664,0.8,null,"[3644.93333333, 3644.93333333]",40.0,0.08,0.0,"[20.0, 20.0]",null,gabors,4.0,0.0,0.25021991,104,,,0,,False,0,train,0
134,0.0,122.32664,122.57686,0.8,null,"[3644.93333333, 3644.93333333]",-40.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,0.0,0.25021991,26,,,0,,False,1,train,1
135,0.0,122.57686,122.82708,0.8,null,"[3644.93333333, 3644.93333333]",-20.0,0.08,0.0,"[20.0, 20.0]",null,gabors,4.0,10.0,0.25021991,103,,,0,,False,1,train,0
136,0.0,122.82708,123.0773,0.8,null,"[3644.93333333, 3644.93333333]",10.0,0.08,90.0,"[20.0, 20.0]",null,gabors,4.0,10.0,0.25021991,105,,,0,,False,0,train,2
