stimulus_presentation_id,stimulus_block,start_time,stop_time,Dir,y_position,spatial_frequency,size,x_position,color,frame,Speed,stimulus_name,coherence,orientation,temporal_frequency,contrast,phase,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
15,0.0,72.62889,72.879104,null,10.0,0.08,"[20.0, 20.0]",0.0,null,null,null,gabors,null,90.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25021464,15,,,0,,False,0,train,2
16,0.0,72.879104,73.129319,null,-10.0,0.08,"[20.0, 20.0]",-20.0,null,null,null,gabors,null,90.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25021464,16,,,0,,False,0,train,2
17,0.0,73.129319,73.379524,null,-40.0,0.08,"[20.0, 20.0]",10.0,null,null,null,gabors,null,45.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020536,17,,,0,,False,0,train,1
18,0.0,73.379524,73.62973,null,40.0,0.08,"[20.0, 20.0]",0.0,null,null,null,gabors,null,0.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020536,18,,,0,,False,0,train,0
19,0.0,73.62973,73.879935,null,10.0,0.08,"[20.0, 20.0]",-40.0,null,null,null,gabors,null,0.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020536,19,,,0,,False,0,train,0
20,0.0,73.879935,74.130141,null,30.0,0.08,"[20.0, 20.0]",10.0,null,null,null,gabors,null,45.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020536,20,,,0,,False,0,train,1
21,0.0,74.130141,74.380353,null,20.0,0.08,"[20.0, 20.0]",10.0,null,null,null,gabors,null,0.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25021214,21,,,0,,False,0,train,0
22,0.0,74.380353,74.630565,null,-30.0,0.08,"[20.0, 20.0]",40.0,null,null,null,gabors,null,0.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25021214,22,,,0,,False,0,train,0
23,0.0,74.630565,74.880777,null,-10.0,0.08,"[20.0, 20.0]",10.0,null,null,null,gabors,null,0.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25021214,23,,,0,,False,0,train,0
24,0.0,74.880777,75.130989,null,40.0,0.08,"[20.0, 20.0]",-20.0,null,null,null,gabors,null,0.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25021214,3,,,0,,False,1,train,0
25,0.0,75.130989,75.381192,null,-10.0,0.08,"[20.0, 20.0]",20.0,null,null,null,gabors,null,0.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020286,1,,,0,,False,1,train,0
26,0.0,75.381192,75.631395,null,20.0,0.08,"[20.0, 20.0]",20.0,null,null,null,gabors,null,90.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020286,24,,,0,,False,0,train,2
27,0.0,75.631395,75.881598,null,-10.0,0.08,"[20.0, 20.0]",10.0,null,null,null,gabors,null,45.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020286,25,,,0,,False,0,train,1
28,0.0,75.881598,76.131801,null,20.0,0.08,"[20.0, 20.0]",-20.0,null,null,null,gabors,null,90.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020286,26,,,0,,False,0,train,2
29,0.0,76.131801,76.38201,null,-10.0,0.08,"[20.0, 20.0]",30.0,null,null,null,gabors,null,0.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020964,27,,,0,,False,0,train,0
30,0.0,76.38201,76.63222,null,20.0,0.08,"[20.0, 20.0]",-30.0,null,null,null,gabors,null,90.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020964,28,,,0,,False,0,train,2
31,0.0,76.63222,76.882429,null,-20.0,0.08,"[20.0, 20.0]",-10.0,null,null,null,gabors,null,45.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020964,29,,,0,,False,0,train,1
32,0.0,76.882429,77.132639,null,20.0,0.08,"[20.0, 20.0]",40.0,null,null,null,gabors,null,0.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020964,30,,,0,,False,0,train,0
33,0.0,77.132639,77.382847,null,-20.0,0.08,"[20.0, 20.0]",-10.0,null,null,null,gabors,null,45.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020786,29,,,0,,False,1,train,1
34,0.0,77.382847,77.633055,null,-40.0,0.08,"[20.0, 20.0]",-40.0,null,null,null,gabors,null,90.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020786,31,,,0,,False,0,train,2
35,0.0,77.633055,77.883263,null,-10.0,0.08,"[20.0, 20.0]",10.0,null,null,null,gabors,null,90.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020786,10,,,0,,False,1,train,2
36,0.0,77.883263,78.133471,null,-20.0,0.08,"[20.0, 20.0]",-20.0,null,null,null,gabors,null,45.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020786,32,,,0,,False,0,train,1
37,0.0,78.133471,78.383683,null,-40.0,0.08,"[20.0, 20.0]",-10.0,null,null,null,gabors,null,90.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25021214,33,,,0,,False,0,train,2
38,0.0,78.383683,78.633895,null,40.0,0.08,"[20.0, 20.0]",-40.0,null,null,null,gabors,null,45.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25021214,34,,,0,,False,0,train,1
39,0.0,78.633895,78.884107,null,20.0,0.08,"[20.0, 20.0]",20.0,null,null,null,gabors,null,45.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25021214,5,,,0,,False,1,train,1
40,0.0,78.884107,79.134319,null,10.0,0.08,"[20.0, 20.0]",20.0,null,null,null,gabors,null,45.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25021214,14,,,0,,False,1,train,1
41,0.0,79.134319,79.401207,null,20.0,0.08,"[20.0, 20.0]",20.0,null,null,null,gabors,null,90.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.26688824,24,,,0,,False,1,train,2
42,0.0,79.401207,79.651415,null,10.0,0.08,"[20.0, 20.0]",30.0,null,null,null,gabors,null,45.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020773,12,,,0,,False,1,train,1
43,0.0,79.651415,79.901623,null,10.0,0.08,"[20.0, 20.0]",-40.0,null,null,null,gabors,null,45.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020773,35,,,0,,False,0,train,1
44,0.0,79.901623,80.151831,null,20.0,0.08,"[20.0, 20.0]",-20.0,null,null,null,gabors,null,45.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020773,36,,,0,,False,0,train,1
45,0.0,80.151831,80.402045,null,30.0,0.08,"[20.0, 20.0]",-40.0,null,null,null,gabors,null,0.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25021464,37,,,0,,False,0,train,0
46,0.0,80.402045,80.65226,null,10.0,0.08,"[20.0, 20.0]",40.0,null,null,null,gabors,null,45.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25021464,38,,,0,,False,0,train,1
47,0.0,80.65226,80.902474,null,10.0,0.08,"[20.0, 20.0]",40.0,null,null,null,gabors,null,90.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25021464,39,,,0,,False,0,train,2
48,0.0,80.902474,81.152689,null,-30.0,0.08,"[20.0, 20.0]",0.0,null,null,null,gabors,null,0.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25021464,40,,,0,,False,0,train,0
49,0.0,81.152689,81.402892,null,20.0,0.08,"[20.0, 20.0]",-30.0,null,null,null,gabors,null,45.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020286,41,,,0,,False,0,train,1
50,0.0,81.402892,81.653095,null,-40.0,0.08,"[20.0, 20.0]",30.0,null,null,null,gabors,null,90.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020286,42,,,0,,False,0,train,2
51,0.0,81.653095,81.903298,null,-10.0,0.08,"[20.0, 20.0]",10.0,null,null,null,gabors,null,90.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020286,10,,,0,,False,2,test,2
52,0.0,81.903298,82.153501,null,-30.0,0.08,"[20.0, 20.0]",-30.0,null,null,null,gabors,null,0.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020286,43,,,0,,False,0,train,0
53,0.0,82.153501,82.403698,null,20.0,0.08,"[20.0, 20.0]",-20.0,null,null,null,gabors,null,90.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25019714,26,,,0,,False,1,train,2
54,0.0,82.403698,82.653895,null,0.0,0.08,"[20.0, 20.0]",-20.0,null,null,null,gabors,null,90.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25019714,44,,,0,,False,0,train,2
55,0.0,82.653895,82.904092,null,40.0,0.08,"[20.0, 20.0]",40.0,null,null,null,gabors,null,0.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25019714,45,,,0,,False,0,train,0
56,0.0,82.904092,83.154289,null,-30.0,0.08,"[20.0, 20.0]",-30.0,null,null,null,gabors,null,45.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25019714,46,,,0,,False,0,train,1
57,0.0,83.154289,83.404512,null,-30.0,0.08,"[20.0, 20.0]",-40.0,null,null,null,gabors,null,45.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25022286,47,,,0,,False,0,train,1
58,0.0,83.404512,83.654735,null,20.0,0.08,"[20.0, 20.0]",-10.0,null,null,null,gabors,null,0.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25022286,48,,,0,,False,0,train,0
59,0.0,83.654735,83.904958,null,20.0,0.08,"[20.0, 20.0]",10.0,null,null,null,gabors,null,0.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25022286,21,,,0,,False,1,train,0
60,0.0,83.904958,84.155181,null,20.0,0.08,"[20.0, 20.0]",20.0,null,null,null,gabors,null,90.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25022286,24,,,0,,False,2,test,2
61,0.0,84.155181,84.40539,null,30.0,0.08,"[20.0, 20.0]",-20.0,null,null,null,gabors,null,45.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020964,49,,,0,,False,0,train,1
62,0.0,84.40539,84.6556,null,20.0,0.08,"[20.0, 20.0]",-10.0,null,null,null,gabors,null,90.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020964,50,,,0,,False,0,train,2
63,0.0,84.6556,84.905809,null,-20.0,0.08,"[20.0, 20.0]",-10.0,null,null,null,gabors,null,45.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020964,29,,,0,,False,2,test,1
64,0.0,84.905809,85.156019,null,40.0,0.08,"[20.0, 20.0]",20.0,null,null,null,gabors,null,45.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020964,7,,,0,,False,1,train,1
65,0.0,85.156019,85.406222,null,10.0,0.08,"[20.0, 20.0]",30.0,null,null,null,gabors,null,90.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020286,51,,,0,,False,0,train,2
66,0.0,85.406222,85.656425,null,-30.0,0.08,"[20.0, 20.0]",-10.0,null,null,null,gabors,null,0.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020286,52,,,0,,False,0,train,0
67,0.0,85.656425,85.906628,null,-40.0,0.08,"[20.0, 20.0]",-40.0,null,null,null,gabors,null,0.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020286,53,,,0,,False,0,train,0
68,0.0,85.906628,86.156831,null,-20.0,0.08,"[20.0, 20.0]",-30.0,null,null,null,gabors,null,0.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020286,54,,,0,,False,0,train,0
69,0.0,86.156831,86.407035,null,-40.0,0.08,"[20.0, 20.0]",20.0,null,null,null,gabors,null,90.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020464,55,,,0,,False,0,train,2
70,0.0,86.407035,86.65724,null,10.0,0.08,"[20.0, 20.0]",40.0,null,null,null,gabors,null,0.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020464,56,,,0,,False,0,train,0
71,0.0,86.65724,86.907444,null,10.0,0.08,"[20.0, 20.0]",-20.0,null,null,null,gabors,null,90.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020464,57,,,0,,False,0,train,2
72,0.0,86.907444,87.157649,null,10.0,0.08,"[20.0, 20.0]",10.0,null,null,null,gabors,null,45.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020464,58,,,0,,False,0,train,1
73,0.0,87.157649,87.407864,null,0.0,0.08,"[20.0, 20.0]",30.0,null,null,null,gabors,null,90.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25021536,59,,,0,,False,0,train,2
74,0.0,87.407864,87.65808,null,30.0,0.08,"[20.0, 20.0]",-10.0,null,null,null,gabors,null,45.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25021536,60,,,0,,False,0,train,1
75,0.0,87.65808,87.908295,null,-40.0,0.08,"[20.0, 20.0]",30.0,null,null,null,gabors,null,45.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25021536,61,,,0,,False,0,train,1
76,0.0,87.908295,88.158511,null,40.0,0.08,"[20.0, 20.0]",10.0,null,null,null,gabors,null,0.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25021536,62,,,0,,False,0,train,0
77,0.0,88.158511,88.40872,null,-30.0,0.08,"[20.0, 20.0]",40.0,null,null,null,gabors,null,45.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020964,63,,,0,,False,0,train,1
78,0.0,88.40872,88.65893,null,20.0,0.08,"[20.0, 20.0]",30.0,null,null,null,gabors,null,90.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020964,64,,,0,,False,0,train,2
79,0.0,88.65893,88.909139,null,40.0,0.08,"[20.0, 20.0]",0.0,null,null,null,gabors,null,0.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020964,18,,,0,,False,1,train,0
80,0.0,88.909139,89.159349,null,-40.0,0.08,"[20.0, 20.0]",-20.0,null,null,null,gabors,null,90.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020964,65,,,0,,False,0,train,2
81,0.0,89.159349,89.409559,null,-30.0,0.08,"[20.0, 20.0]",30.0,null,null,null,gabors,null,0.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25021036,66,,,0,,False,0,train,0
82,0.0,89.409559,89.65977,null,40.0,0.08,"[20.0, 20.0]",-10.0,null,null,null,gabors,null,45.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25021036,67,,,0,,False,0,train,1
83,0.0,89.65977,89.90998,null,10.0,0.08,"[20.0, 20.0]",40.0,null,null,null,gabors,null,90.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25021036,39,,,0,,False,1,train,2
84,0.0,89.90998,90.160191,null,-40.0,0.08,"[20.0, 20.0]",10.0,null,null,null,gabors,null,45.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25021036,17,,,0,,False,1,train,1
85,0.0,90.160191,90.41039,null,-40.0,0.08,"[20.0, 20.0]",10.0,null,null,null,gabors,null,0.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25019964,68,,,0,,False,0,train,0
86,0.0,90.41039,90.66059,null,30.0,0.08,"[20.0, 20.0]",0.0,null,null,null,gabors,null,0.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25019964,69,,,0,,False,0,train,0
87,0.0,90.66059,90.910789,null,-10.0,0.08,"[20.0, 20.0]",30.0,null,null,null,gabors,null,90.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25019964,70,,,0,,False,0,train,2
88,0.0,90.910789,91.160989,null,10.0,0.08,"[20.0, 20.0]",40.0,null,null,null,gabors,null,0.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25019964,56,,,0,,False,1,train,0
89,0.0,91.160989,91.411207,null,-30.0,0.08,"[20.0, 20.0]",40.0,null,null,null,gabors,null,45.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25021786,63,,,0,,False,1,train,1
90,0.0,91.411207,91.661425,null,40.0,0.08,"[20.0, 20.0]",0.0,null,null,null,gabors,null,45.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25021786,71,,,0,,False,0,train,1
91,0.0,91.661425,91.911643,null,-20.0,0.08,"[20.0, 20.0]",30.0,null,null,null,gabors,null,45.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25021786,72,,,0,,False,0,train,1
92,0.0,91.911643,92.161861,null,30.0,0.08,"[20.0, 20.0]",20.0,null,null,null,gabors,null,45.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25021786,73,,,0,,False,0,train,1
93,0.0,92.161861,92.412065,null,-20.0,0.08,"[20.0, 20.0]",-10.0,null,null,null,gabors,null,45.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020464,29,,,0,,False,3,train,1
94,0.0,92.412065,92.66227,null,-40.0,0.08,"[20.0, 20.0]",-10.0,null,null,null,gabors,null,45.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020464,74,,,0,,False,0,train,1
95,0.0,92.66227,92.912474,null,30.0,0.08,"[20.0, 20.0]",-40.0,null,null,null,gabors,null,45.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020464,75,,,0,,False,0,train,1
96,0.0,92.912474,93.162679,null,30.0,0.08,"[20.0, 20.0]",20.0,null,null,null,gabors,null,90.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020464,76,,,0,,False,0,train,2
97,0.0,93.162679,93.412889,null,-30.0,0.08,"[20.0, 20.0]",20.0,null,null,null,gabors,null,45.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25021036,77,,,0,,False,0,train,1
98,0.0,93.412889,93.6631,null,40.0,0.08,"[20.0, 20.0]",-20.0,null,null,null,gabors,null,45.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25021036,78,,,0,,False,0,train,1
99,0.0,93.6631,93.91331,null,30.0,0.08,"[20.0, 20.0]",-20.0,null,null,null,gabors,null,45.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25021036,49,,,0,,False,1,train,1
100,0.0,93.91331,94.163521,null,-20.0,0.08,"[20.0, 20.0]",40.0,null,null,null,gabors,null,90.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25021036,79,,,0,,False,0,train,2
101,0.0,94.163521,94.413733,null,-30.0,0.08,"[20.0, 20.0]",-30.0,null,null,null,gabors,null,90.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25021214,80,,,0,,False,0,train,2
102,0.0,94.413733,94.663945,null,10.0,0.08,"[20.0, 20.0]",-10.0,null,null,null,gabors,null,90.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25021214,81,,,0,,False,0,train,2
103,0.0,94.663945,94.914157,null,-10.0,0.08,"[20.0, 20.0]",20.0,null,null,null,gabors,null,90.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25021214,82,,,0,,False,0,train,2
104,0.0,94.914157,95.164369,null,40.0,0.08,"[20.0, 20.0]",-10.0,null,null,null,gabors,null,0.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25021214,83,,,0,,False,0,train,0
105,0.0,95.164369,95.414574,null,-30.0,0.08,"[20.0, 20.0]",0.0,null,null,null,gabors,null,90.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020536,84,,,0,,False,0,train,2
106,0.0,95.414574,95.66478,null,-30.0,0.08,"[20.0, 20.0]",10.0,null,null,null,gabors,null,90.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020536,85,,,0,,False,0,train,2
107,0.0,95.66478,95.914985,null,10.0,0.08,"[20.0, 20.0]",-40.0,null,null,null,gabors,null,45.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020536,35,,,0,,False,1,train,1
108,0.0,95.914985,96.165191,null,-40.0,0.08,"[20.0, 20.0]",-30.0,null,null,null,gabors,null,90.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020536,86,,,0,,False,0,train,2
109,0.0,96.165191,96.415398,null,-30.0,0.08,"[20.0, 20.0]",10.0,null,null,null,gabors,null,0.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020714,87,,,0,,False,0,train,0
110,0.0,96.415398,96.665605,null,-20.0,0.08,"[20.0, 20.0]",-30.0,null,null,null,gabors,null,0.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020714,54,,,0,,False,1,train,0
111,0.0,96.665605,96.915812,null,30.0,0.08,"[20.0, 20.0]",-10.0,null,null,null,gabors,null,0.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020714,88,,,0,,False,0,train,0
112,0.0,96.915812,97.166019,null,-40.0,0.08,"[20.0, 20.0]",0.0,null,null,null,gabors,null,0.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020714,89,,,0,,False,0,train,0
113,0.0,97.166019,97.416232,null,0.0,0.08,"[20.0, 20.0]",10.0,null,null,null,gabors,null,0.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25021286,90,,,0,,False,0,train,0
114,0.0,97.416232,97.666445,null,10.0,0.08,"[20.0, 20.0]",20.0,null,null,null,gabors,null,45.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25021286,14,,,0,,False,2,test,1
115,0.0,97.666445,97.916658,null,-10.0,0.08,"[20.0, 20.0]",-40.0,null,null,null,gabors,null,90.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25021286,91,,,0,,False,0,train,2
116,0.0,97.916658,98.166871,null,40.0,0.08,"[20.0, 20.0]",10.0,null,null,null,gabors,null,0.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25021286,62,,,0,,False,1,train,0
117,0.0,98.166871,98.417083,null,-40.0,0.08,"[20.0, 20.0]",30.0,null,null,null,gabors,null,45.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25021214,61,,,0,,False,1,train,1
118,0.0,98.417083,98.667295,null,20.0,0.08,"[20.0, 20.0]",30.0,null,null,null,gabors,null,90.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25021214,64,,,0,,False,1,train,2
119,0.0,98.667295,98.917507,null,30.0,0.08,"[20.0, 20.0]",-30.0,null,null,null,gabors,null,90.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25021214,92,,,0,,False,0,train,2
120,0.0,98.917507,99.167719,null,-10.0,0.08,"[20.0, 20.0]",20.0,null,null,null,gabors,null,45.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25021214,93,,,0,,False,0,train,1
121,0.0,99.167719,99.417922,null,10.0,0.08,"[20.0, 20.0]",10.0,null,null,null,gabors,null,0.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020286,94,,,0,,False,0,train,0
122,0.0,99.417922,99.668125,null,10.0,0.08,"[20.0, 20.0]",-10.0,null,null,null,gabors,null,0.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020286,95,,,0,,False,0,train,0
123,0.0,99.668125,99.918328,null,-10.0,0.08,"[20.0, 20.0]",-20.0,null,null,null,gabors,null,0.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020286,96,,,0,,False,0,train,0
124,0.0,99.918328,100.16853,null,0.0,0.08,"[20.0, 20.0]",40.0,null,null,null,gabors,null,90.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020286,97,,,0,,False,0,train,2
125,0.0,100.16853,100.41874,null,40.0,0.08,"[20.0, 20.0]",20.0,null,null,null,gabors,null,0.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020714,98,,,0,,False,0,train,0
126,0.0,100.41874,100.66894,null,-30.0,0.08,"[20.0, 20.0]",0.0,null,null,null,gabors,null,45.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020714,99,,,0,,False,0,train,1
127,0.0,100.66894,100.91915,null,-40.0,0.08,"[20.0, 20.0]",10.0,null,null,null,gabors,null,45.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020714,17,,,0,,False,2,test,1
128,0.0,100.91915,101.16936,null,30.0,0.08,"[20.0, 20.0]",20.0,null,null,null,gabors,null,45.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25020714,73,,,0,,False,1,train,1
129,0.0,101.16936,101.41957,null,30.0,0.08,"[20.0, 20.0]",-20.0,null,null,null,gabors,null,45.0,4.0,0.8,"[3644.93333333, 3644.93333333]",0.25021286,49,,,0,,False,2,test,1
