stimulus_presentation_id,stimulus_block,start_time,stop_time,temporal_frequency,size,contrast,coherence,frame,spatial_frequency,orientation,color,phase,y_position,stimulus_name,x_position,Speed,Dir,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
3183,0.0,865.14278,865.39301,4.0,"[20.0, 20.0]",0.8,null,null,0.08,0.0,null,"[3644.93333333, 3644.93333333]",20.0,gabors,-20.0,null,null,0.25022711,150,,,0,,False,10,train,0
3184,0.0,865.39301,865.64323,4.0,"[20.0, 20.0]",0.8,null,null,0.08,90.0,null,"[3644.93333333, 3644.93333333]",20.0,gabors,-40.0,null,null,0.25022711,29,,,0,,False,13,train,2
3185,0.0,865.64323,865.89342,4.0,"[20.0, 20.0]",0.8,null,null,0.08,90.0,null,"[3644.93333333, 3644.93333333]",-30.0,gabors,-20.0,null,null,0.25018789,33,,,0,,False,14,test,2
3186,0.0,865.89342,866.14361,4.0,"[20.0, 20.0]",0.8,null,null,0.08,0.0,null,"[3644.93333333, 3644.93333333]",0.0,gabors,20.0,null,null,0.25018789,88,,,0,,False,12,train,0
3187,0.0,866.14361,866.3938,4.0,"[20.0, 20.0]",0.8,null,null,0.08,45.0,null,"[3644.93333333, 3644.93333333]",-20.0,gabors,10.0,null,null,0.25018789,164,,,0,,False,10,train,1
3188,0.0,866.3938,866.64399,4.0,"[20.0, 20.0]",0.8,null,null,0.08,90.0,null,"[3644.93333333, 3644.93333333]",0.0,gabors,-30.0,null,null,0.25018789,130,,,0,,False,13,train,2
3189,0.0,866.64399,866.89421,4.0,"[20.0, 20.0]",0.8,null,null,0.08,45.0,null,"[3644.93333333, 3644.93333333]",0.0,gabors,-40.0,null,null,0.25021961,167,,,0,,False,13,train,1
3190,0.0,866.89421,867.14442,4.0,"[20.0, 20.0]",0.8,null,null,0.08,45.0,null,"[3644.93333333, 3644.93333333]",40.0,gabors,-10.0,null,null,0.25021961,191,,,0,,False,12,train,1
3191,0.0,867.14442,867.39464,4.0,"[20.0, 20.0]",0.8,null,null,0.08,90.0,null,"[3644.93333333, 3644.93333333]",-20.0,gabors,40.0,null,null,0.25021961,138,,,0,,False,11,test,2
3192,0.0,867.39464,867.64486,4.0,"[20.0, 20.0]",0.8,null,null,0.08,45.0,null,"[3644.93333333, 3644.93333333]",10.0,gabors,-20.0,null,null,0.25021961,160,,,0,,False,11,test,1
3193,0.0,867.64486,867.89506,4.0,"[20.0, 20.0]",0.8,null,null,0.08,45.0,null,"[3644.93333333, 3644.93333333]",10.0,gabors,-30.0,null,null,0.25019789,237,,,0,,False,13,train,1
3194,0.0,867.89506,868.14526,4.0,"[20.0, 20.0]",0.8,null,null,0.08,90.0,null,"[3644.93333333, 3644.93333333]",-40.0,gabors,40.0,null,null,0.25019789,153,,,0,,False,12,train,2
3195,0.0,868.14526,868.39546,4.0,"[20.0, 20.0]",0.8,null,null,0.08,45.0,null,"[3644.93333333, 3644.93333333]",40.0,gabors,40.0,null,null,0.25019789,101,,,0,,False,14,test,1
3196,0.0,868.39546,868.64566,4.0,"[20.0, 20.0]",0.8,null,null,0.08,90.0,null,"[3644.93333333, 3644.93333333]",-30.0,gabors,0.0,null,null,0.25019789,238,,,0,,False,14,test,2
3197,0.0,868.64566,868.89586,4.0,"[20.0, 20.0]",0.8,null,null,0.08,90.0,null,"[3644.93333333, 3644.93333333]",-20.0,gabors,10.0,null,null,0.25020461,126,,,0,,False,14,test,2
3198,0.0,868.89586,869.14606,4.0,"[20.0, 20.0]",0.8,null,null,0.08,0.0,null,"[3644.93333333, 3644.93333333]",-10.0,gabors,-30.0,null,null,0.25020461,70,,,0,,False,13,train,0
3199,0.0,869.14606,869.39627,4.0,"[20.0, 20.0]",0.8,null,null,0.08,0.0,null,"[3644.93333333, 3644.93333333]",40.0,gabors,-20.0,null,null,0.25020461,124,,,0,,False,11,test,0
3200,0.0,869.39627,869.64647,4.0,"[20.0, 20.0]",0.8,null,null,0.08,0.0,null,"[3644.93333333, 3644.93333333]",40.0,gabors,40.0,null,null,0.25020461,234,,,0,,False,8,test,0
3201,0.0,869.64647,869.89668,4.0,"[20.0, 20.0]",0.8,null,null,0.08,90.0,null,"[3644.93333333, 3644.93333333]",30.0,gabors,40.0,null,null,0.25020539,28,,,0,,False,14,test,2
3202,0.0,869.89668,870.14688,4.0,"[20.0, 20.0]",0.8,null,null,0.08,0.0,null,"[3644.93333333, 3644.93333333]",40.0,gabors,40.0,null,null,0.25020539,234,,,0,,False,9,train,0
3203,0.0,870.14688,870.39709,4.0,"[20.0, 20.0]",0.8,null,null,0.08,0.0,null,"[3644.93333333, 3644.93333333]",40.0,gabors,40.0,null,null,0.25020539,234,,,0,,False,10,train,0
3204,0.0,870.39709,870.6473,4.0,"[20.0, 20.0]",0.8,null,null,0.08,90.0,null,"[3644.93333333, 3644.93333333]",40.0,gabors,-30.0,null,null,0.25020539,93,,,0,,False,9,train,2
