stimulus_presentation_id,stimulus_block,start_time,stop_time,contrast,size,color,frame,temporal_frequency,x_position,y_position,orientation,stimulus_name,spatial_frequency,phase,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
3070,0.0,857.41065,857.66086,0.8,"[20.0, 20.0]",null,null,4.0,-40.0,-30.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021007,57,,,0,,False,13,train,1
3071,0.0,857.66086,857.91107,0.8,"[20.0, 20.0]",null,null,4.0,20.0,0.0,90.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021007,89,,,0,,False,13,train,2
3072,0.0,857.91107,858.16128,0.8,"[20.0, 20.0]",null,null,4.0,40.0,0.0,90.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021007,224,,,0,,False,12,train,2
3073,0.0,858.16128,858.41149,0.8,"[20.0, 20.0]",null,null,4.0,40.0,10.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021243,27,,,0,,False,13,train,0
3074,0.0,858.41149,858.66171,0.8,"[20.0, 20.0]",null,null,4.0,20.0,40.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021243,183,,,0,,False,10,train,1
3075,0.0,858.66171,858.91192,0.8,"[20.0, 20.0]",null,null,4.0,-30.0,-20.0,90.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021243,180,,,0,,False,11,test,2
3076,0.0,858.91192,859.16213,0.8,"[20.0, 20.0]",null,null,4.0,-30.0,-20.0,90.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021243,180,,,0,,False,12,train,2
3077,0.0,859.16213,859.41235,0.8,"[20.0, 20.0]",null,null,4.0,20.0,20.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021507,141,,,0,,False,12,train,1
3078,0.0,859.41235,859.66256,0.8,"[20.0, 20.0]",null,null,4.0,-10.0,-40.0,90.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021507,232,,,0,,False,13,train,2
3079,0.0,859.66256,859.91278,0.8,"[20.0, 20.0]",null,null,4.0,-30.0,-30.0,90.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021507,54,,,0,,False,11,test,2
