session_id,ecephys_unit_id,group,ecephys_structure_acronym,unit_split,spatial_model,released_azimuth_rf_deg,released_elevation_rf_deg,released_area_rf_deg2,released_width_rf_deg,released_height_rf_deg,axis_center_x_deg,axis_center_y_deg,axis_sigma_x_deg,axis_sigma_y_deg,axis_area_deg2,axis_train_deviance,axis_test_deviance,axis_optimizer_nfev,axis_censored,axis_edge_distance_deg,rotation_center_x_deg,rotation_center_y_deg,rotation_sigma_major_deg,rotation_sigma_minor_deg,rotation_angle_deg,rotation_axis_ratio,rotation_area_deg2,rotation_train_deviance,rotation_test_deviance,rotation_optimizer_nfev,rotation_test_gain,rotation_train_gain,rotation_sigma_lower_bound,rotation_sigma_upper_bound,axis_parameters,rotation_parameters,model_elapsed_seconds
797828357,951099495,HVA,VISal,calibration,aperture,16.25,-2.5,800,151.45721,79.005523,-30.3200896,-9.94865601,9.14154098,23.4413681,933.270837,1.33799511,1.18378875,13,False,9.67991043,-38.9997283,-16.329314,50,14.9929561,52.2040387,3.33489938,3264.84527,1.33127263,1.17161718,22,0.0121715682,0.00672247161,False,True,"[0.2980359801683419, 0.39817435589136996, 0.42654272211115374, 0.5791296217981969, -30.320089574864173, -9.948656009142283, 9.141540981587639, 23.441368135463676]","[0.24944939752066858, 0.4215037923063611, 0.35904986149543844, 0.5079449613386706, -38.999728275406675, -16.329314023817222, 49.999999999922316, 14.992956108988503, 0.9111323585757694]",2.18840049
797828357,951099495,HVA,VISal,calibration,point,16.25,-2.5,800,151.45721,79.005523,-30.3337029,-9.90716299,10.6134258,24.1489896,1116.24591,1.33798313,1.18360972,13,False,9.66629707,-38.8491406,-16.1691849,50,15.8205252,52.249574,3.16045134,3445.05555,1.33130191,1.1716241,21,0.0119856224,0.00668121301,False,True,"[0.2974451702387898, 0.39792247398841163, 0.4249509549956193, 0.576821040975439, -30.333702930465353, -9.907162985551542, 10.613425769421715, 24.148989562029683]","[0.24955689330184425, 0.4214387525455819, 0.3589544290609195, 0.5079075145821312, -38.84914057180862, -16.169184851304774, 49.99999999994673, 15.820525166610228, 0.9119270995435578]",0.174097935
797828357,951099504,HVA,VISal,evaluation,aperture,62.5,-10,400,1716.5413,71.944486,-15.922647,39.1225995,50,13.2896365,2893.93276,1.49581853,1.53208563,29,True,0.87740051,2.75800792,37.2153195,50,10.8489638,7.93967294,4.60873508,2362.45526,1.49515495,1.53419323,53,-0.00210760111,0.000663579747,False,True,"[0.5182235480927213, 0.009787957433436559, 0.20872785869551147, 0.40729246218328363, -15.922647040132647, 39.12259948999555, 49.99999999999999, 13.289636511129238]","[0.5193752293183546, 2.9631167049838595e-22, 0.21161283137599227, 0.40522843094575034, 2.7580079156358903, 37.21531945800211, 49.99999999999999, 10.848963783536743, 0.13857343438146197]",7.26879094
797828357,951099504,HVA,VISal,evaluation,point,62.5,-10,400,1716.5413,71.944486,-15.8123125,39.11796,50,14.2509431,3103.26555,1.49582867,1.53206037,30,True,0.882040041,2.39194005,37.1782475,50,12.0546157,7.86484741,4.14778879,2624.99636,1.49517882,1.5341222,44,-0.00206183797,0.000649847915,False,True,"[0.5181934608292595, 0.009762506085512867, 0.20865537754462, 0.4075997393294195, -15.812312526885075, 39.11795995875576, 49.99999999999988, 14.250943132399232]","[0.51929393935723, 7.339828620763371e-17, 0.21136931410200271, 0.40526521082639233, 2.3919400496001515, 37.17824754102823, 49.99999999999999, 12.05461574589548, 0.13726748240256792]",0.540230627
797828357,951099515,HVA,VISal,evaluation,aperture,64,26.667,1500,1287.5582,63.337396,15.0259647,12.5926804,8.34582771,14.8769676,540.740827,1.31746088,1.35723181,16,False,24.9740353,12.1611016,17.3930556,28.501859,7.69527502,-61.2616586,3.70381292,955.218362,1.30472452,1.35904827,14,-0.00181645181,0.0127363585,False,False,"[0.6619779411160944, 0.8978438122155427, 0.9247000731273078, 0.5199262211013733, 15.025964737025555, 12.592680440540962, 8.34582770953193, 14.87696758313169]","[0.6264489174629663, 0.7931038817831262, 0.8938956520062837, 0.5337976721829095, 12.161101551530754, 17.393055554605713, 28.501859023953504, 7.6952750162306165, -1.0692176481122808]",2.53502637
797828357,951099515,HVA,VISal,evaluation,point,64,26.667,1500,1287.5582,63.337396,15.0262803,12.6025584,9.84627152,15.7577821,675.728486,1.31750723,1.35722704,16,False,24.9737197,12.11259,17.4511421,29.2286426,9.3616806,-61.270122,3.12215764,1191.70235,1.30477442,1.35890822,19,-0.00168117335,0.0127328126,False,False,"[0.6615211143656136, 0.9019410216450993, 0.9284917937785484, 0.5238397085350669, 15.026280270421267, 12.6025584102148, 9.846271518800782, 15.757782096303318]","[0.6251016072769098, 0.7943982099767568, 0.8921306118346664, 0.5363784011957814, 12.112590006453892, 17.451142114048213, 29.22864258918284, 9.361680602017904, -1.0693653628266533]",0.191198178
797828357,951099523,HVA,VISal,evaluation,aperture,85,-20,600,607.45939,637.61425,35.3268753,-27.6425507,15.4174056,12.1986434,819.083471,1.06900481,1.04520893,17,False,4.6731247,34.8534725,-25.1391195,19.5697459,10.1513682,40.3112569,1.92779391,865.197185,1.06831085,1.04397187,13,0.00123705705,0.00069396141,False,False,"[0.3608370908458057, 0.3452732513597675, 0.45595085164419613, 0.3042627866648934, 35.32687529806441, -27.642550713735904, 15.417405593633818, 12.198643366998065]","[0.3605932058813126, 0.30934746864478047, 0.46369750063805243, 0.3181547553379462, 34.85347253135147, -25.139119532154968, 19.569745885593708, 10.151368237043355, 0.7035641581149745]",2.05635177
797828357,951099523,HVA,VISal,evaluation,point,85,-20,600,607.45939,637.61425,35.2732378,-27.6482293,16.1857838,13.2395153,933.278266,1.06901107,1.04520712,19,False,4.72676224,34.7318497,-25.2051746,20.0969069,11.3642203,40.6729978,1.76843693,994.658955,1.068325,1.04397658,14,0.00123053938,0.000686070672,False,False,"[0.3608294806303277, 0.3457195323105804, 0.456816659256557, 0.3044747539769286, 35.27323775895831, -27.64822926320453, 16.185783819432626, 13.239515342931867]","[0.36061022856559544, 0.3099510757585163, 0.4653167643666869, 0.31879041883517756, 34.731849747456714, -25.20517462071313, 20.096906949500845, 11.364220349317836, 0.7098777288303331]",0.144367314
797828357,951099532,HVA,VISal,calibration,aperture,87.5,-22.5,400,346.31795,174.17426,30.0957249,-32.2412824,50,22.0212798,4795.32325,0.945154126,0.943148795,13,True,7.75871762,27.7639961,-34.6233416,50,22.6853588,-14.4955523,2.20406476,4939.93218,0.944323577,0.941811476,14,0.00133731901,0.000830549379,False,True,"[3.548564945091339, 0.9002333181421975, 0.6091146777077326, 1.2929834751719063, 30.095724868536305, -32.24128237513154, 49.999999999999986, 22.021279783131956]","[3.4992630723210336, 0.9604332719676149, 0.7097724109766237, 1.3175634285708162, 27.76399614935192, -34.62334160008625, 49.99999999999999, 22.685358803883613, -0.2529951143563951]",2.34702982
797828357,951099532,HVA,VISal,calibration,point,87.5,-22.5,400,346.31795,174.17426,29.8756789,-32.2469813,50,22.5826412,4917.56453,0.945171104,0.943145074,14,True,7.75301868,27.5383087,-34.5704138,50,23.2335568,-14.4822043,2.15205964,5059.30702,0.944347023,0.941818941,18,0.00132613278,0.000824080843,False,True,"[3.5488867499753955, 0.8998143686246335, 0.6086314258946705, 1.2925801370660233, 29.875678947295114, -32.24698132297385, 49.99999999999999, 22.582641175608384]","[3.4997137635980806, 0.9596684965943337, 0.7089786352390627, 1.3167303912790476, 27.538308663375197, -34.57041375109676, 49.999999999929074, 23.2335568169616, -0.25276214745226766]",0.189724046
797828357,951099541,HVA,VISal,calibration,aperture,85.714,-17.143,700,111.23367,403.06578,38.2703711,-24.1990845,13.6901739,17.4685347,1041.52758,1.20361938,1.26520399,9,False,1.72962893,38.2016417,-23.2186873,17.9090741,13.5496607,73.1919636,1.32173598,1056.83426,1.2029233,1.26433703,10,0.000866964009,0.000696080156,False,False,"[1.3854283762310948, 3.015413377441138, 3.190529249720956, 4.267501355465686, 38.27037107380584, -24.199084549913152, 13.690173926329736, 17.468534732931044]","[1.3853803432228424, 3.008811448669369, 3.165703697212875, 4.235526064385426, 38.20164167599304, -23.218687252774874, 17.9090740684788, 13.549660704421125, 1.2774407511136312]",2.04894753
797828357,951099541,HVA,VISal,calibration,point,85.714,-17.143,700,111.23367,403.06578,38.2556573,-24.1979968,14.5952066,18.1931341,1156.43997,1.20365653,1.26525729,7,False,1.74434269,38.1947529,-23.2261713,18.6120661,14.4720162,73.3071447,1.28607278,1173.08358,1.20296788,1.26438493,17,0.000872355741,0.000688643715,False,False,"[1.3852229442657922, 3.017583868311023, 3.1931490764568515, 4.271518708206863, 38.25565731262844, -24.197996750186388, 14.595206552950094, 18.19313409460175]","[1.3851444862016689, 3.0111761049436163, 3.168514987138207, 4.2398264897308, 38.19475290197551, -23.226171250372357, 18.612066052046952, 14.472016186619662, 1.2794510402325745]",0.138088443
797828357,951099550,HVA,VISal,evaluation,aperture,66,-28,500,2048.7512,1932.2743,14.3602636,-37.7124596,13.8124481,2,120.311179,1.79474146,1.89354426,22,True,2.28754039,14.8152916,-35.9823726,38.0431455,2,18.0023099,19.0215727,331.368898,1.79363929,1.89989811,50,-0.00635385059,0.00110216775,True,False,"[1.9071928686653181, 0.789166256922867, 1.3581516210356155, 1.1537839771169047, 14.360263576570299, -37.712459605592514, 13.81244805235243, 2.0000000000000004]","[1.8940567273445235, 0.6505343460553851, 0.9754393660903181, 0.9355878445968608, 14.815291625017736, -35.98237261050079, 38.04314548679848, 2.0000000000000004, 0.3141995814578049]",5.65049519
