stimulus_presentation_id,stimulus_block,start_time,stop_time,contrast,stimulus_name,y_position,color,frame,size,x_position,spatial_frequency,orientation,temporal_frequency,phase,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
323,0.0,170.9447,171.19491,0.8,gabors,40.0,null,null,"[20.0, 20.0]",10.0,0.08,0.0,4.0,"[3644.93333333, 3644.93333333]",0.25020291,183,,,0,,False,0,train,0
324,0.0,171.19491,171.44511,0.8,gabors,-40.0,null,null,"[20.0, 20.0]",-30.0,0.08,45.0,4.0,"[3644.93333333, 3644.93333333]",0.25020291,33,,,0,,False,1,train,1
325,0.0,171.44511,171.69533,0.8,gabors,-30.0,null,null,"[20.0, 20.0]",30.0,0.08,90.0,4.0,"[3644.93333333, 3644.93333333]",0.25021709,88,,,0,,False,1,train,2
326,0.0,171.69533,171.94554,0.8,gabors,-10.0,null,null,"[20.0, 20.0]",30.0,0.08,90.0,4.0,"[3644.93333333, 3644.93333333]",0.25021709,19,,,0,,False,1,train,2
327,0.0,171.94554,172.19576,0.8,gabors,30.0,null,null,"[20.0, 20.0]",0.0,0.08,45.0,4.0,"[3644.93333333, 3644.93333333]",0.25021709,181,,,0,,False,1,train,1
328,0.0,172.19576,172.44598,0.8,gabors,-30.0,null,null,"[20.0, 20.0]",40.0,0.08,90.0,4.0,"[3644.93333333, 3644.93333333]",0.25021709,120,,,0,,False,3,train,2
329,0.0,172.44598,172.69618,0.8,gabors,20.0,null,null,"[20.0, 20.0]",10.0,0.08,90.0,4.0,"[3644.93333333, 3644.93333333]",0.25020041,151,,,0,,False,1,train,2
330,0.0,172.69618,172.94638,0.8,gabors,10.0,null,null,"[20.0, 20.0]",40.0,0.08,45.0,4.0,"[3644.93333333, 3644.93333333]",0.25020041,111,,,0,,False,1,train,1
331,0.0,172.94638,173.19658,0.8,gabors,10.0,null,null,"[20.0, 20.0]",-20.0,0.08,45.0,4.0,"[3644.93333333, 3644.93333333]",0.25020041,165,,,0,,False,1,train,1
332,0.0,173.19658,173.44678,0.8,gabors,-10.0,null,null,"[20.0, 20.0]",-10.0,0.08,0.0,4.0,"[3644.93333333, 3644.93333333]",0.25020041,169,,,0,,False,1,train,0
333,0.0,173.44678,173.69699,0.8,gabors,20.0,null,null,"[20.0, 20.0]",-20.0,0.08,90.0,4.0,"[3644.93333333, 3644.93333333]",0.25020959,12,,,0,,False,3,train,2
334,0.0,173.69699,173.9472,0.8,gabors,-40.0,null,null,"[20.0, 20.0]",10.0,0.08,0.0,4.0,"[3644.93333333, 3644.93333333]",0.25020959,41,,,0,,False,1,train,0
335,0.0,173.9472,174.19741,0.8,gabors,20.0,null,null,"[20.0, 20.0]",30.0,0.08,0.0,4.0,"[3644.93333333, 3644.93333333]",0.25020959,134,,,0,,False,2,test,0
336,0.0,174.19741,174.44762,0.8,gabors,30.0,null,null,"[20.0, 20.0]",-10.0,0.08,90.0,4.0,"[3644.93333333, 3644.93333333]",0.25020959,184,,,0,,False,0,train,2
337,0.0,174.44762,174.69783,0.8,gabors,30.0,null,null,"[20.0, 20.0]",-10.0,0.08,45.0,4.0,"[3644.93333333, 3644.93333333]",0.25020791,140,,,0,,False,1,train,1
338,0.0,174.69783,174.94803,0.8,gabors,20.0,null,null,"[20.0, 20.0]",30.0,0.08,45.0,4.0,"[3644.93333333, 3644.93333333]",0.25020791,127,,,0,,False,3,train,1
339,0.0,174.94803,175.19824,0.8,gabors,-30.0,null,null,"[20.0, 20.0]",30.0,0.08,45.0,4.0,"[3644.93333333, 3644.93333333]",0.25020791,81,,,0,,False,3,train,1
340,0.0,175.19824,175.44845,0.8,gabors,-30.0,null,null,"[20.0, 20.0]",-40.0,0.08,0.0,4.0,"[3644.93333333, 3644.93333333]",0.25020791,119,,,0,,False,1,train,0
341,0.0,175.44845,175.69867,0.8,gabors,-30.0,null,null,"[20.0, 20.0]",40.0,0.08,90.0,4.0,"[3644.93333333, 3644.93333333]",0.25021709,120,,,0,,False,4,train,2
342,0.0,175.69867,175.94888,0.8,gabors,-10.0,null,null,"[20.0, 20.0]",10.0,0.08,0.0,4.0,"[3644.93333333, 3644.93333333]",0.25021709,68,,,0,,False,1,train,0
343,0.0,175.94888,176.1991,0.8,gabors,30.0,null,null,"[20.0, 20.0]",-40.0,0.08,0.0,4.0,"[3644.93333333, 3644.93333333]",0.25021709,185,,,0,,False,0,train,0
