outer_session_id,system,bandwidth_iqr_units,inner_animals,inner_median_spearman_rho
768515987,observed_rf,0.55,13,0.21338406009169839
768515987,observed_rf,0.8,13,0.1698038315792085
768515987,observed_rf,1.15,13,0.08463678069573384
774875821,ccf_anatomy,0.2,13,0.40933230460649156
774875821,ccf_anatomy,0.35,13,0.4033110300602198
774875821,ccf_anatomy,0.55,13,0.36995684423654535
774875821,ccf_anatomy,0.8,13,0.37135188622917054
774875821,ccf_anatomy,1.15,13,0.38164326435246676
774875821,registered_map,0.2,13,0.39941908138542065
774875821,registered_map,0.35,13,0.40407196205619716
774875821,registered_map,0.55,13,0.3689910459339587
774875821,registered_map,0.8,13,0.3727420504525907
774875821,registered_map,1.15,13,0.38175749073769405
774875821,observed_rf,0.2,13,0.13867924528301884
774875821,observed_rf,0.35,13,0.19689364689364688
774875821,observed_rf,0.55,13,0.2009023509901473
774875821,observed_rf,0.8,13,0.14702467343976777
774875821,observed_rf,1.15,13,0.09889073190959982
778240327,ccf_anatomy,0.2,13,0.4071921205196444
778240327,ccf_anatomy,0.35,13,0.39553039714469396
778240327,ccf_anatomy,0.55,13,0.3935795512269513
778240327,ccf_anatomy,0.8,13,0.3727420504525907
778240327,ccf_anatomy,1.15,13,0.3818166728784883
778240327,registered_map,0.2,13,0.39941908138542065
778240327,registered_map,0.35,13,0.3894874321332977
778240327,registered_map,0.55,13,0.391240513048349
778240327,registered_map,0.8,13,0.3730025562319347
778240327,registered_map,1.15,13,0.3815840828381993
778240327,observed_rf,0.2,13,0.12495334853825418
778240327,observed_rf,0.35,13,0.1868809593580236
778240327,observed_rf,0.55,13,0.19543946932006634
778240327,observed_rf,0.8,13,0.14128405658680593
778240327,observed_rf,1.15,13,0.07365747460087083
781842082,ccf_anatomy,0.2,13,0.36760488103205985
781842082,ccf_anatomy,0.35,13,0.3708055760782124
781842082,ccf_anatomy,0.55,13,0.3791221725727086
781842082,ccf_anatomy,0.8,13,0.3654006657484466
781842082,ccf_anatomy,1.15,13,0.3736005378326677
781842082,registered_map,0.2,13,0.3451503761057263
781842082,registered_map,0.35,13,0.38422994153228845
781842082,registered_map,0.55,13,0.35551766426353537
781842082,registered_map,0.8,13,0.3668185084622051
781842082,registered_map,1.15,13,0.3752698008730299
781842082,observed_rf,0.2,13,0.12660925177758936
781842082,observed_rf,0.35,13,0.2072312512679485
781842082,observed_rf,0.55,13,0.2138471461619087
781842082,observed_rf,0.8,13,0.1314663325870292
781842082,observed_rf,1.15,13,0.07835372174994817
786091066,ccf_anatomy,0.2,13,0.4027427568093948
786091066,ccf_anatomy,0.35,13,0.4031324998679313
786091066,ccf_anatomy,0.55,13,0.39547116545607064
786091066,ccf_anatomy,0.8,13,0.37754062663804266
786091066,ccf_anatomy,1.15,13,0.3816721657734703
786091066,registered_map,0.2,13,0.39985260426680863
786091066,registered_map,0.35,13,0.4041470746253033
786091066,registered_map,0.55,13,0.38885332213664986
786091066,registered_map,0.8,13,0.37311763868137443
786091066,registered_map,1.15,13,0.38164326435246676
786091066,observed_rf,0.2,13,0.12428439212817487
786091066,observed_rf,0.35,13,0.15370101596516692
786091066,observed_rf,0.55,13,0.1915233415233415
786091066,observed_rf,0.8,13,0.15196972838482273
786091066,observed_rf,1.15,13,0.08751219159773145
794812542,ccf_anatomy,0.2,13,0.36419638528241277
794812542,ccf_anatomy,0.35,13,0.39146001239489586
794812542,ccf_anatomy,0.55,13,0.38143423517587055
794812542,ccf_anatomy,0.8,13,0.3642446089083028
794812542,ccf_anatomy,1.15,13,0.37306596715427043
794812542,registered_map,0.2,13,0.37973874728929446
794812542,registered_map,0.35,13,0.39541336282290573
794812542,registered_map,0.55,13,0.35551766426353537
794812542,registered_map,0.8,13,0.36694495509082553
794812542,registered_map,1.15,13,0.3750785019017776
794812542,observed_rf,0.2,13,0.08981329077094452
794812542,observed_rf,0.35,13,0.19280449280449283
794812542,observed_rf,0.55,13,0.1799140049140049
794812542,observed_rf,0.8,13,0.14461953141198422
794812542,observed_rf,1.15,13,0.09662970053823647
798911424,ccf_anatomy,0.2,13,0.4154738787594873
798911424,ccf_anatomy,0.35,13,0.39553039714469396
798911424,ccf_anatomy,0.55,13,0.3937096076214675
798911424,ccf_anatomy,0.8,13,0.3604076643911483
798911424,ccf_anatomy,1.15,13,0.3816996881045292
798911424,registered_map,0.2,13,0.39941908138542065
798911424,registered_map,0.35,13,0.3842891328249816
798911424,registered_map,0.55,13,0.35553083047571904
798911424,registered_map,0.8,13,0.3668741188144777
798911424,registered_map,1.15,13,0.3816996881045292
798911424,observed_rf,0.2,13,0.14694173750777523
798911424,observed_rf,0.35,13,0.1513166079203815
798911424,observed_rf,0.55,13,0.1992102492102492
798911424,observed_rf,0.8,13,0.14787644787644785
798911424,observed_rf,1.15,13,0.08030199039121483
829720705,ccf_anatomy,0.2,13,0.3740034311832266
829720705,ccf_anatomy,0.35,13,0.3954451216393645
829720705,ccf_anatomy,0.55,13,0.38056599225738363
829720705,ccf_anatomy,0.8,13,0.3591081414677445
829720705,ccf_anatomy,1.15,13,0.37306704118560763
829720705,registered_map,0.2,13,0.35925129531066874
829720705,registered_map,0.35,13,0.39095093443564294
829720705,registered_map,0.55,13,0.35550192905471545
829720705,registered_map,0.8,13,0.3668741188144777
829720705,registered_map,1.15,13,0.37502682798342224
829720705,observed_rf,0.2,13,0.09467844668173411
829720705,observed_rf,0.35,13,0.19018632328553312
829720705,observed_rf,0.55,13,0.20619451760803828
829720705,observed_rf,0.8,13,0.1709931577856106
829720705,observed_rf,1.15,13,0.15220466295971127
831882777,ccf_anatomy,0.2,13,0.38021380759088275
831882777,ccf_anatomy,0.35,13,0.39500418910413354
831882777,ccf_anatomy,0.55,13,0.3854876613852115
831882777,ccf_anatomy,0.8,13,0.35526760893772713
831882777,ccf_anatomy,1.15,13,0.37145585229376676
831882777,registered_map,0.2,13,0.34333112234205815
831882777,registered_map,0.35,13,0.38422994153228845
831882777,registered_map,0.55,13,0.3563413577381725
831882777,registered_map,0.8,13,0.3668403466968827
831882777,registered_map,1.15,13,0.3750922203670534
831882777,observed_rf,0.2,13,0.12687124196558158
831882777,observed_rf,0.35,13,0.18314811892793542
831882777,observed_rf,0.55,13,0.1849724199033982
831882777,observed_rf,0.8,13,0.1719054530375285
831882777,observed_rf,1.15,13,0.16864501679731242
847657808,ccf_anatomy,0.2,13,0.42717745314363004
847657808,ccf_anatomy,0.35,13,0.39553039714469396
847657808,ccf_anatomy,0.55,13,0.385257333926748
847657808,ccf_anatomy,0.8,13,0.3729342675463423
847657808,ccf_anatomy,1.15,13,0.3818166728784883
847657808,registered_map,0.2,13,0.39941908138542065
847657808,registered_map,0.35,13,0.3842891328249816
847657808,registered_map,0.55,13,0.39283358180791605
847657808,registered_map,0.8,13,0.37311763868137443
847657808,registered_map,1.15,13,0.3815840828381993
847657808,observed_rf,0.2,13,0.13568318473978852
847657808,observed_rf,0.35,13,0.2106477416837382
847657808,observed_rf,0.55,13,0.20092533444141925
847657808,observed_rf,0.8,13,0.16944200565798465
847657808,observed_rf,1.15,13,0.11297947335683185
