session_id,system,bandwidth_iqr_units,cells,spearman_rho,mae_log2_octaves,constant_mae_log2_octaves,mae_improvement_vs_constant_log2,area_only_mae_log2_octaves,mae_improvement_vs_area_only_log2
768515987,area_only,,105,0.3054660011294367,0.8110982358563332,0.8443596126951274,0.033261376838794154,0.8110982358563332,0.0
768515987,ccf_anatomy,0.2,105,0.29918663900569237,0.824177086747147,0.8443596126951274,0.020182525947980423,0.8110982358563332,-0.013078850890813731
768515987,registered_map,0.2,105,0.3104150802866004,0.795114453185115,0.8443596126951274,0.049245159510012404,0.8110982358563332,0.01598378267121825
768515987,observed_rf,0.55,105,0.14639228695832468,0.8021969455699585,0.8443596126951274,0.04216266712516892,0.8110982358563332,0.008901290286374763
774875821,area_only,,163,0.40108916261804056,0.7584236644170059,0.8691038453269568,0.11068018090995091,0.7584236644170059,0.0
774875821,ccf_anatomy,0.2,163,0.37442715539027155,0.787308013277584,0.8691038453269568,0.0817958320493728,0.7584236644170059,-0.028884348860578113
774875821,registered_map,0.35,163,0.3450894111410985,0.8120331851987067,0.8691038453269568,0.05707066012825013,0.7584236644170059,-0.05360952078170078
774875821,observed_rf,0.55,163,0.07354481520275326,0.9259195921121454,0.8691038453269568,-0.056815746785188526,0.7584236644170059,-0.16749592769513943
778240327,area_only,,156,0.33049108266605787,0.8558340428846681,0.9495868143843023,0.09375277149963412,0.8558340428846681,0.0
778240327,ccf_anatomy,0.2,156,0.3129603949267082,0.8276031704899538,0.9495868143843023,0.12198364389434846,0.8558340428846681,0.028230872394714335
778240327,registered_map,0.2,156,0.3471705573373468,0.833030884652594,0.9495868143843023,0.11655592973170825,0.8558340428846681,0.022803158232074128
778240327,observed_rf,0.55,156,-0.0016658500734933854,1.0285403949095415,0.9495868143843023,-0.07895358052523926,0.8558340428846681,-0.1727063520248734
781842082,area_only,,111,0.5091053862493249,0.7255412761023544,1.0786945433775639,0.35315326727520946,0.7255412761023544,0.0
781842082,ccf_anatomy,0.55,111,0.5132191596878906,0.8676092112025714,1.0786945433775639,0.21108533217499248,0.7255412761023544,-0.14206793510021698
781842082,registered_map,0.35,111,0.5219602574084056,0.798086999002441,1.0786945433775639,0.2806075443751229,0.7255412761023544,-0.07254572290008654
781842082,observed_rf,0.55,111,0.18754826254826254,1.1242610530140564,1.0786945433775639,-0.04556650963649256,0.7255412761023544,-0.398719776911702
786091066,area_only,,157,0.1477094264945309,0.9726891876512638,0.9801321863226917,0.007442998671427947,0.9726891876512638,0.0
786091066,ccf_anatomy,0.35,157,0.17434788201646992,1.0227440058447765,0.9801321863226917,-0.042611819522084815,0.9726891876512638,-0.05005481819351276
786091066,registered_map,0.35,157,0.15564161335187823,1.012079018694608,0.9801321863226917,-0.03194683237191631,0.9726891876512638,-0.03938983104334426
786091066,observed_rf,0.55,157,0.2174225838661862,1.0204989107282152,0.9801321863226917,-0.04036672440552347,0.9726891876512638,-0.047809723076951416
794812542,area_only,,91,0.5169218362727991,0.8808282561643275,1.2195363236644674,0.33870806750013993,0.8808282561643275,0.0
794812542,ccf_anatomy,0.35,91,0.566850250344101,0.8576529912148986,1.2195363236644674,0.36188333244956883,0.8808282561643275,0.023175264949428898
794812542,registered_map,0.35,91,0.5410618850616354,0.8602767323809098,1.2195363236644674,0.35925959128355756,0.8808282561643275,0.020551523783417625
794812542,observed_rf,0.35,91,0.34575569358178054,1.1398429559662362,1.2195363236644674,0.07969336769823121,0.8808282561643275,-0.2590146998019087
798911424,area_only,,135,0.388569486026995,0.8122735984013892,0.8318658900392162,0.019592291637826942,0.8122735984013892,0.0
798911424,ccf_anatomy,0.2,135,0.3369050801035799,0.7889467373602587,0.8318658900392162,0.04291915267895752,0.8122735984013892,0.023326861041130575
798911424,registered_map,0.2,135,0.34578749782585416,0.8025963513290268,0.8318658900392162,0.029269538710189336,0.8122735984013892,0.009677247072362394
798911424,observed_rf,0.55,135,0.21072090527753395,0.8685938792718302,0.8318658900392162,-0.036727989232614,0.8122735984013892,-0.05632028087044094
829720705,area_only,,108,0.5058129556162816,0.8022502584243114,1.0030646142623683,0.20081435583805685,0.8022502584243114,0.0
