outer_session_id,system,bandwidth_iqr_units,inner_animal_area_groups,inner_valid_correlations,inner_median_spearman_rho
757216464,registered_map,0.55,53,53,0.04409752241904319
757216464,registered_map,0.8,53,53,0.06267847099472906
757216464,registered_map,1.15,53,53,0.06786217573277464
757216464,observed_rf,0.2,53,53,0.007142857142857141
757216464,observed_rf,0.35,53,53,0.075
757216464,observed_rf,0.55,53,53,0.08984393757503001
757216464,observed_rf,0.8,53,53,0.06532356532356533
757216464,observed_rf,1.15,53,53,-0.00806451612903226
768515987,ccf_anatomy,0.2,54,54,0.023465359843502752
768515987,ccf_anatomy,0.35,54,54,0.0018749288281640825
768515987,ccf_anatomy,0.55,54,54,0.05462790978314096
768515987,ccf_anatomy,0.8,54,54,0.08537866147674128
768515987,ccf_anatomy,1.15,54,54,0.07580009156858308
768515987,registered_map,0.2,54,54,0.032821800141902335
768515987,registered_map,0.35,54,54,0.06422459628068275
768515987,registered_map,0.55,54,54,0.06495845196962242
768515987,registered_map,0.8,54,54,0.04741558027834053
768515987,registered_map,1.15,54,54,0.068679494291778
768515987,observed_rf,0.2,54,54,0.04422019422019422
768515987,observed_rf,0.35,54,54,0.08192607956673292
768515987,observed_rf,0.55,54,54,0.11133021390374331
768515987,observed_rf,0.8,54,54,0.1052136752136752
768515987,observed_rf,1.15,54,54,0.07961587961587963
774875821,ccf_anatomy,0.2,53,53,0.06746355749280546
774875821,ccf_anatomy,0.35,53,53,0.05445181753773658
774875821,ccf_anatomy,0.55,53,53,0.07231000929657573
774875821,ccf_anatomy,0.8,53,53,0.09268126397003072
774875821,ccf_anatomy,1.15,53,53,0.10346554938859095
774875821,registered_map,0.2,53,53,0.008549932100556339
774875821,registered_map,0.35,53,53,0.038550836146386
774875821,registered_map,0.55,53,53,0.0638379575875053
774875821,registered_map,0.8,53,53,0.07632727102380014
774875821,registered_map,1.15,53,53,0.10346554938859095
774875821,observed_rf,0.2,53,53,0.07016129032258064
774875821,observed_rf,0.35,53,53,0.06370967741935485
774875821,observed_rf,0.55,53,53,0.07620648259303721
774875821,observed_rf,0.8,53,53,0.05350140056022409
774875821,observed_rf,1.15,53,53,0.047058823529411764
778240327,ccf_anatomy,0.2,54,54,-0.03421426973060003
778240327,ccf_anatomy,0.35,54,54,-0.01045325851903427
778240327,ccf_anatomy,0.55,54,54,0.07341626555151252
778240327,ccf_anatomy,0.8,54,54,0.06683357711178539
778240327,ccf_anatomy,1.15,54,54,0.06951383644699921
778240327,registered_map,0.2,54,54,0.036867525374984556
778240327,registered_map,0.35,54,54,0.06076401695905716
778240327,registered_map,0.55,54,54,0.06115699663525561
778240327,registered_map,0.8,54,54,0.03147320382154684
778240327,registered_map,1.15,54,54,0.0737974760730189
778240327,observed_rf,0.2,54,54,0.02975148369885212
778240327,observed_rf,0.35,54,54,0.07096640118952491
778240327,observed_rf,0.55,54,54,0.07046504105327635
778240327,observed_rf,0.8,54,54,0.026077121077121082
778240327,observed_rf,1.15,54,54,0.04493349392542942
781842082,ccf_anatomy,0.2,54,54,0.10155578475627855
781842082,ccf_anatomy,0.35,54,54,0.05218965146296242
781842082,ccf_anatomy,0.55,54,54,0.08316719696900415
781842082,ccf_anatomy,0.8,54,54,0.09223898368392208
781842082,ccf_anatomy,1.15,54,54,0.0910634231571007
781842082,registered_map,0.2,54,54,0.06729505701258223
781842082,registered_map,0.35,54,54,0.05578482809352657
781842082,registered_map,0.55,54,54,0.08996422985828714
781842082,registered_map,0.8,54,54,0.08040030008864839
781842082,registered_map,1.15,54,54,0.09502396631781675
781842082,observed_rf,0.2,54,54,0.05432234432234431
781842082,observed_rf,0.35,54,54,0.08872307897517981
781842082,observed_rf,0.55,54,54,0.09217945106160857
781842082,observed_rf,0.8,54,54,0.09846153846153846
781842082,observed_rf,1.15,54,54,0.10574947927889106
786091066,ccf_anatomy,0.2,54,54,0.06789679628595958
786091066,ccf_anatomy,0.35,54,54,0.01615255494596175
786091066,ccf_anatomy,0.55,54,54,0.07801185519120166
786091066,ccf_anatomy,0.8,54,54,0.12841925697005455
786091066,ccf_anatomy,1.15,54,54,0.11609872356681193
786091066,registered_map,0.2,54,54,0.013704632346175069
786091066,registered_map,0.35,54,54,0.04868142238423339
786091066,registered_map,0.55,54,54,0.09508227046313893
786091066,registered_map,0.8,54,54,0.13350676702009234
786091066,registered_map,1.15,54,54,0.13350676702009234
786091066,observed_rf,0.2,54,54,0.05711944601887675
786091066,observed_rf,0.35,54,54,0.1076755922310273
786091066,observed_rf,0.55,54,54,0.09432619603978232
786091066,observed_rf,0.8,54,54,0.09568905438470657
786091066,observed_rf,1.15,54,54,0.09174208144796381
794812542,ccf_anatomy,0.2,54,54,0.0481199345422512
794812542,ccf_anatomy,0.35,54,54,0.03891738911922436
794812542,ccf_anatomy,0.55,54,54,0.08450426749691543
794812542,ccf_anatomy,0.8,54,54,0.08285757059205034
794812542,ccf_anatomy,1.15,54,54,0.0958068887183414
794812542,registered_map,0.2,54,54,0.051149857580630176
794812542,registered_map,0.35,54,54,0.055583984572885214
794812542,registered_map,0.55,54,54,0.013223769025259478
794812542,registered_map,0.8,54,54,0.06631729151054522
794812542,registered_map,1.15,54,54,0.09162209154348513
794812542,observed_rf,0.2,54,54,0.04843517644211835
794812542,observed_rf,0.35,54,54,0.06920984485748322
794812542,observed_rf,0.55,54,54,0.11171679197994987
794812542,observed_rf,0.8,54,54,0.08821733821733821
794812542,observed_rf,1.15,54,54,0.05741219564748976
798911424,ccf_anatomy,0.2,53,53,-0.0061511518545417825
798911424,ccf_anatomy,0.35,53,53,0.04857187914112025
798911424,ccf_anatomy,0.55,53,53,0.09385185347388389
798911424,ccf_anatomy,0.8,53,53,0.11891740865361033
798911424,ccf_anatomy,1.15,53,53,0.09268126397003072
798911424,registered_map,0.2,53,53,0.015283691428263793
798911424,registered_map,0.35,53,53,0.06277125676191647
798911424,registered_map,0.55,53,53,0.08944558234417067
798911424,registered_map,0.8,53,53,0.07632727102380014
798911424,registered_map,1.15,53,53,0.09893251346665208
798911424,observed_rf,0.2,53,53,0.037593984962406006
798911424,observed_rf,0.35,53,53,0.07217741935483872
798911424,observed_rf,0.55,53,53,0.0963327859879584
798911424,observed_rf,0.8,53,53,0.09999999999999999
798911424,observed_rf,1.15,53,53,0.09140667761357417
829720705,ccf_anatomy,0.2,53,53,-0.03183510293343942
829720705,ccf_anatomy,0.35,53,53,0.004445964692289296
829720705,ccf_anatomy,0.55,53,53,0.08768640324567253
829720705,ccf_anatomy,0.8,53,53,0.08944558234417067
829720705,ccf_anatomy,1.15,53,53,0.09268126397003072
829720705,registered_map,0.2,53,53,0.07813593421620507
829720705,registered_map,0.35,53,53,0.08832501517702314
829720705,registered_map,0.55,53,53,0.08944558234417067
829720705,registered_map,0.8,53,53,0.11400572283293241
829720705,registered_map,1.15,53,53,0.08944558234417067
829720705,observed_rf,0.2,53,53,0.03088803088803089
829720705,observed_rf,0.35,53,53,0.0996168582375479
829720705,observed_rf,0.55,53,53,0.11294261294261294
829720705,observed_rf,0.8,53,53,0.08120300751879699
829720705,observed_rf,1.15,53,53,0.07555555555555556
831882777,ccf_anatomy,0.2,55,55,0.07171798117213685
831882777,ccf_anatomy,0.35,55,55,0.08174307531447855
831882777,ccf_anatomy,0.55,55,55,0.07781835839633615
831882777,ccf_anatomy,0.8,55,55,0.07781835839633615
831882777,ccf_anatomy,1.15,55,55,0.07483310255324187
831882777,registered_map,0.2,55,55,0.06386151134511117
831882777,registered_map,0.35,55,55,0.08006065441459667
831882777,registered_map,0.55,55,55,0.06592153332154134
831882777,registered_map,0.8,55,55,0.047663672260310146
831882777,registered_map,1.15,55,55,0.06592153332154134
831882777,observed_rf,0.2,55,55,0.045787545787545784
831882777,observed_rf,0.35,55,55,0.08120300751879699
831882777,observed_rf,0.55,55,55,0.12967032967032965
831882777,observed_rf,0.8,55,55,0.09683794466403163
831882777,observed_rf,1.15,55,55,0.08717948717948718
847657808,ccf_anatomy,0.2,54,54,0.003922434454624972
847657808,ccf_anatomy,0.35,54,54,0.01480343972491584
847657808,ccf_anatomy,0.55,54,54,0.037959957641236934
847657808,ccf_anatomy,0.8,54,54,0.05495741519626354
847657808,ccf_anatomy,1.15,54,54,0.08145763736216079
847657808,registered_map,0.2,54,54,0.01898783106797092
847657808,registered_map,0.35,54,54,0.025943147494517364
847657808,registered_map,0.55,54,54,0.04045253890474653
847657808,registered_map,0.8,54,54,0.0737974760730189
847657808,registered_map,1.15,54,54,0.08065667543700394
847657808,observed_rf,0.2,54,54,0.02662752848174843
847657808,observed_rf,0.35,54,54,0.07079108026476447
847657808,observed_rf,0.55,54,54,0.07944777911164466
847657808,observed_rf,0.8,54,54,0.10972850678733032
847657808,observed_rf,1.15,54,54,0.088124854684957
