stimulus_presentation_id,stimulus_block,start_time,stop_time,size,x_position,frame,stimulus_name,orientation,y_position,spatial_frequency,temporal_frequency,color,contrast,phase,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
21,0.0,91.273298,91.523512,"[20.0, 20.0]",-20.0,null,gabors,90.0,0.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502135,21,,,0,,False,0,train,2
22,0.0,91.523512,91.773725,"[20.0, 20.0]",-40.0,null,gabors,45.0,-40.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502135,7,,,0,,False,1,train,1
23,0.0,91.773725,92.023939,"[20.0, 20.0]",20.0,null,gabors,45.0,30.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502135,22,,,0,,False,0,train,1
24,0.0,92.023939,92.274152,"[20.0, 20.0]",-40.0,null,gabors,45.0,0.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502135,23,,,0,,False,0,train,1
25,0.0,92.274152,92.524354,"[20.0, 20.0]",-10.0,null,gabors,90.0,0.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502015,24,,,0,,False,0,train,2
26,0.0,92.524354,92.774555,"[20.0, 20.0]",-40.0,null,gabors,45.0,10.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502015,25,,,0,,False,0,train,1
27,0.0,92.774555,93.024757,"[20.0, 20.0]",-30.0,null,gabors,90.0,-40.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502015,26,,,0,,False,0,train,2
28,0.0,93.024757,93.274958,"[20.0, 20.0]",40.0,null,gabors,0.0,10.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502015,27,,,0,,False,0,train,0
29,0.0,93.274958,93.525169,"[20.0, 20.0]",-10.0,null,gabors,45.0,-10.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250211,8,,,0,,False,1,train,1
30,0.0,93.525169,93.77538,"[20.0, 20.0]",10.0,null,gabors,45.0,0.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250211,28,,,0,,False,0,train,1
31,0.0,93.77538,94.025591,"[20.0, 20.0]",20.0,null,gabors,45.0,-20.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250211,11,,,0,,False,1,train,1
32,0.0,94.025591,94.275802,"[20.0, 20.0]",0.0,null,gabors,90.0,-10.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250211,29,,,0,,False,0,train,2
33,0.0,94.275802,94.526009,"[20.0, 20.0]",40.0,null,gabors,90.0,20.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502065,30,,,0,,False,0,train,2
34,0.0,94.526009,94.776215,"[20.0, 20.0]",-40.0,null,gabors,45.0,-40.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502065,7,,,0,,False,2,test,1
35,0.0,94.776215,95.026422,"[20.0, 20.0]",30.0,null,gabors,90.0,-20.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502065,31,,,0,,False,0,train,2
36,0.0,95.026422,95.276628,"[20.0, 20.0]",10.0,null,gabors,0.0,30.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502065,32,,,0,,False,0,train,0
37,0.0,95.276628,95.526844,"[20.0, 20.0]",40.0,null,gabors,45.0,20.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250216,33,,,0,,False,0,train,1
38,0.0,95.526844,95.77706,"[20.0, 20.0]",30.0,null,gabors,0.0,-20.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250216,34,,,0,,False,0,train,0
39,0.0,95.77706,96.027276,"[20.0, 20.0]",-20.0,null,gabors,45.0,20.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250216,35,,,0,,False,0,train,1
40,0.0,96.027276,96.277492,"[20.0, 20.0]",20.0,null,gabors,45.0,30.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250216,22,,,0,,False,1,train,1
41,0.0,96.277492,96.527694,"[20.0, 20.0]",-40.0,null,gabors,90.0,0.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502015,36,,,0,,False,0,train,2
42,0.0,96.527694,96.777895,"[20.0, 20.0]",0.0,null,gabors,90.0,20.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502015,37,,,0,,False,0,train,2
43,0.0,96.777895,97.028097,"[20.0, 20.0]",30.0,null,gabors,45.0,-20.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502015,38,,,0,,False,0,train,1
44,0.0,97.028097,97.278298,"[20.0, 20.0]",-20.0,null,gabors,45.0,-20.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502015,14,,,0,,False,1,train,1
45,0.0,97.278298,97.528509,"[20.0, 20.0]",-30.0,null,gabors,0.0,40.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250211,39,,,0,,False,0,train,0
46,0.0,97.528509,97.77872,"[20.0, 20.0]",40.0,null,gabors,45.0,-10.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250211,40,,,0,,False,0,train,1
47,0.0,97.77872,98.028931,"[20.0, 20.0]",10.0,null,gabors,90.0,-20.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250211,41,,,0,,False,0,train,2
48,0.0,98.028931,98.279142,"[20.0, 20.0]",0.0,null,gabors,0.0,0.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250211,42,,,0,,False,0,train,0
49,0.0,98.279142,98.529351,"[20.0, 20.0]",-10.0,null,gabors,45.0,0.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250209,43,,,0,,False,0,train,1
50,0.0,98.529351,98.77956,"[20.0, 20.0]",-40.0,null,gabors,90.0,30.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250209,44,,,0,,False,0,train,2
51,0.0,98.77956,99.029769,"[20.0, 20.0]",-10.0,null,gabors,90.0,-10.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250209,3,,,0,,False,1,train,2
52,0.0,99.029769,99.279978,"[20.0, 20.0]",40.0,null,gabors,90.0,30.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250209,45,,,0,,False,0,train,2
53,0.0,99.279978,99.530187,"[20.0, 20.0]",40.0,null,gabors,0.0,20.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502085,46,,,0,,False,0,train,0
54,0.0,99.530187,99.780395,"[20.0, 20.0]",0.0,null,gabors,45.0,40.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502085,47,,,0,,False,0,train,1
55,0.0,99.780395,100.0306,"[20.0, 20.0]",20.0,null,gabors,90.0,10.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502085,48,,,0,,False,0,train,2
56,0.0,100.0306,100.28081,"[20.0, 20.0]",-40.0,null,gabors,0.0,-40.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502085,49,,,0,,False,0,train,0
57,0.0,100.28081,100.53102,"[20.0, 20.0]",-40.0,null,gabors,45.0,0.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250209,23,,,0,,False,1,train,1
58,0.0,100.53102,100.78123,"[20.0, 20.0]",0.0,null,gabors,90.0,-30.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250209,50,,,0,,False,0,train,2
59,0.0,100.78123,101.03144,"[20.0, 20.0]",30.0,null,gabors,0.0,-40.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250209,51,,,0,,False,0,train,0
60,0.0,101.03144,101.28165,"[20.0, 20.0]",-30.0,null,gabors,45.0,30.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250209,52,,,0,,False,0,train,1
61,0.0,101.28165,101.53186,"[20.0, 20.0]",40.0,null,gabors,45.0,-30.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502135,53,,,0,,False,0,train,1
62,0.0,101.53186,101.78208,"[20.0, 20.0]",0.0,null,gabors,45.0,30.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502135,54,,,0,,False,0,train,1
63,0.0,101.78208,102.03229,"[20.0, 20.0]",0.0,null,gabors,45.0,30.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502135,54,,,0,,False,1,train,1
64,0.0,102.03229,102.2825,"[20.0, 20.0]",-10.0,null,gabors,90.0,0.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502135,24,,,0,,False,1,train,2
65,0.0,102.2825,102.5327,"[20.0, 20.0]",30.0,null,gabors,90.0,-10.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502015,55,,,0,,False,0,train,2
66,0.0,102.5327,102.78291,"[20.0, 20.0]",-30.0,null,gabors,90.0,-20.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502015,56,,,0,,False,0,train,2
67,0.0,102.78291,103.03311,"[20.0, 20.0]",-40.0,null,gabors,45.0,-10.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502015,57,,,0,,False,0,train,1
68,0.0,103.03311,103.28331,"[20.0, 20.0]",40.0,null,gabors,45.0,-10.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502015,40,,,0,,False,1,train,1
69,0.0,103.28331,103.53353,"[20.0, 20.0]",20.0,null,gabors,0.0,10.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502185,58,,,0,,False,0,train,0
70,0.0,103.53353,103.78375,"[20.0, 20.0]",-30.0,null,gabors,45.0,0.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502185,59,,,0,,False,0,train,1
71,0.0,103.78375,104.03396,"[20.0, 20.0]",10.0,null,gabors,90.0,0.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502185,60,,,0,,False,0,train,2
72,0.0,104.03396,104.28418,"[20.0, 20.0]",-30.0,null,gabors,0.0,0.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502185,61,,,0,,False,0,train,0
73,0.0,104.28418,104.53438,"[20.0, 20.0]",-10.0,null,gabors,45.0,-10.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250199,8,,,0,,False,2,test,1
74,0.0,104.53438,104.78458,"[20.0, 20.0]",-10.0,null,gabors,45.0,-10.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250199,8,,,0,,False,3,train,1
75,0.0,104.78458,105.03478,"[20.0, 20.0]",40.0,null,gabors,90.0,20.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250199,30,,,0,,False,1,train,2
76,0.0,105.03478,105.28498,"[20.0, 20.0]",-10.0,null,gabors,90.0,0.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250199,24,,,0,,False,2,test,2
77,0.0,105.28498,105.53519,"[20.0, 20.0]",-30.0,null,gabors,90.0,0.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502135,20,,,0,,False,1,train,2
78,0.0,105.53519,105.78541,"[20.0, 20.0]",-30.0,null,gabors,0.0,-40.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502135,62,,,0,,False,0,train,0
79,0.0,105.78541,106.03562,"[20.0, 20.0]",20.0,null,gabors,45.0,30.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502135,22,,,0,,False,2,test,1
80,0.0,106.03562,106.28583,"[20.0, 20.0]",40.0,null,gabors,90.0,0.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502135,9,,,0,,False,1,train,2
81,0.0,106.28583,106.53604,"[20.0, 20.0]",-30.0,null,gabors,45.0,0.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250204,59,,,0,,False,1,train,1
82,0.0,106.53604,106.78624,"[20.0, 20.0]",-20.0,null,gabors,90.0,30.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250204,63,,,0,,False,0,train,2
83,0.0,106.78624,107.03644,"[20.0, 20.0]",10.0,null,gabors,90.0,40.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250204,64,,,0,,False,0,train,2
84,0.0,107.03644,107.28665,"[20.0, 20.0]",0.0,null,gabors,0.0,0.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250204,42,,,0,,False,1,train,0
85,0.0,107.28665,107.53686,"[20.0, 20.0]",0.0,null,gabors,45.0,0.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250216,65,,,0,,False,0,train,1
86,0.0,107.53686,107.78708,"[20.0, 20.0]",10.0,null,gabors,45.0,40.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250216,66,,,0,,False,0,train,1
87,0.0,107.78708,108.0373,"[20.0, 20.0]",-20.0,null,gabors,45.0,-10.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250216,67,,,0,,False,0,train,1
88,0.0,108.0373,108.28751,"[20.0, 20.0]",-40.0,null,gabors,90.0,0.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250216,36,,,0,,False,1,train,2
89,0.0,108.28751,108.53772,"[20.0, 20.0]",0.0,null,gabors,90.0,-10.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250204,29,,,0,,False,1,train,2
90,0.0,108.53772,108.78792,"[20.0, 20.0]",-30.0,null,gabors,90.0,-30.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250204,68,,,0,,False,0,train,2
91,0.0,108.78792,109.03812,"[20.0, 20.0]",-10.0,null,gabors,45.0,30.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250204,69,,,0,,False,0,train,1
92,0.0,109.03812,109.28833,"[20.0, 20.0]",30.0,null,gabors,0.0,-30.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250204,70,,,0,,False,0,train,0
93,0.0,109.28833,109.53853,"[20.0, 20.0]",10.0,null,gabors,0.0,20.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250206,71,,,0,,False,0,train,0
94,0.0,109.53853,109.78874,"[20.0, 20.0]",-20.0,null,gabors,0.0,-40.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250206,72,,,0,,False,0,train,0
95,0.0,109.78874,110.03895,"[20.0, 20.0]",-40.0,null,gabors,90.0,-30.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250206,73,,,0,,False,0,train,2
96,0.0,110.03895,110.28915,"[20.0, 20.0]",30.0,null,gabors,0.0,30.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250206,74,,,0,,False,0,train,0
97,0.0,110.28915,110.53936,"[20.0, 20.0]",0.0,null,gabors,0.0,0.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250209,42,,,0,,False,2,test,0
98,0.0,110.53936,110.78957,"[20.0, 20.0]",10.0,null,gabors,90.0,10.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250209,75,,,0,,False,0,train,2
99,0.0,110.78957,111.03978,"[20.0, 20.0]",-30.0,null,gabors,0.0,20.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250209,76,,,0,,False,0,train,0
100,0.0,111.03978,111.28999,"[20.0, 20.0]",-10.0,null,gabors,45.0,-20.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250209,1,,,0,,False,1,train,1
101,0.0,111.28999,111.5402,"[20.0, 20.0]",0.0,null,gabors,0.0,40.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250211,77,,,0,,False,0,train,0
102,0.0,111.5402,111.79041,"[20.0, 20.0]",10.0,null,gabors,90.0,-40.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250211,78,,,0,,False,0,train,2
103,0.0,111.79041,112.04062,"[20.0, 20.0]",40.0,null,gabors,45.0,30.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250211,79,,,0,,False,0,train,1
104,0.0,112.04062,112.29083,"[20.0, 20.0]",-10.0,null,gabors,45.0,-40.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250211,80,,,0,,False,0,train,1
105,0.0,112.29083,112.54104,"[20.0, 20.0]",30.0,null,gabors,90.0,-10.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250209,55,,,0,,False,1,train,2
106,0.0,112.54104,112.79125,"[20.0, 20.0]",10.0,null,gabors,45.0,-40.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250209,81,,,0,,False,0,train,1
107,0.0,112.79125,113.04146,"[20.0, 20.0]",30.0,null,gabors,45.0,10.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250209,82,,,0,,False,0,train,1
108,0.0,113.04146,113.29167,"[20.0, 20.0]",10.0,null,gabors,90.0,30.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250209,83,,,0,,False,0,train,2
109,0.0,113.29167,113.54188,"[20.0, 20.0]",10.0,null,gabors,90.0,-20.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502085,41,,,0,,False,1,train,2
110,0.0,113.54188,113.79209,"[20.0, 20.0]",-10.0,null,gabors,45.0,0.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502085,43,,,0,,False,1,train,1
111,0.0,113.79209,114.04229,"[20.0, 20.0]",10.0,null,gabors,0.0,40.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502085,84,,,0,,False,0,train,0
112,0.0,114.04229,114.2925,"[20.0, 20.0]",0.0,null,gabors,45.0,10.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502085,85,,,0,,False,0,train,1
113,0.0,114.2925,114.54271,"[20.0, 20.0]",10.0,null,gabors,0.0,-10.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502065,86,,,0,,False,0,train,0
114,0.0,114.54271,114.79292,"[20.0, 20.0]",-10.0,null,gabors,90.0,-40.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502065,18,,,0,,False,1,train,2
115,0.0,114.79292,115.04312,"[20.0, 20.0]",-30.0,null,gabors,0.0,-10.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502065,87,,,0,,False,0,train,0
116,0.0,115.04312,115.29333,"[20.0, 20.0]",-10.0,null,gabors,0.0,30.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502065,88,,,0,,False,0,train,0
117,0.0,115.29333,115.54354,"[20.0, 20.0]",0.0,null,gabors,45.0,-20.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250211,89,,,0,,False,0,train,1
118,0.0,115.54354,115.79375,"[20.0, 20.0]",-20.0,null,gabors,90.0,40.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250211,90,,,0,,False,0,train,2
119,0.0,115.79375,116.04396,"[20.0, 20.0]",-30.0,null,gabors,45.0,-40.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250211,91,,,0,,False,0,train,1
120,0.0,116.04396,116.29417,"[20.0, 20.0]",10.0,null,gabors,45.0,10.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250211,92,,,0,,False,0,train,1
121,0.0,116.29417,116.54438,"[20.0, 20.0]",-10.0,null,gabors,90.0,10.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250209,93,,,0,,False,0,train,2
122,0.0,116.54438,116.79459,"[20.0, 20.0]",40.0,null,gabors,0.0,30.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250209,94,,,0,,False,0,train,0
123,0.0,116.79459,117.0448,"[20.0, 20.0]",20.0,null,gabors,0.0,10.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250209,58,,,0,,False,1,train,0
124,0.0,117.0448,117.29501,"[20.0, 20.0]",-10.0,null,gabors,0.0,40.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250209,95,,,0,,False,0,train,0
125,0.0,117.29501,117.54522,"[20.0, 20.0]",20.0,null,gabors,0.0,30.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250211,96,,,0,,False,0,train,0
126,0.0,117.54522,117.79543,"[20.0, 20.0]",-40.0,null,gabors,45.0,10.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250211,25,,,0,,False,1,train,1
127,0.0,117.79543,118.04564,"[20.0, 20.0]",40.0,null,gabors,45.0,-20.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250211,97,,,0,,False,0,train,1
128,0.0,118.04564,118.29585,"[20.0, 20.0]",-40.0,null,gabors,45.0,40.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250211,98,,,0,,False,0,train,1
129,0.0,118.29585,118.54606,"[20.0, 20.0]",-10.0,null,gabors,45.0,-30.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250204,99,,,0,,False,0,train,1
130,0.0,118.54606,118.79626,"[20.0, 20.0]",-10.0,null,gabors,0.0,0.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250204,100,,,0,,False,0,train,0
131,0.0,118.79626,119.04646,"[20.0, 20.0]",-40.0,null,gabors,0.0,-10.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250204,101,,,0,,False,0,train,0
132,0.0,119.04646,119.29667,"[20.0, 20.0]",-40.0,null,gabors,45.0,-40.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250204,7,,,0,,False,3,train,1
133,0.0,119.29667,119.54688,"[20.0, 20.0]",10.0,null,gabors,90.0,0.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250216,60,,,0,,False,1,train,2
134,0.0,119.54688,119.7971,"[20.0, 20.0]",30.0,null,gabors,45.0,30.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250216,102,,,0,,False,0,train,1
135,0.0,119.7971,120.04732,"[20.0, 20.0]",40.0,null,gabors,45.0,30.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250216,79,,,0,,False,1,train,1
136,0.0,120.04732,120.29753,"[20.0, 20.0]",10.0,null,gabors,0.0,0.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250216,103,,,0,,False,0,train,0
137,0.0,120.29753,120.54773,"[20.0, 20.0]",40.0,null,gabors,45.0,0.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502015,104,,,0,,False,0,train,1
