unit_id,selection_role,group,direction,rows_or_columns_removed,model,remaining_rows,remaining_columns,threshold_center_x_px,threshold_center_y_px,threshold_area_deg2,threshold_component_touches_crop_edge,original_threshold_component_censored,original_peak_removed,crop_stratum,success,at_bound,baseline,center_x_px,center_y_px,sigma_x_px,sigma_y_px,data_rmse,ring_modulation_rms,major_sigma_deg,minor_sigma_deg,major_sigma_ratio,absolute_log2_major_sigma_ratio,center_error_deg,threshold_area_ratio
951869357,V1 typical,V1,bottom,2,Baseline + DC ring,7,9,4.5,3.5,400,False,False,False,component intact,True,False,2.5492576,4.6147202,3.2557334,0.89512303,0.55218043,2.9086784,0.00064500715,8.9512303,5.5218043,0.96710439,0.048256476,0.097209163,1.3333333
951869357,V1 typical,V1,bottom,3,Allen no baseline,6,9,5,3.5,600,False,False,False,component intact,True,False,0,4.8496762,3.2619669,1.503766,0.76454409,,,15.03766,7.6454409,0.99710112,0.0041882721,0.026655539,2
951869357,V1 typical,V1,bottom,3,Baseline screen-bounded,6,9,5,3.5,600,False,False,False,component intact,True,False,2.8997608,4.6107062,3.2653124,0.86895553,0.53250358,3.0504838,,8.6895553,5.3250358,0.93883232,0.091060588,0.19999567,2
951869357,V1 typical,V1,bottom,3,Baseline extended,6,9,5,3.5,600,False,False,False,component intact,True,False,2.8997607,4.6107062,3.2653124,0.86895559,0.53250358,3.0504838,,8.6895559,5.3250358,0.93883246,0.09106037,0.19999554,2
951869357,V1 typical,V1,bottom,3,Baseline + DC ring,6,9,5,3.5,600,False,False,False,component intact,True,False,2.899761,4.6107062,3.2653124,0.86895543,0.53250356,3.0504838,0.0013150593,8.6895543,5.3250356,0.93883251,0.091060293,0.19999542,2
951869357,V1 typical,V1,bottom,4,Allen no baseline,5,9,4.8,3.6,500,True,False,False,component intact,True,False,0,4.7527727,3.2332113,1.3336372,0.67417788,,,13.336372,6.7417788,0.88429396,0.17740207,1.0373237,1.6666667
951869357,V1 typical,V1,bottom,4,Baseline screen-bounded,5,9,4.8,3.6,500,True,False,False,component intact,True,False,2.7027348,4.6122089,3.2624463,0.88344249,0.53849018,2.9836926,,8.8344249,5.3849018,0.95448425,0.067206707,0.16763804,1.6666667
951869357,V1 typical,V1,bottom,4,Baseline extended,5,9,4.8,3.6,500,True,False,False,component intact,True,False,2.7027348,4.6122089,3.2624463,0.88344248,0.53849018,2.9836926,,8.8344248,5.3849018,0.95448432,0.067206605,0.16763797,1.6666667
951869357,V1 typical,V1,bottom,4,Baseline + DC ring,5,9,4.8,3.6,500,True,False,False,component intact,True,False,2.7027348,4.6122089,3.2624463,0.88344244,0.53849017,2.9836926,0.00071815614,8.8344244,5.3849017,0.95448449,0.067206333,0.16763782,1.6666667
951869357,V1 typical,V1,left,0,Allen no baseline,9,9,4.6667,3.3333,300,False,False,False,component intact,True,False,0,4.852142,3.2629793,1.5081379,0.76786098,,,15.081379,7.6786098,1,0,0,1
951869357,V1 typical,V1,left,0,Baseline screen-bounded,9,9,4.6667,3.3333,300,False,False,False,component intact,True,False,2.1850031,4.6202393,3.2477311,0.92557053,0.57157265,2.6739389,,9.2557053,5.7157265,1,0,0,1
951869357,V1 typical,V1,left,0,Baseline extended,9,9,4.6667,3.3333,300,False,False,False,component intact,True,False,2.1850032,4.6202393,3.2477311,0.92557046,0.57157265,2.6739389,,9.2557046,5.7157265,1,0,0,1
