preference,area,bandwidth_deg,azimuth_deg,elevation_deg,estimate_log2,estimate_preference,effective_sessions,local_units,supported,source_units,source_sessions
sf,Multi-probe V1,8,40,-26,-3.9491,0.0647446,5.53443,37,True,843,8
sf,Multi-probe V1,8,42,-26,-3.88185,0.067834,5.4255,35,True,843,8
sf,Multi-probe V1,8,44,-26,-3.7968,0.0719528,5.30751,28,True,843,8
sf,Multi-probe V1,8,46,-26,-3.70157,0.076863,5.17692,26,True,843,8
sf,Multi-probe V1,8,48,-26,-3.60805,0.0820104,5.04219,21,True,843,8
sf,Multi-probe V1,8,50,-26,,,4.91592,17,False,843,8
sf,Multi-probe V1,8,52,-26,,,4.80302,15,False,843,8
sf,Multi-probe V1,8,54,-26,,,4.69469,15,False,843,8
sf,Multi-probe V1,8,56,-26,,,4.57105,15,False,843,8
sf,Multi-probe V1,8,58,-26,,,4.40849,14,False,843,8
sf,Multi-probe V1,8,60,-26,,,4.18888,12,False,843,8
sf,Multi-probe V1,8,62,-26,,,3.91036,10,False,843,8
sf,Multi-probe V1,8,64,-26,,,3.59544,9,False,843,8
sf,Multi-probe V1,8,66,-26,,,3.28653,8,False,843,8
sf,Multi-probe V1,8,68,-26,,,3.02873,8,False,843,8
sf,Multi-probe V1,8,70,-26,,,2.8536,5,False,843,8
sf,Multi-probe V1,8,72,-26,,,2.77336,4,False,843,8
sf,Multi-probe V1,8,74,-26,,,2.78093,3,False,843,8
sf,Multi-probe V1,8,76,-26,,,2.85097,3,False,843,8
sf,Multi-probe V1,8,78,-26,,,2.94752,3,False,843,8
sf,Multi-probe V1,8,80,-26,,,3.04484,1,False,843,8
sf,Multi-probe V1,8,82,-26,,,3.14421,1,False,843,8
sf,Multi-probe V1,8,84,-26,,,3.26358,1,False,843,8
sf,Multi-probe V1,8,86,-26,,,3.41213,1,False,843,8
sf,Multi-probe V1,8,88,-26,,,3.57608,1,False,843,8
sf,Multi-probe V1,8,90,-26,,,3.72177,1,False,843,8
sf,Multi-probe V1,8,10,-24,-3.84833,0.0694283,4.60057,27,True,843,8
sf,Multi-probe V1,8,12,-24,-3.86145,0.0687997,4.77669,34,True,843,8
sf,Multi-probe V1,8,14,-24,-3.8737,0.0682181,4.99279,41,True,843,8
sf,Multi-probe V1,8,16,-24,-3.885,0.067686,5.25274,44,True,843,8
sf,Multi-probe V1,8,18,-24,-3.89547,0.0671964,5.55268,53,True,843,8
sf,Multi-probe V1,8,20,-24,-3.90546,0.066733,5.87458,63,True,843,8
sf,Multi-probe V1,8,22,-24,-3.91543,0.0662734,6.1816,63,True,843,8
sf,Multi-probe V1,8,24,-24,-3.92584,0.0657966,6.42298,70,True,843,8
sf,Multi-probe V1,8,26,-24,-3.93689,0.0652945,6.55379,74,True,843,8
sf,Multi-probe V1,8,28,-24,-3.94824,0.0647832,6.55997,74,True,843,8
sf,Multi-probe V1,8,30,-24,-3.95876,0.0643126,6.46606,67,True,843,8
sf,Multi-probe V1,8,32,-24,-3.96644,0.0639707,6.31821,67,True,843,8
sf,Multi-probe V1,8,34,-24,-3.96837,0.0638854,6.15945,61,True,843,8
sf,Multi-probe V1,8,36,-24,-3.96082,0.0642207,6.01519,56,True,843,8
sf,Multi-probe V1,8,38,-24,-3.93969,0.0651682,5.89144,53,True,843,8
sf,Multi-probe V1,8,40,-24,-3.90131,0.0669249,5.78008,45,True,843,8
sf,Multi-probe V1,8,42,-24,-3.84385,0.0696442,5.6674,40,True,843,8
sf,Multi-probe V1,8,44,-24,-3.769,0.0733528,5.54374,31,True,843,8
