azimuth_deg,elevation_deg,mousev2_estimate_log2,mousev2_supported,allen_estimate_log2,allen_supported,preference,shared_supported,mousev2_minus_allen_log2,mousev2_over_allen_ratio
44,-28,-3.78471,True,-4.09373,True,sf,True,0.30902,1.238866
46,-28,-3.75143,True,-4.07976,True,sf,True,0.32833,1.255559
48,-28,-3.71701,True,-4.0664,True,sf,True,0.34939,1.274022
50,-28,-3.68347,True,-4.0538,True,sf,True,0.37033,1.292648
52,-28,-3.65312,True,-4.04205,True,sf,True,0.38893,1.309422
54,-28,-3.62826,True,-4.03118,True,sf,True,0.40292,1.322181
56,-28,-3.61097,True,-4.02119,True,sf,True,0.41022,1.328888
58,-28,-3.60275,True,-4.01206,True,sf,True,0.40931,1.32805
60,-28,-3.60441,True,-4.00379,True,sf,True,0.39938,1.318941
62,-28,-3.61593,True,-3.99637,True,sf,True,0.38044,1.301739
64,-28,,False,-3.98977,True,sf,False,,
66,-28,,False,-3.98391,True,sf,False,,
68,-28,,False,-3.97863,True,sf,False,,
70,-28,,False,-3.97365,True,sf,False,,
72,-28,,False,-3.96858,True,sf,False,,
74,-28,,False,-3.96294,True,sf,False,,
76,-28,,False,-3.95621,True,sf,False,,
78,-28,,False,-3.94792,True,sf,False,,
80,-28,,False,-3.93771,True,sf,False,,
82,-28,,False,-3.92539,True,sf,False,,
84,-28,,False,-3.91093,True,sf,False,,
86,-28,,False,,False,sf,False,,
88,-28,,False,,False,sf,False,,
90,-28,,False,,False,sf,False,,
10,-26,-3.8403,True,,False,sf,False,,
12,-26,-3.84867,True,,False,sf,False,,
14,-26,-3.85665,True,,False,sf,False,,
16,-26,-3.86411,True,,False,sf,False,,
18,-26,-3.87089,True,,False,sf,False,,
20,-26,-3.87679,True,,False,sf,False,,
22,-26,-3.88157,True,-4.12835,True,sf,True,0.24678,1.186556
24,-26,-3.88496,True,-4.13929,True,sf,True,0.25433,1.192782
26,-26,-3.88662,True,-4.14692,True,sf,True,0.2603,1.197728
28,-26,-3.88617,True,,False,sf,False,,
30,-26,-3.88318,True,-4.15139,True,sf,True,0.26821,1.204313
32,-26,-3.87719,True,-4.14845,True,sf,True,0.27126,1.206861
34,-26,-3.86775,True,-4.14256,True,sf,True,0.27481,1.209835
36,-26,-3.85444,True,-4.13431,True,sf,True,0.27987,1.214085
38,-26,-3.83698,True,-4.12435,True,sf,True,0.28737,1.220413
40,-26,-3.81528,True,-4.1133,True,sf,True,0.29802,1.229456
42,-26,-3.78954,True,-4.10171,True,sf,True,0.31217,1.241574
44,-26,-3.76037,True,-4.09004,True,sf,True,0.32967,1.256726
46,-26,-3.72881,True,-4.07863,True,sf,True,0.34982,1.274402
48,-26,-3.69641,True,-4.06769,True,sf,True,0.37128,1.2935
50,-26,-3.66511,True,-4.05737,True,sf,True,0.39226,1.312448
52,-26,-3.63709,True,-4.04775,True,sf,True,0.41066,1.329294
54,-26,-3.61454,True,-4.03886,True,sf,True,0.42432,1.34194
56,-26,-3.59941,True,-4.03073,True,sf,True,0.43132,1.348467
58,-26,-3.59309,True,-4.02336,True,sf,True,0.43027,1.347486
60,-26,-3.59629,True,-4.01678,True,sf,True,0.42049,1.338382
62,-26,-3.60891,True,-4.01099,True,sf,True,0.40208,1.321412
64,-26,-3.63007,True,-4.00595,True,sf,True,0.37588,1.297631
66,-26,,False,-4.00159,True,sf,False,,
68,-26,,False,-3.99773,True,sf,False,,
70,-26,,False,-3.99409,True,sf,False,,
72,-26,,False,-3.99027,True,sf,False,,
74,-26,,False,-3.98577,True,sf,False,,
76,-26,,False,-3.98005,True,sf,False,,
78,-26,,False,-3.97263,True,sf,False,,
80,-26,,False,-3.9631,True,sf,False,,
82,-26,,False,-3.95124,True,sf,False,,
84,-26,,False,-3.93701,True,sf,False,,
86,-26,,False,,False,sf,False,,
88,-26,,False,,False,sf,False,,
90,-26,,False,,False,sf,False,,
10,-24,-3.823,True,,False,sf,False,,
12,-24,-3.8309,True,,False,sf,False,,
14,-24,-3.83828,True,,False,sf,False,,
16,-24,-3.84503,True,,False,sf,False,,
18,-24,-3.85097,True,,False,sf,False,,
20,-24,-3.85594,True,-4.11275,True,sf,True,0.25681,1.194834
22,-24,-3.85972,True,-4.12316,True,sf,True,0.26344,1.200337
24,-24,-3.86207,True,-4.13115,True,sf,True,0.26908,1.205039
26,-24,-3.8627,True,-4.13641,True,sf,True,0.27371,1.208913
28,-24,-3.86127,True,-4.13878,True,sf,True,0.27751,1.212101
30,-24,-3.85741,True,-4.13833,True,sf,True,0.28092,1.214969
32,-24,-3.85072,True,-4.1353,True,sf,True,0.28458,1.218056
34,-24,-3.84081,True,-4.13007,True,sf,True,0.28926,1.222013
36,-24,-3.82731,True,-4.12312,True,sf,True,0.29581,1.227574
38,-24,-3.80999,True,-4.11493,True,sf,True,0.30494,1.235367
40,-24,-3.78878,True,-4.10599,True,sf,True,0.31721,1.245919
42,-24,-3.76391,True,-4.09668,True,sf,True,0.33277,1.259429
44,-24,-3.73599,True,-4.08734,True,sf,True,0.35135,1.275754
46,-24,-3.70603,True,-4.07822,True,sf,True,0.37219,1.294316
48,-24,-3.67553,True,-4.06948,True,sf,True,0.39395,1.313986
50,-24,-3.64634,True,-4.06124,True,sf,True,0.4149,1.333206
52,-24,-3.62054,True,-4.05358,True,sf,True,0.43304,1.350075
54,-24,-3.6002,True,-4.04654,True,sf,True,0.44634,1.362579
56,-24,-3.58711,True,-4.04017,True,sf,True,0.45306,1.368941
58,-24,-3.58257,True,-4.03449,True,sf,True,0.45192,1.367859
60,-24,-3.58716,True,-4.02955,True,sf,True,0.44239,1.358854
62,-24,-3.60071,True,-4.02535,True,sf,True,0.42464,1.342238
64,-24,-3.62227,True,-4.02187,True,sf,True,0.3996,1.319142
66,-24,,False,-4.01901,True,sf,False,,
68,-24,,False,-4.01661,True,sf,False,,
70,-24,,False,-4.01437,True,sf,False,,
72,-24,,False,-4.01189,True,sf,False,,
74,-24,,False,-4.00866,True,sf,False,,
76,-24,,False,-4.00413,True,sf,False,,
78,-24,,False,-3.99779,True,sf,False,,
80,-24,,False,-3.98921,True,sf,False,,
82,-24,,False,-3.97812,True,sf,False,,
84,-24,,False,-3.96446,True,sf,False,,
86,-24,,False,,False,sf,False,,
88,-24,,False,,False,sf,False,,
90,-24,,False,,False,sf,False,,
10,-22,-3.80502,True,,False,sf,False,,
12,-22,-3.81264,True,,False,sf,False,,
14,-22,-3.81963,True,-4.08094,True,sf,True,0.26131,1.198567
16,-22,-3.82586,True,-4.09206,True,sf,True,0.2662,1.202636
18,-22,-3.83118,True,-4.1023,True,sf,True,0.27112,1.206744
20,-22,-3.83541,True,-4.11124,True,sf,True,0.27583,1.21069
22,-22,-3.83836,True,-4.11848,True,sf,True,0.28012,1.214296
24,-22,-3.83981,True,-4.12372,True,sf,True,0.28391,1.21749
26,-22,-3.83951,True,-4.1268,True,sf,True,0.28729,1.220346
28,-22,-3.83717,True,-4.12769,True,sf,True,0.29052,1.223081
30,-22,-3.83248,True,-4.1265,True,sf,True,0.29402,1.226052
32,-22,-3.82508,True,-4.12346,True,sf,True,0.29838,1.229763
34,-22,-3.81465,True,-4.1189,True,sf,True,0.30425,1.234777
36,-22,-3.80089,True,-4.11316,True,sf,True,0.31227,1.24166
38,-22,-3.78359,True,-4.1066,True,sf,True,0.32301,1.250938
40,-22,-3.76275,True,-4.09956,True,sf,True,0.33681,1.262961
42,-22,-3.73862,True,-4.0923,True,sf,True,0.35368,1.277816
44,-22,-3.7118,True,-4.08506,True,sf,True,0.37326,1.295276
46,-22,-3.68331,True,-4.078,True,sf,True,0.39469,1.31466
48,-22,-3.65458,True,-4.07125,True,sf,True,0.41667,1.334843
50,-22,-3.62739,True,-4.06492,True,sf,True,0.43753,1.354284
52,-22,-3.6037,True,-4.05906,True,sf,True,0.45536,1.371125
54,-22,-3.58546,True,-4.05375,True,sf,True,0.46829,1.383469
56,-22,-3.57433,True,-4.04904,True,sf,True,0.47471,1.389639
58,-22,-3.57148,True,-4.04497,True,sf,True,0.47349,1.388464
60,-22,-3.57738,True,-4.04159,True,sf,True,0.46421,1.379562
62,-22,-3.59176,True,-4.03892,True,sf,True,0.44716,1.363354
64,-22,-3.6136,True,-4.03694,True,sf,True,0.42334,1.341029
66,-22,-3.64123,True,-4.03556,True,sf,True,0.39433,1.314332
68,-22,-3.67255,True,-4.0346,True,sf,True,0.36205,1.285251
70,-22,,False,-4.03377,True,sf,False,,
72,-22,,False,-4.03267,True,sf,False,,
74,-22,,False,-4.03079,True,sf,False,,
76,-22,,False,-4.02758,True,sf,False,,
78,-22,,False,-4.02249,True,sf,False,,
80,-22,,False,-4.01507,True,sf,False,,
82,-22,,False,-4.00502,True,sf,False,,
84,-22,,False,-3.99222,True,sf,False,,
86,-22,,False,-3.97675,True,sf,False,,
88,-22,,False,,False,sf,False,,
90,-22,,False,,False,sf,False,,
10,-20,-3.78624,True,,False,sf,False,,
12,-20,-3.79378,True,,False,sf,False,,
14,-20,-3.8006,True,-4.08884,True,sf,True,0.28824,1.22115
16,-20,-3.80654,True,-4.09673,True,sf,True,0.29019,1.222801
18,-20,-3.81145,True,-4.10367,True,sf,True,0.29222,1.224523
20,-20,-3.81516,True,-4.10939,True,sf,True,0.29423,1.22623
22,-20,-3.81748,True,-4.1137,True,sf,True,0.29622,1.227923
24,-20,-3.81822,True,-4.11644,True,sf,True,0.29822,1.229626
26,-20,-3.81714,True,-4.1176,True,sf,True,0.30046,1.231537
28,-20,-3.81401,True,-4.11721,True,sf,True,0.3032,1.233878
30,-20,-3.80855,True,-4.11544,True,sf,True,0.30689,1.237038
32,-20,-3.80047,True,-4.11247,True,sf,True,0.312,1.241427
34,-20,-3.7895,True,-4.10856,True,sf,True,0.31906,1.247517
36,-20,-3.77541,True,-4.10394,True,sf,True,0.32853,1.255733
38,-20,-3.75805,True,-4.09887,True,sf,True,0.34082,1.266476
40,-20,-3.73746,True,-4.09353,True,sf,True,0.35607,1.279935
42,-20,-3.71393,True,-4.08811,True,sf,True,0.37418,1.296103
44,-20,-3.68809,True,-4.08276,True,sf,True,0.39467,1.314642
46,-20,-3.66093,True,-4.07757,True,sf,True,0.41664,1.334815
48,-20,-3.63385,True,-4.07264,True,sf,True,0.43879,1.355467
50,-20,-3.60854,True,-4.06806,True,sf,True,0.45952,1.375084
52,-20,-3.58687,True,-4.06387,True,sf,True,0.477,1.391846
54,-20,-3.57066,True,-4.06017,True,sf,True,0.48951,1.403968
56,-20,-3.56144,True,-4.05701,True,sf,True,0.49557,1.409878
58,-20,-3.56023,True,-4.05445,True,sf,True,0.49422,1.408559
60,-20,-3.5674,True,-4.05254,True,sf,True,0.48514,1.399722
62,-20,-3.58257,True,-4.05132,True,sf,True,0.46875,1.38391
64,-20,-3.60465,True,-4.05076,True,sf,True,0.44611,1.362362
66,-20,-3.63193,True,-4.05078,True,sf,True,0.41885,1.336861
68,-20,-3.6623,True,-4.05121,True,sf,True,0.38891,1.309404
70,-20,-3.69351,True,-4.05176,True,sf,True,0.35825,1.28187
72,-20,-3.72344,True,-4.05203,True,sf,True,0.32859,1.255785
74,-20,-3.75035,True,-4.05152,True,sf,True,0.30117,1.232143
76,-20,-3.77306,True,-4.04968,True,sf,True,0.27662,1.211354
78,-20,-3.791,True,-4.04594,True,sf,True,0.25494,1.193286
80,-20,-3.80414,True,-4.03983,True,sf,True,0.23569,1.17747
82,-20,,False,-4.03102,True,sf,False,,
84,-20,,False,-4.01934,True,sf,False,,
86,-20,,False,-4.00483,True,sf,False,,
88,-20,,False,-3.98768,True,sf,False,,
90,-20,,False,-3.96821,True,sf,False,,
10,-18,-3.76655,True,-4.08344,True,sf,True,0.31689,1.245642
12,-18,-3.77422,True,,False,sf,False,,
14,-18,-3.78108,True,-4.09531,True,sf,True,0.31423,1.243348
16,-18,-3.78698,True,-4.10012,True,sf,True,0.31314,1.242409
18,-18,-3.79172,True,-4.10397,True,sf,True,0.31225,1.241643
20,-18,-3.79515,True,-4.10676,True,sf,True,0.31161,1.241092
22,-18,-3.79708,True,-4.10842,True,sf,True,0.31134,1.24086
24,-18,-3.79731,True,-4.10896,True,sf,True,0.31165,1.241126
26,-18,-3.79565,True,-4.10846,True,sf,True,0.31281,1.242125
28,-18,-3.79187,True,-4.10702,True,sf,True,0.31515,1.244141
30,-18,-3.78575,True,-4.1048,True,sf,True,0.31905,1.247509
32,-18,-3.77706,True,-4.10197,True,sf,True,0.32491,1.252586
34,-18,-3.76557,True,-4.09869,True,sf,True,0.33312,1.259735
36,-18,-3.75112,True,-4.09512,True,sf,True,0.344,1.269271
38,-18,-3.73363,True,-4.09138,True,sf,True,0.35775,1.281426
40,-18,-3.7132,True,-4.08758,True,sf,True,0.37438,1.296282
42,-18,-3.69016,True,-4.08383,True,sf,True,0.39367,1.313731
44,-18,-3.66517,True,-4.08017,True,sf,True,0.415,1.333299
46,-18,-3.63921,True,-4.07668,True,sf,True,0.43747,1.354227
48,-18,-3.61367,True,-4.07342,True,sf,True,0.45975,1.375303
50,-18,-3.59015,True,-4.07043,True,sf,True,0.48028,1.395014
52,-18,-3.57044,True,-4.0678,True,sf,True,0.49736,1.411628
54,-18,-3.55622,True,-4.06559,True,sf,True,0.50937,1.423428
56,-18,-3.54888,True,-4.06387,True,sf,True,0.51499,1.428984
58,-18,-3.54932,True,-4.06272,True,sf,True,0.5134,1.42741
60,-18,-3.55776,True,-4.06218,True,sf,True,0.50442,1.418553
62,-18,-3.57375,True,-4.0623,True,sf,True,0.48855,1.403034
64,-18,-3.5961,True,-4.06307,True,sf,True,0.46697,1.382203
66,-18,-3.62309,True,-4.0644,True,sf,True,0.44131,1.357837
68,-18,-3.65263,True,-4.06613,True,sf,True,0.4135,1.331913
70,-18,-3.68259,True,-4.06798,True,sf,True,0.38539,1.306213
72,-18,-3.71098,True,-4.06956,True,sf,True,0.35858,1.282163
74,-18,-3.73629,True,-4.07039,True,sf,True,0.3341,1.260591
76,-18,-3.75754,True,-4.06991,True,sf,True,0.31237,1.241746
78,-18,-3.77435,True,-4.06756,True,sf,True,0.29321,1.225364
80,-18,-3.78678,True,-4.06284,True,sf,True,0.27606,1.210883
82,-18,-3.79525,True,-4.05538,True,sf,True,0.26013,1.197587
84,-18,-3.80036,True,-4.04499,True,sf,True,0.24463,1.184789
86,-18,,False,-4.03166,True,sf,False,,
88,-18,,False,-4.01555,True,sf,False,,
90,-18,,False,-3.99694,True,sf,False,,
10,-16,-3.74588,True,-4.09345,True,sf,True,0.34757,1.272416
12,-16,-3.75387,True,-4.09713,True,sf,True,0.34326,1.26862
14,-16,-3.76099,True,-4.09998,True,sf,True,0.33899,1.264871
16,-16,-3.76707,True,-4.10193,True,sf,True,0.33486,1.261255
18,-16,-3.7719,True,-4.10297,True,sf,True,0.33107,1.257946
20,-16,-3.77531,True,-4.10312,True,sf,True,0.32781,1.255107
22,-16,-3.7771,True,-4.10247,True,sf,True,0.32537,1.252986
24,-16,-3.77708,True,-4.10113,True,sf,True,0.32405,1.25184
26,-16,-3.77504,True,-4.09924,True,sf,True,0.3242,1.25197
28,-16,-3.77081,True,-4.09695,True,sf,True,0.32614,1.253655
30,-16,-3.76418,True,-4.09442,True,sf,True,0.33024,1.257223
32,-16,-3.75498,True,-4.09176,True,sf,True,0.33678,1.262935
34,-16,-3.74303,True,-4.08909,True,sf,True,0.34606,1.271085
36,-16,-3.72824,True,-4.08647,True,sf,True,0.35823,1.281852
38,-16,-3.71059,True,-4.08394,True,sf,True,0.37335,1.295357
40,-16,-3.69026,True,-4.08154,True,sf,True,0.39128,1.311557
42,-16,-3.66763,True,-4.07927,True,sf,True,0.41164,1.330197
44,-16,-3.64339,True,-4.07715,True,sf,True,0.43376,1.350749
46,-16,-3.61855,True,-4.07521,True,sf,True,0.45666,1.372361
48,-16,-3.59446,True,-4.07346,True,sf,True,0.479,1.393777
50,-16,-3.57268,True,-4.07196,True,sf,True,0.49928,1.413508
52,-16,-3.55488,True,-4.07076,True,sf,True,0.51588,1.429866
54,-16,-3.54264,True,-4.06993,True,sf,True,0.52729,1.441219
56,-16,-3.5372,True,-4.06955,True,sf,True,0.53235,1.446283
58,-16,-3.53932,True,-4.06969,True,sf,True,0.53037,1.4443
60,-16,-3.54909,True,-4.07042,True,sf,True,0.52133,1.435278
62,-16,-3.56595,True,-4.07177,True,sf,True,0.50582,1.41993
64,-16,-3.58865,True,-4.07375,True,sf,True,0.4851,1.399683
66,-16,-3.61546,True,-4.07628,True,sf,True,0.46082,1.376324
68,-16,-3.64436,True,-4.0792,True,sf,True,0.43484,1.351761
70,-16,-3.67332,True,-4.08226,True,sf,True,0.40894,1.32771
72,-16,-3.70054,True,-4.08507,True,sf,True,0.38453,1.305434
74,-16,-3.72472,True,-4.08716,True,sf,True,0.36244,1.285598
76,-16,-3.74505,True,-4.08799,True,sf,True,0.34294,1.268339
78,-16,-3.76127,True,-4.08699,True,sf,True,0.32572,1.25329
80,-16,-3.77351,True,-4.08367,True,sf,True,0.31016,1.239845
82,-16,-3.78219,True,-4.07761,True,sf,True,0.29542,1.227242
84,-16,-3.78786,True,-4.0686,True,sf,True,0.28074,1.214818
86,-16,-3.7911,True,-4.05657,True,sf,True,0.26547,1.202028
88,-16,,False,-4.04166,True,sf,False,,
90,-16,,False,-4.02411,True,sf,False,,
10,-14,-3.72416,True,-4.10138,True,sf,True,0.37722,1.298837
12,-14,-3.73264,True,-4.10258,True,sf,True,0.36994,1.292299
14,-14,-3.74023,True,-4.10283,True,sf,True,0.3626,1.285741
16,-14,-3.74671,True,-4.10216,True,sf,True,0.35545,1.279385
18,-14,-3.75188,True,-4.10068,True,sf,True,0.3488,1.273501
20,-14,-3.75553,True,-4.09852,True,sf,True,0.34299,1.268383
22,-14,-3.75745,True,-4.09588,True,sf,True,0.33843,1.26438
24,-14,-3.75743,True,-4.09294,True,sf,True,0.33551,1.261823
26,-14,-3.75528,True,-4.08991,True,sf,True,0.33463,1.261054
28,-14,-3.75082,True,-4.08696,True,sf,True,0.33614,1.262375
30,-14,-3.74388,True,-4.08422,True,sf,True,0.34034,1.266055
32,-14,-3.73432,True,-4.08178,True,sf,True,0.34746,1.272319
34,-14,-3.72202,True,-4.07967,True,sf,True,0.35765,1.281337
36,-14,-3.70694,True,-4.07792,True,sf,True,0.37098,1.293231
38,-14,-3.68917,True,-4.07648,True,sf,True,0.38731,1.307952
40,-14,-3.66892,True,-4.07532,True,sf,True,0.4064,1.325374
42,-14,-3.64666,True,-4.0744,True,sf,True,0.42774,1.345125
44,-14,-3.62313,True,-4.07367,True,sf,True,0.45054,1.366552
46,-14,-3.59936,True,-4.07313,True,sf,True,0.47377,1.388734
48,-14,-3.57669,True,-4.07277,True,sf,True,0.49608,1.410376
50,-14,-3.55662,True,-4.07263,True,sf,True,0.51601,1.429995
52,-14,-3.54075,True,-4.07275,True,sf,True,0.532,1.445932
54,-14,-3.5305,True,-4.0732,True,sf,True,0.5427,1.456696
56,-14,-3.527,True,-4.07405,True,sf,True,0.54705,1.461095
58,-14,-3.53085,True,-4.07538,True,sf,True,0.54453,1.458545
60,-14,-3.54202,True,-4.07726,True,sf,True,0.53524,1.449183
62,-14,-3.55982,True,-4.07974,True,sf,True,0.51992,1.433876
64,-14,-3.58297,True,-4.08281,True,sf,True,0.49984,1.414057
66,-14,-3.60973,True,-4.08642,True,sf,True,0.47669,1.391547
68,-14,-3.63818,True,-4.09042,True,sf,True,0.45224,1.368163
70,-14,-3.6664,True,-4.09457,True,sf,True,0.42817,1.345526
72,-14,-3.69281,True,-4.0985,True,sf,True,0.40569,1.324722
74,-14,-3.71625,True,-4.10175,True,sf,True,0.3855,1.306312
76,-14,-3.7361,True,-4.10381,True,sf,True,0.36771,1.290303
78,-14,-3.75216,True,-4.10411,True,sf,True,0.35195,1.276285
80,-14,-3.7646,True,-4.10213,True,sf,True,0.33753,1.263591
82,-14,-3.77381,True,-4.09746,True,sf,True,0.32365,1.251493
84,-14,-3.78027,True,-4.08983,True,sf,True,0.30956,1.23933
86,-14,-3.7845,True,-4.07916,True,sf,True,0.29466,1.226596
88,-14,-3.78697,True,-4.06552,True,sf,True,0.27855,1.212975
90,-14,,False,-4.04913,True,sf,False,,
10,-12,-3.70139,True,-4.10744,True,sf,True,0.40605,1.325053
12,-12,-3.71051,True,-4.10628,True,sf,True,0.39577,1.315645
14,-12,-3.71872,True,-4.1041,True,sf,True,0.38538,1.306204
16,-12,-3.72581,True,-4.10105,True,sf,True,0.37524,1.297055
18,-12,-3.73155,True,-4.09733,True,sf,True,0.36578,1.288578
20,-12,-3.73568,True,-4.09316,True,sf,True,0.35748,1.281186
22,-12,-3.73799,True,-4.08881,True,sf,True,0.35082,1.275285
24,-12,-3.73826,True,-4.08455,True,sf,True,0.34629,1.271287
26,-12,-3.73626,True,-4.08059,True,sf,True,0.34433,1.269561
28,-12,-3.73183,True,-4.07711,True,sf,True,0.34528,1.270398
30,-12,-3.72481,True,-4.07424,True,sf,True,0.34943,1.274057
32,-12,-3.71509,True,-4.07202,True,sf,True,0.35693,1.280698
34,-12,-3.7026,True,-4.07045,True,sf,True,0.36785,1.290428
36,-12,-3.68737,True,-4.06947,True,sf,True,0.3821,1.303237
38,-12,-3.66954,True,-4.06901,True,sf,True,0.39947,1.319023
40,-12,-3.64943,True,-4.06896,True,sf,True,0.41953,1.337492
42,-12,-3.62757,True,-4.06924,True,sf,True,0.44167,1.358176
44,-12,-3.60476,True,-4.06977,True,sf,True,0.46501,1.380327
46,-12,-3.58208,True,-4.0705,True,sf,True,0.48842,1.402908
48,-12,-3.56084,True,-4.07141,True,sf,True,0.51057,1.424613
50,-12,-3.54252,True,-4.07252,True,sf,True,0.53,1.443929
52,-12,-3.5286,True,-4.07385,True,sf,True,0.54525,1.459273
54,-12,-3.52041,True,-4.07546,True,sf,True,0.55505,1.46922
56,-12,-3.5189,True,-4.07744,True,sf,True,0.55854,1.472778
58,-12,-3.52453,True,-4.07986,True,sf,True,0.55533,1.469505
60,-12,-3.53714,True,-4.08279,True,sf,True,0.54565,1.459678
62,-12,-3.55593,True,-4.08628,True,sf,True,0.53035,1.44428
64,-12,-3.5796,True,-4.09034,True,sf,True,0.51074,1.424781
66,-12,-3.60642,True,-4.09492,True,sf,True,0.4885,1.402985
68,-12,-3.63456,True,-4.09988,True,sf,True,0.46532,1.380624
70,-12,-3.66227,True,-4.10499,True,sf,True,0.44272,1.359164
72,-12,-3.68814,True,-4.10993,True,sf,True,0.42179,1.339589
74,-12,-3.71118,True,-4.11424,True,sf,True,0.40306,1.32231
76,-12,-3.73086,True,-4.11741,True,sf,True,0.38655,1.307264
78,-12,-3.74707,True,-4.1189,True,sf,True,0.37183,1.293993
80,-12,-3.75996,True,-4.11819,True,sf,True,0.35823,1.281852
82,-12,-3.76988,True,-4.11484,True,sf,True,0.34496,1.270116
84,-12,-3.77727,True,-4.10856,True,sf,True,0.33129,1.258138
86,-12,-3.78256,True,-4.09922,True,sf,True,0.31666,1.245444
88,-12,-3.78617,True,-4.08686,True,sf,True,0.30069,1.231733
90,-12,-3.78848,True,-4.07168,True,sf,True,0.2832,1.216891
10,-10,-3.67763,True,-4.11204,True,sf,True,0.43441,1.351358
12,-10,-3.68748,True,-4.1086,True,sf,True,0.42112,1.338967
14,-10,-3.69645,True,-4.10417,True,sf,True,0.40772,1.326588
16,-10,-3.70431,True,-4.09895,True,sf,True,0.39464,1.314615
18,-10,-3.7108,True,-4.09323,True,sf,True,0.38243,1.303536
20,-10,-3.71565,True,-4.08731,True,sf,True,0.37166,1.293841
22,-10,-3.7186,True,-4.08152,True,sf,True,0.36292,1.286026
24,-10,-3.7194,True,-4.07613,True,sf,True,0.35673,1.28052
26,-10,-3.71784,True,-4.07141,True,sf,True,0.35357,1.277718
28,-10,-3.71371,True,-4.06753,True,sf,True,0.35382,1.27794
30,-10,-3.70687,True,-4.06458,True,sf,True,0.35771,1.28139
32,-10,-3.69723,True,-4.06258,True,sf,True,0.36535,1.288194
34,-10,-3.68477,True,-4.06148,True,sf,True,0.37671,1.298378
36,-10,-3.66957,True,-4.0612,True,sf,True,0.39163,1.311875
38,-10,-3.65185,True,-4.0616,True,sf,True,0.40975,1.328456
40,-10,-3.632,True,-4.06253,True,sf,True,0.43053,1.347729
42,-10,-3.61064,True,-4.06388,True,sf,True,0.45324,1.369112
44,-10,-3.58864,True,-4.06554,True,sf,True,0.4769,1.39175
46,-10,-3.56712,True,-4.06742,True,sf,True,0.5003,1.414508
