session_id,group,spatial_model,units,median_rotation_test_gain,fraction_rotation_gain_positive,median_rotation_area_ratio,axis_censored_fraction,rotation_bound_fraction,fit_model_seconds,maximum_model_seconds
759883607,V1,aperture,92,-4.89079305e-09,0.5,0.999999844,0.326086957,0.304347826,234.056022,9.0876883
759883607,V1,point,92,-2.3218739e-05,0.489130435,0.989658224,0.0434782609,0.0543478261,17.6798104,0.618444597
760345702,HVA,aperture,247,-3.67757909e-06,0.493927126,0.999539933,0.157894737,0.157894737,566.969205,13.6789031
760345702,HVA,point,247,-6.62392027e-05,0.473684211,0.99948966,0.0769230769,0.0607287449,42.5345797,2.90393011
760345702,V1,aperture,92,-8.45463756e-05,0.445652174,0.999999785,0.282608696,0.315217391,236.216304,9.19990064
760345702,V1,point,92,-1.12011486e-05,0.47826087,0.98898492,0.0217391304,0.0434782609,19.2805887,1.22517018
760693773,HVA,aperture,378,0.000333155096,0.603174603,1,0.243386243,0.248677249,1055.39897,28.9571178
760693773,HVA,point,378,0.000425404904,0.582010582,1.00157431,0.150793651,0.119047619,78.706982,2.45627947
760693773,V1,aperture,154,0.000166793024,0.577922078,0.999638588,0.246753247,0.292207792,412.506132,11.6830545
760693773,V1,point,154,0.000221418834,0.538961039,0.996759322,0.00649350649,0.0194805195,28.4343257,0.829185386
761418226,HVA,aperture,343,0.000467194159,0.603498542,0.999718834,0.320699708,0.262390671,926.412613,18.8241695
761418226,HVA,point,343,0.00045028302,0.603498542,1.0000748,0.221574344,0.163265306,71.7725771,3.51630785
761418226,V1,aperture,58,-2.99072986e-05,0.465517241,0.996791284,0.0862068966,0.172413793,135.553533,7.34050579
761418226,V1,point,58,-0.000115147579,0.431034483,0.99448262,0.0517241379,0.0517241379,11.3480684,1.02557548
762120172,HVA,aperture,188,0.000691924247,0.643617021,1.00098396,0.393617021,0.313829787,535.438765,16.791367
762120172,HVA,point,188,0.000623411383,0.617021277,1.00056261,0.25,0.138297872,41.3059668,1.50684529
762120172,V1,aperture,128,-3.7791918e-05,0.453125,1.0007073,0.2890625,0.3515625,321.871832,9.68915526
762120172,V1,point,128,9.15253384e-07,0.5078125,0.999653724,0.046875,0.0703125,24.8748421,2.16795666
