ecephys_session_id,specimen_id,cohort,area,n_units,azimuth_median_deg,azimuth_q25_deg,azimuth_q75_deg,elevation_median_deg,elevation_q25_deg,elevation_q75_deg,median_radial_dispersion_deg,cov_azimuth_deg2,cov_elevation_deg2,cov_azimuth_elevation_deg2,rf_area_median_deg2
760693773,738651054,Brain Observatory 1.1,AM,77.0,50.0,38.333,75.0,-2.0,-15.0,6.521999999999999,25.079872407968907,508.53595737730694,320.48694985850966,56.99314688858508,700.0
760693773,738651054,Brain Observatory 1.1,PM,84.0,47.0,35.46875,55.0,7.9465,0.0,15.0,14.282559487712206,305.0783046625072,273.8093170124783,-3.906193850688488,700.0
760693773,738651054,Brain Observatory 1.1,RL,50.0,16.389,13.333,33.75,-15.0,-21.111000000000004,-7.500249999999996,10.0960052000779,526.5390395432653,298.3493153163264,187.36472236530616,400.0
760693773,738651054,Brain Observatory 1.1,V1,153.0,45.0,40.0,52.30800000000001,0.0,-3.333000000000005,5.0,9.219544457292885,168.78758952201574,145.74855589628467,-20.065577715557275,500.0
761418226,742714475,Brain Observatory 1.1,AL,169.0,80.0,65.0,86.667,5.0,-12.857000000000005,15.455000000000004,18.441770224140637,449.7869787166106,352.49848399464616,57.08682981646236,600.0
761418226,742714475,Brain Observatory 1.1,PM,54.0,25.7275,19.091,33.909,35.357,20.68175,40.86024999999999,13.69709595235706,256.1968273738644,185.01245537281616,35.19044355904961,900.0
761418226,742714475,Brain Observatory 1.1,RL,119.0,42.0,15.0,71.63750000000002,-25.714,-30.0,-21.25,27.598003478512716,813.5502470786214,256.76152648853474,18.601867555334053,400.0
761418226,742714475,Brain Observatory 1.1,V1,58.0,30.0,22.21425,33.333,3.4520000000000017,-1.2502499999999959,5.0,7.976070915487375,166.1430900196613,83.65521378100428,9.13063933514822,500.0
762120172,745276236,Brain Observatory 1.1,AL,90.0,90.0,85.0,90.0,15.0,5.0,31.25025,15.103453162872775,426.0715245373294,393.27503366354546,48.14437364169786,300.0
762120172,745276236,Brain Observatory 1.1,AM,29.0,51.667,22.857,80.0,5.0,-1.1110000000000042,20.0,31.640020369778526,771.2009690467977,276.17292006403943,-93.90946521674876,700.0
762120172,745276236,Brain Observatory 1.1,LM,68.0,35.0,23.214,53.499750000000006,-26.0,-30.0,-20.833250000000003,16.965001476668505,539.779327919886,281.63413516132556,26.315098766242315,500.0
762120172,745276236,Brain Observatory 1.1,V1,127.0,46.667,41.0,55.0,5.0,2.9165000000000028,6.125,8.783858662341965,152.51698619297605,65.87342373753283,-15.954774220784918,400.0
762602078,744915204,Brain Observatory 1.1,AM,68.0,20.0,13.333,31.59475,0.0,-6.941999999999999,5.1785,12.95820393249937,447.5636668312114,265.4813420989903,-126.37484978950835,550.0
762602078,744915204,Brain Observatory 1.1,RL,88.0,10.0,10.0,15.0,0.0,-5.0,5.0,5.0,126.89099661011002,92.83734792894461,31.369838035527685,300.0
762602078,744915204,Brain Observatory 1.1,V1,106.0,35.0,27.5,40.0,22.0,16.667,25.0,8.67437655465529,117.21456855570536,135.51399307996417,10.699751831446543,400.0
763673393,742602892,Brain Observatory 1.1,AM,97.0,57.143,40.0,72.857,2.0,-8.888999999999996,40.0,30.658195462225105,475.8152584119417,635.3265122186427,-251.3856145858033,700.0
763673393,742602892,Brain Observatory 1.1,LM,40.0,35.0,15.0,48.5,-21.875,-25.7855,-11.875,20.24266842587706,427.80779635897443,195.95209673782048,-21.213608923076936,500.0
763673393,742602892,Brain Observatory 1.1,RL,52.0,47.879000000000005,28.9285,55.0,-30.0,-30.0,-25.0,9.687378472240171,334.4639358567119,228.47546785671193,9.993879895927602,350.0
763673393,742602892,Brain Observatory 1.1,V1,104.0,36.667,30.0,43.333,5.0,3.333000000000005,8.0,8.127967184011498,189.3773926004482,97.57414787864069,-27.564273388349523,500.0
766640955,744912849,Functional Connectivity,AL,102.0,85.5,79.11000000000001,90.0,20.0,10.0,25.0,9.513185192955184,456.3976955212586,235.9701415718307,33.799058894001156,450.0
766640955,744912849,Functional Connectivity,AM,67.0,57.273,37.0,78.375,16.667,7.5,28.125,26.363903694255903,613.1369983627318,280.3653563785617,-67.93849157530526,800.0
766640955,744912849,Functional Connectivity,LM,66.0,47.619,40.0,60.0,-10.0,-22.96425,4.047750000000002,19.134823610197362,309.2648833167834,323.4050771620049,71.16206383566434,700.0
766640955,744912849,Functional Connectivity,RL,44.0,25.4165,18.0625,31.25,-20.0,-21.322000000000003,-15.0,10.809415906976659,177.03669309249474,114.3959088837209,-55.068416813953476,750.0
766640955,744912849,Functional Connectivity,V1,76.0,43.333,35.75,46.667,-3.6665000000000045,-5.0,0.0,8.439023121783704,184.70884245263153,114.00045128912289,22.620316536842108,400.0
767871931,753795610,Functional Connectivity,AL,77.0,55.0,46.667,66.667,-10.0,-20.0,-2.0,15.811388300841896,323.5437283462065,196.9231487887902,20.045245700273398,600.0
767871931,753795610,Functional Connectivity,AM,54.0,56.548,33.73375,80.68175,0.0,-8.693249999999995,5.0,25.38896050426024,624.8348825269044,179.14823595248083,8.573195283717666,750.0
767871931,753795610,Functional Connectivity,PM,77.0,23.75,18.0,32.222,41.5,34.0,46.0,10.262187875886896,159.58910916951464,96.31702003315108,65.62907455536569,700.0
767871931,753795610,Functional Connectivity,RL,47.0,14.0,10.0,18.0,-18.0,-25.0,-12.111,8.06225774829855,347.0894603570768,237.64289692229414,158.03177803098978,400.0
767871931,753795610,Functional Connectivity,V1,143.0,50.0,45.0,55.0,10.0,5.5844999999999985,13.6665,7.0710678118654755,99.90135441800447,57.344659428346326,-19.795677719344038,400.0
768515987,754477358,Functional Connectivity,AL,91.0,76.667,60.3335,85.0,15.0,8.660499999999999,25.0,15.365835122114255,343.7254087619049,255.9848371391941,-2.689551058730157,700.0
768515987,754477358,Functional Connectivity,AM,62.0,53.666500000000006,40.5,71.51775,-8.0625,-16.843749999999996,5.0,19.017651586803183,442.17702992622947,375.74312776837655,-54.31819381967211,800.0
768515987,754477358,Functional Connectivity,LM,85.0,50.0,43.333,68.333,-8.461999999999996,-17.0,2.0,17.27731009156229,366.1690174767507,320.78012599075635,16.023831420728275,600.0
768515987,754477358,Functional Connectivity,RL,62.0,31.0,24.25,40.0,-26.666999999999994,-30.0,-20.993499999999997,9.185733590997483,229.65414504389216,211.66238259360145,34.97570299418292,400.0
768515987,754477358,Functional Connectivity,V1,103.0,60.0,52.0,65.0,0.0,-4.500000000000002,3.4845000000000006,8.944271909999161,172.1027719379402,140.3655669213784,7.117717416047978,500.0
771160300,754488979,Functional Connectivity,AL,79.0,65.0,35.8335,85.0,-10.587999999999996,-23.7645,10.0,27.149691416294218,695.2953559483931,620.7464292927618,-114.38277880087634,600.0
771160300,754488979,Functional Connectivity,AM,108.0,35.54,21.8125,45.0,5.0,-2.625,18.35875,21.55960876923114,397.0530511398409,298.1163031398407,43.05518790619588,650.0
771160300,754488979,Functional Connectivity,PM,75.0,74.0,65.0,81.9375,11.111000000000004,5.0,18.75,12.583493990144392,308.0675378565767,186.91152350198195,-36.45293192126123,700.0
771160300,754488979,Functional Connectivity,V1,139.0,35.0,25.278,36.667,-5.0,-9.375,-3.333000000000005,8.498104376859589,131.10120574757588,56.265169925972366,-27.1780580803357,400.0
771990200,756578435,Functional Connectivity,AL,35.0,81.429,70.7145,85.0,15.0,5.833499999999997,20.0,10.879788417060322,526.3461334336134,223.369460487395,120.2165292268908,700.0
771990200,756578435,Functional Connectivity,AM,58.0,66.18199999999999,45.0,79.77275,20.625,15.0,25.535500000000006,18.82552000596184,488.78398608983656,156.06392312431942,-41.5942666603146,800.0
771990200,756578435,Functional Connectivity,PM,50.0,29.444499999999998,20.5,41.96875,40.954499999999996,25.41675,46.59125,17.068632449099283,375.64276134693876,391.90826173102016,-64.21394818775505,800.0
771990200,756578435,Functional Connectivity,RL,35.0,15.0,13.6665,18.264,-18.0,-20.625,-12.0,6.082762530298219,206.35227385714282,171.99059757478992,94.9958291134454,500.0
771990200,756578435,Functional Connectivity,V1,97.0,40.0,31.111,45.0,15.0,12.0,16.0,8.406735989669235,130.88519976417527,57.44645165592779,9.816789316151198,400.0
773418906,757329624,Brain Observatory 1.1,AL,198.0,58.39750000000001,36.0385,87.1215,-5.718999999999999,-20.357,15.0,31.96874949692971,714.0333296901235,529.2357793779416,-0.4024529469312621,600.0
773418906,757329624,Brain Observatory 1.1,AM,24.0,41.5,31.5,58.749750000000006,9.5,1.7082500000000014,14.25,18.719987212779053,346.28974960688413,121.85192171014495,-37.16911614492754,750.0
773418906,757329624,Brain Observatory 1.1,RL,38.0,47.75,35.552749999999996,63.75,-21.389,-26.0,-14.0625,17.43328340579188,399.4543072517782,401.1190194288763,-35.513892975817924,700.0
773418906,757329624,Brain Observatory 1.1,V1,99.0,52.857,48.452,55.0,14.0,10.0,15.0,4.537890368882881,107.05754257328391,86.93074600185523,6.725150369202221,400.0
774875821,759711152,Functional Connectivity,AL,113.0,70.0,58.0,80.0,18.75,10.0,28.0,15.051993223490369,377.74228651611907,165.09506660651073,54.32943968884323,700.0
774875821,759711152,Functional Connectivity,AM,62.0,37.0835,25.41675,47.9165,13.094999999999999,5.0,20.0,16.72538763681709,281.3735176448969,182.81340464621886,-13.062363104177678,900.0
774875821,759711152,Functional Connectivity,LM,82.0,45.0,37.377750000000006,51.25025,6.6669999999999945,4.464500000000001,11.634750000000002,10.649002808566085,269.4740858331828,109.29074924420361,11.207040853357425,600.0
774875821,759711152,Functional Connectivity,RL,70.0,31.905,25.0,35.0,-21.381,-25.0,-18.33300000000001,8.867140801859412,139.20099069668743,96.58825079420286,-42.55835082608695,600.0
774875821,759711152,Functional Connectivity,V1,136.0,40.0,30.0,45.0,5.0,5.0,8.888999999999996,6.872246939684284,119.7615447387799,56.21174489188465,-27.20446847331153,400.0
778240327,760938797,Functional Connectivity,AL,103.0,61.818000000000005,50.0,70.5,8.333000000000006,2.0834999999999972,12.762,13.456374437418132,285.0851652891682,144.00131851798983,25.832823339710657,600.0
778240327,760938797,Functional Connectivity,AM,75.0,27.5,21.909,44.8685,18.889,11.0,28.333,16.094219117434687,375.7353124133335,276.84511729117105,12.062507878018033,700.0
778240327,760938797,Functional Connectivity,LM,93.0,42.0,30.714,53.077,-4.000000000000004,-15.0,5.0,18.19839567104749,344.7995898373074,344.9120019111734,-77.5735547086256,700.0
778240327,760938797,Functional Connectivity,PM,58.0,28.571,20.0,37.6755,41.25,33.893750000000004,46.0,11.58915618153453,323.2726264189353,194.12171839443445,47.42147035269208,700.0
778240327,760938797,Functional Connectivity,RL,24.0,21.5,18.095000000000002,25.0,-15.856999999999996,-20.0,-14.75,6.158905164915333,118.44947747644929,58.6337145199275,40.54266295833332,850.0
778240327,760938797,Functional Connectivity,V1,130.0,35.0,28.03125,40.0,0.0,-3.333000000000005,5.0,7.269576889081165,126.70756139540836,80.30053467912941,12.862772261955865,500.0
778998620,759674770,Functional Connectivity,AL,32.0,82.143,64.6875,87.35725,-15.499999999999998,-26.16675,-8.213999999999999,15.47135402627584,371.2825479637096,398.7593344354837,-56.404059927419354,500.0
778998620,759674770,Functional Connectivity,AM,62.0,65.4525,46.282250000000005,80.9375,-1.384500000000001,-12.642750000000003,5.2887499999999985,21.457651489833946,467.64997451533577,227.05065554653626,7.802716327075605,800.0
778998620,759674770,Functional Connectivity,LM,62.0,46.316,14.25,81.28,-9.6665,-21.884500000000003,0.0,36.08038356572723,932.5713571647277,378.5870262784242,-168.3880350520888,650.0
778998620,759674770,Functional Connectivity,PM,63.0,27.143,16.97,37.5715,30.0,21.0,37.875,14.687276806814802,204.45412149974402,167.3966364935997,-38.65060024782388,800.0
778998620,759674770,Functional Connectivity,RL,40.0,45.0,30.232750000000003,57.69225,5.833499999999997,-10.0,20.0,28.20643540439423,559.099721176923,468.27739338205123,-103.21151848461535,700.0
778998620,759674770,Functional Connectivity,V1,123.0,46.667,45.0,51.25,5.0,3.333000000000005,6.6669999999999945,5.270568185689282,144.27935411888564,59.04163863907763,-8.042231060842324,400.0
779839471,760960653,Functional Connectivity,AM,64.0,75.0,49.72225,82.0,42.25,35.0,46.667,12.651580928879994,508.36865130059493,248.42695028174583,-7.475227394841268,600.0
779839471,760960653,Functional Connectivity,PM,55.0,40.0,25.625,63.3335,45.714,38.75,50.0,17.400971122325327,607.9829483589226,450.88218409898957,-103.03694730538723,400.0
779839471,760960653,Functional Connectivity,RL,29.0,28.0,22.857,40.0,-26.0,-30.0,-25.0,7.206252979184119,122.37176042118224,211.07102803448268,18.308527795566505,500.0
779839471,760960653,Functional Connectivity,V1,147.0,48.333,40.0,55.0,3.333000000000005,0.0,6.6669999999999945,10.671821681418788,225.61147355474773,153.99325771354006,-39.5258914434349,400.0
781842082,760946813,Functional Connectivity,AL,181.0,65.0,40.0,80.90899999999999,-5.625,-20.0,5.0,24.88253654674298,553.3837657115407,245.6517208662372,161.7635693192756,700.0
781842082,760946813,Functional Connectivity,AM,74.0,42.9285,31.0415,56.961,3.5,-3.7142500000000043,10.0,18.531631940881383,329.9249269465012,137.5585452787857,-6.049183462791576,800.0
781842082,760946813,Functional Connectivity,RL,57.0,26.667,20.0,31.667,-21.25,-25.0,-18.0,7.631736106548756,109.49021958145367,117.25068591979942,-44.43482746303258,600.0
781842082,760946813,Functional Connectivity,V1,105.0,52.0,45.0,55.0,5.0,0.0,5.0,6.708203932499369,135.41990795183165,51.79049963424907,9.998324747893774,400.0
786091066,763884103,Functional Connectivity,AL,223.0,77.143,53.846,86.3335,-2.857000000000003,-20.634999999999998,10.0,22.003974595513423,498.7732912764924,368.83755982285,32.544283445137964,600.0
786091066,763884103,Functional Connectivity,AM,108.0,45.625,30.0,62.598000000000006,-1.2700000000000031,-8.14275,8.25,22.356986367653217,495.25459966658025,245.48800810894764,-33.650176621408775,700.0
786091066,763884103,Functional Connectivity,PM,87.0,35.238,18.0,58.5,25.0,17.75,36.4285,22.573804375868946,601.740641639401,315.4828296674685,-59.38670997407115,600.0
786091066,763884103,Functional Connectivity,RL,66.0,25.8335,18.1875,35.0,-5.0,-17.075999999999993,0.0,15.36177832479584,223.40725797599083,240.72428049720284,-17.415782520979036,700.0
786091066,763884103,Functional Connectivity,V1,133.0,45.0,38.824,53.33300000000001,6.0,5.0,10.0,9.480705564460912,157.17079273877886,71.03375926623382,-45.927958641774886,500.0
787025148,763236014,Functional Connectivity,AL,46.0,83.2145,68.50325000000001,86.667,-10.0,-18.75,14.6875,16.9051548425325,571.4927762589374,590.7272669434781,-152.62219136521733,500.0
787025148,763236014,Functional Connectivity,AM,67.0,57.5,39.0,74.5835,13.332999999999998,5.0,22.4165,25.124689052802218,547.940748428313,250.25004564495705,-96.98423383129804,700.0
787025148,763236014,Functional Connectivity,RL,11.0,26.0,22.5,35.4285,-15.0,-22.5,-6.666500000000003,12.720386983107076,280.6536497636364,480.6983756909092,193.9632562181819,700.0
787025148,763236014,Functional Connectivity,V1,105.0,50.0,45.556,55.0,3.333000000000005,0.0,5.0,7.206292944364669,115.92330366391955,110.39990818260077,-41.530965319597065,400.0
789848216,763808604,Functional Connectivity,AL,22.0,72.024,53.6875,79.79175000000001,10.0,5.0,14.58325,13.619358202168788,314.79566406060604,162.84677861688309,26.60237581818182,950.0
789848216,763808604,Functional Connectivity,AM,46.0,58.82350000000001,31.12725,71.71875,31.6665,21.098499999999994,39.77275,22.614448839065737,598.824038410145,263.2483108874396,149.67034650579708,800.0
789848216,763808604,Functional Connectivity,LM,64.0,50.0,33.71425,57.524,5.0,-10.227250000000002,14.25,22.15125827498023,389.5970388390376,295.8948020037203,100.12653637574408,600.0
789848216,763808604,Functional Connectivity,RL,37.0,17.778,14.0,23.75,8.75,2.0,13.635999999999996,9.099962912012332,98.73120991591593,126.28239895345347,23.67232313513514,700.0
789848216,763808604,Functional Connectivity,V1,25.0,18.75,15.0,22.0,14.0,12.5,15.0,3.881043674065006,28.861204823333328,5.902594223333332,0.5289185650000005,500.0
791319847,769360779,Brain Observatory 1.1,AL,46.0,88.3335,80.3125,90.0,-5.0,-12.455250000000003,5.75,15.092290159217056,451.9198506106284,310.6622473628019,-51.321001661835766,400.0
791319847,769360779,Brain Observatory 1.1,AM,59.0,50.0,26.274500000000003,65.5,14.285999999999996,5.777999999999999,20.908999999999992,24.57823826070534,535.8503336142605,253.7225970818235,-152.23803814523674,1000.0
791319847,769360779,Brain Observatory 1.1,LM,60.0,52.5825,16.60725,75.41675000000001,-6.944499999999998,-18.1875,14.012999999999996,34.37677379869916,800.1772374946328,551.5177805025425,-84.67976625508473,550.0
791319847,769360779,Brain Observatory 1.1,PM,26.0,30.3125,25.27775,34.0,40.625,36.2785,45.0,6.6694046082523695,50.95755200615385,37.34157931846154,18.193004775384615,700.0
791319847,769360779,Brain Observatory 1.1,RL,65.0,35.0,27.273000000000003,42.0,-5.0,-11.25,4.0,13.170543268977179,238.31837353221155,189.05498278749994,94.85034129375003,700.0
791319847,769360779,Brain Observatory 1.1,V1,127.0,56.667,52.4285,62.0,5.0,4.0,10.0,8.333600002399924,180.40161071228596,71.81210875728023,-1.6332915101237344,400.0
793224716,769319624,Functional Connectivity,AL,107.0,60.0,39.0,86.0,5.0,-6.077,22.613500000000002,30.06681243497554,741.2225236459172,449.75204766690183,119.71087600114618,500.0
793224716,769319624,Functional Connectivity,RL,43.0,29.0,20.0,42.5,-5.0,-13.428500000000003,1.25,14.0,268.5744737331119,290.9809769191585,47.35527260299005,800.0
793224716,769319624,Functional Connectivity,V1,127.0,65.0,60.0,70.0,10.0,5.0,15.0,7.0710678118654755,171.45916803899516,75.17120244731899,24.308453419635054,400.0
794812542,774672366,Functional Connectivity,AL,47.0,85.0,77.3335,90.0,0.0,-5.0,4.559000000000001,7.0710678118654755,140.9870220721555,104.07793430249777,-4.870284343663275,500.0
794812542,774672366,Functional Connectivity,AM,77.0,60.0,48.0,70.0,13.75,7.5,20.0,14.099566589083512,363.1562451742993,125.97343306322637,10.754657169343814,800.0
794812542,774672366,Functional Connectivity,LM,91.0,35.0,14.143,58.869,-13.333000000000006,-19.444499999999998,-5.0,25.00061859234688,589.5184125409033,397.3574668615388,41.80857982735042,500.0
794812542,774672366,Functional Connectivity,PM,55.0,33.333,22.1325,40.0,42.222,35.19250000000001,47.5,11.398954908236103,342.793088816835,256.03726115151534,-42.582120976431,400.0
794812542,774672366,Functional Connectivity,RL,32.0,23.6665,20.0,27.50025,-18.0,-20.0,-14.431750000000001,6.508588799093145,73.7947226764113,97.72472982157258,-25.91560495866935,600.0
794812542,774672366,Functional Connectivity,V1,113.0,60.0,55.0,65.0,5.0,3.333000000000005,7.5,5.0,168.65103180467767,83.0234697757587,13.550872639064488,500.0
797828357,776061251,Brain Observatory 1.1,AL,68.0,85.857,70.40625,87.5,-5.2780000000000005,-18.889,7.25,17.18440648125157,459.0716958478929,463.5262489997805,-169.55202800197543,500.0
797828357,776061251,Brain Observatory 1.1,AM,69.0,80.0,65.0,87.5,30.0,15.0,40.0,18.027756377319946,416.2039304040921,371.6886066240411,48.06461448017901,600.0
797828357,776061251,Brain Observatory 1.1,LM,98.0,63.077,38.5,77.143,-23.484500000000004,-26.666999999999994,-16.923249999999996,19.08946487594663,615.7011047852934,253.67840638123272,-121.46622754723333,600.0
797828357,776061251,Brain Observatory 1.1,PM,25.0,20.0,14.0,40.625,24.0,8.0,32.5,12.715628572744645,832.0018546266667,290.95422867666673,-178.41456965166668,500.0
797828357,776061251,Brain Observatory 1.1,RL,19.0,35.0,23.75,48.125,12.308000000000009,-7.5,24.5,22.44764718183178,432.733638116959,418.2577057192982,-143.01661303801168,1000.0
797828357,776061251,Brain Observatory 1.1,V1,117.0,63.33300000000001,55.0,71.875,15.0,10.0,16.0,9.717967328613542,223.85557004509286,61.78244842042439,-11.467474007294426,500.0
798911424,775876828,Brain Observatory 1.1,AL,108.0,80.0,70.0,85.7855,16.0,3.8332500000000014,22.8365,12.519153819426144,337.19805106014195,253.34697027725855,9.137481935098645,600.0
798911424,775876828,Brain Observatory 1.1,AM,141.0,50.0,32.143,73.63600000000001,32.5,21.25,46.25,26.100766272276374,556.3630821788246,295.42100018510666,-64.41514095668694,600.0
798911424,775876828,Brain Observatory 1.1,LM,87.0,43.636,37.208,50.0,-5.0,-15.0,0.625,13.14578814677918,291.3380028299922,267.7185382822773,-81.86942698877301,600.0
798911424,775876828,Brain Observatory 1.1,RL,48.0,40.0,21.5,49.16675,-5.8569999999999975,-15.0,0.0,18.22626835744594,355.6801124640958,180.97332721232272,-22.773697033244684,600.0
798911424,775876828,Brain Observatory 1.1,V1,127.0,56.667,53.0385,60.0,14.0,10.0,15.192499999999999,7.7748883593270985,122.78292772965864,92.28553030196217,-13.620543037870268,500.0
799864342,772616823,Brain Observatory 1.1,AL,97.0,85.714,77.143,88.0,40.0,24.0,45.0,10.879788417060325,178.2813256252147,243.7286513172251,6.685151586662376,400.0
799864342,772616823,Brain Observatory 1.1,AM,54.0,70.4165,60.0,80.0,-25.0,-27.5,-17.142999999999994,14.354943750467225,336.26367915723273,149.6192381160029,-60.78623409853249,500.0
799864342,772616823,Brain Observatory 1.1,LM,50.0,54.722,32.1875,64.65575,-4.7219999999999995,-18.429750000000002,3.8332500000000014,23.377811154775763,417.92690717102045,452.46064422408153,-108.61263254734698,750.0
799864342,772616823,Brain Observatory 1.1,RL,35.0,35.455,22.121,44.8335,4.667000000000002,-4.500000000000002,19.1665,18.754472346616424,335.2971621294118,345.66106483193283,-21.937286352941193,700.0
799864342,772616823,Brain Observatory 1.1,V1,127.0,50.0,45.0,55.0,15.0,10.0,15.0,7.0710678118654755,146.96630260317463,87.37121586376705,-25.69291638888887,400.0
816200189,791857608,Functional Connectivity,AM,73.0,60.0,54.444,70.0,-20.0,-26.0,-11.25,15.811388300841896,298.7459105658295,171.2198145585996,-56.30560560464234,600.0
816200189,791857608,Functional Connectivity,LM,84.0,60.0,36.522000000000006,70.0,5.0,-10.0,12.875,23.790721259441774,539.00035497074,314.6747091995124,4.105448851979359,550.0
816200189,791857608,Functional Connectivity,PM,91.0,80.0,68.393,86.0,-15.0,-23.666500000000006,-5.0,13.437551041763522,299.5337554969477,173.58348877924294,-78.7181375514041,500.0
816200189,791857608,Functional Connectivity,V1,93.0,55.0,53.33300000000001,60.0,15.0,13.0,15.0,5.439894208530163,121.66126152477779,76.44593548316978,20.25030767636744,400.0
