ecephys_unit_id,ecephys_session_id,ecephys_probe_id,specimen_id,cohort,area,azimuth_rf,elevation_rf,area_rf,p_value_rf,v1_azimuth_median_deg,v1_elevation_median_deg,relative_azimuth_deg,relative_elevation_deg,inside_v1_convex_hull,inside_v1_robust_box,height_rf,on_screen_rf,width_rf,azimuth_edge_distance_deg,elevation_edge_distance_deg,nearest_edge_distance_deg,width_sigma_magnitude_deg,height_sigma_magnitude_deg,maximum_sigma_magnitude_deg,geometric_mean_sigma_deg,log2_maximum_sigma,log2_geometric_mean_sigma,larger_than_mapped_span,edge_band_deg
915960815,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,15,400,0,55,15,0,0,True,True,22.83889,True,21.48869,35,35,35,21.48869,22.83889,22.83889,22.15351,4.513421,4.469463,False,>20–40
915961106,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,10,600,0,55,15,0,-5,True,True,18.45813,True,19.89712,35,40,35,19.89712,18.45813,19.89712,19.16412,4.314488,4.260336,False,>20–40
915960817,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,15,400,0,55,15,0,0,True,True,17.41088,True,12.43945,35,35,35,12.43945,17.41088,17.41088,14.71672,4.121917,3.879384,False,>20–40
915960819,732592105,733744649,717038288,Brain Observatory 1.1,V1,45,15,400,0,55,15,-10,0,True,True,16.98554,True,14.64037,35,35,35,14.64037,16.98554,16.98554,15.76942,4.086236,3.979058,False,>20–40
915960823,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,15,400,0,55,15,0,0,True,True,13.64746,True,10.97251,35,35,35,10.97251,13.64746,13.64746,12.23711,3.770561,3.613191,False,>20–40
915960825,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,15,400,0,55,15,0,0,True,True,13.87827,True,10.92084,35,35,35,10.92084,13.87827,13.87827,12.31106,3.794755,3.621884,False,>20–40
915960838,732592105,733744649,717038288,Brain Observatory 1.1,V1,60,12.5,400,0,55,15,5,-2.5,True,True,30.79582,True,27.61419,30,37.5,30,27.61419,30.79582,30.79582,29.16165,4.944663,4.866,False,>20–40
915960841,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,15,400,0,55,15,0,0,True,True,9.110182,True,7.96832,35,35,35,7.96832,9.110182,9.110182,8.520143,3.18748,3.090878,False,>20–40
915961109,732592105,733744649,717038288,Brain Observatory 1.1,V1,65,10,200,0,55,15,10,-5,True,True,10.9602,True,8.102106,25,40,25,8.102106,10.9602,10.9602,9.423412,3.454202,3.23625,False,>20–40
915960835,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,15,400,0,55,15,0,0,True,True,49.30197,True,44.5752,35,35,35,44.5752,49.30197,49.30197,46.87905,5.623573,5.550871,False,>20–40
915960859,732592105,733744649,717038288,Brain Observatory 1.1,V1,45,15,400,0,55,15,-10,0,True,True,11.64575,True,9.088233,35,35,35,9.088233,11.64575,11.64575,10.28782,3.541731,3.362866,False,>20–40
915960861,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,15,400,0,55,15,0,0,True,True,13.14669,True,11.70662,35,35,35,11.70662,13.14669,13.14669,12.40578,3.716628,3.63294,False,>20–40
