stimulus_presentation_id,stimulus_block,start_time,stop_time,size,contrast,phase,orientation,stimulus_name,x_position,y_position,temporal_frequency,color,frame,spatial_frequency,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
2577,0.0,729.46472,729.71492,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",0.0,gabors,30.0,0.0,4.0,null,null,0.08,0.25020174,55,,,0,,False,10,train,0
2578,0.0,729.71492,729.96512,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,40.0,-20.0,4.0,null,null,0.08,0.25020174,147,,,0,,False,11,test,2
2579,0.0,729.96512,730.21532,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,10.0,10.0,4.0,null,null,0.08,0.25020174,20,,,0,,False,10,train,2
2580,0.0,730.21532,730.46552,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,30.0,0.0,4.0,null,null,0.08,0.25020174,215,,,0,,False,9,train,2
2581,0.0,730.46552,730.71574,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",45.0,gabors,30.0,40.0,4.0,null,null,0.08,0.25021576,53,,,0,,False,11,test,1
2582,0.0,730.71574,730.96596,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,0.0,0.0,4.0,null,null,0.08,0.25021576,66,,,0,,False,10,train,2
2583,0.0,730.96596,731.21617,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",0.0,gabors,-20.0,-30.0,4.0,null,null,0.08,0.25021576,106,,,0,,False,11,test,0
2584,0.0,731.21617,731.46639,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,0.0,40.0,4.0,null,null,0.08,0.25021576,183,,,0,,False,9,train,2
2585,0.0,731.46639,731.71659,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",0.0,gabors,20.0,20.0,4.0,null,null,0.08,0.25020174,196,,,0,,False,11,test,0
2586,0.0,731.71659,731.96679,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",0.0,gabors,-30.0,10.0,4.0,null,null,0.08,0.25020174,116,,,0,,False,11,test,0
2587,0.0,731.96679,732.21699,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",45.0,gabors,20.0,-30.0,4.0,null,null,0.08,0.25020174,190,,,0,,False,7,train,1
2588,0.0,732.21699,732.46719,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",45.0,gabors,-40.0,40.0,4.0,null,null,0.08,0.25020174,195,,,0,,False,11,test,1
2589,0.0,732.46719,732.71741,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",45.0,gabors,-30.0,20.0,4.0,null,null,0.08,0.25021826,172,,,0,,False,11,test,1
2590,0.0,732.71741,732.96763,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,-30.0,-10.0,4.0,null,null,0.08,0.25021826,101,,,0,,False,11,test,2
2591,0.0,732.96763,733.21785,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",45.0,gabors,0.0,-10.0,4.0,null,null,0.08,0.25021826,88,,,0,,False,9,train,1
