stimulus_presentation_id,stimulus_block,start_time,stop_time,phase,stimulus_name,frame,coherence,x_position,contrast,color,size,Dir,spatial_frequency,orientation,temporal_frequency,Speed,y_position,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1045,0.0,336.60295,336.85316,"[3644.93333333, 3644.93333333]",gabors,null,null,30.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,20.0,0.2502162,210,,,0,,False,4,train,2
1046,0.0,336.85316,337.10338,"[3644.93333333, 3644.93333333]",gabors,null,null,10.0,0.8,null,"[20.0, 20.0]",null,0.08,45.0,4.0,null,0.0,0.2502162,232,,,0,,False,1,train,1
1047,0.0,337.10338,337.3536,"[3644.93333333, 3644.93333333]",gabors,null,null,10.0,0.8,null,"[20.0, 20.0]",null,0.08,0.0,4.0,null,40.0,0.2502162,131,,,0,,False,4,train,0
1048,0.0,337.3536,337.60381,"[3644.93333333, 3644.93333333]",gabors,null,null,-10.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,-30.0,0.2502162,74,,,0,,False,5,test,2
1049,0.0,337.60381,337.85401,"[3644.93333333, 3644.93333333]",gabors,null,null,40.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,-30.0,0.2501988,17,,,0,,False,5,test,2
1050,0.0,337.85401,338.10421,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,20.0,0.2501988,48,,,0,,False,3,train,2
1051,0.0,338.10421,338.35441,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,10.0,0.2501988,241,,,0,,False,1,train,2
1052,0.0,338.35441,338.60461,"[3644.93333333, 3644.93333333]",gabors,null,null,-10.0,0.8,null,"[20.0, 20.0]",null,0.08,45.0,4.0,null,-20.0,0.2501988,86,,,0,,False,6,train,1
1053,0.0,338.60461,338.85482,"[3644.93333333, 3644.93333333]",gabors,null,null,40.0,0.8,null,"[20.0, 20.0]",null,0.08,45.0,4.0,null,20.0,0.2502137,221,,,0,,False,4,train,1
1054,0.0,338.85482,339.10504,"[3644.93333333, 3644.93333333]",gabors,null,null,20.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,30.0,0.2502137,148,,,0,,False,6,train,2
