stimulus_presentation_id,stimulus_block,start_time,stop_time,frame,Dir,contrast,Speed,orientation,temporal_frequency,color,phase,coherence,spatial_frequency,x_position,size,stimulus_name,y_position,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
2459,0.0,690.30737,690.55757,null,null,0.8,null,90.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-30.0,"[20.0, 20.0]",gabors,0.0,0.25020327,158,,,0,,False,8,test,2
2460,0.0,690.55757,690.80778,null,null,0.8,null,45.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,40.0,"[20.0, 20.0]",gabors,10.0,0.25020327,236,,,0,,False,11,test,1
2461,0.0,690.80778,691.05799,null,null,0.8,null,45.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-10.0,"[20.0, 20.0]",gabors,0.0,0.25021173,87,,,0,,False,11,test,1
2462,0.0,691.05799,691.3082,null,null,0.8,null,45.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-40.0,"[20.0, 20.0]",gabors,-10.0,0.25021173,55,,,0,,False,12,train,1
2463,0.0,691.3082,691.55841,null,null,0.8,null,45.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-40.0,"[20.0, 20.0]",gabors,20.0,0.25021173,226,,,0,,False,8,test,1
2464,0.0,691.55841,691.80862,null,null,0.8,null,90.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-10.0,"[20.0, 20.0]",gabors,20.0,0.25021173,135,,,0,,False,11,test,2
2465,0.0,691.80862,692.05883,null,null,0.8,null,45.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,0.0,"[20.0, 20.0]",gabors,40.0,0.25020577,240,,,0,,False,6,train,1
2466,0.0,692.05883,692.30903,null,null,0.8,null,0.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,30.0,"[20.0, 20.0]",gabors,-40.0,0.25020577,136,,,0,,False,7,train,0
2467,0.0,692.30903,692.55924,null,null,0.8,null,90.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-10.0,"[20.0, 20.0]",gabors,20.0,0.25020577,135,,,0,,False,12,train,2
2468,0.0,692.55924,692.80945,null,null,0.8,null,90.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,0.0,"[20.0, 20.0]",gabors,20.0,0.25020577,21,,,0,,False,10,train,2
2469,0.0,692.80945,693.05966,null,null,0.8,null,45.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,0.0,"[20.0, 20.0]",gabors,20.0,0.25021673,188,,,0,,False,8,test,1
2470,0.0,693.05966,693.30988,null,null,0.8,null,0.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-30.0,"[20.0, 20.0]",gabors,0.0,0.25021673,182,,,0,,False,8,test,0
2471,0.0,693.30988,693.5601,null,null,0.8,null,45.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-30.0,"[20.0, 20.0]",gabors,-40.0,0.25021673,228,,,0,,False,12,train,1
2472,0.0,693.5601,693.81031,null,null,0.8,null,45.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,40.0,"[20.0, 20.0]",gabors,30.0,0.25021673,171,,,0,,False,9,train,1
2473,0.0,693.81031,694.06051,null,null,0.8,null,90.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,10.0,"[20.0, 20.0]",gabors,30.0,0.25020077,198,,,0,,False,7,train,2
2474,0.0,694.06051,694.31071,null,null,0.8,null,90.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-40.0,"[20.0, 20.0]",gabors,-30.0,0.25020077,140,,,0,,False,8,test,2
2475,0.0,694.31071,694.56092,null,null,0.8,null,90.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-30.0,"[20.0, 20.0]",gabors,20.0,0.25020077,220,,,0,,False,12,train,2
2476,0.0,694.56092,694.81112,null,null,0.8,null,0.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-20.0,"[20.0, 20.0]",gabors,-10.0,0.25020077,169,,,0,,False,8,test,0
2477,0.0,694.81112,695.06133,null,null,0.8,null,45.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-20.0,"[20.0, 20.0]",gabors,40.0,0.25021423,102,,,0,,False,9,train,1
2478,0.0,695.06133,695.31154,null,null,0.8,null,90.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,30.0,"[20.0, 20.0]",gabors,40.0,0.25021423,157,,,0,,False,10,train,2
2479,0.0,695.31154,695.56176,null,null,0.8,null,0.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-20.0,"[20.0, 20.0]",gabors,40.0,0.25021423,108,,,0,,False,6,train,0
2480,0.0,695.56176,695.81197,null,null,0.8,null,45.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,10.0,"[20.0, 20.0]",gabors,-40.0,0.25021423,154,,,0,,False,9,train,1
2481,0.0,695.81197,696.06218,null,null,0.8,null,0.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-40.0,"[20.0, 20.0]",gabors,10.0,0.25020327,107,,,0,,False,9,train,0
2482,0.0,696.06218,696.31238,null,null,0.8,null,0.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,0.0,"[20.0, 20.0]",gabors,10.0,0.25020327,218,,,0,,False,9,train,0
2483,0.0,696.31238,696.56258,null,null,0.8,null,0.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,40.0,"[20.0, 20.0]",gabors,-20.0,0.25020327,40,,,0,,False,12,train,0
2484,0.0,696.56258,696.81279,null,null,0.8,null,45.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-20.0,"[20.0, 20.0]",gabors,-10.0,0.25020327,211,,,0,,False,9,train,1
