stimulus_presentation_id,stimulus_block,start_time,stop_time,color,orientation,contrast,spatial_frequency,frame,stimulus_name,size,temporal_frequency,x_position,y_position,phase,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
36,0.0,87.576945,87.827146,null,90.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-40.0,20.0,"[3644.93333333, 3644.93333333]",0.25020044,34,-0.16371936,-0.68510566,7,0.096527391,True,0,train,2
37,0.0,87.827146,88.077355,null,0.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,40.0,0.0,"[3644.93333333, 3644.93333333]",0.25020956,35,-0.21846225,-0.7128666,7,0.27496245,True,0,train,0
38,0.0,88.077355,88.327565,null,90.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-40.0,30.0,"[3644.93333333, 3644.93333333]",0.25020956,36,-0.0032959554,-0.76751858,8,0.23837185,True,0,train,2
39,0.0,88.327565,88.577775,null,45.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-40.0,0.0,"[3644.93333333, 3644.93333333]",0.25020956,37,0.0083235526,-0.66895239,3,0.15173553,True,0,train,1
40,0.0,88.577775,88.827984,null,45.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-20.0,10.0,"[3644.93333333, 3644.93333333]",0.25020956,38,-0.08746233,-0.53525999,8,0.15608616,True,0,train,1
41,0.0,88.827984,89.078195,null,0.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-30.0,-20.0,"[3644.93333333, 3644.93333333]",0.25021044,39,-0.21925332,-0.47920813,7,0.22028367,True,0,train,0
42,0.0,89.078195,89.328405,null,0.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,30.0,-40.0,"[3644.93333333, 3644.93333333]",0.25021044,40,-0.063020236,-0.64515875,8,0.16360916,True,0,train,0
43,0.0,89.328405,89.578615,null,45.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,0.0,-30.0,"[3644.93333333, 3644.93333333]",0.25021044,41,-0.27811535,-0.56185209,7,0.17544268,True,0,train,1
44,0.0,89.578615,89.828826,null,90.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,40.0,-30.0,"[3644.93333333, 3644.93333333]",0.25021044,42,-0.21535023,-0.75003468,8,0.15833871,True,0,train,2
45,0.0,89.828826,90.079043,null,0.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-30.0,-10.0,"[3644.93333333, 3644.93333333]",0.25021706,43,-0.2133289,-0.74009953,7,0.24293487,True,0,train,0
46,0.0,90.079043,90.32926,null,90.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-40.0,40.0,"[3644.93333333, 3644.93333333]",0.25021706,44,,,0,,False,0,train,2
47,0.0,90.32926,90.579477,null,90.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-20.0,20.0,"[3644.93333333, 3644.93333333]",0.25021706,45,-0.17099519,-0.41956346,7,0.10139496,True,0,train,2
48,0.0,90.579477,90.829694,null,90.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,10.0,-30.0,"[3644.93333333, 3644.93333333]",0.25021706,46,-0.13863081,-0.63423844,7,0.17716376,True,0,train,2
49,0.0,90.829694,91.079892,null,90.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,30.0,0.0,"[3644.93333333, 3644.93333333]",0.25019794,47,-0.11506625,-0.4516773,7,0.11903715,True,0,train,2
