stimulus_presentation_id,stimulus_block,start_time,stop_time,contrast,orientation,frame,stimulus_name,y_position,color,spatial_frequency,temporal_frequency,size,x_position,phase,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
2894,0.0,808.49217,808.74239,0.8,90.0,null,gabors,-40.0,null,0.08,4.0,"[20.0, 20.0]",40.0,"[3644.93333333, 3644.93333333]",0.25021101,153,,,0,,False,10,train,2
2895,0.0,808.74239,808.9926,0.8,90.0,null,gabors,-10.0,null,0.08,4.0,"[20.0, 20.0]",-40.0,"[3644.93333333, 3644.93333333]",0.25021101,139,,,0,,False,11,test,2
2896,0.0,808.9926,809.24281,0.8,45.0,null,gabors,0.0,null,0.08,4.0,"[20.0, 20.0]",30.0,"[3644.93333333, 3644.93333333]",0.25021101,214,,,0,,False,10,train,1
2897,0.0,809.24281,809.49301,0.8,45.0,null,gabors,30.0,null,0.08,4.0,"[20.0, 20.0]",-20.0,"[3644.93333333, 3644.93333333]",0.25020649,136,,,0,,False,10,train,1
2898,0.0,809.49301,809.74322,0.8,0.0,null,gabors,30.0,null,0.08,4.0,"[20.0, 20.0]",30.0,"[3644.93333333, 3644.93333333]",0.25020649,197,,,0,,False,10,train,0
2899,0.0,809.74322,809.99343,0.8,45.0,null,gabors,0.0,null,0.08,4.0,"[20.0, 20.0]",30.0,"[3644.93333333, 3644.93333333]",0.25020649,214,,,0,,False,11,test,1
2900,0.0,809.99343,810.24363,0.8,0.0,null,gabors,40.0,null,0.08,4.0,"[20.0, 20.0]",-40.0,"[3644.93333333, 3644.93333333]",0.25020649,49,,,0,,False,13,train,0
2901,0.0,810.24363,810.49384,0.8,45.0,null,gabors,40.0,null,0.08,4.0,"[20.0, 20.0]",10.0,"[3644.93333333, 3644.93333333]",0.25021101,1,,,0,,False,13,train,1
2902,0.0,810.49384,810.74406,0.8,45.0,null,gabors,-30.0,null,0.08,4.0,"[20.0, 20.0]",-30.0,"[3644.93333333, 3644.93333333]",0.25021101,148,,,0,,False,7,train,1
2903,0.0,810.74406,810.99427,0.8,0.0,null,gabors,-10.0,null,0.08,4.0,"[20.0, 20.0]",-30.0,"[3644.93333333, 3644.93333333]",0.25021101,204,,,0,,False,9,train,0
2904,0.0,810.99427,811.24448,0.8,90.0,null,gabors,-20.0,null,0.08,4.0,"[20.0, 20.0]",-20.0,"[3644.93333333, 3644.93333333]",0.25021101,137,,,0,,False,11,test,2
2905,0.0,811.24448,811.49468,0.8,90.0,null,gabors,-20.0,null,0.08,4.0,"[20.0, 20.0]",-10.0,"[3644.93333333, 3644.93333333]",0.25020649,167,,,0,,False,10,train,2
2906,0.0,811.49468,811.74489,0.8,45.0,null,gabors,30.0,null,0.08,4.0,"[20.0, 20.0]",-10.0,"[3644.93333333, 3644.93333333]",0.25020649,32,,,0,,False,11,test,1
2907,0.0,811.74489,811.9951,0.8,45.0,null,gabors,-10.0,null,0.08,4.0,"[20.0, 20.0]",20.0,"[3644.93333333, 3644.93333333]",0.25020649,62,,,0,,False,12,train,1
2908,0.0,811.9951,812.2453,0.8,0.0,null,gabors,10.0,null,0.08,4.0,"[20.0, 20.0]",-30.0,"[3644.93333333, 3644.93333333]",0.25020649,66,,,0,,False,10,train,0
2909,0.0,812.2453,812.49551,0.8,45.0,null,gabors,-30.0,null,0.08,4.0,"[20.0, 20.0]",-30.0,"[3644.93333333, 3644.93333333]",0.25021101,148,,,0,,False,8,test,1
2910,0.0,812.49551,812.74573,0.8,0.0,null,gabors,-40.0,null,0.08,4.0,"[20.0, 20.0]",40.0,"[3644.93333333, 3644.93333333]",0.25021101,180,,,0,,False,13,train,0
2911,0.0,812.74573,812.99594,0.8,90.0,null,gabors,10.0,null,0.08,4.0,"[20.0, 20.0]",10.0,"[3644.93333333, 3644.93333333]",0.25021101,97,,,0,,False,12,train,2
2912,0.0,812.99594,813.24615,0.8,0.0,null,gabors,20.0,null,0.08,4.0,"[20.0, 20.0]",-40.0,"[3644.93333333, 3644.93333333]",0.25021101,183,,,0,,False,12,train,0
2913,0.0,813.24615,813.49635,0.8,90.0,null,gabors,-30.0,null,0.08,4.0,"[20.0, 20.0]",-10.0,"[3644.93333333, 3644.93333333]",0.25020649,224,,,0,,False,14,test,2
2914,0.0,813.49635,813.74656,0.8,45.0,null,gabors,10.0,null,0.08,4.0,"[20.0, 20.0]",40.0,"[3644.93333333, 3644.93333333]",0.25020649,129,,,0,,False,12,train,1
2915,0.0,813.74656,813.99677,0.8,45.0,null,gabors,-20.0,null,0.08,4.0,"[20.0, 20.0]",20.0,"[3644.93333333, 3644.93333333]",0.25020649,122,,,0,,False,12,train,1
2916,0.0,813.99677,814.24697,0.8,0.0,null,gabors,-10.0,null,0.08,4.0,"[20.0, 20.0]",-20.0,"[3644.93333333, 3644.93333333]",0.25020649,110,,,0,,False,10,train,0
2917,0.0,814.24697,814.49719,0.8,0.0,null,gabors,0.0,null,0.08,4.0,"[20.0, 20.0]",10.0,"[3644.93333333, 3644.93333333]",0.25021851,189,,,0,,False,12,train,0
2918,0.0,814.49719,814.74741,0.8,0.0,null,gabors,-30.0,null,0.08,4.0,"[20.0, 20.0]",-40.0,"[3644.93333333, 3644.93333333]",0.25021851,105,,,0,,False,12,train,0
2919,0.0,814.74741,814.99763,0.8,90.0,null,gabors,-30.0,null,0.08,4.0,"[20.0, 20.0]",-20.0,"[3644.93333333, 3644.93333333]",0.25021851,33,,,0,,False,11,test,2
2920,0.0,814.99763,815.24785,0.8,0.0,null,gabors,10.0,null,0.08,4.0,"[20.0, 20.0]",0.0,"[3644.93333333, 3644.93333333]",0.25021851,156,,,0,,False,11,test,0
2921,0.0,815.24785,815.49805,0.8,45.0,null,gabors,30.0,null,0.08,4.0,"[20.0, 20.0]",0.0,"[3644.93333333, 3644.93333333]",0.25019899,18,,,0,,False,13,train,1
2922,0.0,815.49805,815.74825,0.8,0.0,null,gabors,20.0,null,0.08,4.0,"[20.0, 20.0]",-40.0,"[3644.93333333, 3644.93333333]",0.25019899,183,,,0,,False,13,train,0
2923,0.0,815.74825,815.99844,0.8,0.0,null,gabors,40.0,null,0.08,4.0,"[20.0, 20.0]",-30.0,"[3644.93333333, 3644.93333333]",0.25019899,58,,,0,,False,11,test,0
2924,0.0,815.99844,816.24864,0.8,0.0,null,gabors,-40.0,null,0.08,4.0,"[20.0, 20.0]",0.0,"[3644.93333333, 3644.93333333]",0.25019899,222,,,0,,False,10,train,0
2925,0.0,816.24864,816.49885,0.8,0.0,null,gabors,10.0,null,0.08,4.0,"[20.0, 20.0]",10.0,"[3644.93333333, 3644.93333333]",0.25021101,5,,,0,,False,10,train,0
2926,0.0,816.49885,816.74907,0.8,45.0,null,gabors,30.0,null,0.08,4.0,"[20.0, 20.0]",0.0,"[3644.93333333, 3644.93333333]",0.25021101,18,,,0,,False,14,test,1
2927,0.0,816.74907,816.99928,0.8,45.0,null,gabors,-20.0,null,0.08,4.0,"[20.0, 20.0]",0.0,"[3644.93333333, 3644.93333333]",0.25021101,184,,,0,,False,11,test,1
2928,0.0,816.99928,817.24949,0.8,0.0,null,gabors,0.0,null,0.08,4.0,"[20.0, 20.0]",0.0,"[3644.93333333, 3644.93333333]",0.25021101,83,,,0,,False,11,test,0
2929,0.0,817.24949,817.4997,0.8,90.0,null,gabors,40.0,null,0.08,4.0,"[20.0, 20.0]",0.0,"[3644.93333333, 3644.93333333]",0.25020899,128,,,0,,False,10,train,2
2930,0.0,817.4997,817.74991,0.8,0.0,null,gabors,-30.0,null,0.08,4.0,"[20.0, 20.0]",-30.0,"[3644.93333333, 3644.93333333]",0.25020899,179,,,0,,False,11,test,0
2931,0.0,817.74991,818.00011,0.8,45.0,null,gabors,-40.0,null,0.08,4.0,"[20.0, 20.0]",10.0,"[3644.93333333, 3644.93333333]",0.25020899,218,,,0,,False,12,train,1
2932,0.0,818.00011,818.25032,0.8,0.0,null,gabors,0.0,null,0.08,4.0,"[20.0, 20.0]",0.0,"[3644.93333333, 3644.93333333]",0.25020899,83,,,0,,False,12,train,0
2933,0.0,818.25032,818.50053,0.8,90.0,null,gabors,-20.0,null,0.08,4.0,"[20.0, 20.0]",-10.0,"[3644.93333333, 3644.93333333]",0.25020851,167,,,0,,False,11,test,2
2934,0.0,818.50053,818.75074,0.8,90.0,null,gabors,0.0,null,0.08,4.0,"[20.0, 20.0]",-10.0,"[3644.93333333, 3644.93333333]",0.25020851,206,,,0,,False,9,train,2
2935,0.0,818.75074,819.00095,0.8,0.0,null,gabors,-30.0,null,0.08,4.0,"[20.0, 20.0]",10.0,"[3644.93333333, 3644.93333333]",0.25020851,104,,,0,,False,9,train,0
2936,0.0,819.00095,819.25116,0.8,0.0,null,gabors,40.0,null,0.08,4.0,"[20.0, 20.0]",-30.0,"[3644.93333333, 3644.93333333]",0.25020851,58,,,0,,False,12,train,0
2937,0.0,819.25116,819.50137,0.8,45.0,null,gabors,40.0,null,0.08,4.0,"[20.0, 20.0]",-10.0,"[3644.93333333, 3644.93333333]",0.25021149,84,,,0,,False,11,test,1
2938,0.0,819.50137,819.75158,0.8,0.0,null,gabors,-10.0,null,0.08,4.0,"[20.0, 20.0]",20.0,"[3644.93333333, 3644.93333333]",0.25021149,209,,,0,,False,12,train,0
2939,0.0,819.75158,820.00179,0.8,0.0,null,gabors,10.0,null,0.08,4.0,"[20.0, 20.0]",20.0,"[3644.93333333, 3644.93333333]",0.25021149,150,,,0,,False,12,train,0
2940,0.0,820.00179,820.252,0.8,90.0,null,gabors,-30.0,null,0.08,4.0,"[20.0, 20.0]",-40.0,"[3644.93333333, 3644.93333333]",0.25021149,8,,,0,,False,11,test,2
