session_id,ecephys_unit_id,ecephys_probe_id,ecephys_structure_acronym,ccf_ap_mm,ccf_ml_mm,visual_azimuth_deg,visual_elevation_deg,axis_area_deg2,axis_edge_distance_deg,axis_test_deviance,unit_split
798911424,951109338,800036202,VISl,8.447,9.772,47.0953697,-14.0450019,402.885165,15.9549981,1.50655069,evaluation
798911424,951109346,800036202,VISl,8.447,9.772,54.2024038,-0.6713421,1652.66654,29.3286579,0.856469672,evaluation
798911424,951109357,800036202,VISl,8.455,9.78,38.1258794,-12.2170378,327.148432,17.7829622,0.920382457,calibration
798911424,951109380,800036202,VISl,8.455,9.78,47.1191161,-2.7459815,539.79947,27.2540185,1.60033256,evaluation
798911424,951109399,800036202,VISl,8.459,9.784,52.0369445,-7.2235107,495.255264,22.7764893,1.55261861,calibration
798911424,951109410,800036202,VISl,8.467,9.793,53.5535068,-5.7577822,375.686221,24.2422178,0.838092956,calibration
798911424,951109423,800036202,VISl,8.463,9.789,47.095854,-2.4135541,787.398434,27.5864459,1.2308739,calibration
798911424,951109435,800036202,VISl,8.463,9.789,44.5427283,-1.5503583,682.050783,28.4496417,3.06655436,calibration
798911424,951109447,800036202,VISl,8.467,9.793,40.3125757,2.81520629,410.343562,30.3125757,1.41920819,calibration
798911424,951109456,800036202,VISl,8.467,9.793,50.78367,-9.3071814,472.650003,20.6928186,1.15763332,evaluation
798911424,951109469,800036202,VISl,8.467,9.793,52.9972219,-5.3281965,489.920777,24.6718035,0.946124362,evaluation
798911424,951109494,800036202,VISl,8.467,9.793,44.6152848,3.31802679,101.879928,33.3180268,1.0483489,calibration
798911424,951109506,800036202,VISl,8.471,9.797,21.0914068,-1.5248418,383.310988,11.0914068,1.32012622,evaluation
798911424,951109518,800036202,VISl,8.479,9.805,34.1821311,-3.362074,501.971636,24.1821311,0.969735134,calibration
798911424,951109527,800036202,VISl,8.479,9.805,52.4972833,0.12048828,2512.93352,30.1204883,2.07268441,calibration
798911424,951109537,800036202,VISl,8.486,9.813,45.1664138,-10.6325587,120.481025,19.3674413,1.10934697,evaluation
798911424,951109549,800036202,VISl,8.486,9.813,44.8825259,-4.8539622,509.765411,25.1460378,0.936936426,evaluation
798911424,951109560,800036202,VISl,8.494,9.821,43.2332589,-6.6635036,559.24686,23.3364964,1.57363988,calibration
798911424,951109572,800036202,VISl,8.49,9.817,33.875569,-5.8782773,420.508597,23.875569,0.992150326,evaluation
798911424,951109586,800036202,VISl,8.49,9.817,29.6817567,-2.8394993,255.630085,19.6817567,0.821543096,calibration
798911424,951109594,800036202,VISl,8.494,9.821,39.9435102,-4.0970535,364.344702,25.9029465,1.35145487,evaluation
798911424,951109614,800036202,VISl,8.502,9.83,37.4070238,-4.932775,503.558429,25.067225,1.40746298,evaluation
798911424,951109626,800036202,VISl,8.506,9.834,40.9221638,-8.8669588,546.852843,21.1330412,1.13286278,evaluation
798911424,951109637,800036202,VISl,8.502,9.83,50.3766598,12.3855631,416.345546,37.6144369,0.412675986,evaluation
798911424,951109656,800036202,VISl,8.518,9.846,45.1454414,-2.945945,228.314977,27.054055,0.773633179,calibration
798911424,951109664,800036202,VISl,8.522,9.85,31.4956997,-1.8635597,386.402191,21.4956997,0.828832542,calibration
798911424,951109672,800036202,VISl,8.522,9.85,42.7912115,-5.0586013,548.875575,24.9413987,0.929371077,calibration
798911424,951109682,800036202,VISl,8.522,9.85,42.3170835,3.4700087,351.728396,32.3170835,1.33394193,evaluation
798911424,951109702,800036202,VISl,8.533,9.863,49.2076699,9.32602268,1168.51411,39.2076699,1.5709722,evaluation
798911424,951109711,800036202,VISl,8.537,9.867,36.8718303,-1.9922388,454.21429,26.8718303,2.03040642,evaluation
798911424,951109750,800036202,VISl,8.537,9.867,36.1088929,-4.8087466,651.427845,25.1912534,1.16205793,calibration
798911424,951109759,800036202,VISl,8.553,9.884,40.7946045,3.09295044,480.166963,30.7946045,1.41737535,evaluation
798911424,951109769,800036202,VISl,8.545,9.875,39.3780183,0.55977831,440.852982,29.3780183,0.922860425,calibration
798911424,951110067,800036202,VISl,8.447,9.772,40.2981274,-8.7403735,242.955314,21.2596265,0.672001902,calibration
798911424,951110080,800036202,VISl,8.467,9.793,52.6662745,3.57433644,163.550744,33.5743364,1.1267853,calibration
798911424,951110094,800036202,VISl,8.479,9.805,35.2491326,-11.9737443,625.569096,18.0262557,2.05813327,calibration
798911424,951110131,800036202,VISl,8.518,9.846,40.7728108,2.907184,408.437468,30.7728108,0.272117266,calibration
798911424,951112448,800036204,VISal,8.124,9.559,75.8298146,28.025169,562.257975,14.1701854,2.1519468,evaluation
798911424,951112495,800036204,VISal,8.127,9.575,76.6238664,8.36416935,239.166635,13.3761336,1.97303028,calibration
798911424,951112502,800036204,VISal,8.127,9.575,66.7650274,-4.1729268,814.655225,23.2349726,0.359991121,evaluation
798911424,951112590,800036204,VISal,8.135,9.612,20.8228257,35.4784034,914.91592,10.8228257,3.89563438,evaluation
798911424,951112618,800036204,VISal,8.133,9.601,24.3480403,21.3173808,462.483905,14.3480403,4.28905443,calibration
798911424,951112628,800036204,VISal,8.133,9.601,62.6754566,-4.4076706,500.546534,25.5923294,0.419803945,evaluation
798911424,951112638,800036204,VISal,8.135,9.612,76.4337413,-8.6879649,375.631158,13.5662587,1.01231022,calibration
798911424,951112646,800036204,VISal,8.133,9.601,70.5990861,1.71644838,237.487529,19.4009139,0.360122157,calibration
798911424,951112721,800036204,VISal,8.137,9.622,69.4083333,-2.534899,1299.42946,20.5916667,1.72552417,evaluation
798911424,951112733,800036204,VISal,8.137,9.622,72.7327214,20.7993702,363.592738,17.2672786,1.14206118,calibration
798911424,951112768,800036204,VISal,8.142,9.643,71.8570723,17.6549287,767.028034,18.1429277,1.18194814,evaluation
798911424,951112780,800036204,VISal,8.142,9.643,78.3978679,16.1035478,1097.77789,11.6021321,1.51767171,calibration
798911424,951112786,800036204,VISal,8.142,9.643,70.5657226,-4.9457738,407.317627,19.4342774,1.96790671,evaluation
798911424,951112864,800036204,VISal,8.148,9.675,74.4566819,-8.130501,1785.78186,15.5433181,1.24403788,evaluation
798911424,951112945,800036204,VISal,8.151,9.69,55.7454043,-13.9762275,584.611828,16.0237725,1.39645537,calibration
798911424,951112992,800036204,VISal,8.153,9.701,69.3590783,0.90597371,1461.45576,20.6409217,0.439075935,calibration
798911424,951113075,800036204,VISal,8.156,9.716,71.4378321,21.8772943,451.068247,18.5621679,0.835199851,calibration
798911424,951113118,800036204,VISal,8.156,9.716,75.9276183,29.3151183,1362.7103,14.0723817,1.35469822,evaluation
798911424,951113183,800036204,VISal,8.158,9.727,74.8280484,11.4897488,1169.70722,15.1719516,1.88639377,calibration
798911424,951113211,800036204,VISal,8.16,9.737,52.4243023,18.0881301,2413.4009,31.9118699,1.27309996,calibration
798911424,951113221,800036204,VISal,8.16,9.737,62.9019434,-7.8274862,532.11669,22.1725138,1.11619198,evaluation
798911424,951113240,800036204,VISal,8.161,9.742,72.153916,23.0831772,833.86903,17.846084,1.10311826,evaluation
798911424,951113280,800036204,VISal,8.16,9.737,39.8972417,39.9421423,98.6705749,10.0578577,0.645757215,calibration
798911424,951113289,800036204,VISal,8.162,9.753,77.614516,25.1959406,864.561678,12.385484,1.45422658,evaluation
798911424,951113313,800036204,VISal,8.164,9.763,66.3736141,22.2685022,2718.77898,23.6263859,1.50010247,evaluation
798911424,951113320,800036204,VISal,8.164,9.763,71.9933823,17.0921454,1097.15427,18.0066177,1.22364027,evaluation
798911424,951113332,800036204,VISal,8.164,9.763,73.0608332,8.32645074,309.565897,16.9391668,1.36078839,calibration
798911424,951113376,800036204,VISal,8.166,9.773,78.7674816,8.79183085,438.231351,11.2325184,1.34278618,evaluation
798911424,951113385,800036204,VISal,8.166,9.773,68.9358941,4.93037753,780.855551,21.0641059,1.88851649,calibration
798911424,951113399,800036204,VISal,8.168,9.783,65.5677114,24.2652302,114.755022,24.4322886,0.776688486,calibration
798911424,951113464,800036204,VISal,8.171,9.799,72.5186791,20.6503478,976.857071,17.4813209,2.75840982,calibration
798911424,951113514,800036204,VISal,8.173,9.809,71.9098544,26.1787747,536.025889,18.0901456,2.5045476,calibration
798911424,951113548,800036204,VISal,8.173,9.814,71.7400804,19.8342805,398.639358,18.2599196,0.502788644,evaluation
