ecephys_session_id,target_subset,shift_azimuth_deg,shift_elevation_deg,minimum_loss,basin_grid_points_delta_005,at_bound,trace_split_half_vector_difference_deg
799864342,half_1,-18.0,-2.0,0.13193489497719726,107,False,10.0
816200189,full,0.0,-10.0,0.9968050256440153,94,False,5.656854249492381
816200189,half_0,-2.0,-12.0,1.3841108647879998,88,False,5.656854249492381
816200189,half_1,2.0,-8.0,0.8272414280683328,91,False,5.656854249492381
821695405,full,30.0,-8.0,0.3558832317470787,50,True,38.0
821695405,half_0,30.0,-10.0,0.22522217265891806,42,True,38.0
821695405,half_1,30.0,28.0,0.39279005138690504,11,True,38.0
829720705,full,-16.0,-8.0,1.0431211469435095,76,False,6.324555320336759
829720705,half_0,-16.0,-8.0,0.9933054901450639,87,False,6.324555320336759
829720705,half_1,-14.0,-2.0,1.198967118100648,70,False,6.324555320336759
831882777,full,-30.0,-10.0,0.18281892220492155,249,True,44.94441010848846
831882777,half_0,-14.0,-8.0,0.20285101175307668,134,False,44.94441010848846
831882777,half_1,10.0,30.0,0.16672745388020677,412,True,44.94441010848846
835479236,full,-30.0,30.0,1.3704597806925476,4,True,60.03332407921454
835479236,half_0,30.0,30.0,1.1400741033282031,2,True,60.03332407921454
835479236,half_1,-30.0,28.0,0.8839338904975855,9,True,60.03332407921454
839068429,full,-16.0,14.0,0.17993709616937417,82,False,63.52952069707436
839068429,half_0,28.0,-18.0,0.3171869147033931,13,False,63.52952069707436
839068429,half_1,-28.0,12.0,0.06539120044709304,49,False,63.52952069707436
840012044,full,0.0,-6.0,0.41074342018533005,116,False,22.0
840012044,half_0,2.0,-14.0,0.27182059473301373,120,False,22.0
840012044,half_1,2.0,8.0,0.38867863609433684,156,False,22.0
847657808,full,4.0,-16.0,0.2505964657110345,129,False,2.8284271247461903
847657808,half_0,6.0,-14.0,0.45787403669115345,92,False,2.8284271247461903
847657808,half_1,4.0,-16.0,0.1852905810744826,159,False,2.8284271247461903
