stimulus_presentation_id,stimulus_block,start_time,stop_time,color,stimulus_name,orientation,x_position,size,y_position,spatial_frequency,phase,temporal_frequency,contrast,frame,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1593,0.0,487.00061,487.25081,null,gabors,90.0,-30.0,"[20.0, 20.0]",10.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25019997,114,,,0,,False,5,test,2
1594,0.0,487.25081,487.50101,null,gabors,0.0,20.0,"[20.0, 20.0]",-30.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25019997,229,,,0,,False,4,train,0
1595,0.0,487.50101,487.75121,null,gabors,0.0,30.0,"[20.0, 20.0]",-10.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25019997,35,,,0,,False,6,train,0
1596,0.0,487.75121,488.00141,null,gabors,45.0,0.0,"[20.0, 20.0]",-20.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25019997,222,,,0,,False,9,train,1
1597,0.0,488.00141,488.25162,null,gabors,0.0,40.0,"[20.0, 20.0]",30.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021503,200,,,0,,False,3,train,0
1598,0.0,488.25162,488.50184,null,gabors,45.0,-10.0,"[20.0, 20.0]",-40.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021503,95,,,0,,False,7,train,1
1599,0.0,488.50184,488.75205,null,gabors,90.0,-10.0,"[20.0, 20.0]",0.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021503,81,,,0,,False,9,train,2
1600,0.0,488.75205,489.00227,null,gabors,0.0,-10.0,"[20.0, 20.0]",0.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021503,187,,,0,,False,8,test,0
1601,0.0,489.00227,489.25247,null,gabors,45.0,10.0,"[20.0, 20.0]",10.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25020497,6,,,0,,False,5,test,1
1602,0.0,489.25247,489.50268,null,gabors,45.0,40.0,"[20.0, 20.0]",-10.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25020497,146,,,0,,False,8,test,1
