stimulus_presentation_id,stimulus_block,start_time,stop_time,orientation,spatial_frequency,x_position,y_position,frame,phase,temporal_frequency,stimulus_name,size,color,contrast,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
24,0.0,90.234284,90.484498,45.0,0.08,20.0,40.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021426,24,,,0,,False,0,train,1
25,0.0,90.484498,90.734701,90.0,0.08,30.0,20.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020324,25,,,0,,False,0,train,2
26,0.0,90.734701,90.984904,0.0,0.08,-40.0,-20.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020324,13,,,0,,False,1,train,0
27,0.0,90.984904,91.235108,0.0,0.08,40.0,-30.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020324,26,,,0,,False,0,train,0
28,0.0,91.235108,91.485311,90.0,0.08,-10.0,40.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020324,27,,,0,,False,0,train,2
29,0.0,91.485311,91.73553,0.0,0.08,30.0,40.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021926,23,,,0,,False,1,train,0
30,0.0,91.73553,91.985749,0.0,0.08,0.0,-30.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021926,28,,,0,,False,0,train,0
31,0.0,91.985749,92.235969,0.0,0.08,-10.0,30.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021926,29,,,0,,False,0,train,0
32,0.0,92.235969,92.486188,90.0,0.08,0.0,10.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021926,30,,,0,,False,0,train,2
33,0.0,92.486188,92.736386,90.0,0.08,-30.0,0.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25019824,31,,,0,,False,0,train,2
34,0.0,92.736386,92.986584,90.0,0.08,-10.0,40.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25019824,27,,,0,,False,1,train,2
35,0.0,92.986584,93.236783,45.0,0.08,0.0,0.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25019824,32,,,0,,False,0,train,1
36,0.0,93.236783,93.486981,90.0,0.08,20.0,-40.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25019824,33,,,0,,False,0,train,2
37,0.0,93.486981,93.737188,45.0,0.08,-20.0,0.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020676,34,,,0,,False,0,train,1
38,0.0,93.737188,93.987394,90.0,0.08,20.0,20.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020676,35,,,0,,False,0,train,2
39,0.0,93.987394,94.237601,90.0,0.08,-20.0,-40.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020676,36,,,0,,False,0,train,2
40,0.0,94.237601,94.487808,0.0,0.08,-10.0,-30.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020676,37,,,0,,False,0,train,0
41,0.0,94.487808,94.738019,45.0,0.08,40.0,-10.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021074,38,,,0,,False,0,train,1
42,0.0,94.738019,94.988229,45.0,0.08,30.0,30.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021074,39,,,0,,False,0,train,1
43,0.0,94.988229,95.23844,0.0,0.08,10.0,40.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021074,9,,,0,,False,1,train,0
44,0.0,95.23844,95.488651,45.0,0.08,-10.0,-40.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021074,40,,,0,,False,0,train,1
45,0.0,95.488651,95.73887,90.0,0.08,30.0,20.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021926,25,,,0,,False,1,train,2
46,0.0,95.73887,95.989089,45.0,0.08,10.0,20.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021926,41,,,0,,False,0,train,1
47,0.0,95.989089,96.239309,0.0,0.08,-20.0,30.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021926,42,,,0,,False,0,train,0
48,0.0,96.239309,96.489528,0.0,0.08,10.0,30.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021926,43,,,0,,False,0,train,0
49,0.0,96.489528,96.739724,0.0,0.08,20.0,10.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25019574,44,,,0,,False,0,train,0
50,0.0,96.739724,96.989919,0.0,0.08,0.0,10.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25019574,6,,,0,,False,1,train,0
51,0.0,96.989919,97.240115,0.0,0.08,-20.0,30.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25019574,42,,,0,,False,1,train,0
52,0.0,97.240115,97.490311,90.0,0.08,-40.0,30.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25019574,45,,,0,,False,0,train,2
53,0.0,97.490311,97.740528,0.0,0.08,-20.0,30.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021676,42,,,0,,False,2,test,0
54,0.0,97.740528,97.990744,0.0,0.08,-30.0,-40.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021676,46,,,0,,False,0,train,0
55,0.0,97.990744,98.240961,45.0,0.08,30.0,-20.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021676,47,,,0,,False,0,train,1
56,0.0,98.240961,98.491178,45.0,0.08,-10.0,40.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021676,48,,,0,,False,0,train,1
57,0.0,98.491178,98.741381,45.0,0.08,10.0,20.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020324,41,,,0,,False,1,train,1
58,0.0,98.741381,98.991584,90.0,0.08,0.0,-10.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020324,49,,,0,,False,0,train,2
59,0.0,98.991584,99.241788,0.0,0.08,20.0,0.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020324,50,,,0,,False,0,train,0
60,0.0,99.241788,99.491991,90.0,0.08,-20.0,-10.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020324,51,,,0,,False,0,train,2
61,0.0,99.491991,99.742203,0.0,0.08,20.0,0.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021176,50,,,0,,False,1,train,0
62,0.0,99.742203,99.992414,0.0,0.08,-40.0,-40.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021176,52,,,0,,False,0,train,0
63,0.0,99.992414,100.24263,45.0,0.08,10.0,0.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021176,53,,,0,,False,0,train,1
64,0.0,100.24263,100.49284,0.0,0.08,-20.0,-30.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021176,54,,,0,,False,0,train,0
65,0.0,100.49284,100.74305,45.0,0.08,-10.0,-10.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020824,55,,,0,,False,0,train,1
66,0.0,100.74305,100.99325,45.0,0.08,-20.0,0.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020824,34,,,0,,False,1,train,1
67,0.0,100.99325,101.24346,90.0,0.08,-40.0,30.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020824,45,,,0,,False,1,train,2
68,0.0,101.24346,101.49367,90.0,0.08,-40.0,-30.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020824,56,,,0,,False,0,train,2
69,0.0,101.49367,101.74388,90.0,0.08,30.0,40.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020676,4,,,0,,False,1,train,2
70,0.0,101.74388,101.99408,45.0,0.08,-40.0,-20.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020676,57,,,0,,False,0,train,1
71,0.0,101.99408,102.24429,45.0,0.08,30.0,10.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020676,58,,,0,,False,0,train,1
72,0.0,102.24429,102.4945,45.0,0.08,-20.0,40.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020676,59,,,0,,False,0,train,1
73,0.0,102.4945,102.74471,90.0,0.08,40.0,-20.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021074,60,,,0,,False,0,train,2
74,0.0,102.74471,102.99492,90.0,0.08,-30.0,10.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021074,61,,,0,,False,0,train,2
75,0.0,102.99492,103.24513,0.0,0.08,40.0,-40.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021074,62,,,0,,False,0,train,0
76,0.0,103.24513,103.49534,45.0,0.08,-10.0,0.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021074,63,,,0,,False,0,train,1
77,0.0,103.49534,103.74555,0.0,0.08,30.0,20.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020426,64,,,0,,False,0,train,0
78,0.0,103.74555,103.99575,90.0,0.08,-20.0,-40.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020426,36,,,0,,False,1,train,2
79,0.0,103.99575,104.24595,45.0,0.08,-30.0,10.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020426,2,,,0,,False,1,train,1
80,0.0,104.24595,104.49616,90.0,0.08,-40.0,20.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020426,65,,,0,,False,0,train,2
81,0.0,104.49616,104.74637,0.0,0.08,30.0,0.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021324,66,,,0,,False,0,train,0
82,0.0,104.74637,104.99658,45.0,0.08,-40.0,40.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021324,67,,,0,,False,0,train,1
83,0.0,104.99658,105.2468,45.0,0.08,-40.0,30.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021324,68,,,0,,False,0,train,1
84,0.0,105.2468,105.49701,90.0,0.08,30.0,-20.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021324,21,,,0,,False,1,train,2
85,0.0,105.49701,105.74722,0.0,0.08,20.0,-40.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020926,69,,,0,,False,0,train,0
86,0.0,105.74722,105.99743,45.0,0.08,10.0,10.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020926,11,,,0,,False,1,train,1
87,0.0,105.99743,106.24764,45.0,0.08,-30.0,-40.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020926,70,,,0,,False,0,train,1
88,0.0,106.24764,106.49785,90.0,0.08,-30.0,-10.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020926,71,,,0,,False,0,train,2
89,0.0,106.49785,106.74806,0.0,0.08,30.0,20.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021074,64,,,0,,False,1,train,0
90,0.0,106.74806,106.99827,45.0,0.08,10.0,-30.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021074,72,,,0,,False,0,train,1
91,0.0,106.99827,107.24848,45.0,0.08,10.0,-40.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021074,73,,,0,,False,0,train,1
92,0.0,107.24848,107.49869,45.0,0.08,10.0,40.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021074,74,,,0,,False,0,train,1
93,0.0,107.49869,107.7489,90.0,0.08,40.0,30.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020926,75,,,0,,False,0,train,2
94,0.0,107.7489,107.99911,90.0,0.08,40.0,20.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020926,76,,,0,,False,0,train,2
95,0.0,107.99911,108.24932,90.0,0.08,10.0,-40.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020926,77,,,0,,False,0,train,2
96,0.0,108.24932,108.49953,90.0,0.08,40.0,-40.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020926,78,,,0,,False,0,train,2
97,0.0,108.49953,108.74974,45.0,0.08,-40.0,30.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020824,68,,,0,,False,1,train,1
98,0.0,108.74974,108.99994,45.0,0.08,0.0,0.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020824,32,,,0,,False,1,train,1
99,0.0,108.99994,109.25015,0.0,0.08,10.0,10.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020824,79,,,0,,False,0,train,0
100,0.0,109.25015,109.50036,90.0,0.08,-40.0,0.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020824,80,,,0,,False,0,train,2
101,0.0,109.50036,109.75058,0.0,0.08,30.0,-30.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25022176,81,,,0,,False,0,train,0
102,0.0,109.75058,110.0008,45.0,0.08,-30.0,-30.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25022176,82,,,0,,False,0,train,1
103,0.0,110.0008,110.25103,45.0,0.08,-10.0,-30.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25022176,83,,,0,,False,0,train,1
104,0.0,110.25103,110.50125,0.0,0.08,-20.0,-10.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25022176,84,,,0,,False,0,train,0
105,0.0,110.50125,110.75144,90.0,0.08,0.0,20.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25019574,85,,,0,,False,0,train,2
106,0.0,110.75144,111.00164,90.0,0.08,-30.0,40.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25019574,86,,,0,,False,0,train,2
107,0.0,111.00164,111.25184,0.0,0.08,-10.0,10.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25019574,87,,,0,,False,0,train,0
108,0.0,111.25184,111.50203,90.0,0.08,0.0,0.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25019574,88,,,0,,False,0,train,2
109,0.0,111.50203,111.75224,0.0,0.08,-30.0,40.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020926,89,,,0,,False,0,train,0
110,0.0,111.75224,112.00245,90.0,0.08,30.0,40.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020926,4,,,0,,False,2,test,2
111,0.0,112.00245,112.25266,0.0,0.08,40.0,-30.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020926,26,,,0,,False,1,train,0
112,0.0,112.25266,112.50287,90.0,0.08,-10.0,40.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020926,27,,,0,,False,2,test,2
113,0.0,112.50287,112.75308,45.0,0.08,20.0,-40.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020824,90,,,0,,False,0,train,1
114,0.0,112.75308,113.00328,45.0,0.08,40.0,-10.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020824,38,,,0,,False,1,train,1
115,0.0,113.00328,113.25349,90.0,0.08,30.0,30.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020824,91,,,0,,False,0,train,2
116,0.0,113.25349,113.5037,45.0,0.08,-40.0,-30.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020824,92,,,0,,False,0,train,1
117,0.0,113.5037,113.75391,0.0,0.08,-40.0,40.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020676,14,,,0,,False,1,train,0
118,0.0,113.75391,114.00411,0.0,0.08,-20.0,-40.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020676,93,,,0,,False,0,train,0
119,0.0,114.00411,114.25432,45.0,0.08,10.0,-10.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020676,94,,,0,,False,0,train,1
120,0.0,114.25432,114.50453,90.0,0.08,-20.0,-40.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020676,36,,,0,,False,2,test,2
121,0.0,114.50453,114.75474,0.0,0.08,40.0,30.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020824,95,,,0,,False,0,train,0
122,0.0,114.75474,115.00494,90.0,0.08,-30.0,30.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020824,96,,,0,,False,0,train,2
123,0.0,115.00494,115.25515,45.0,0.08,10.0,-40.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020824,73,,,0,,False,1,train,1
124,0.0,115.25515,115.50536,90.0,0.08,30.0,20.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020824,25,,,0,,False,2,test,2
125,0.0,115.50536,115.75557,90.0,0.08,10.0,0.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021176,97,,,0,,False,0,train,2
126,0.0,115.75557,116.00578,0.0,0.08,-30.0,-10.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021176,98,,,0,,False,0,train,0
127,0.0,116.00578,116.256,90.0,0.08,0.0,10.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021176,30,,,0,,False,1,train,2
128,0.0,116.256,116.50621,0.0,0.08,0.0,-10.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021176,99,,,0,,False,0,train,0
129,0.0,116.50621,116.75641,0.0,0.08,40.0,-10.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020574,100,,,0,,False,0,train,0
130,0.0,116.75641,117.00662,45.0,0.08,-30.0,20.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020574,101,,,0,,False,0,train,1
131,0.0,117.00662,117.25683,45.0,0.08,30.0,0.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020574,102,,,0,,False,0,train,1
132,0.0,117.25683,117.50703,90.0,0.08,0.0,10.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020574,30,,,0,,False,2,test,2
133,0.0,117.50703,117.75725,90.0,0.08,-40.0,20.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021426,65,,,0,,False,1,train,2
134,0.0,117.75725,118.00746,0.0,0.08,40.0,-10.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021426,100,,,0,,False,1,train,0
135,0.0,118.00746,118.25767,45.0,0.08,20.0,-40.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021426,90,,,0,,False,1,train,1
136,0.0,118.25767,118.50789,45.0,0.08,30.0,20.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021426,103,,,0,,False,0,train,1
137,0.0,118.50789,118.7581,90.0,0.08,10.0,0.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020824,97,,,0,,False,1,train,2
