stimulus_presentation_id,stimulus_block,start_time,stop_time,spatial_frequency,temporal_frequency,phase,frame,y_position,contrast,size,orientation,color,x_position,stimulus_name,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
493,0.0,207.83918,208.08939,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-40.0,0.8,"[20.0, 20.0]",45.0,null,40.0,gabors,0.25021442,28,,,0,,False,5,test,1
494,0.0,208.08939,208.33961,0.08,4.0,"[3644.93333333, 3644.93333333]",null,30.0,0.8,"[20.0, 20.0]",0.0,null,-20.0,gabors,0.25021442,81,,,0,,False,2,test,0
495,0.0,208.33961,208.58982,0.08,4.0,"[3644.93333333, 3644.93333333]",null,20.0,0.8,"[20.0, 20.0]",90.0,null,40.0,gabors,0.25021442,32,,,0,,False,1,train,2
496,0.0,208.58982,208.84003,0.08,4.0,"[3644.93333333, 3644.93333333]",null,30.0,0.8,"[20.0, 20.0]",45.0,null,-40.0,gabors,0.25021442,218,,,0,,False,0,train,1
497,0.0,208.84003,209.09024,0.08,4.0,"[3644.93333333, 3644.93333333]",null,30.0,0.8,"[20.0, 20.0]",45.0,null,0.0,gabors,0.25020308,128,,,0,,False,2,test,1
498,0.0,209.09024,209.34044,0.08,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.8,"[20.0, 20.0]",90.0,null,40.0,gabors,0.25020308,139,,,0,,False,2,test,2
499,0.0,209.34044,209.59064,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-40.0,0.8,"[20.0, 20.0]",90.0,null,0.0,gabors,0.25020308,213,,,0,,False,1,train,2
500,0.0,209.59064,209.84085,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,0.8,"[20.0, 20.0]",0.0,null,10.0,gabors,0.25020308,71,,,0,,False,3,train,0
501,0.0,209.84085,210.09107,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.8,"[20.0, 20.0]",90.0,null,20.0,gabors,0.25021942,97,,,0,,False,4,train,2
502,0.0,210.09107,210.34129,0.08,4.0,"[3644.93333333, 3644.93333333]",null,30.0,0.8,"[20.0, 20.0]",90.0,null,20.0,gabors,0.25021942,115,,,0,,False,1,train,2
503,0.0,210.34129,210.5915,0.08,4.0,"[3644.93333333, 3644.93333333]",null,20.0,0.8,"[20.0, 20.0]",0.0,null,-20.0,gabors,0.25021942,85,,,0,,False,2,test,0
504,0.0,210.5915,210.84172,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-20.0,0.8,"[20.0, 20.0]",0.0,null,-40.0,gabors,0.25021942,146,,,0,,False,2,test,0
505,0.0,210.84172,211.09192,0.08,4.0,"[3644.93333333, 3644.93333333]",null,0.0,0.8,"[20.0, 20.0]",90.0,null,-30.0,gabors,0.25019808,206,,,0,,False,1,train,2
506,0.0,211.09192,211.34212,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-20.0,0.8,"[20.0, 20.0]",45.0,null,30.0,gabors,0.25019808,219,,,0,,False,0,train,1
507,0.0,211.34212,211.59232,0.08,4.0,"[3644.93333333, 3644.93333333]",null,20.0,0.8,"[20.0, 20.0]",90.0,null,-30.0,gabors,0.25019808,68,,,0,,False,1,train,2
508,0.0,211.59232,211.84252,0.08,4.0,"[3644.93333333, 3644.93333333]",null,40.0,0.8,"[20.0, 20.0]",45.0,null,-20.0,gabors,0.25019808,15,,,0,,False,5,test,1
509,0.0,211.84252,212.09274,0.08,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.8,"[20.0, 20.0]",90.0,null,-40.0,gabors,0.25021942,109,,,0,,False,2,test,2
510,0.0,212.09274,212.34296,0.08,4.0,"[3644.93333333, 3644.93333333]",null,30.0,0.8,"[20.0, 20.0]",90.0,null,0.0,gabors,0.25021942,195,,,0,,False,2,test,2
511,0.0,212.34296,212.59317,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.8,"[20.0, 20.0]",0.0,null,30.0,gabors,0.25021942,111,,,0,,False,3,train,0
512,0.0,212.59317,212.84339,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-40.0,0.8,"[20.0, 20.0]",45.0,null,0.0,gabors,0.25021942,186,,,0,,False,1,train,1
513,0.0,212.84339,213.09359,0.08,4.0,"[3644.93333333, 3644.93333333]",null,40.0,0.8,"[20.0, 20.0]",90.0,null,-30.0,gabors,0.25019808,142,,,0,,False,2,test,2
514,0.0,213.09359,213.34379,0.08,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.8,"[20.0, 20.0]",90.0,null,-20.0,gabors,0.25019808,117,,,0,,False,4,train,2
515,0.0,213.34379,213.59399,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,0.8,"[20.0, 20.0]",90.0,null,0.0,gabors,0.25019808,211,,,0,,False,1,train,2
516,0.0,213.59399,213.84419,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-20.0,0.8,"[20.0, 20.0]",90.0,null,-40.0,gabors,0.25019808,152,,,0,,False,3,train,2
517,0.0,213.84419,214.0944,0.08,4.0,"[3644.93333333, 3644.93333333]",null,40.0,0.8,"[20.0, 20.0]",0.0,null,-20.0,gabors,0.25020942,38,,,0,,False,2,test,0
518,0.0,214.0944,214.34461,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,0.8,"[20.0, 20.0]",45.0,null,-20.0,gabors,0.25020942,196,,,0,,False,1,train,1
519,0.0,214.34461,214.59481,0.08,4.0,"[3644.93333333, 3644.93333333]",null,0.0,0.8,"[20.0, 20.0]",90.0,null,-30.0,gabors,0.25020942,206,,,0,,False,2,test,2
520,0.0,214.59481,214.84502,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,0.8,"[20.0, 20.0]",45.0,null,-20.0,gabors,0.25020942,196,,,0,,False,2,test,1
521,0.0,214.84502,215.09523,0.08,4.0,"[3644.93333333, 3644.93333333]",null,40.0,0.8,"[20.0, 20.0]",45.0,null,-10.0,gabors,0.25020808,47,,,0,,False,2,test,1
522,0.0,215.09523,215.34544,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,0.8,"[20.0, 20.0]",45.0,null,10.0,gabors,0.25020808,73,,,0,,False,2,test,1
523,0.0,215.34544,215.59565,0.08,4.0,"[3644.93333333, 3644.93333333]",null,20.0,0.8,"[20.0, 20.0]",0.0,null,30.0,gabors,0.25020808,220,,,0,,False,0,train,0
524,0.0,215.59565,215.84586,0.08,4.0,"[3644.93333333, 3644.93333333]",null,30.0,0.8,"[20.0, 20.0]",90.0,null,40.0,gabors,0.25020808,185,,,0,,False,1,train,2
525,0.0,215.84586,216.09608,0.08,4.0,"[3644.93333333, 3644.93333333]",null,40.0,0.8,"[20.0, 20.0]",90.0,null,0.0,gabors,0.25021942,198,,,0,,False,1,train,2
526,0.0,216.09608,216.3463,0.08,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.8,"[20.0, 20.0]",0.0,null,40.0,gabors,0.25021942,42,,,0,,False,3,train,0
527,0.0,216.3463,216.59651,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.8,"[20.0, 20.0]",90.0,null,40.0,gabors,0.25021942,121,,,0,,False,1,train,2
528,0.0,216.59651,216.84673,0.08,4.0,"[3644.93333333, 3644.93333333]",null,30.0,0.8,"[20.0, 20.0]",90.0,null,-40.0,gabors,0.25021942,82,,,0,,False,3,train,2
529,0.0,216.84673,217.09693,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-40.0,0.8,"[20.0, 20.0]",45.0,null,-40.0,gabors,0.25020058,221,,,0,,False,0,train,1
530,0.0,217.09693,217.34714,0.08,4.0,"[3644.93333333, 3644.93333333]",null,20.0,0.8,"[20.0, 20.0]",0.0,null,30.0,gabors,0.25020058,220,,,0,,False,1,train,0
531,0.0,217.34714,217.59734,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,0.8,"[20.0, 20.0]",45.0,null,10.0,gabors,0.25020058,73,,,0,,False,3,train,1
532,0.0,217.59734,217.84754,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-20.0,0.8,"[20.0, 20.0]",0.0,null,0.0,gabors,0.25020058,22,,,0,,False,2,test,0
533,0.0,217.84754,218.09775,0.08,4.0,"[3644.93333333, 3644.93333333]",null,30.0,0.8,"[20.0, 20.0]",90.0,null,-10.0,gabors,0.25020942,204,,,0,,False,3,train,2
534,0.0,218.09775,218.34796,0.08,4.0,"[3644.93333333, 3644.93333333]",null,30.0,0.8,"[20.0, 20.0]",90.0,null,-30.0,gabors,0.25020942,100,,,0,,False,2,test,2
535,0.0,218.34796,218.59816,0.08,4.0,"[3644.93333333, 3644.93333333]",null,20.0,0.8,"[20.0, 20.0]",90.0,null,30.0,gabors,0.25020942,102,,,0,,False,2,test,2
536,0.0,218.59816,218.84837,0.08,4.0,"[3644.93333333, 3644.93333333]",null,40.0,0.8,"[20.0, 20.0]",90.0,null,-30.0,gabors,0.25020942,142,,,0,,False,3,train,2
537,0.0,218.84837,219.09858,0.08,4.0,"[3644.93333333, 3644.93333333]",null,40.0,0.8,"[20.0, 20.0]",0.0,null,-20.0,gabors,0.25020558,38,,,0,,False,3,train,0
538,0.0,219.09858,219.34879,0.08,4.0,"[3644.93333333, 3644.93333333]",null,20.0,0.8,"[20.0, 20.0]",90.0,null,30.0,gabors,0.25020558,102,,,0,,False,3,train,2
539,0.0,219.34879,219.59899,0.08,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.8,"[20.0, 20.0]",90.0,null,-40.0,gabors,0.25020558,109,,,0,,False,3,train,2
540,0.0,219.59899,219.8492,0.08,4.0,"[3644.93333333, 3644.93333333]",null,20.0,0.8,"[20.0, 20.0]",0.0,null,-40.0,gabors,0.25020558,164,,,0,,False,2,test,0
541,0.0,219.8492,220.09942,0.08,4.0,"[3644.93333333, 3644.93333333]",null,40.0,0.8,"[20.0, 20.0]",0.0,null,-20.0,gabors,0.25021942,38,,,0,,False,4,train,0
542,0.0,220.09942,220.34964,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,0.8,"[20.0, 20.0]",0.0,null,30.0,gabors,0.25021942,182,,,0,,False,2,test,0
543,0.0,220.34964,220.59985,0.08,4.0,"[3644.93333333, 3644.93333333]",null,40.0,0.8,"[20.0, 20.0]",90.0,null,0.0,gabors,0.25021942,198,,,0,,False,2,test,2
544,0.0,220.59985,220.85007,0.08,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.8,"[20.0, 20.0]",90.0,null,10.0,gabors,0.25021942,210,,,0,,False,2,test,2
545,0.0,220.85007,221.10027,0.08,4.0,"[3644.93333333, 3644.93333333]",null,20.0,0.8,"[20.0, 20.0]",0.0,null,40.0,gabors,0.25019808,77,,,0,,False,2,test,0
546,0.0,221.10027,221.35047,0.08,4.0,"[3644.93333333, 3644.93333333]",null,40.0,0.8,"[20.0, 20.0]",0.0,null,40.0,gabors,0.25019808,70,,,0,,False,1,train,0
547,0.0,221.35047,221.60067,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.8,"[20.0, 20.0]",90.0,null,-20.0,gabors,0.25019808,51,,,0,,False,2,test,2
548,0.0,221.60067,221.85087,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-20.0,0.8,"[20.0, 20.0]",45.0,null,40.0,gabors,0.25019808,131,,,0,,False,1,train,1
549,0.0,221.85087,222.10108,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-20.0,0.8,"[20.0, 20.0]",0.0,null,-30.0,gabors,0.25021692,222,,,0,,False,0,train,0
550,0.0,222.10108,222.3513,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-20.0,0.8,"[20.0, 20.0]",45.0,null,-20.0,gabors,0.25021692,148,,,0,,False,2,test,1
551,0.0,222.3513,222.60152,0.08,4.0,"[3644.93333333, 3644.93333333]",null,40.0,0.8,"[20.0, 20.0]",0.0,null,-20.0,gabors,0.25021692,38,,,0,,False,5,test,0
552,0.0,222.60152,222.85173,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.8,"[20.0, 20.0]",90.0,null,-40.0,gabors,0.25021692,14,,,0,,False,5,test,2
553,0.0,222.85173,223.10193,0.08,4.0,"[3644.93333333, 3644.93333333]",null,20.0,0.8,"[20.0, 20.0]",45.0,null,20.0,gabors,0.25020058,223,,,0,,False,0,train,1
554,0.0,223.10193,223.35214,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-40.0,0.8,"[20.0, 20.0]",45.0,null,-40.0,gabors,0.25020058,221,,,0,,False,1,train,1
555,0.0,223.35214,223.60234,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-20.0,0.8,"[20.0, 20.0]",90.0,null,-10.0,gabors,0.25020058,105,,,0,,False,2,test,2
556,0.0,223.60234,223.85254,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.8,"[20.0, 20.0]",90.0,null,40.0,gabors,0.25020058,121,,,0,,False,2,test,2
557,0.0,223.85254,224.10276,0.08,4.0,"[3644.93333333, 3644.93333333]",null,20.0,0.8,"[20.0, 20.0]",90.0,null,-30.0,gabors,0.25021942,68,,,0,,False,2,test,2
558,0.0,224.10276,224.35298,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-40.0,0.8,"[20.0, 20.0]",90.0,null,30.0,gabors,0.25021942,143,,,0,,False,3,train,2
559,0.0,224.35298,224.60319,0.08,4.0,"[3644.93333333, 3644.93333333]",null,0.0,0.8,"[20.0, 20.0]",0.0,null,30.0,gabors,0.25021942,189,,,0,,False,2,test,0
560,0.0,224.60319,224.85341,0.08,4.0,"[3644.93333333, 3644.93333333]",null,30.0,0.8,"[20.0, 20.0]",45.0,null,-30.0,gabors,0.25021942,10,,,0,,False,4,train,1
561,0.0,224.85341,225.10361,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-20.0,0.8,"[20.0, 20.0]",0.0,null,-20.0,gabors,0.25020058,153,,,0,,False,3,train,0
562,0.0,225.10361,225.35382,0.08,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.8,"[20.0, 20.0]",90.0,null,0.0,gabors,0.25020058,37,,,0,,False,3,train,2
563,0.0,225.35382,225.60402,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.8,"[20.0, 20.0]",0.0,null,40.0,gabors,0.25020058,188,,,0,,False,1,train,0
564,0.0,225.60402,225.85422,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-20.0,0.8,"[20.0, 20.0]",45.0,null,40.0,gabors,0.25020058,131,,,0,,False,2,test,1
565,0.0,225.85422,226.10443,0.08,4.0,"[3644.93333333, 3644.93333333]",null,0.0,0.8,"[20.0, 20.0]",45.0,null,-40.0,gabors,0.25021442,149,,,0,,False,2,test,1
566,0.0,226.10443,226.35465,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,0.8,"[20.0, 20.0]",45.0,null,-30.0,gabors,0.25021442,52,,,0,,False,2,test,1
567,0.0,226.35465,226.60486,0.08,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.8,"[20.0, 20.0]",90.0,null,20.0,gabors,0.25021442,31,,,0,,False,1,train,2
568,0.0,226.60486,226.85507,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,0.8,"[20.0, 20.0]",45.0,null,-40.0,gabors,0.25021442,214,,,0,,False,1,train,1
569,0.0,226.85507,227.10528,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,0.8,"[20.0, 20.0]",0.0,null,40.0,gabors,0.25020308,175,,,0,,False,2,test,0
570,0.0,227.10528,227.35548,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-20.0,0.8,"[20.0, 20.0]",90.0,null,20.0,gabors,0.25020308,200,,,0,,False,1,train,2
571,0.0,227.35548,227.60568,0.08,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.8,"[20.0, 20.0]",90.0,null,-10.0,gabors,0.25020308,20,,,0,,False,3,train,2
572,0.0,227.60568,227.85589,0.08,4.0,"[3644.93333333, 3644.93333333]",null,0.0,0.8,"[20.0, 20.0]",0.0,null,-30.0,gabors,0.25020308,183,,,0,,False,1,train,0
573,0.0,227.85589,228.10611,0.08,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.8,"[20.0, 20.0]",0.0,null,40.0,gabors,0.25021942,42,,,0,,False,4,train,0
574,0.0,228.10611,228.35633,0.08,4.0,"[3644.93333333, 3644.93333333]",null,0.0,0.8,"[20.0, 20.0]",45.0,null,40.0,gabors,0.25021942,162,,,0,,False,1,train,1
575,0.0,228.35633,228.60654,0.08,4.0,"[3644.93333333, 3644.93333333]",null,40.0,0.8,"[20.0, 20.0]",90.0,null,-40.0,gabors,0.25021942,174,,,0,,False,1,train,2
576,0.0,228.60654,228.85676,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-40.0,0.8,"[20.0, 20.0]",45.0,null,-20.0,gabors,0.25021942,192,,,0,,False,2,test,1
577,0.0,228.85676,229.10696,0.08,4.0,"[3644.93333333, 3644.93333333]",null,0.0,0.8,"[20.0, 20.0]",45.0,null,20.0,gabors,0.25019808,84,,,0,,False,3,train,1
578,0.0,229.10696,229.35716,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-40.0,0.8,"[20.0, 20.0]",90.0,null,0.0,gabors,0.25019808,213,,,0,,False,2,test,2
579,0.0,229.35716,229.60736,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-20.0,0.8,"[20.0, 20.0]",45.0,null,10.0,gabors,0.25019808,74,,,0,,False,3,train,1
580,0.0,229.60736,229.85756,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,0.8,"[20.0, 20.0]",45.0,null,40.0,gabors,0.25019808,179,,,0,,False,1,train,1
581,0.0,229.85756,230.10777,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-20.0,0.8,"[20.0, 20.0]",0.0,null,-10.0,gabors,0.25020942,224,,,0,,False,0,train,0
582,0.0,230.10777,230.35798,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,0.8,"[20.0, 20.0]",90.0,null,-10.0,gabors,0.25020942,135,,,0,,False,2,test,2
583,0.0,230.35798,230.60818,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-40.0,0.8,"[20.0, 20.0]",90.0,null,-10.0,gabors,0.25020942,225,,,0,,False,0,train,2
584,0.0,230.60818,230.85839,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-20.0,0.8,"[20.0, 20.0]",0.0,null,40.0,gabors,0.25020942,129,,,0,,False,2,test,0
585,0.0,230.85839,231.1086,0.08,4.0,"[3644.93333333, 3644.93333333]",null,0.0,0.8,"[20.0, 20.0]",90.0,null,10.0,gabors,0.25020558,53,,,0,,False,1,train,2
586,0.0,231.1086,231.35881,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-40.0,0.8,"[20.0, 20.0]",45.0,null,20.0,gabors,0.25020558,76,,,0,,False,4,train,1
587,0.0,231.35881,231.60901,0.08,4.0,"[3644.93333333, 3644.93333333]",null,40.0,0.8,"[20.0, 20.0]",0.0,null,-30.0,gabors,0.25020558,178,,,0,,False,4,train,0
588,0.0,231.60901,231.85922,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,0.8,"[20.0, 20.0]",45.0,null,10.0,gabors,0.25020558,73,,,0,,False,4,train,1
589,0.0,231.85922,232.10943,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.8,"[20.0, 20.0]",45.0,null,-30.0,gabors,0.25021442,88,,,0,,False,3,train,1
590,0.0,232.10943,232.35965,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-20.0,0.8,"[20.0, 20.0]",90.0,null,-30.0,gabors,0.25021442,66,,,0,,False,4,train,2
591,0.0,232.35965,232.60986,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,0.8,"[20.0, 20.0]",45.0,null,0.0,gabors,0.25021442,136,,,0,,False,1,train,1
592,0.0,232.60986,232.86007,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-20.0,0.8,"[20.0, 20.0]",45.0,null,-30.0,gabors,0.25021442,173,,,0,,False,2,test,1
593,0.0,232.86007,233.11028,0.08,4.0,"[3644.93333333, 3644.93333333]",null,30.0,0.8,"[20.0, 20.0]",0.0,null,20.0,gabors,0.25020808,163,,,0,,False,2,test,0
594,0.0,233.11028,233.36049,0.08,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.8,"[20.0, 20.0]",0.0,null,20.0,gabors,0.25020808,226,,,0,,False,0,train,0
595,0.0,233.36049,233.6107,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-40.0,0.8,"[20.0, 20.0]",90.0,null,-40.0,gabors,0.25020808,227,,,0,,False,0,train,2
596,0.0,233.6107,233.86091,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-20.0,0.8,"[20.0, 20.0]",90.0,null,-30.0,gabors,0.25020808,66,,,0,,False,5,test,2
597,0.0,233.86091,234.11113,0.08,4.0,"[3644.93333333, 3644.93333333]",null,30.0,0.8,"[20.0, 20.0]",45.0,null,10.0,gabors,0.25021942,5,,,0,,False,5,test,1
598,0.0,234.11113,234.36135,0.08,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.8,"[20.0, 20.0]",45.0,null,40.0,gabors,0.25021942,1,,,0,,False,2,test,1
599,0.0,234.36135,234.61156,0.08,4.0,"[3644.93333333, 3644.93333333]",null,30.0,0.8,"[20.0, 20.0]",0.0,null,30.0,gabors,0.25021942,216,,,0,,False,1,train,0
600,0.0,234.61156,234.86178,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-40.0,0.8,"[20.0, 20.0]",45.0,null,0.0,gabors,0.25021942,186,,,0,,False,2,test,1
601,0.0,234.86178,235.11198,0.08,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.8,"[20.0, 20.0]",45.0,null,30.0,gabors,0.25019808,26,,,0,,False,2,test,1
602,0.0,235.11198,235.36218,0.08,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.8,"[20.0, 20.0]",45.0,null,-40.0,gabors,0.25019808,49,,,0,,False,7,train,1
603,0.0,235.36218,235.61238,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.8,"[20.0, 20.0]",45.0,null,-40.0,gabors,0.25019808,21,,,0,,False,4,train,1
604,0.0,235.61238,235.86258,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.8,"[20.0, 20.0]",45.0,null,-10.0,gabors,0.25019808,118,,,0,,False,1,train,1
605,0.0,235.86258,236.11279,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-40.0,0.8,"[20.0, 20.0]",45.0,null,-40.0,gabors,0.25021692,221,,,0,,False,2,test,1
606,0.0,236.11279,236.36301,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,0.8,"[20.0, 20.0]",0.0,null,0.0,gabors,0.25021692,50,,,0,,False,4,train,0
607,0.0,236.36301,236.61323,0.08,4.0,"[3644.93333333, 3644.93333333]",null,0.0,0.8,"[20.0, 20.0]",0.0,null,0.0,gabors,0.25021692,208,,,0,,False,1,train,0
608,0.0,236.61323,236.86344,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-40.0,0.8,"[20.0, 20.0]",90.0,null,0.0,gabors,0.25021692,213,,,0,,False,3,train,2
609,0.0,236.86344,237.11364,0.08,4.0,"[3644.93333333, 3644.93333333]",null,40.0,0.8,"[20.0, 20.0]",45.0,null,-20.0,gabors,0.25020058,15,,,0,,False,6,train,1
610,0.0,237.11364,237.36385,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,0.8,"[20.0, 20.0]",90.0,null,10.0,gabors,0.25020058,75,,,0,,False,4,train,2
611,0.0,237.36385,237.61405,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-40.0,0.8,"[20.0, 20.0]",90.0,null,10.0,gabors,0.25020058,228,,,0,,False,0,train,2
612,0.0,237.61405,237.86425,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-20.0,0.8,"[20.0, 20.0]",0.0,null,-40.0,gabors,0.25020058,146,,,0,,False,3,train,0
613,0.0,237.86425,238.11446,0.08,4.0,"[3644.93333333, 3644.93333333]",null,30.0,0.8,"[20.0, 20.0]",90.0,null,-20.0,gabors,0.25021442,79,,,0,,False,2,test,2
614,0.0,238.11446,238.36468,0.08,4.0,"[3644.93333333, 3644.93333333]",null,20.0,0.8,"[20.0, 20.0]",45.0,null,-30.0,gabors,0.25021442,155,,,0,,False,1,train,1
615,0.0,238.36468,238.61489,0.08,4.0,"[3644.93333333, 3644.93333333]",null,30.0,0.8,"[20.0, 20.0]",0.0,null,10.0,gabors,0.25021442,11,,,0,,False,2,test,0
616,0.0,238.61489,238.8651,0.08,4.0,"[3644.93333333, 3644.93333333]",null,20.0,0.8,"[20.0, 20.0]",45.0,null,-20.0,gabors,0.25021442,160,,,0,,False,4,train,1
617,0.0,238.8651,239.11531,0.08,4.0,"[3644.93333333, 3644.93333333]",null,40.0,0.8,"[20.0, 20.0]",90.0,null,-30.0,gabors,0.25020308,142,,,0,,False,4,train,2
618,0.0,239.11531,239.36551,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,0.8,"[20.0, 20.0]",90.0,null,40.0,gabors,0.25020308,104,,,0,,False,2,test,2
619,0.0,239.36551,239.61571,0.08,4.0,"[3644.93333333, 3644.93333333]",null,30.0,0.8,"[20.0, 20.0]",45.0,null,-20.0,gabors,0.25020308,193,,,0,,False,2,test,1
620,0.0,239.61571,239.86592,0.08,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.8,"[20.0, 20.0]",0.0,null,10.0,gabors,0.25020308,25,,,0,,False,1,train,0
621,0.0,239.86592,240.11613,0.08,4.0,"[3644.93333333, 3644.93333333]",null,0.0,0.8,"[20.0, 20.0]",90.0,null,20.0,gabors,0.25020942,132,,,0,,False,3,train,2
622,0.0,240.11613,240.36634,0.08,4.0,"[3644.93333333, 3644.93333333]",null,0.0,0.8,"[20.0, 20.0]",45.0,null,-30.0,gabors,0.25020942,199,,,0,,False,3,train,1
623,0.0,240.36634,240.61654,0.08,4.0,"[3644.93333333, 3644.93333333]",null,40.0,0.8,"[20.0, 20.0]",45.0,null,-30.0,gabors,0.25020942,95,,,0,,False,1,train,1
624,0.0,240.61654,240.86675,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,0.8,"[20.0, 20.0]",0.0,null,40.0,gabors,0.25020942,175,,,0,,False,3,train,0
625,0.0,240.86675,241.11696,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.8,"[20.0, 20.0]",0.0,null,-40.0,gabors,0.25020808,61,,,0,,False,2,test,0
626,0.0,241.11696,241.36717,0.08,4.0,"[3644.93333333, 3644.93333333]",null,40.0,0.8,"[20.0, 20.0]",0.0,null,20.0,gabors,0.25020808,90,,,0,,False,4,train,0
627,0.0,241.36717,241.61738,0.08,4.0,"[3644.93333333, 3644.93333333]",null,0.0,0.8,"[20.0, 20.0]",90.0,null,-30.0,gabors,0.25020808,206,,,0,,False,3,train,2
628,0.0,241.61738,241.86759,0.08,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.8,"[20.0, 20.0]",45.0,null,-20.0,gabors,0.25020808,39,,,0,,False,1,train,1
629,0.0,241.86759,242.11781,0.08,4.0,"[3644.93333333, 3644.93333333]",null,0.0,0.8,"[20.0, 20.0]",90.0,null,30.0,gabors,0.25022192,24,,,0,,False,1,train,2
630,0.0,242.11781,242.36803,0.08,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.8,"[20.0, 20.0]",45.0,null,30.0,gabors,0.25022192,26,,,0,,False,3,train,1
