stimulus_presentation_id,stimulus_block,start_time,stop_time,Dir,phase,stimulus_name,color,size,contrast,y_position,x_position,frame,Speed,coherence,spatial_frequency,orientation,temporal_frequency,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
28,0.0,75.282506,75.532716,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-30.0,10.0,null,null,null,0.08,90.0,4.0,0.25021056,28,,,0,,False,0,train,2
29,0.0,75.532716,75.782931,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-20.0,40.0,null,null,null,0.08,0.0,4.0,0.25021444,29,,,0,,False,0,train,0
30,0.0,75.782931,76.033145,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,0.0,40.0,null,null,null,0.08,45.0,4.0,0.25021444,30,,,0,,False,0,train,1
31,0.0,76.033145,76.283359,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,0.0,-10.0,null,null,null,0.08,90.0,4.0,0.25021444,22,,,0,,False,1,train,2
32,0.0,76.283359,76.533574,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-20.0,10.0,null,null,null,0.08,0.0,4.0,0.25021444,31,,,0,,False,0,train,0
33,0.0,76.533574,76.783779,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-40.0,0.0,null,null,null,0.08,45.0,4.0,0.25020556,32,,,0,,False,0,train,1
34,0.0,76.783779,77.033985,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-30.0,-30.0,null,null,null,0.08,45.0,4.0,0.25020556,33,,,0,,False,0,train,1
35,0.0,77.033985,77.284191,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,30.0,40.0,null,null,null,0.08,90.0,4.0,0.25020556,34,,,0,,False,0,train,2
36,0.0,77.284191,77.534396,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-40.0,40.0,null,null,null,0.08,45.0,4.0,0.25020556,35,,,0,,False,0,train,1
37,0.0,77.534396,77.784608,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-20.0,-10.0,null,null,null,0.08,45.0,4.0,0.25021194,36,,,0,,False,0,train,1
38,0.0,77.784608,78.03482,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,10.0,40.0,null,null,null,0.08,45.0,4.0,0.25021194,37,,,0,,False,0,train,1
39,0.0,78.03482,78.285032,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,0.0,0.0,null,null,null,0.08,45.0,4.0,0.25021194,38,,,0,,False,0,train,1
40,0.0,78.285032,78.535244,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,20.0,40.0,null,null,null,0.08,45.0,4.0,0.25021194,39,,,0,,False,0,train,1
41,0.0,78.535244,78.785447,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-20.0,-10.0,null,null,null,0.08,45.0,4.0,0.25020306,36,,,0,,False,1,train,1
42,0.0,78.785447,79.03565,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-20.0,-10.0,null,null,null,0.08,90.0,4.0,0.25020306,40,,,0,,False,0,train,2
43,0.0,79.03565,79.285853,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,30.0,30.0,null,null,null,0.08,0.0,4.0,0.25020306,41,,,0,,False,0,train,0
44,0.0,79.285853,79.536056,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,30.0,-40.0,null,null,null,0.08,45.0,4.0,0.25020306,42,,,0,,False,0,train,1
45,0.0,79.536056,79.786271,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-30.0,20.0,null,null,null,0.08,90.0,4.0,0.25021444,43,,,0,,False,0,train,2
46,0.0,79.786271,80.036485,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-20.0,0.0,null,null,null,0.08,0.0,4.0,0.25021444,44,,,0,,False,0,train,0
47,0.0,80.036485,80.286699,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,30.0,0.0,null,null,null,0.08,0.0,4.0,0.25021444,45,,,0,,False,0,train,0
48,0.0,80.286699,80.536914,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,30.0,-40.0,null,null,null,0.08,45.0,4.0,0.25021444,42,,,0,,False,1,train,1
49,0.0,80.536914,80.787119,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-20.0,0.0,null,null,null,0.08,90.0,4.0,0.25020556,46,,,0,,False,0,train,2
50,0.0,80.787119,81.037325,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,20.0,-20.0,null,null,null,0.08,90.0,4.0,0.25020556,27,,,0,,False,1,train,2
51,0.0,81.037325,81.287531,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-40.0,30.0,null,null,null,0.08,45.0,4.0,0.25020556,47,,,0,,False,0,train,1
52,0.0,81.287531,81.537736,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-40.0,40.0,null,null,null,0.08,90.0,4.0,0.25020556,48,,,0,,False,0,train,2
53,0.0,81.537736,81.787946,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-40.0,40.0,null,null,null,0.08,90.0,4.0,0.25020944,48,,,0,,False,1,train,2
54,0.0,81.787946,82.038155,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,0.0,30.0,null,null,null,0.08,0.0,4.0,0.25020944,49,,,0,,False,0,train,0
55,0.0,82.038155,82.288364,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-40.0,-20.0,null,null,null,0.08,45.0,4.0,0.25020944,50,,,0,,False,0,train,1
56,0.0,82.288364,82.538574,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,20.0,-40.0,null,null,null,0.08,0.0,4.0,0.25020944,51,,,0,,False,0,train,0
57,0.0,82.538574,82.788779,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-30.0,-10.0,null,null,null,0.08,45.0,4.0,0.25020556,24,,,0,,False,1,train,1
58,0.0,82.788779,83.038985,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-20.0,30.0,null,null,null,0.08,0.0,4.0,0.25020556,52,,,0,,False,0,train,0
59,0.0,83.038985,83.289191,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,30.0,-40.0,null,null,null,0.08,0.0,4.0,0.25020556,53,,,0,,False,0,train,0
60,0.0,83.289191,83.539396,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,20.0,-20.0,null,null,null,0.08,90.0,4.0,0.25020556,27,,,0,,False,2,test,2
61,0.0,83.539396,83.789618,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,10.0,-20.0,null,null,null,0.08,45.0,4.0,0.25022194,54,,,0,,False,0,train,1
62,0.0,83.789618,84.03984,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,0.0,40.0,null,null,null,0.08,45.0,4.0,0.25022194,30,,,0,,False,1,train,1
63,0.0,84.03984,84.290062,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-40.0,20.0,null,null,null,0.08,45.0,4.0,0.25022194,55,,,0,,False,0,train,1
64,0.0,84.290062,84.540284,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,0.0,0.0,null,null,null,0.08,90.0,4.0,0.25022194,13,,,0,,False,1,train,2
65,0.0,84.540284,84.790482,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,20.0,-30.0,null,null,null,0.08,45.0,4.0,0.25019806,56,,,0,,False,0,train,1
66,0.0,84.790482,85.04068,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,30.0,-20.0,null,null,null,0.08,0.0,4.0,0.25019806,57,,,0,,False,0,train,0
67,0.0,85.04068,85.290878,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-30.0,10.0,null,null,null,0.08,0.0,4.0,0.25019806,58,,,0,,False,0,train,0
68,0.0,85.290878,85.541076,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,20.0,10.0,null,null,null,0.08,90.0,4.0,0.25019806,4,,,0,,False,1,train,2
69,0.0,85.541076,85.791286,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,30.0,-30.0,null,null,null,0.08,45.0,4.0,0.25020944,59,,,0,,False,0,train,1
70,0.0,85.791286,86.041495,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,10.0,-30.0,null,null,null,0.08,0.0,4.0,0.25020944,60,,,0,,False,0,train,0
71,0.0,86.041495,86.291704,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,20.0,-20.0,null,null,null,0.08,0.0,4.0,0.25020944,61,,,0,,False,0,train,0
72,0.0,86.291704,86.541914,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-30.0,-30.0,null,null,null,0.08,90.0,4.0,0.25020944,62,,,0,,False,0,train,2
73,0.0,86.541914,86.792122,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,0.0,10.0,null,null,null,0.08,90.0,4.0,0.25020806,14,,,0,,False,1,train,2
74,0.0,86.792122,87.04233,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,20.0,-20.0,null,null,null,0.08,90.0,4.0,0.25020806,27,,,0,,False,3,train,2
75,0.0,87.04233,87.292538,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-20.0,-10.0,null,null,null,0.08,90.0,4.0,0.25020806,40,,,0,,False,1,train,2
76,0.0,87.292538,87.542746,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,30.0,40.0,null,null,null,0.08,90.0,4.0,0.25020806,34,,,0,,False,1,train,2
77,0.0,87.542746,87.792948,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-30.0,10.0,null,null,null,0.08,90.0,4.0,0.25020194,28,,,0,,False,1,train,2
78,0.0,87.792948,88.04315,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,0.0,-40.0,null,null,null,0.08,90.0,4.0,0.25020194,63,,,0,,False,0,train,2
79,0.0,88.04315,88.293352,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-40.0,30.0,null,null,null,0.08,90.0,4.0,0.25020194,64,,,0,,False,0,train,2
80,0.0,88.293352,88.543554,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,30.0,-10.0,null,null,null,0.08,90.0,4.0,0.25020194,65,,,0,,False,0,train,2
81,0.0,88.543554,88.793769,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,40.0,-10.0,null,null,null,0.08,45.0,4.0,0.25021556,66,,,0,,False,0,train,1
82,0.0,88.793769,89.043985,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,20.0,-40.0,null,null,null,0.08,90.0,4.0,0.25021556,67,,,0,,False,0,train,2
83,0.0,89.043985,89.294201,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-40.0,10.0,null,null,null,0.08,0.0,4.0,0.25021556,68,,,0,,False,0,train,0
84,0.0,89.294201,89.544416,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-40.0,10.0,null,null,null,0.08,90.0,4.0,0.25021556,69,,,0,,False,0,train,2
85,0.0,89.544416,89.794628,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,10.0,30.0,null,null,null,0.08,90.0,4.0,0.25021194,70,,,0,,False,0,train,2
86,0.0,89.794628,90.04484,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-10.0,-30.0,null,null,null,0.08,45.0,4.0,0.25021194,71,,,0,,False,0,train,1
87,0.0,90.04484,90.295052,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,30.0,20.0,null,null,null,0.08,0.0,4.0,0.25021194,72,,,0,,False,0,train,0
88,0.0,90.295052,90.545264,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,30.0,20.0,null,null,null,0.08,0.0,4.0,0.25021194,72,,,0,,False,1,train,0
89,0.0,90.545264,90.795469,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-20.0,-20.0,null,null,null,0.08,45.0,4.0,0.25020556,73,,,0,,False,0,train,1
90,0.0,90.795469,91.045675,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-20.0,20.0,null,null,null,0.08,45.0,4.0,0.25020556,74,,,0,,False,0,train,1
91,0.0,91.045675,91.295881,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,30.0,30.0,null,null,null,0.08,45.0,4.0,0.25020556,75,,,0,,False,0,train,1
92,0.0,91.295881,91.546086,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-10.0,40.0,null,null,null,0.08,45.0,4.0,0.25020556,76,,,0,,False,0,train,1
93,0.0,91.546086,91.796298,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,0.0,10.0,null,null,null,0.08,0.0,4.0,0.25021194,77,,,0,,False,0,train,0
94,0.0,91.796298,92.04651,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-20.0,-30.0,null,null,null,0.08,90.0,4.0,0.25021194,78,,,0,,False,0,train,2
95,0.0,92.04651,92.296722,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-30.0,-20.0,null,null,null,0.08,90.0,4.0,0.25021194,15,,,0,,False,1,train,2
96,0.0,92.296722,92.546934,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,0.0,40.0,null,null,null,0.08,90.0,4.0,0.25021194,79,,,0,,False,0,train,2
97,0.0,92.546934,92.797139,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-30.0,40.0,null,null,null,0.08,45.0,4.0,0.25020556,80,,,0,,False,0,train,1
98,0.0,92.797139,93.047345,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-10.0,20.0,null,null,null,0.08,0.0,4.0,0.25020556,81,,,0,,False,0,train,0
99,0.0,93.047345,93.297551,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-10.0,40.0,null,null,null,0.08,45.0,4.0,0.25020556,76,,,0,,False,1,train,1
100,0.0,93.297551,93.547756,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-30.0,0.0,null,null,null,0.08,90.0,4.0,0.25020556,82,,,0,,False,0,train,2
101,0.0,93.547756,93.797968,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,40.0,-40.0,null,null,null,0.08,45.0,4.0,0.25021194,83,,,0,,False,0,train,1
102,0.0,93.797968,94.04818,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,20.0,10.0,null,null,null,0.08,45.0,4.0,0.25021194,84,,,0,,False,0,train,1
103,0.0,94.04818,94.298392,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-10.0,10.0,null,null,null,0.08,45.0,4.0,0.25021194,85,,,0,,False,0,train,1
104,0.0,94.298392,94.548604,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,20.0,40.0,null,null,null,0.08,90.0,4.0,0.25021194,86,,,0,,False,0,train,2
105,0.0,94.548604,94.798809,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,0.0,-30.0,null,null,null,0.08,0.0,4.0,0.25020556,87,,,0,,False,0,train,0
106,0.0,94.798809,95.049015,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-20.0,30.0,null,null,null,0.08,90.0,4.0,0.25020556,88,,,0,,False,0,train,2
107,0.0,95.049015,95.299221,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,30.0,0.0,null,null,null,0.08,90.0,4.0,0.25020556,89,,,0,,False,0,train,2
108,0.0,95.299221,95.549426,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-40.0,-40.0,null,null,null,0.08,45.0,4.0,0.25020556,2,,,0,,False,1,train,1
109,0.0,95.549426,95.799638,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,10.0,20.0,null,null,null,0.08,0.0,4.0,0.25021194,6,,,0,,False,1,train,0
110,0.0,95.799638,96.04985,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,20.0,-30.0,null,null,null,0.08,90.0,4.0,0.25021194,16,,,0,,False,1,train,2
111,0.0,96.04985,96.300062,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,40.0,30.0,null,null,null,0.08,45.0,4.0,0.25021194,90,,,0,,False,0,train,1
112,0.0,96.300062,96.550274,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-40.0,-40.0,null,null,null,0.08,90.0,4.0,0.25021194,91,,,0,,False,0,train,2
113,0.0,96.550274,96.800479,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-10.0,-40.0,null,null,null,0.08,45.0,4.0,0.25020556,92,,,0,,False,0,train,1
114,0.0,96.800479,97.050685,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-40.0,20.0,null,null,null,0.08,0.0,4.0,0.25020556,93,,,0,,False,0,train,0
115,0.0,97.050685,97.300891,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,40.0,20.0,null,null,null,0.08,0.0,4.0,0.25020556,94,,,0,,False,0,train,0
116,0.0,97.300891,97.551096,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,40.0,-10.0,null,null,null,0.08,0.0,4.0,0.25020556,95,,,0,,False,0,train,0
117,0.0,97.551096,97.801306,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-10.0,0.0,null,null,null,0.08,0.0,4.0,0.25020944,96,,,0,,False,0,train,0
118,0.0,97.801306,98.051515,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,40.0,-10.0,null,null,null,0.08,0.0,4.0,0.25020944,95,,,0,,False,1,train,0
119,0.0,98.051515,98.301724,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,10.0,-30.0,null,null,null,0.08,0.0,4.0,0.25020944,60,,,0,,False,1,train,0
120,0.0,98.301724,98.551934,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,30.0,10.0,null,null,null,0.08,45.0,4.0,0.25020944,97,,,0,,False,0,train,1
121,0.0,98.551934,98.802142,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,10.0,-40.0,null,null,null,0.08,45.0,4.0,0.25020806,98,,,0,,False,0,train,1
122,0.0,98.802142,99.05235,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-40.0,20.0,null,null,null,0.08,0.0,4.0,0.25020806,93,,,0,,False,1,train,0
123,0.0,99.05235,99.302558,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,30.0,-30.0,null,null,null,0.08,45.0,4.0,0.25020806,59,,,0,,False,1,train,1
124,0.0,99.302558,99.552766,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-20.0,0.0,null,null,null,0.08,45.0,4.0,0.25020806,99,,,0,,False,0,train,1
125,0.0,99.552766,99.802978,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,20.0,0.0,null,null,null,0.08,90.0,4.0,0.25021194,100,,,0,,False,0,train,2
126,0.0,99.802978,100.05319,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-30.0,-40.0,null,null,null,0.08,45.0,4.0,0.25021194,101,,,0,,False,0,train,1
127,0.0,100.05319,100.3034,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,40.0,-20.0,null,null,null,0.08,45.0,4.0,0.25021194,102,,,0,,False,0,train,1
128,0.0,100.3034,100.55361,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-10.0,10.0,null,null,null,0.08,0.0,4.0,0.25021194,103,,,0,,False,0,train,0
