stimulus_presentation_id,stimulus_block,start_time,stop_time,color,spatial_frequency,stimulus_name,contrast,phase,temporal_frequency,size,frame,y_position,x_position,orientation,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
2352,0.0,677.53735,677.78757,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,40.0,-20.0,90.0,0.25021372,12,,,0,,False,9,train,2
2353,0.0,677.78757,678.03777,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-10.0,-40.0,0.0,0.25020378,119,,,0,,False,9,train,0
2354,0.0,678.03777,678.28798,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-40.0,0.0,0.0,0.25020378,242,,,0,,False,10,train,0
2355,0.0,678.28798,678.53818,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-30.0,40.0,45.0,0.25020378,29,,,0,,False,6,train,1
2356,0.0,678.53818,678.78838,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-10.0,40.0,45.0,0.25020378,213,,,0,,False,8,test,1
2357,0.0,678.78838,679.0386,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,30.0,40.0,0.0,0.25021372,91,,,0,,False,9,train,0
2358,0.0,679.0386,679.28881,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,0.0,10.0,90.0,0.25021372,69,,,0,,False,11,test,2
2359,0.0,679.28881,679.53902,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,40.0,-30.0,45.0,0.25021372,165,,,0,,False,11,test,1
2360,0.0,679.53902,679.78924,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,0.0,-10.0,0.0,0.25021372,88,,,0,,False,12,train,0
2361,0.0,679.78924,680.03944,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-40.0,10.0,0.0,0.25020378,45,,,0,,False,11,test,0
