unit_id,time_to_first_spike
8001012,0.14
8001013,0.0955
8001014,0.106
8001015,0.109
8001016,0.1
8001017,0.118
8001018,0.1175
8001019,0.082
8001020,0.1015
8001021,0.188
8001022,0.1415
8001023,0.038
8001024,0.15
8001025,
8001026,0.115
8001027,0.1365
8001028,
8001029,0.114
8001030,0.121
8001031,0.078
8001032,0.073
8001033,0.1685
8001034,0.065
8001035,0.101
8001036,0.06
8001037,0.126
8001038,0.13
8001039,
8001040,0.07
8001041,0.1185
8001042,0.075
8001043,0.154
8001044,0.139
8001045,0.0715
8001046,0.085
8001047,0.128
8001048,0.111
8001049,0.103
8001050,
8001051,0.1015
8001052,0.164
8001053,0.081
8001054,0.144
8001055,0.0875
8001056,0.11
8001057,0.062
8001058,0.057
8001059,0.11
8001060,
8001061,0.08
8001062,0.0945
8001063,
8001064,0.036
8001065,0.108
8001066,0.0585
8001067,0.155
8001068,0.072
8001069,0.061
8001070,0.062
8001071,
8001072,0.083
8001073,0.1115
8001074,0.11
8001075,
8001076,0.1
8001077,0.1885
8001078,0.096
8001079,0.085
8001080,0.118
8001081,
8001082,
8001083,
8001084,0.1
8001085,0.1685
8001086,0.13
8001087,0.078
8001088,0.084
8001089,0.078
8001090,0.058
8001091,0.104
8001092,
8001093,0.081
8001094,0.099
8001095,0.1185
8001096,0.128
8001097,0.056
8001098,0.071
8001099,
8001100,
8001101,0.155
8001102,0.077
8001103,0.0895
8001104,0.0855
8001105,0.096
8001106,0.087
8001107,0.061
8001108,
8001109,0.084
8001110,0.042
8001111,0.053
8001112,0.154
8001113,0.15
8001114,0.065
8001115,0.091
8001116,
8001117,0.169
8001118,0.1115
8001119,0.039
8001120,0.061
8001121,0.066
8001122,0.084
8001123,0.0715
8001124,0.137
8001125,0.1355
8001126,0.068
8001127,0.089
8001128,0.079
8001129,0.115
8001130,0.056
8001131,0.03
8001132,0.0585
8001133,0.091
8001134,0.1145
8001135,0.108
8001136,
8001137,0.065
8001138,0.061
8001139,0.056
8001140,0.039
8001141,0.075
8001142,0.072
8001143,0.089
8001144,0.0325
8001145,0.1105
8001146,
8001147,0.128
8001148,0.151
8001149,0.062
8001150,
8001151,0.071
8001152,0.075
8001153,0.044
8001154,0.073
8001155,0.091
8001156,0.0515
8001157,0.048
8001158,0.1785
8001159,0.044
8001160,
8001161,0.0955
8001162,0.057
8001163,0.05
8001164,0.055
8001165,0.071
8001166,0.052
8001167,0.107
8001168,0.077
8001169,
8001170,0.1
8001171,0.1115
8001172,0.179
8001173,0.0685
8001174,0.097
8001175,0.071
8001176,
8001177,0.139
8001178,0.152
8001179,0.08
8001180,
8001181,0.073
8001182,
8001183,0.074
8001184,
8001185,
8001186,0.05
8001187,
8001188,0.151
8001189,0.148
8001190,0.063
8001191,
8001192,0.147
8001193,
8001194,0.164
8001195,0.1295
8001196,0.0695
8001197,
8001198,0.1175
8001199,
8001200,0.043
8001201,
8001202,0.1175
8001203,0.054
8001204,0.139
8001205,0.138
8001206,0.0935
8001207,
8001208,0.093
8001209,0.145
8001210,0.08
8001211,0.063
8001212,0.1135
8001213,0.132
8001214,
8001215,0.103
8001216,0.121
8001217,0.142
8001218,0.11
8001219,0.1735
8001220,
8001221,0.064
8001222,0.1215
8001223,0.1405
8001224,0.173
8001225,0.1635
8001226,0.1745
8001227,0.17
8001228,0.084
8001229,0.14
8001230,0.1235
8001231,0.059
8001232,
8001233,
8001234,0.055
8001235,0.123
8001236,0.1355
8001237,0.13
8001238,0.1365
8001239,0.172
8001240,0.062
8001241,0.067
8001242,0.065
8001243,0.126
8001244,0.188
8001245,0.07
8001246,0.0375
8001247,0.162
8001248,0.076
8001249,0.0645
8001250,0.128
8001251,
8001252,
8001253,0.123
8001254,0.13
8001255,
8001256,
8001257,0.1405
8001258,0.1165
8001259,0.1225
8001260,
8001261,0.185
8001262,0.118
8001263,0.166
8001264,0.077
8001265,0.057
8001266,0.044
8001267,0.119
8001268,0.127
8001269,0.093
8001270,
8001271,0.069
8001272,0.138
8001273,0.1225
8001274,
8001275,0.084
8001276,0.094
8001277,0.1595
8001278,0.169
8001279,
8001280,0.173
8001281,
8001282,0.1235
8001283,
8001284,
8001285,0.1295
8001286,0.1245
8001287,0.174
8001288,
8001289,0.1325
8001290,
8001291,0.087
8001292,0.17
8001293,0.044
8001294,0.1605
8001295,0.113
8001296,0.08
8001297,0.144
8001298,
8001299,0.0535
8001300,0.08
8001301,0.09
8001302,0.042
8001303,0.1745
8001304,0.153
8001305,0.043
8001306,
8001307,
8001308,0.073
8001309,0.094
8001310,0.19
8001311,0.071
8001312,0.129
8001313,0.095
8001314,0.0785
8001315,0.129
8001316,0.075
8001317,0.087
8001318,0.087
8001319,
8001320,0.135
8001321,0.086
8001322,0.053
8001323,0.113
8001324,0.041
8001325,0.042
8001326,
8001327,0.052
8001328,
8001329,
8001330,
8001331,0.0685
8001332,0.0655
8001333,0.04
8001334,
8001335,0.041
8001336,0.046
8001337,0.0495
8001338,0.042
8001339,
8001340,
8001341,
8001342,0.056
8001343,0.047
8001344,
8001345,0.066
8001346,0.0645
8001347,
8001348,
8001349,0.054
8001350,0.03
8001351,0.0645
8001352,
8001353,
8001354,0.047
8001355,
8001356,0.046
8001357,0.045
8001358,0.044
8001359,0.085
8001360,0.043
8001361,0.051
8001362,0.082
8001363,0.041
8001364,0.071
8001365,
8001366,0.0435
8001367,0.0565
8001368,
8001369,0.173
8001370,0.11
8001371,
8001372,0.04
8001373,0.071
8001374,0.046
8001375,0.043
8001376,0.057
8001377,0.05
8001378,0.055
8001379,0.185
8001380,0.06
8001381,
8001382,0.059
8001383,0.044
8001384,
8001385,0.049
8001386,
8001387,0.049
8001388,0.091
8001389,0.08
8001390,0.117
8001391,0.057
8001392,0.181
8001393,0.042
8001394,0.044
8001395,0.053
8001396,0.0485
8001397,
8001398,0.084
8001399,0.07
8001400,0.102
8001401,0.045
8001402,0.062
8001403,0.043
8001404,0.08
8001405,0.1415
8001406,0.047
8001407,0.06
8001408,0.045
8001409,
8001410,0.061
8001411,0.091
8001412,0.0505
8001413,0.045
8001414,0.089
8001415,0.132
8001416,0.073
8001417,0.059
8001418,0.085
8001419,0.095
8001420,0.084
8001421,0.085
8001422,
8001423,0.059
8001424,0.104
8001425,0.098
8001426,0.08
8001427,0.0715
8001428,0.094
8001429,0.089
8001430,0.068
8001431,0.091
8001432,0.093
8001433,0.091
8001434,
8001435,0.0735
8001436,0.078
8001437,0.0925
8001438,0.0995
8001439,0.104
8001440,0.079
8001441,0.1
8001442,0.0855
8001443,0.1075
8001444,0.0965
8001445,0.12
8001446,0.1115
8001447,0.111
8001448,
8001449,0.0855
8001450,0.105
8001451,0.088
8001452,0.06
8001453,0.099
8001454,0.102
8001455,0.045
8001456,0.1135
8001457,0.094
8001458,0.1045
8001459,0.097
8001460,
8001461,0.106
8001462,0.069
8001463,0.08
8001464,0.085
8001465,0.106
8001466,0.101
8001467,0.12
8001468,0.058
8001469,0.095
8001470,0.051
8001471,0.0965
8001472,0.103
8001473,0.0985
8001474,0.1125
8001475,0.1485
8001476,0.0565
8001477,0.115
8001478,0.0915
8001479,0.111
8001480,
8001481,
8001482,0.134
8001483,
8001484,
8001485,0.082
8001486,0.1015
8001487,0.1345
8001488,0.1185
8001489,0.097
8001490,0.122
8001491,0.043
8001492,0.088
8001493,0.14
8001494,0.103
8001495,0.1075
8001496,0.064
8001497,0.129
8001498,0.08
8001499,0.114
8001500,0.086
8001501,0.0795
8001502,0.183
8001503,0.082
8001504,0.129
8001505,0.119
8001506,0.087
8001507,0.124
8001508,0.1095
8001509,
8001510,0.105
8001511,0.076
8001512,0.134
8001513,
8001514,0.1395
8001515,0.098
8001516,0.113
8001517,
8001518,0.155
8001519,0.121
8001520,0.089
8001521,0.075
8001522,0.095
8001523,0.074
8001524,0.063
8001525,0.0535
8001526,0.1215
8001527,0.13
8001528,0.125
8001529,0.1045
8001530,0.135
8001531,0.073
8001532,
8001533,
8001534,
8001535,0.089
8001536,0.105
8001537,0.101
8001538,0.09
8001539,0.094
8001540,0.067
8001541,0.1275
8001542,
8001543,0.07
8001544,0.169
8001545,0.129
8001546,0.067
8001547,0.065
8001548,0.113
8001549,0.092
8001550,0.09
8001551,0.092
8001552,0.143
8001553,0.181
8001554,
8001555,0.139
8001556,0.0805
8001557,0.125
8001558,0.166
8001559,0.11
8001560,0.123
8001561,0.1285
8001562,0.185
8001563,0.125
8001564,0.1035
8001565,0.1215
8001566,0.135
8001567,0.1015
8001568,0.091
8001569,0.074
8001570,0.126
8001571,0.131
8001572,0.122
8001573,0.0545
8001574,0.153
8001575,0.099
8001576,0.1305
8001577,0.105
8001578,
8001579,0.1215
8001580,0.126
8001581,0.132
8001582,0.099
8001583,0.1
8001584,0.112
8001585,0.101
8001586,0.092
8001587,0.1005
8001588,0.135
8001589,0.055
8001590,0.157
8001591,0.134
8001592,0.12
8001593,0.094
8001594,0.1305
8001595,0.098
8001596,0.147
8001597,0.129
8001598,0.04
8001599,0.063
8001600,0.077
8001601,0.0745
8001602,0.104
8001603,0.135
8001604,0.137
8001605,0.137
8001606,0.113
8001607,
8001608,0.125
8001609,0.1005
8001610,
8001611,
8001612,0.1425
8001613,
8001614,0.097
8001615,
8001616,0.124
8001617,0.109
8001618,0.1315
8001619,0.1325
8001620,0.129
8001621,0.076
8001622,0.078
8001623,0.106
8001624,0.09
8001625,0.1385
8001626,
8001627,0.11
8001628,0.13
8001629,0.1345
8001630,
8001631,0.097
8001632,0.145
8001633,0.112
8001634,0.1115
8001635,0.1065
8001636,0.108
8001637,0.09
8001638,0.083
8001639,0.1015
8001640,0.15
8001641,0.12
8001642,0.112
8001643,
8001644,0.083
8001645,0.037
8001646,0.096
8001647,0.115
8001648,0.0835
8001649,0.118
8001650,0.07
8001651,0.138
8001652,0.071
8001653,0.1005
8001654,0.068
8001655,0.071
8001656,0.0775
8001657,0.127
8001658,0.1015
8001659,0.1045
8001660,0.1
8001661,0.109
8001662,0.104
8001663,0.071
8001664,0.145
8001665,0.125
8001666,0.0995
8001667,0.085
8001668,0.112
8001669,0.065
8001670,0.116
8001671,0.0775
8001672,0.083
8001673,0.1235
8001674,0.059
8001675,0.113
8001676,0.117
8001677,0.127
8001678,0.0885
8001679,0.086
8001680,0.066
8001681,0.089
8001682,0.15
8001683,
8001684,0.116
8001685,0.1235
8001686,0.113
8001687,0.12
8001688,
8001689,0.078
8001690,0.108
8001691,0.0815
8001692,0.0845
8001693,0.0875
8001694,0.069
8001695,0.1455
8001696,0.153
8001697,0.049
8001698,0.082
8001699,
8001700,0.116
8001701,
8001702,0.125
8001703,0.096
8001704,
8001705,0.117
8001706,0.148
8001707,0.089
8001708,0.121
8001709,0.0855
8001710,0.1115
8001711,0.139
8001712,0.124
8001713,0.092
8001714,0.096
8001715,0.056
8001716,0.093
8001717,0.094
8001718,0.106
8001719,
8001720,0.103
8001721,0.079
8001722,0.108
8001723,0.057
8001724,0.0915
8001725,0.0935
8001726,0.15
8001727,0.068
8001728,0.094
8001729,0.114
8001730,0.107
8001731,0.062
8001732,0.072
8001733,0.092
8001734,0.07
8001735,0.069
8001736,0.091
8001737,
8001738,0.07
8001739,0.0745
8001740,0.106
8001741,0.1165
8001742,0.096
8001743,0.092
8001744,0.084
8001745,0.097
8001746,0.102
8001747,0.095
8001748,0.099
8001749,0.0955
