stimulus_presentation_id,stimulus_block,start_time,stop_time,temporal_frequency,spatial_frequency,x_position,y_position,phase,size,contrast,color,frame,orientation,stimulus_name,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1809,0.0,547.21441,547.46461,4.0,0.08,-40.0,-10.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,45.0,gabors,0.25020074,93,,,0,,False,8,test,1
1810,0.0,547.46461,547.71482,4.0,0.08,-20.0,30.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,45.0,gabors,0.25020074,151,,,0,,False,3,train,1
1811,0.0,547.71482,547.96502,4.0,0.08,20.0,40.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25020074,14,,,0,,False,5,test,0
1812,0.0,547.96502,548.21522,4.0,0.08,0.0,30.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,45.0,gabors,0.25020074,47,,,0,,False,8,test,1
1813,0.0,548.21522,548.46544,4.0,0.08,-40.0,10.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,45.0,gabors,0.25022176,213,,,0,,False,7,train,1
1814,0.0,548.46544,548.71566,4.0,0.08,-30.0,0.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,90.0,gabors,0.25022176,145,,,0,,False,4,train,2
1815,0.0,548.71566,548.96588,4.0,0.08,20.0,10.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25022176,91,,,0,,False,8,test,0
1816,0.0,548.96588,549.2161,4.0,0.08,30.0,-30.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25022176,6,,,0,,False,8,test,0
1817,0.0,549.2161,549.4663,4.0,0.08,20.0,-40.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,90.0,gabors,0.25019824,233,,,0,,False,6,train,2
1818,0.0,549.4663,549.7165,4.0,0.08,0.0,40.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25019824,156,,,0,,False,4,train,0
1819,0.0,549.7165,549.9667,4.0,0.08,20.0,0.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25019824,212,,,0,,False,6,train,0
1820,0.0,549.9667,550.2169,4.0,0.08,10.0,0.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25019824,11,,,0,,False,6,train,0
1821,0.0,550.2169,550.46711,4.0,0.08,-10.0,-10.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25021426,15,,,0,,False,6,train,0
1822,0.0,550.46711,550.71733,4.0,0.08,-30.0,-20.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,45.0,gabors,0.25021426,99,,,0,,False,5,test,1
1823,0.0,550.71733,550.96754,4.0,0.08,-20.0,30.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25021426,71,,,0,,False,6,train,0
1824,0.0,550.96754,551.21775,4.0,0.08,30.0,-10.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,90.0,gabors,0.25021426,189,,,0,,False,7,train,2
1825,0.0,551.21775,551.46796,4.0,0.08,10.0,-30.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25020324,136,,,0,,False,9,train,0
1826,0.0,551.46796,551.71816,4.0,0.08,-10.0,-20.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25020324,187,,,0,,False,6,train,0
1827,0.0,551.71816,551.96836,4.0,0.08,-40.0,-10.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,90.0,gabors,0.25020324,230,,,0,,False,7,train,2
