outer_session_id,cortical_group,estimand,system,bandwidth_iqr_units,inner_animals,inner_median_spearman_rho
768515987,V1,total_group_map,ccf_anatomy,0.2,13,0.0922328551244789
768515987,V1,total_group_map,ccf_anatomy,0.35,13,-0.02229859632782761
768515987,V1,total_group_map,ccf_anatomy,0.55,13,0.07632727102380014
768515987,V1,total_group_map,ccf_anatomy,0.8,13,0.1287318977450329
768515987,V1,total_group_map,ccf_anatomy,1.15,13,0.1287318977450329
768515987,V1,total_group_map,registered_map,0.2,13,0.013408953928966544
768515987,V1,total_group_map,registered_map,0.35,13,0.10648283612401271
768515987,V1,total_group_map,registered_map,0.55,13,0.14119623571724124
768515987,V1,total_group_map,registered_map,0.8,13,0.1287318977450329
768515987,V1,total_group_map,registered_map,1.15,13,0.1287318977450329
768515987,V1,total_group_map,observed_rf,0.2,13,0.06283422459893048
768515987,V1,total_group_map,observed_rf,0.35,13,0.09647058823529413
768515987,V1,total_group_map,observed_rf,0.55,13,0.22835026608611514
768515987,V1,total_group_map,observed_rf,0.8,13,0.25995670995671
768515987,V1,total_group_map,observed_rf,1.15,13,0.2446608946608947
774875821,V1,within_area_location,ccf_anatomy,0.2,13,0.14116519062579758
774875821,V1,within_area_location,ccf_anatomy,0.35,13,0.04723010442448084
774875821,V1,within_area_location,ccf_anatomy,0.55,13,0.047663672260310146
774875821,V1,within_area_location,ccf_anatomy,0.8,13,0.1287318977450329
774875821,V1,within_area_location,ccf_anatomy,1.15,13,0.1287318977450329
774875821,V1,within_area_location,registered_map,0.2,13,-0.04908151433950785
774875821,V1,within_area_location,registered_map,0.35,13,0.011794744332462893
774875821,V1,within_area_location,registered_map,0.55,13,0.09056291911693956
774875821,V1,within_area_location,registered_map,0.8,13,0.14119623571724124
774875821,V1,within_area_location,registered_map,1.15,13,0.14119623571724124
774875821,V1,within_area_location,observed_rf,0.2,13,0.13091836734693876
774875821,V1,within_area_location,observed_rf,0.35,13,0.20397249809014514
774875821,V1,within_area_location,observed_rf,0.55,13,0.20122230710466005
774875821,V1,within_area_location,observed_rf,0.8,13,0.2397194000967586
774875821,V1,within_area_location,observed_rf,1.15,13,0.228430898242219
774875821,V1,total_group_map,ccf_anatomy,0.2,13,0.14116519062579758
774875821,V1,total_group_map,ccf_anatomy,0.35,13,0.04723010442448084
774875821,V1,total_group_map,ccf_anatomy,0.55,13,0.04819104245956693
774875821,V1,total_group_map,ccf_anatomy,0.8,13,0.1287318977450329
774875821,V1,total_group_map,ccf_anatomy,1.15,13,0.1287318977450329
774875821,V1,total_group_map,registered_map,0.2,13,-0.04908151433950785
774875821,V1,total_group_map,registered_map,0.35,13,0.011947617580799147
774875821,V1,total_group_map,registered_map,0.55,13,0.08944558234417067
774875821,V1,total_group_map,registered_map,0.8,13,0.14119623571724124
774875821,V1,total_group_map,registered_map,1.15,13,0.14119623571724124
774875821,V1,total_group_map,observed_rf,0.2,13,0.13091836734693876
774875821,V1,total_group_map,observed_rf,0.35,13,0.20397249809014514
774875821,V1,total_group_map,observed_rf,0.55,13,0.20122230710466005
