stimulus_presentation_id,stimulus_block,start_time,stop_time,stimulus_name,x_position,spatial_frequency,y_position,temporal_frequency,size,phase,color,orientation,contrast,frame,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1582,0.0,474.40003,474.65025,gabors,-20.0,0.08,10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021706,200,,,0,,False,5,test,2
1583,0.0,474.65025,474.90047,gabors,0.0,0.08,-40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021706,168,,,0,,False,6,train,0
1584,0.0,474.90047,475.15068,gabors,30.0,0.08,0.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25021706,191,,,0,,False,6,train,1
1585,0.0,475.15068,475.40089,gabors,40.0,0.08,-20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020544,165,,,0,,False,4,train,0
1586,0.0,475.40089,475.6511,gabors,0.0,0.08,-20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020544,219,,,0,,False,6,train,0
1587,0.0,475.6511,475.9013,gabors,-20.0,0.08,20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25020544,45,,,0,,False,5,test,2
1588,0.0,475.9013,476.15151,gabors,-20.0,0.08,-40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020544,54,,,0,,False,7,train,1
1589,0.0,476.15151,476.40172,gabors,30.0,0.08,-40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25021206,109,,,0,,False,9,train,1
1590,0.0,476.40172,476.65193,gabors,-30.0,0.08,40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021206,153,,,0,,False,6,train,2
1591,0.0,476.65193,476.90214,gabors,10.0,0.08,-30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021206,207,,,0,,False,7,train,0
1592,0.0,476.90214,477.15235,gabors,-30.0,0.08,-30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021206,142,,,0,,False,6,train,2
1593,0.0,477.15235,477.40256,gabors,-30.0,0.08,-20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25020294,107,,,0,,False,7,train,2
1594,0.0,477.40256,477.65276,gabors,-40.0,0.08,-10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020294,196,,,0,,False,7,train,0
1595,0.0,477.65276,477.90296,gabors,40.0,0.08,20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020294,119,,,0,,False,7,train,0
1596,0.0,477.90296,478.15317,gabors,-10.0,0.08,0.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020294,146,,,0,,False,8,test,1
1597,0.0,478.15317,478.40338,gabors,10.0,0.08,10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021456,100,,,0,,False,6,train,0
1598,0.0,478.40338,478.6536,gabors,-40.0,0.08,-10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021456,236,,,0,,False,5,test,2
