ecephys_unit_id,ecephys_session_id,specimen_id,area,group,map,lifetime_sparseness,stimulus_firing_rate_hz,fano_factor,tuning_strength,response_evidence,stability_proxy,raw_tuning_quality_weight,normalized_unit_weight
950932013,715093703,699733581,V1,V1,tf,0.425223,1.54416,2.57169,0.361359,0.606944,0.27998,0.394522,1.46328
950932032,715093703,699733581,V1,V1,tf,0.329987,4.90499,6.69709,0.255541,0.830652,0.129919,0.302123,1.12058
950933907,715093703,699733581,V1,V1,tf,0.471523,0.830247,4.28571,0.412803,0.453626,0.189189,0.328432,1.21816
950932087,715093703,699733581,V1,V1,tf,0.208231,7.93542,6.15666,0.120256,0.888086,0.13973,0.246198,0.913149
950932102,715093703,699733581,V1,V1,tf,0.459417,1.71839,11.607,0.399353,0.632136,0.0793209,0.271551,1.00718
950932118,715093703,699733581,V1,V1,tf,0.343868,0.770223,1.38889,0.270965,0.435099,0.418605,0.366805,1.36048
950932133,715093703,699733581,V1,V1,tf,0.167413,2.06313,4.40952,0.0749037,0.673537,0.184859,0.210492,0.780715
950932180,715093703,699733581,V1,V1,tf,0.22693,1.43102,5.36061,0.141034,0.58865,0.157218,0.235447,0.873276
950933924,715093703,699733581,V1,V1,tf,0.633722,0.387767,2.41481,0.593024,0.279418,0.292842,0.364743,1.35283
950932315,715093703,699733581,V1,V1,tf,0.559575,0.746319,2.74667,0.510638,0.427367,0.266904,0.387635,1.43774
950932410,715093703,699733581,V1,V1,tf,0.314152,1.40605,6.2607,0.237946,0.584382,0.137728,0.267546,0.992331
950932428,715093703,699733581,V1,V1,tf,0.209403,2.73349,6.2084,0.121559,0.732154,0.138727,0.231127,0.857249
950932445,715093703,699733581,V1,V1,tf,0.306524,2.76377,8.45,0.229471,0.734309,0.10582,0.261251,0.968982
950932496,715093703,699733581,V1,V1,tf,0.268328,0.929048,3.64938,0.187031,0.48161,0.215082,0.268579,0.996159
950932529,715093703,699733581,V1,V1,tf,0.296007,1.00076,3.21905,0.217786,0.500189,0.23702,0.295563,1.09624
950932563,715093703,699733581,V1,V1,tf,0.409934,9.23842,13.9734,0.344371,0.902329,0.0667853,0.274805,1.01925
950932578,715093703,699733581,V1,V1,tf,0.309626,2.09076,40.0385,0.232917,0.676455,0.0243673,0.198977,0.738008
950932614,715093703,699733581,V1,V1,tf,0.352036,1.39649,5.98306,0.28004,0.582724,0.143204,0.285899,1.0604
950932597,715093703,699733581,V1,V1,tf,0.191298,1.49423,2.91795,0.101442,0.599075,0.255236,0.249391,0.924992
950932630,715093703,699733581,V1,V1,tf,0.381338,1.18933,7.32288,0.312597,0.543239,0.120151,0.273255,1.0135
950932643,715093703,699733581,V1,V1,tf,0.489601,0.663454,2.50894,0.43289,0.398841,0.284986,0.366438,1.35912
950932669,715093703,699733581,V1,V1,tf,0.31661,2.0642,4.22615,0.240678,0.67365,0.191345,0.314217,1.16543
950932696,715093703,699733581,V1,V1,tf,0.710573,0.247534,6.34103,0.678415,0.198418,0.136221,0.263698,0.978057
950932721,715093703,699733581,V1,V1,tf,0.341498,0.367051,2.26275,0.268331,0.268498,0.30649,0.28055,1.04056
950932745,715093703,699733581,V1,V1,tf,0.593739,0.714979,5.26667,0.548598,0.416902,0.159574,0.331704,1.23029
950933960,715093703,699733581,V1,V1,tf,0.813393,0.898239,5.03322,0.792659,0.473196,0.165749,0.39615,1.46932
950939426,715093703,699733581,LM,HVA pooled,sf,0.244745,0.462946,5.08444,0.160828,0.316448,0.164354,0.202993,0.589504
950939464,715093703,699733581,LM,HVA pooled,sf,0.173858,6.54919,1.57343,0.0820643,0.867535,0.388586,0.302443,0.878311
950939479,715093703,699733581,LM,HVA pooled,sf,0.10889,4.37967,4.13333,0.00987832,0.814115,0.194805,0.199412,0.579106
950939523,715093703,699733581,LM,HVA pooled,sf,0.666711,0.875934,0.853316,0.629679,0.466932,0.539573,0.541345,1.5721
950939540,715093703,699733581,LM,HVA pooled,sf,0.178763,3.53371,1.216,0.0875146,0.77943,0.451263,0.313398,0.910126
950939641,715093703,699733581,LM,HVA pooled,sf,0.486969,1.90641,0.679506,0.429965,0.655932,0.595413,0.551701,1.60217
950940157,715093703,699733581,LM,HVA pooled,sf,0.394754,0.103913,0.916667,0.327504,0.0941316,0.521739,0.252427,0.733062
950939945,715093703,699733581,LM,HVA pooled,sf,0.587975,7.39515,2.76903,0.542194,0.880884,0.26532,0.502282,1.45866
950939961,715093703,699733581,LM,HVA pooled,sf,0.281076,1.47277,1.02726,0.201195,0.595595,0.493277,0.389541,1.13125
950940001,715093703,699733581,LM,HVA pooled,sf,0.288891,0.453621,1.58333,0.209879,0.312063,0.387097,0.293772,0.853131
950940171,715093703,699733581,LM,HVA pooled,sf,0.118161,8.76401,1.00583,0.0201784,0.897583,0.498546,0.281784,0.818318
950940185,715093703,699733581,LM,HVA pooled,sf,0.23356,4.84928,0.428475,0.1484,0.829039,0.700047,0.441616,1.28248
950940219,715093703,699733581,LM,HVA pooled,sf,0.717679,1.49075,1.40835,0.68631,0.598515,0.415221,0.554573,1.61051
950940790,715093703,699733581,LM,HVA pooled,sf,0.111381,1.64263,1.52381,0.0126454,0.621589,0.396226,0.230926,0.670622
950940808,715093703,699733581,LM,HVA pooled,sf,0.191222,1.56802,1.55659,0.101358,0.610595,0.391147,0.289279,0.840083
950940688,715093703,699733581,LM,HVA pooled,sf,0.486906,4.48825,1.808,0.429896,0.817792,0.356125,0.500268,1.45281
950940389,715093703,699733581,LM,HVA pooled,sf,0.15107,1.27094,0.916667,0.056745,0.559653,0.521739,0.254937,0.740353
950940437,715093703,699733581,LM,HVA pooled,sf,0.555848,0.663445,0.586494,0.506498,0.398838,0.630321,0.50309,1.461
950940453,715093703,699733581,LM,HVA pooled,sf,0.107311,3.29791,2.54231,0.0081232,0.767329,0.282302,0.221253,0.642531
950940562,715093703,699733581,LM,HVA pooled,sf,0.169612,1.71723,1.76846,0.0773466,0.631978,0.361212,0.260396,0.756207
950940507,715093703,699733581,LM,HVA pooled,sf,0.197668,2.9109,1.43116,0.10852,0.744304,0.411326,0.321476,0.933586
950940526,715093703,699733581,LM,HVA pooled,sf,0.189427,2.1169,1.43185,0.0993638,0.679168,0.41121,0.302754,0.879215
950940545,715093703,699733581,LM,HVA pooled,sf,0.295153,1.96236,1.24316,0.216836,0.662431,0.4458,0.400072,1.16183
950940649,715093703,699733581,LM,HVA pooled,sf,0.132666,2.53521,1.78842,0.0362955,0.717132,0.358626,0.234281,0.680366
950940631,715093703,699733581,LM,HVA pooled,sf,0.294013,1.33555,1.53259,0.21557,0.571835,0.394853,0.365117,1.06032
950942235,715093703,699733581,LM,HVA pooled,sf,0.116654,5.55869,1.25859,0.0185042,0.84753,0.442754,0.265723,0.771676
950942252,715093703,699733581,LM,HVA pooled,sf,0.370705,0.211823,1.07609,0.300783,0.174797,0.481675,0.293662,0.852811
950940703,715093703,699733581,LM,HVA pooled,sf,0.103524,2.87293,1.33722,0.00391599,0.741798,0.427859,0.251296,0.729778
950940772,715093703,699733581,LM,HVA pooled,sf,0.211349,1.49542,1.19564,0.123721,0.599265,0.455449,0.323222,0.938655
950940824,715093703,699733581,LM,HVA pooled,sf,0.183436,11.3145,1.31712,0.0927061,0.918795,0.431571,0.332501,0.965603
950942269,715093703,699733581,LM,HVA pooled,sf,0.336827,2.11157,4.74729,0.263141,0.678619,0.173995,0.314377,0.912969
950940859,715093703,699733581,LM,HVA pooled,sf,0.280745,1.60133,2.63097,0.200827,0.615581,0.275409,0.324112,0.941241
950940892,715093703,699733581,LM,HVA pooled,sf,0.129268,2.00233,2.01217,0.0325197,0.666925,0.331986,0.222872,0.647234
950943082,715093703,699733581,LM,HVA pooled,sf,0.60212,0.841963,1.45408,0.557912,0.457101,0.407484,0.470142,1.36532
950940928,715093703,699733581,LM,HVA pooled,sf,0.241883,0.566193,1.92687,0.157648,0.361509,0.341662,0.269031,0.781281
950940948,715093703,699733581,LM,HVA pooled,sf,0.544315,3.62164,1.45826,0.493684,0.783627,0.406792,0.539896,1.56789
950942304,715093703,699733581,LM,HVA pooled,sf,0.541188,0.449624,1.24449,0.490209,0.310166,0.445536,0.407649,1.18384
950942635,715093703,699733581,LM,HVA pooled,sf,0.574872,0.109242,1.58333,0.527635,0.0984835,0.387097,0.27196,0.789789
950940984,715093703,699733581,LM,HVA pooled,sf,0.338648,0.465611,2.08477,0.265165,0.317691,0.324173,0.301138,0.874523
950941076,715093703,699733581,LM,HVA pooled,sf,0.126962,8.84727,1.9217,0.0299578,0.898449,0.342266,0.248662,0.722129
950941060,715093703,699733581,LM,HVA pooled,sf,0.740338,6.29074,1.77645,0.711487,0.86284,0.360172,0.604694,1.75607
950941114,715093703,699733581,LM,HVA pooled,sf,0.762363,0.93655,1.41667,0.735959,0.483618,0.413793,0.528096,1.53362
950941183,715093703,699733581,LM,HVA pooled,sf,0.304887,1.41815,1.88063,0.227652,0.58646,0.347146,0.359204,1.04315
950941200,715093703,699733581,LM,HVA pooled,sf,0.129576,5.13437,1.38786,0.0328627,0.836984,0.418785,0.259752,0.754336
950951153,715093703,699733581,RL,HVA pooled,sf,0.671482,1.75054,7.71986,0.63498,0.636435,0.114681,0.359199,1.04313
950951266,715093703,699733581,RL,HVA pooled,sf,0.123167,2.06361,1.11667,0.0257408,0.673588,0.472441,0.251519,0.730426
950951207,715093703,699733581,RL,HVA pooled,sf,0.243104,2.82497,1.06012,0.159004,0.73856,0.485409,0.384858,1.11765
950951247,715093703,699733581,RL,HVA pooled,sf,0.102407,10.3953,1.08333,0.00267421,0.912245,0.48,0.279753,0.812418
950951484,715093703,699733581,RL,HVA pooled,sf,0.100651,3.0268,2.01333,0.000723127,0.751664,0.331858,0.231908,0.673474
950951499,715093703,699733581,RL,HVA pooled,sf,0.126082,3.73754,1.9447,0.0289802,0.78892,0.339594,0.237495,0.689699
950951511,715093703,699733581,RL,HVA pooled,sf,0.392236,2.75769,2.01802,0.324707,0.733879,0.331343,0.429008,1.24586
950951577,715093703,699733581,RL,HVA pooled,sf,0.366788,0.670773,1.60581,0.296431,0.401474,0.383758,0.357448,1.03805
950951636,715093703,699733581,RL,HVA pooled,sf,0.349281,2.36669,0.550662,0.276979,0.702972,0.644886,0.500752,1.45421
950951613,715093703,699733581,RL,HVA pooled,sf,0.13985,3.46644,1.24167,0.0442781,0.776108,0.446097,0.258686,0.751241
950951678,715093703,699733581,RL,HVA pooled,sf,0.101768,7.47708,1.12113,0.00196461,0.882035,0.471448,0.274977,0.79855
950951702,715093703,699733581,RL,HVA pooled,sf,0.133885,7.64561,1.59237,0.0376501,0.884334,0.385748,0.257413,0.747542
950951730,715093703,699733581,RL,HVA pooled,sf,0.345041,3.32122,1.1615,0.272268,0.768584,0.462642,0.459174,1.33347
950951755,715093703,699733581,RL,HVA pooled,sf,0.102817,7.74419,0.932608,0.00313014,0.885638,0.517436,0.284028,0.824834
950951804,715093703,699733581,RL,HVA pooled,sf,0.122829,7.81147,2.12028,0.0253652,0.886512,0.320484,0.242189,0.70333
950951829,715093703,699733581,RL,HVA pooled,sf,0.20663,4.4203,1.24123,0.118478,0.815509,0.446184,0.350639,1.01828
950951791,715093703,699733581,RL,HVA pooled,sf,0.226129,2.02564,1.17605,0.140143,0.669491,0.459547,0.350657,1.01833
950953240,715093703,699733581,RL,HVA pooled,sf,0.179033,4.76868,0.909091,0.0878144,0.82665,0.52381,0.336269,0.976546
950951840,715093703,699733581,RL,HVA pooled,sf,0.190902,1.54005,1.97774,0.101002,0.606306,0.335826,0.273976,0.795643
