stimulus_presentation_id,stimulus_block,start_time,stop_time,contrast,y_position,stimulus_name,phase,temporal_frequency,frame,orientation,size,color,x_position,spatial_frequency,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
3152,0.0,872.68029,872.93051,0.8,10.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,45.0,"[20.0, 20.0]",null,-10.0,0.08,0.25021759,52,,,0,,False,12,train,1
3153,0.0,872.93051,873.18071,0.8,10.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,45.0,"[20.0, 20.0]",null,-40.0,0.08,0.25020491,95,,,0,,False,11,test,1
3154,0.0,873.18071,873.43092,0.8,40.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,0.0,"[20.0, 20.0]",null,-10.0,0.08,0.25020491,80,,,0,,False,13,train,0
3155,0.0,873.43092,873.68112,0.8,10.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,45.0,"[20.0, 20.0]",null,-20.0,0.08,0.25020491,188,,,0,,False,10,train,1
3156,0.0,873.68112,873.93133,0.8,-10.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,0.0,"[20.0, 20.0]",null,-10.0,0.08,0.25020491,194,,,0,,False,13,train,0
3157,0.0,873.93133,874.18153,0.8,40.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,90.0,"[20.0, 20.0]",null,10.0,0.08,0.25020759,184,,,0,,False,13,train,2
3158,0.0,874.18153,874.43174,0.8,40.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,0.0,"[20.0, 20.0]",null,20.0,0.08,0.25020759,23,,,0,,False,11,test,0
3159,0.0,874.43174,874.68195,0.8,-40.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,90.0,"[20.0, 20.0]",null,-20.0,0.08,0.25020759,234,,,0,,False,11,test,2
3160,0.0,874.68195,874.93216,0.8,10.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,0.0,"[20.0, 20.0]",null,-30.0,0.08,0.25020759,45,,,0,,False,13,train,0
3161,0.0,874.93216,875.18237,0.8,30.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,0.0,"[20.0, 20.0]",null,0.0,0.08,0.25020991,231,,,0,,False,12,train,0
3162,0.0,875.18237,875.43258,0.8,-20.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,45.0,"[20.0, 20.0]",null,10.0,0.08,0.25020991,57,,,0,,False,12,train,1
3163,0.0,875.43258,875.68279,0.8,-20.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,90.0,"[20.0, 20.0]",null,-40.0,0.08,0.25020991,5,,,0,,False,10,train,2
3164,0.0,875.68279,875.933,0.8,-40.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,45.0,"[20.0, 20.0]",null,-30.0,0.08,0.25020991,132,,,0,,False,13,train,1
3165,0.0,875.933,876.18321,0.8,-30.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,45.0,"[20.0, 20.0]",null,10.0,0.08,0.25021509,154,,,0,,False,13,train,1
3166,0.0,876.18321,876.43343,0.8,-20.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,0.0,"[20.0, 20.0]",null,20.0,0.08,0.25021509,142,,,0,,False,12,train,0
3167,0.0,876.43343,876.68364,0.8,10.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,0.0,"[20.0, 20.0]",null,-10.0,0.08,0.25021509,241,,,0,,False,12,train,0
