stimulus_presentation_id,stimulus_block,start_time,stop_time,temporal_frequency,stimulus_name,frame,phase,size,contrast,orientation,spatial_frequency,color,x_position,y_position,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
2140,0.0,619.9847,620.23492,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,90.0,0.08,null,30.0,-40.0,0.25021816,50,,,0,,False,9,train,2
2141,0.0,620.23492,620.48513,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,0.0,0.08,null,-40.0,-30.0,0.25020434,72,,,0,,False,6,train,0
2142,0.0,620.48513,620.73533,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,0.0,0.08,null,-20.0,-10.0,0.25020434,164,,,0,,False,9,train,0
2143,0.0,620.73533,620.98553,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,0.0,0.08,null,40.0,20.0,0.25020434,17,,,0,,False,7,train,0
2144,0.0,620.98553,621.23574,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,45.0,0.08,null,10.0,40.0,0.25020434,110,,,0,,False,6,train,1
2145,0.0,621.23574,621.48595,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,45.0,0.08,null,-20.0,0.0,0.25021066,6,,,0,,False,8,test,1
2146,0.0,621.48595,621.73616,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,90.0,0.08,null,10.0,10.0,0.25021066,145,,,0,,False,5,test,2
2147,0.0,621.73616,621.98637,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,0.0,0.08,null,-20.0,20.0,0.25021066,94,,,0,,False,11,test,0
2148,0.0,621.98637,622.23658,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,0.0,0.08,null,-40.0,-30.0,0.25021066,72,,,0,,False,7,train,0
2149,0.0,622.23658,622.48679,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,45.0,0.08,null,-20.0,0.0,0.25020934,6,,,0,,False,9,train,1
2150,0.0,622.48679,622.737,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,90.0,0.08,null,30.0,40.0,0.25020934,185,,,0,,False,5,test,2
