start_time,stop_time,x_position,y_position,orientation,orientation_index,repeat,trial_split
588.5583604024963,588.808568913421,-10.0,-10.0,0.0,0,9,train
588.808568913421,589.058777424346,30.0,30.0,90.0,2,8,test
589.058777424346,589.3089839134211,20.0,20.0,45.0,1,5,test
589.3089839134211,589.5591904024963,40.0,-20.0,0.0,0,9,train
589.5591904024963,589.8093968915714,-30.0,40.0,90.0,2,8,test
589.8093968915714,590.0596033806463,10.0,20.0,0.0,0,6,train
590.0596033806463,590.3098168915712,-30.0,40.0,45.0,1,7,train
590.3098168915712,590.5600304024963,20.0,10.0,45.0,1,3,train
590.5600304024963,590.810243913421,10.0,0.0,90.0,2,8,test
590.810243913421,591.0604574243458,20.0,10.0,45.0,1,4,train
591.0604574243458,591.3106639134211,-20.0,20.0,45.0,1,6,train
591.3106639134211,591.5608704024962,20.0,20.0,45.0,1,6,train
591.5608704024962,591.8110768915714,-30.0,-40.0,0.0,0,11,test
591.8110768915714,592.0612833806465,30.0,-30.0,0.0,0,3,train
592.0612833806465,592.3115043915714,20.0,-20.0,45.0,1,7,train
592.3115043915714,592.5617254024962,30.0,-40.0,45.0,1,10,train
592.5617254024962,592.8119464134211,-20.0,30.0,45.0,1,7,train
592.8119464134211,593.0621674243461,0.0,-20.0,45.0,1,7,train
593.0621674243461,593.3123639134211,-10.0,-10.0,90.0,2,9,train
593.3123639134211,593.5625604024963,-10.0,-10.0,0.0,0,10,train
593.5625604024963,593.8127568915713,40.0,-20.0,0.0,0,10,train
593.8127568915713,594.0629533806465,30.0,10.0,90.0,2,7,train
594.0629533806465,594.3131643915714,30.0,10.0,0.0,0,4,train
594.3131643915714,594.5633754024963,-30.0,0.0,0.0,0,10,train
594.5633754024963,594.813586413421,40.0,-40.0,45.0,1,8,test
594.813586413421,595.0637974243458,30.0,-30.0,45.0,1,9,train
595.0637974243458,595.3140039134211,-10.0,30.0,45.0,1,6,train
595.3140039134211,595.5642104024963,0.0,40.0,90.0,2,7,train
595.5642104024963,595.8144168915712,-20.0,10.0,45.0,1,8,test
595.8144168915712,596.0646233806465,-40.0,-30.0,0.0,0,6,train
596.0646233806465,596.3148343915714,-20.0,-30.0,90.0,2,6,train
596.3148343915714,596.5650454024963,40.0,-40.0,0.0,0,11,test
596.5650454024963,596.815256413421,20.0,30.0,90.0,2,10,train
596.815256413421,597.0654674243459,20.0,20.0,90.0,2,10,train
597.0654674243459,597.315673913421,-30.0,0.0,0.0,0,11,test
597.315673913421,597.5658804024963,-10.0,10.0,90.0,2,10,train
597.5658804024963,597.8160868915712,-30.0,-10.0,90.0,2,7,train
597.8160868915712,598.0662933806465,-40.0,-10.0,0.0,0,9,train
598.0662933806465,598.3165068915713,20.0,30.0,0.0,0,7,train
598.3165068915713,598.5667204024962,-40.0,-20.0,45.0,1,7,train
598.5667204024962,598.816933913421,-30.0,30.0,0.0,0,6,train
598.816933913421,599.067147424346,-10.0,-30.0,0.0,0,7,train
599.067147424346,599.3173539134211,40.0,-40.0,0.0,0,12,train
599.3173539134211,599.5675604024963,30.0,-40.0,0.0,0,9,train
599.5675604024963,599.8177668915713,30.0,40.0,0.0,0,10,train
599.8177668915713,600.0679733806463,30.0,-20.0,45.0,1,7,train
600.0679733806463,600.3181843915713,-40.0,-40.0,0.0,0,5,test
600.3181843915713,600.5683954024962,-20.0,0.0,90.0,2,6,train
600.5683954024962,600.8186064134211,-20.0,-40.0,90.0,2,7,train
600.8186064134211,601.068817424346,-20.0,-30.0,0.0,0,12,train
601.068817424346,601.3190239134211,40.0,-40.0,45.0,1,9,train
601.3190239134211,601.5692304024963,20.0,40.0,0.0,0,7,train
601.5692304024963,601.8194368915714,-40.0,-40.0,0.0,0,6,train
601.8194368915714,602.0696433806463,0.0,30.0,45.0,1,7,train
602.0696433806463,602.3198518915713,10.0,0.0,0.0,0,7,train
602.3198518915713,602.5700604024962,20.0,-30.0,90.0,2,6,train
602.5700604024962,602.820268913421,20.0,10.0,45.0,1,5,test
602.820268913421,603.070477424346,20.0,40.0,90.0,2,7,train
603.070477424346,603.3206914134211,40.0,30.0,0.0,0,9,train
603.3206914134211,603.5709054024962,30.0,-20.0,45.0,1,8,test
603.5709054024962,603.8211193915713,20.0,0.0,90.0,2,8,test
603.8211193915713,604.0713333806465,-20.0,-40.0,0.0,0,7,train
604.0713333806465,604.3215368915713,-10.0,-20.0,45.0,1,9,train
604.3215368915713,604.5717404024963,10.0,0.0,0.0,0,8,test
604.5717404024963,604.821943913421,30.0,10.0,0.0,0,5,test
604.821943913421,605.072147424346,-10.0,40.0,90.0,2,7,train
605.072147424346,605.3223589134211,20.0,30.0,90.0,2,11,test
605.3223589134211,605.5725704024962,-10.0,0.0,0.0,0,6,train
605.5725704024962,605.8227818915714,0.0,-30.0,45.0,1,10,train
605.8227818915714,606.0729933806465,-20.0,0.0,0.0,0,6,train
606.0729933806465,606.3231993915714,-40.0,20.0,45.0,1,9,train
606.3231993915714,606.5734054024963,20.0,-10.0,45.0,1,6,train
606.5734054024963,606.8236114134211,-10.0,-40.0,0.0,0,10,train
606.8236114134211,607.073817424346,-20.0,20.0,45.0,1,7,train
607.073817424346,607.3240289134211,-10.0,-10.0,45.0,1,7,train
607.3240289134211,607.5742404024962,10.0,10.0,90.0,2,9,train
607.5742404024962,607.8244518915714,-10.0,20.0,45.0,1,10,train
607.8244518915714,608.0746633806465,20.0,-20.0,90.0,2,6,train
608.0746633806465,608.3248718915713,20.0,20.0,0.0,0,10,train
608.3248718915713,608.5750804024963,30.0,-40.0,0.0,0,10,train
608.5750804024963,608.825288913421,-20.0,-30.0,45.0,1,8,test
608.825288913421,609.0754974243458,30.0,-40.0,90.0,2,10,train
609.0754974243458,609.3257089134211,40.0,0.0,90.0,2,9,train
609.3257089134211,609.5759204024963,0.0,0.0,45.0,1,7,train
609.5759204024963,609.8261318915713,-40.0,-20.0,0.0,0,8,test
609.8261318915713,610.0763433806463,10.0,-30.0,90.0,2,8,test
610.0763433806463,610.3265468915713,40.0,-40.0,90.0,2,8,test
610.3265468915713,610.5767504024961,-30.0,0.0,90.0,2,10,train
610.5767504024961,610.826953913421,0.0,20.0,0.0,0,7,train
610.826953913421,611.077157424346,-20.0,0.0,0.0,0,7,train
611.077157424346,611.3273689134211,0.0,30.0,45.0,1,8,test
611.3273689134211,611.5775804024962,40.0,0.0,0.0,0,6,train
611.5775804024962,611.8277918915712,10.0,30.0,45.0,1,8,test
611.8277918915712,612.0780033806465,30.0,-30.0,90.0,2,7,train
612.0780033806465,612.3282168915713,0.0,10.0,90.0,2,7,train
612.3282168915713,612.5784304024962,30.0,-40.0,45.0,1,11,test
612.5784304024962,612.828643913421,-10.0,0.0,0.0,0,7,train
612.828643913421,613.078857424346,-40.0,-30.0,0.0,0,7,train
613.078857424346,613.3290614134211,10.0,20.0,0.0,0,7,train
613.3290614134211,613.5792654024963,40.0,40.0,45.0,1,11,test
613.5792654024963,613.8294693915714,10.0,-10.0,45.0,1,5,test
613.8294693915714,614.0796733806466,30.0,-20.0,45.0,1,9,train
614.0796733806466,614.3298843915712,20.0,30.0,45.0,1,10,train
614.3298843915712,614.5800954024962,30.0,20.0,45.0,1,10,train
614.5800954024962,614.8303064134211,10.0,0.0,90.0,2,9,train
614.8303064134211,615.080517424346,-20.0,-40.0,45.0,1,10,train
615.080517424346,615.3307239134211,40.0,-10.0,0.0,0,8,test
615.3307239134211,615.5809304024963,-10.0,30.0,90.0,2,11,test
615.5809304024963,615.8311368915713,20.0,-10.0,45.0,1,7,train
615.8311368915713,616.0813433806463,-10.0,0.0,0.0,0,8,test
616.0813433806463,616.3315643915713,-30.0,20.0,0.0,0,6,train
616.3315643915713,616.5817854024963,-10.0,10.0,0.0,0,5,test
616.5817854024963,616.832006413421,-10.0,0.0,45.0,1,9,train
616.832006413421,617.0822274243459,-10.0,-40.0,45.0,1,10,train
617.0822274243459,617.332428913421,-20.0,-30.0,0.0,0,13,train
617.332428913421,617.5826304024963,-40.0,30.0,45.0,1,7,train
617.5826304024963,617.8328318915712,10.0,-20.0,45.0,1,5,test
617.8328318915712,618.0830333806465,-40.0,-20.0,45.0,1,8,test
618.0830333806465,618.3332443915714,10.0,-20.0,45.0,1,6,train
618.3332443915714,618.5834554024963,-40.0,-20.0,90.0,2,8,test
618.5834554024963,618.833666413421,0.0,-40.0,45.0,1,8,test
