stimulus_presentation_id,stimulus_block,start_time,stop_time,temporal_frequency,stimulus_name,frame,phase,spatial_frequency,orientation,x_position,contrast,color,size,y_position,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
22,0.0,96.949124,97.199341,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,0.0,0.8,null,"[20.0, 20.0]",0.0,0.25021686,21,,,0,,False,0,train,0
23,0.0,97.199341,97.449557,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,-40.0,0.8,null,"[20.0, 20.0]",-40.0,0.25021686,22,,,0,,False,0,train,1
24,0.0,97.449557,97.699774,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,90.0,-20.0,0.8,null,"[20.0, 20.0]",-10.0,0.25021686,23,,,0,,False,0,train,2
25,0.0,97.699774,97.949975,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,90.0,-40.0,0.8,null,"[20.0, 20.0]",-40.0,0.25020064,24,,,0,,False,0,train,2
26,0.0,97.949975,98.200176,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,40.0,0.8,null,"[20.0, 20.0]",-30.0,0.25020064,25,,,0,,False,0,train,0
27,0.0,98.200176,98.450376,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,90.0,30.0,0.8,null,"[20.0, 20.0]",40.0,0.25020064,26,,,0,,False,0,train,2
28,0.0,98.450376,98.700577,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,20.0,0.8,null,"[20.0, 20.0]",-40.0,0.25020064,27,,,0,,False,0,train,1
29,0.0,98.700577,98.950796,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,20.0,0.8,null,"[20.0, 20.0]",20.0,0.25021936,28,,,0,,False,0,train,1
30,0.0,98.950796,99.201016,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,-20.0,0.8,null,"[20.0, 20.0]",-40.0,0.25021936,29,,,0,,False,0,train,0
31,0.0,99.201016,99.451235,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,90.0,30.0,0.8,null,"[20.0, 20.0]",-40.0,0.25021936,30,,,0,,False,0,train,2
32,0.0,99.451235,99.701454,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,-40.0,0.8,null,"[20.0, 20.0]",0.0,0.25021936,31,,,0,,False,0,train,0
33,0.0,99.701454,99.951652,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,-40.0,0.8,null,"[20.0, 20.0]",40.0,0.25019814,32,,,0,,False,0,train,1
34,0.0,99.951652,100.20185,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,-10.0,0.8,null,"[20.0, 20.0]",-30.0,0.25019814,19,,,0,,False,1,train,0
35,0.0,100.20185,100.45205,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,40.0,0.8,null,"[20.0, 20.0]",40.0,0.25019814,33,,,0,,False,0,train,1
36,0.0,100.45205,100.70225,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,20.0,0.8,null,"[20.0, 20.0]",-40.0,0.25019814,27,,,0,,False,1,train,1
37,0.0,100.70225,100.95246,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,10.0,0.8,null,"[20.0, 20.0]",30.0,0.25021436,34,,,0,,False,0,train,0
38,0.0,100.95246,101.20268,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,90.0,0.0,0.8,null,"[20.0, 20.0]",40.0,0.25021436,10,,,0,,False,1,train,2
39,0.0,101.20268,101.45289,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,-30.0,0.8,null,"[20.0, 20.0]",10.0,0.25021436,35,,,0,,False,0,train,1
40,0.0,101.45289,101.7031,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,30.0,0.8,null,"[20.0, 20.0]",-10.0,0.25021436,36,,,0,,False,0,train,0
41,0.0,101.7031,101.95331,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,10.0,0.8,null,"[20.0, 20.0]",-40.0,0.25020314,37,,,0,,False,0,train,1
42,0.0,101.95331,102.20351,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,90.0,-30.0,0.8,null,"[20.0, 20.0]",10.0,0.25020314,38,,,0,,False,0,train,2
43,0.0,102.20351,102.45371,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,90.0,40.0,0.8,null,"[20.0, 20.0]",10.0,0.25020314,39,,,0,,False,0,train,2
44,0.0,102.45371,102.70392,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,90.0,-20.0,0.8,null,"[20.0, 20.0]",-30.0,0.25020314,40,,,0,,False,0,train,2
45,0.0,102.70392,102.95413,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,-40.0,0.8,null,"[20.0, 20.0]",40.0,0.25021436,32,,,0,,False,1,train,1
46,0.0,102.95413,103.20435,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,0.0,0.8,null,"[20.0, 20.0]",30.0,0.25021436,41,,,0,,False,0,train,0
47,0.0,103.20435,103.45456,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,-20.0,0.8,null,"[20.0, 20.0]",-40.0,0.25021436,42,,,0,,False,0,train,1
48,0.0,103.45456,103.70477,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,0.0,0.8,null,"[20.0, 20.0]",-40.0,0.25021436,43,,,0,,False,0,train,0
49,0.0,103.70477,103.95498,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,90.0,10.0,0.8,null,"[20.0, 20.0]",10.0,0.25020314,44,,,0,,False,0,train,2
50,0.0,103.95498,104.20518,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,-30.0,0.8,null,"[20.0, 20.0]",20.0,0.25020314,45,,,0,,False,0,train,1
51,0.0,104.20518,104.45538,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,40.0,0.8,null,"[20.0, 20.0]",-20.0,0.25020314,46,,,0,,False,0,train,0
52,0.0,104.45538,104.70559,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,90.0,0.0,0.8,null,"[20.0, 20.0]",30.0,0.25020314,47,,,0,,False,0,train,2
53,0.0,104.70559,104.95581,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,-10.0,0.8,null,"[20.0, 20.0]",40.0,0.25021936,48,,,0,,False,0,train,0
54,0.0,104.95581,105.20603,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,-20.0,0.8,null,"[20.0, 20.0]",0.0,0.25021936,49,,,0,,False,0,train,1
55,0.0,105.20603,105.45624,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,90.0,10.0,0.8,null,"[20.0, 20.0]",-20.0,0.25021936,50,,,0,,False,0,train,2
56,0.0,105.45624,105.70646,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,-20.0,0.8,null,"[20.0, 20.0]",40.0,0.25021936,8,,,0,,False,1,train,1
57,0.0,105.70646,105.95666,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,90.0,0.0,0.8,null,"[20.0, 20.0]",-20.0,0.25019814,51,,,0,,False,0,train,2
58,0.0,105.95666,106.20686,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,20.0,0.8,null,"[20.0, 20.0]",20.0,0.25019814,52,,,0,,False,0,train,0
59,0.0,106.20686,106.45706,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,40.0,0.8,null,"[20.0, 20.0]",-40.0,0.25019814,53,,,0,,False,0,train,0
60,0.0,106.45706,106.70726,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,-20.0,0.8,null,"[20.0, 20.0]",-20.0,0.25019814,54,,,0,,False,0,train,1
61,0.0,106.70726,106.95748,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,-30.0,0.8,null,"[20.0, 20.0]",10.0,0.25022186,55,,,0,,False,0,train,0
62,0.0,106.95748,107.2077,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,0.0,0.8,null,"[20.0, 20.0]",40.0,0.25022186,56,,,0,,False,0,train,0
63,0.0,107.2077,107.45792,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,-40.0,0.8,null,"[20.0, 20.0]",20.0,0.25022186,57,,,0,,False,0,train,1
64,0.0,107.45792,107.70814,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,-20.0,0.8,null,"[20.0, 20.0]",-40.0,0.25022186,29,,,0,,False,1,train,0
65,0.0,107.70814,107.95834,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,40.0,0.8,null,"[20.0, 20.0]",-10.0,0.25019564,58,,,0,,False,0,train,1
66,0.0,107.95834,108.20854,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,20.0,0.8,null,"[20.0, 20.0]",-10.0,0.25019564,59,,,0,,False,0,train,1
67,0.0,108.20854,108.45873,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,30.0,0.8,null,"[20.0, 20.0]",-40.0,0.25019564,60,,,0,,False,0,train,1
68,0.0,108.45873,108.70893,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,-30.0,0.8,null,"[20.0, 20.0]",0.0,0.25019564,61,,,0,,False,0,train,0
69,0.0,108.70893,108.95913,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,-30.0,0.8,null,"[20.0, 20.0]",-30.0,0.25020686,62,,,0,,False,0,train,1
70,0.0,108.95913,109.20934,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,0.0,0.8,null,"[20.0, 20.0]",0.0,0.25020686,63,,,0,,False,0,train,1
71,0.0,109.20934,109.45955,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,30.0,0.8,null,"[20.0, 20.0]",30.0,0.25020686,64,,,0,,False,0,train,0
72,0.0,109.45955,109.70975,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,-10.0,0.8,null,"[20.0, 20.0]",10.0,0.25020686,65,,,0,,False,0,train,1
73,0.0,109.70975,109.95997,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,30.0,0.8,null,"[20.0, 20.0]",0.0,0.25021564,9,,,0,,False,2,test,1
74,0.0,109.95997,110.21019,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,90.0,30.0,0.8,null,"[20.0, 20.0]",10.0,0.25021564,66,,,0,,False,0,train,2
75,0.0,110.21019,110.4604,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,20.0,0.8,null,"[20.0, 20.0]",30.0,0.25021564,67,,,0,,False,0,train,0
76,0.0,110.4604,110.71062,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,0.0,0.8,null,"[20.0, 20.0]",30.0,0.25021564,68,,,0,,False,0,train,1
77,0.0,110.71062,110.96083,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,-40.0,0.8,null,"[20.0, 20.0]",30.0,0.25021686,69,,,0,,False,0,train,0
78,0.0,110.96083,111.21105,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,90.0,20.0,0.8,null,"[20.0, 20.0]",-30.0,0.25021686,70,,,0,,False,0,train,2
79,0.0,111.21105,111.46127,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,-40.0,0.8,null,"[20.0, 20.0]",0.0,0.25021686,71,,,0,,False,0,train,1
80,0.0,111.46127,111.71148,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,20.0,0.8,null,"[20.0, 20.0]",0.0,0.25021686,72,,,0,,False,0,train,1
81,0.0,111.71148,111.96168,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,30.0,0.8,null,"[20.0, 20.0]",30.0,0.25019564,73,,,0,,False,0,train,1
82,0.0,111.96168,112.21188,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,-40.0,0.8,null,"[20.0, 20.0]",40.0,0.25019564,32,,,0,,False,2,test,1
83,0.0,112.21188,112.46207,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,90.0,10.0,0.8,null,"[20.0, 20.0]",-30.0,0.25019564,74,,,0,,False,0,train,2
84,0.0,112.46207,112.71227,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,40.0,0.8,null,"[20.0, 20.0]",40.0,0.25019564,16,,,0,,False,1,train,0
85,0.0,112.71227,112.96248,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,-30.0,0.8,null,"[20.0, 20.0]",30.0,0.25021686,75,,,0,,False,0,train,0
86,0.0,112.96248,113.2127,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,90.0,30.0,0.8,null,"[20.0, 20.0]",-10.0,0.25021686,76,,,0,,False,0,train,2
87,0.0,113.2127,113.46292,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,40.0,0.8,null,"[20.0, 20.0]",20.0,0.25021686,77,,,0,,False,0,train,1
88,0.0,113.46292,113.71313,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,30.0,0.8,null,"[20.0, 20.0]",10.0,0.25021686,78,,,0,,False,0,train,1
89,0.0,113.71313,113.96334,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,40.0,0.8,null,"[20.0, 20.0]",0.0,0.25020314,79,,,0,,False,0,train,1
90,0.0,113.96334,114.21354,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,90.0,40.0,0.8,null,"[20.0, 20.0]",-20.0,0.25020314,80,,,0,,False,0,train,2
91,0.0,114.21354,114.46374,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,-20.0,0.8,null,"[20.0, 20.0]",-10.0,0.25020314,81,,,0,,False,0,train,1
92,0.0,114.46374,114.71395,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,-20.0,0.8,null,"[20.0, 20.0]",40.0,0.25020314,82,,,0,,False,0,train,0
93,0.0,114.71395,114.96416,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,30.0,0.8,null,"[20.0, 20.0]",0.0,0.25021436,9,,,0,,False,3,train,1
94,0.0,114.96416,115.21438,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,90.0,-10.0,0.8,null,"[20.0, 20.0]",40.0,0.25021436,83,,,0,,False,0,train,2
95,0.0,115.21438,115.46459,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,-30.0,0.8,null,"[20.0, 20.0]",-40.0,0.25021436,84,,,0,,False,0,train,0
96,0.0,115.46459,115.7148,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,-40.0,0.8,null,"[20.0, 20.0]",40.0,0.25021436,85,,,0,,False,0,train,0
97,0.0,115.7148,115.96501,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,-30.0,0.8,null,"[20.0, 20.0]",40.0,0.25020314,86,,,0,,False,0,train,1
98,0.0,115.96501,116.21521,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,-30.0,0.8,null,"[20.0, 20.0]",20.0,0.25020314,87,,,0,,False,0,train,0
99,0.0,116.21521,116.46541,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,40.0,0.8,null,"[20.0, 20.0]",-10.0,0.25020314,88,,,0,,False,0,train,0
100,0.0,116.46541,116.71562,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,-20.0,0.8,null,"[20.0, 20.0]",-40.0,0.25020314,42,,,0,,False,1,train,1
101,0.0,116.71562,116.96583,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,10.0,0.8,null,"[20.0, 20.0]",30.0,0.25021186,89,,,0,,False,0,train,1
102,0.0,116.96583,117.21604,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,90.0,-10.0,0.8,null,"[20.0, 20.0]",-10.0,0.25021186,90,,,0,,False,0,train,2
103,0.0,117.21604,117.46625,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,40.0,0.8,null,"[20.0, 20.0]",-30.0,0.25021186,25,,,0,,False,1,train,0
104,0.0,117.46625,117.71646,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,0.0,0.8,null,"[20.0, 20.0]",20.0,0.25021186,91,,,0,,False,0,train,1
105,0.0,117.71646,117.96667,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,-10.0,0.8,null,"[20.0, 20.0]",20.0,0.25020564,92,,,0,,False,0,train,0
106,0.0,117.96667,118.21688,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,10.0,0.8,null,"[20.0, 20.0]",30.0,0.25020564,34,,,0,,False,1,train,0
107,0.0,118.21688,118.46708,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,90.0,-30.0,0.8,null,"[20.0, 20.0]",0.0,0.25020564,93,,,0,,False,0,train,2
108,0.0,118.46708,118.71729,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,10.0,0.8,null,"[20.0, 20.0]",10.0,0.25020564,14,,,0,,False,1,train,0
109,0.0,118.71729,118.9675,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,90.0,-40.0,0.8,null,"[20.0, 20.0]",-10.0,0.25021436,94,,,0,,False,0,train,2
110,0.0,118.9675,119.21772,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,10.0,0.8,null,"[20.0, 20.0]",-30.0,0.25021436,95,,,0,,False,0,train,1
111,0.0,119.21772,119.46793,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,10.0,0.8,null,"[20.0, 20.0]",0.0,0.25021436,7,,,0,,False,1,train,0
112,0.0,119.46793,119.71814,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,-10.0,0.8,null,"[20.0, 20.0]",-20.0,0.25021436,96,,,0,,False,0,train,1
113,0.0,119.71814,119.96835,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,10.0,0.8,null,"[20.0, 20.0]",40.0,0.25020564,97,,,0,,False,0,train,0
114,0.0,119.96835,120.21856,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,90.0,-10.0,0.8,null,"[20.0, 20.0]",20.0,0.25020564,98,,,0,,False,0,train,2
115,0.0,120.21856,120.46876,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,90.0,-10.0,0.8,null,"[20.0, 20.0]",30.0,0.25020564,99,,,0,,False,0,train,2
116,0.0,120.46876,120.71897,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,30.0,0.8,null,"[20.0, 20.0]",20.0,0.25020564,100,,,0,,False,0,train,1
117,0.0,120.71897,120.96918,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,-30.0,0.8,null,"[20.0, 20.0]",20.0,0.25021186,45,,,0,,False,1,train,1
118,0.0,120.96918,121.21939,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,-20.0,0.8,null,"[20.0, 20.0]",30.0,0.25021186,1,,,0,,False,1,train,0
119,0.0,121.21939,121.4696,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,90.0,30.0,0.8,null,"[20.0, 20.0]",-40.0,0.25021186,30,,,0,,False,1,train,2
120,0.0,121.4696,121.71981,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,-40.0,0.8,null,"[20.0, 20.0]",20.0,0.25021186,57,,,0,,False,1,train,1
121,0.0,121.71981,121.97002,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,-10.0,0.8,null,"[20.0, 20.0]",-10.0,0.25020564,13,,,0,,False,1,train,1
122,0.0,121.97002,122.22023,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,90.0,-10.0,0.8,null,"[20.0, 20.0]",-20.0,0.25020564,101,,,0,,False,0,train,2
123,0.0,122.22023,122.47043,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,-20.0,0.8,null,"[20.0, 20.0]",-40.0,0.25020564,29,,,0,,False,2,test,0
124,0.0,122.47043,122.72064,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,90.0,40.0,0.8,null,"[20.0, 20.0]",30.0,0.25020564,102,,,0,,False,0,train,2
125,0.0,122.72064,122.97085,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,-20.0,0.8,null,"[20.0, 20.0]",10.0,0.25021436,103,,,0,,False,0,train,0
126,0.0,122.97085,123.22107,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,90.0,30.0,0.8,null,"[20.0, 20.0]",-10.0,0.25021436,76,,,0,,False,1,train,2
127,0.0,123.22107,123.47128,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,-40.0,0.8,null,"[20.0, 20.0]",0.0,0.25021436,31,,,0,,False,1,train,0
128,0.0,123.47128,123.72149,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,90.0,-40.0,0.8,null,"[20.0, 20.0]",0.0,0.25021436,104,,,0,,False,0,train,2
129,0.0,123.72149,123.9717,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,20.0,0.8,null,"[20.0, 20.0]",-20.0,0.25020314,105,,,0,,False,0,train,0
130,0.0,123.9717,124.2219,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,10.0,0.8,null,"[20.0, 20.0]",-10.0,0.25020314,106,,,0,,False,0,train,1
131,0.0,124.2219,124.4721,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,-20.0,0.8,null,"[20.0, 20.0]",30.0,0.25020314,107,,,0,,False,0,train,1
132,0.0,124.4721,124.72231,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,90.0,-30.0,0.8,null,"[20.0, 20.0]",-10.0,0.25020314,108,,,0,,False,0,train,2
133,0.0,124.72231,124.97252,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,30.0,0.8,null,"[20.0, 20.0]",-30.0,0.25021186,109,,,0,,False,0,train,1
134,0.0,124.97252,125.22273,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,20.0,0.8,null,"[20.0, 20.0]",30.0,0.25021186,67,,,0,,False,1,train,0
135,0.0,125.22273,125.47294,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,90.0,20.0,0.8,null,"[20.0, 20.0]",0.0,0.25021186,110,,,0,,False,0,train,2
136,0.0,125.47294,125.72315,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,-30.0,0.8,null,"[20.0, 20.0]",30.0,0.25021186,75,,,0,,False,1,train,0
137,0.0,125.72315,125.97336,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,40.0,0.8,null,"[20.0, 20.0]",10.0,0.25020314,17,,,0,,False,1,train,1
