stimulus_presentation_id,stimulus_block,start_time,stop_time,phase,stimulus_name,size,spatial_frequency,color,y_position,orientation,x_position,temporal_frequency,frame,contrast,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
37,0.0,93.60515,93.85537,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,30.0,0.0,20.0,4.0,null,0.8,0.25021988,33,,,0,,False,0,train,0
38,0.0,93.85537,94.10559,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-20.0,0.0,-30.0,4.0,null,0.8,0.25021988,34,,,0,,False,0,train,0
39,0.0,94.10559,94.35581,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,40.0,0.0,-30.0,4.0,null,0.8,0.25021988,14,,,0,,False,1,train,0
40,0.0,94.35581,94.60603,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,0.0,45.0,20.0,4.0,null,0.8,0.25021988,35,,,0,,False,0,train,1
41,0.0,94.60603,94.85623,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-30.0,0.0,-10.0,4.0,null,0.8,0.25020012,36,,,0,,False,0,train,0
42,0.0,94.85623,95.10643,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,40.0,45.0,-20.0,4.0,null,0.8,0.25020012,37,,,0,,False,0,train,1
43,0.0,95.10643,95.35663,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-40.0,0.0,20.0,4.0,null,0.8,0.25020012,38,,,0,,False,0,train,0
44,0.0,95.35663,95.60683,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-20.0,90.0,-40.0,4.0,null,0.8,0.25020012,21,,,0,,False,1,train,2
45,0.0,95.60683,95.857038,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,0.0,45.0,40.0,4.0,null,0.8,0.25020738,39,,,0,,False,0,train,1
46,0.0,95.857038,96.107245,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-30.0,45.0,-30.0,4.0,null,0.8,0.25020738,32,,,0,,False,1,train,1
47,0.0,96.107245,96.357453,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,40.0,90.0,-20.0,4.0,null,0.8,0.25020738,40,,,0,,False,0,train,2
48,0.0,96.357453,96.60766,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,30.0,45.0,-20.0,4.0,null,0.8,0.25020738,41,,,0,,False,0,train,1
49,0.0,96.60766,96.85787,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,0.0,45.0,-10.0,4.0,null,0.8,0.25021012,42,,,0,,False,0,train,1
50,0.0,96.85787,97.10808,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-30.0,0.0,40.0,4.0,null,0.8,0.25021012,43,,,0,,False,0,train,0
51,0.0,97.10808,97.35829,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-40.0,0.0,10.0,4.0,null,0.8,0.25021012,44,,,0,,False,0,train,0
52,0.0,97.35829,97.6085,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-30.0,0.0,-10.0,4.0,null,0.8,0.25021012,36,,,0,,False,1,train,0
