unit_id,autocorr_tau,err_ac,spike_count_ac
9000279,223.34116347619724,396.06431209525516,68.0
9000280,7.418363438231185,0.73261815733528,36.0
9000281,999.9999980599295,18800.7756942928,44.0
9000282,999.9999999999999,10500.50889552194,78.0
9000283,18.311653673237696,6.429914312559997,104.0
9000284,999.9999999993975,28143.073550842615,30.0
9000285,25.189065996400803,6.461383997091988,115.0
9000286,84.36367582318083,98.75586011094255,100.0
9000287,106.36420531148353,28.038764248069054,597.0
9000288,999.9999999999999,2026.4717993905394,339.0
9000289,12.053412505013949,1.6270795293256253,63.0
9000290,832.9730981715408,1635.8337988253195,600.0
9000291,117.61771255345504,33.389450700417385,124.0
9000292,62.94784415447993,15.306450238994502,361.0
9000293,60.96836530932362,6.788970589965308,1124.0
9000294,1.0000000154606483,7569.7048023414145,9.0
9000295,19.869639318479713,5.230465446602413,207.0
9000296,4.764224497931953,3.7634211063048753,35.0
9000297,71.78902733016025,15.740213215281793,546.0
9000298,999.9999999999999,1737.2591096811934,673.0
9000299,59.3750478156107,24.96457443211727,227.0
9000300,82.73796647941592,27.271883300702427,78.0
9000301,25.784504742331666,5.20473299241517,97.0
9000302,144.94970260778874,78.82459008476327,185.0
9000303,15.333497624190986,1.5943049871151016,498.0
9000304,73.75208417721733,10.075293179956745,335.0
9000305,999.9999999999237,24745.809218037735,14.0
9000306,50.11228144023659,7.160010086763063,143.0
9000307,1.000070590667685,240054.76182289215,2.0
9000308,999.9999999660956,911785.0086085548,15.0
9000309,20.146362195567,3.680719776504779,95.0
9000310,124.26914559240532,121.20935505075055,119.0
9000311,999.9999999999999,1749.6651603543646,1870.0
9000312,96.89642650821133,16.286522878795445,627.0
9000313,999.9999999996284,59470.26093789728,4.0
9000314,4.823993861871321,6.380795548758156,0.0
9000315,95.52874266486519,10.827294732045807,2493.0
9000316,89.80860712950533,18.530956138424457,637.0
9000317,5.4854824435906595,2.6697229125479005,55.0
9000318,4.823993854621409,6.380795606857724,1.0
9000319,13.863837774135195,1.122530752079658,78.0
9000320,999.9999999999999,3323.50433234444,458.0
9000321,29.12188874309166,2.4663400407489497,124.0
9000322,115.31799249709962,29.209876432828977,755.0
