stimulus_presentation_id,stimulus_block,start_time,stop_time,coherence,Speed,y_position,x_position,orientation,Dir,size,spatial_frequency,contrast,frame,stimulus_name,color,temporal_frequency,phase,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1766,0.0,510.60077,510.85099,null,null,-10.0,-40.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021913,226,,,0,,False,8,test,2
1767,0.0,510.85099,511.10121,null,null,40.0,-30.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021913,205,,,0,,False,7,train,2
1768,0.0,511.10121,511.35143,null,null,40.0,0.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021913,97,,,0,,False,8,test,0
1769,0.0,511.35143,511.60163,null,null,-10.0,0.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020087,169,,,0,,False,3,train,0
1770,0.0,511.60163,511.85183,null,null,-20.0,20.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020087,62,,,0,,False,8,test,2
1771,0.0,511.85183,512.10203,null,null,10.0,-40.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020087,92,,,0,,False,10,train,2
1772,0.0,512.10203,512.35223,null,null,-10.0,-30.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020087,72,,,0,,False,8,test,0
1773,0.0,512.35223,512.60244,null,null,10.0,20.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020913,214,,,0,,False,9,train,2
1774,0.0,512.60244,512.85265,null,null,-10.0,-30.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020913,176,,,0,,False,6,train,1
1775,0.0,512.85265,513.10286,null,null,30.0,-30.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020913,109,,,0,,False,11,test,1
1776,0.0,513.10286,513.35307,null,null,-30.0,30.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020913,121,,,0,,False,10,train,2
1777,0.0,513.35307,513.60328,null,null,20.0,-10.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020837,114,,,0,,False,6,train,0
1778,0.0,513.60328,513.85348,null,null,-10.0,20.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020837,27,,,0,,False,5,test,0
1779,0.0,513.85348,514.10369,null,null,20.0,-20.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020837,51,,,0,,False,9,train,1
