ecephys_probe_id,ecephys_session_id,probe_letter,primary_structure,n_vis_units,dv_thickness_um,dv_range_minmax_um
832129154,829720705,probeC,VISp,121,783.0000,898.0000
832129157,829720705,probeD,VISl,148,395.0000,453.0000
832129159,829720705,probeE,VISal,141,286.0000,396.0000
832129161,829720705,probeF,VISrl,166,344.0000,455.0000
832810573,831882777,probeA,VISam,119,572.9000,629.0000
832810576,831882777,probeB,VISpm,160,619.0000,779.0000
832810578,831882777,probeC,VISp,130,538.2500,699.0000
832810582,831882777,probeE,VISal,110,335.3000,400.0000
832810584,831882777,probeF,VISrl,182,444.0000,579.0000
836943713,816200189,probeA,VISam,111,567.5000,679.0000
836943715,816200189,probeB,VISpm,152,625.7500,762.0000
836943717,816200189,probeC,VISp,168,647.8500,723.0000
836943719,816200189,probeD,VISl,124,405.0000,477.0000
836943721,816200189,probeE,VIS,116,366.2500,529.0000
836962814,819701982,probeA,VISam,108,546.5500,732.0000
836962816,819701982,probeB,VISam,47,453.0000,547.0000
836962820,819701982,probeD,VISl,134,511.0000,604.0000
836962822,819701982,probeE,VISrl,78,465.0000,507.0000
836962824,819701982,probeF,VISrl,149,386.8000,475.0000
837761708,835479236,probeB,VISmmp,79,597.8000,670.0000
837761710,835479236,probeC,VISp,159,636.8000,746.0000
837761712,835479236,probeD,VISl,153,701.0000,820.0000
837761714,835479236,probeE,VISal,130,446.7000,551.0000
837761716,835479236,probeF,VISrl,190,651.9500,809.0000
841431754,840012044,probeA,VISam,100,522.2000,617.0000
841431758,840012044,probeD,VISl,129,494.8000,561.0000
841435557,839068429,probeA,VISam,118,541.0000,590.0000
841435559,839068429,probeD,VISl,118,571.0000,662.0000
846401828,839557629,probeA,VISam,115,571.7000,638.0000
846401830,839557629,probeB,VISpm,105,590.0000,680.0000
846401834,839557629,probeC,VISp,151,677.0000,787.0000
846401838,839557629,probeD,VISl,120,421.3000,498.0000
846401841,839557629,probeE,VISal,102,342.8000,377.0000
848037568,847657808,probeA,VISam,153,571.0000,650.0000
848037570,847657808,probeB,VISpm,157,663.2000,722.0000
848037572,847657808,probeC,VISp,122,705.0000,773.0000
848037574,847657808,probeD,VISl,181,561.0000,673.0000
848037576,847657808,probeE,VISal,140,589.4000,655.0000
848037578,847657808,probeF,VISrl,159,572.7000,706.0000
868297127,840012044,probeB,VISpm,118,493.4000,693.0000
868297129,840012044,probeC,VISp,137,502.0000,803.0000
868297131,840012044,probeE,VISrl,115,387.8000,454.0000
868297133,840012044,probeF,VISrl,90,388.0000,484.0000
868929135,839068429,probeB,VISpm,149,698.0000,809.0000
868929138,839068429,probeC,VISp,178,717.5000,831.0000
868929140,839068429,probeE,VIS,150,455.0000,550.0000
868929142,839068429,probeF,VISrl,128,594.5000,644.0000
